committee,lgno,name,term,sessionPeriod,isCoChairman,
財政委員會,00223,羅福助,4,3,Y,
財政委員會,00226,王麗萍,4,3,N,
教育及文化委員會,00005,王世勛,4,3,N,
教育及文化委員會,00018,朱惠良,4,3,N,
教育及文化委員會,00031,李慶安,4,3,Y,
教育及文化委員會,00037,吳克清,4,3,N,
教育及文化委員會,00044,林正二,4,3,N,
教育及文化委員會,00079,洪秀柱,4,3,N,
教育及文化委員會,00097,徐慶元,4,3,N,
教育及文化委員會,00123,曹啟鴻,4,3,N,
教育及文化委員會,00131,陳振盛,4,3,N,
教育及文化委員會,00138,陳景峻,4,3,N,
教育及文化委員會,00152,湯金全,4,3,Y,
教育及文化委員會,00153,馮定國,4,3,N,
教育及文化委員會,00160,黃敏惠,4,3,N,
教育及文化委員會,00169,楊瓊瓔,4,3,N,
教育及文化委員會,00175,廖婉汝,4,3,N,
教育及文化委員會,00188,蔡明憲,4,3,N,
教育及文化委員會,00207,穆閩珠,4,3,N,
交通委員會,00011,王昱婷,4,3,N,
交通委員會,00060,林源山,4,3,N,
交通委員會,00065,卓榮泰,4,3,N,
交通委員會,00070,周雅淑,4,3,N,
交通委員會,00101,許素葉,4,3,N,
交通委員會,00106,許鍾碧霞,4,3,N,
交通委員會,00111,張川田,4,3,Y,
交通委員會,00124,曹爾忠,4,3,Y,
交通委員會,00125,陳宏昌,4,3,N,
交通委員會,00127,陳其邁,4,3,N,
交通委員會,00129,陳明文,4,3,N,
交通委員會,00133,陳根德,4,3,N,
交通委員會,00134,陳清寶,4,3,N,
交通委員會,00141,陳進丁,4,3,N,
交通委員會,00159,黃昭順,4,3,N,
交通委員會,00174,廖風德,4,3,N,
社會福利及衛生環境委員會,00014,江綺雯,4,3,Y,
社會福利及衛生環境委員會,00024,李正宗,4,3,N,
社會福利及衛生環境委員會,00026,李全教,4,3,N,
社會福利及衛生環境委員會,00041,何嘉榮,4,3,N,
社會福利及衛生環境委員會,00069,周清玉,4,3,Y,
社會福利及衛生環境委員會,00093,徐中雄,4,3,N,
社會福利及衛生環境委員會,00107,郭廷才,4,3,N,
社會福利及衛生環境委員會,00116,張明雄,4,3,N,
社會福利及衛生環境委員會,00119,張清芳,4,3,N,
社會福利及衛生環境委員會,00121,張蔡美,4,3,N,
社會福利及衛生環境委員會,00139,陳傑儒,4,3,Y,
社會福利及衛生環境委員會,00144,陳鴻基,4,3,N,
社會福利及衛生環境委員會,00149,曾蔡美佐,4,3,N,
社會福利及衛生環境委員會,00170,靳曾珍麗,4,3,N,
社會福利及衛生環境委員會,00178,趙永清,4,3,N,
社會福利及衛生環境委員會,00191,蔡鈴蘭,4,3,N,
社會福利及衛生環境委員會,00203,賴勁麟,4,3,N,
社會福利及衛生環境委員會,00214,鍾利德,4,3,N,
社會福利及衛生環境委員會,00220,簡錫堦,4,3,N,
社會福利及衛生環境委員會,00221,關沃暖,4,3,N,
程序委員會,00006,王令麟,4,3,Y,
程序委員會,00016,朱立倫,4,3,N,
程序委員會,00030,李鳴皋,4,3,N,
程序委員會,00035,李顯榮,4,3,Y,
程序委員會,00037,吳克清,4,3,N,
程序委員會,00052,林建榮,4,3,N,
程序委員會,00056,林益世,4,3,N,
程序委員會,00071,周慧瑛,4,3,N,
程序委員會,00108,郭素春,4,3,N,
程序委員會,00110,章仁香,4,3,N,
程序委員會,00121,張蔡美,4,3,N,
程序委員會,00123,曹啟鴻,4,3,N,
程序委員會,00129,陳明文,4,3,N,
程序委員會,00140,陳勝宏,4,3,N,
程序委員會,00141,陳進丁,4,3,N,
程序委員會,00148,曾華德,4,3,N,
程序委員會,00158,黃明和,4,3,N,
程序委員會,00161,黃義交,4,3,N,
程序委員會,00181,鄭金玲,4,3,N,
程序委員會,00197,劉政鴻,4,3,N,
程序委員會,00204,賴清德,4,3,N,
程序委員會,00205,盧秀燕,4,3,N,
程序委員會,00208,營志宏,4,3,N,
程序委員會,00221,關沃暖,4,3,N,
紀律委員會,00014,江綺雯,4,3,N,
紀律委員會,00020,宋煦光,4,3,Y,
紀律委員會,00029,李嘉進,4,3,N,
紀律委員會,00031,李慶安,4,3,N,
紀律委員會,00032,李慶雄,4,3,N,
紀律委員會,00038,吳清池,4,3,N,
紀律委員會,00040,何智輝,4,3,N,
紀律委員會,00045,林宏宗,4,3,N,
紀律委員會,00060,林源山,4,3,N,
紀律委員會,00062,林濁水,4,3,N,
紀律委員會,00063,林豐喜,4,3,Y,
紀律委員會,00069,周清玉,4,3,N,
紀律委員會,00076,邱鏡淳,4,3,Y,
紀律委員會,00086,范揚盛,4,3,Y,
紀律委員會,00094,徐少萍,4,3,N,
紀律委員會,00096,徐志明,4,3,Y,
紀律委員會,00102,許添財,4,3,Y,
紀律委員會,00105,許榮淑,4,3,N,
紀律委員會,00111,張川田,4,3,N,
紀律委員會,00113,張世良,4,3,N,
