資料集名稱,檔案格式,下載連結,資料集類型,資料集描述,主要欄位說明,資料集提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,備註
"行政院重大政策","xml","http://www.ey.gov.tw/Rss_News.aspx?n=3D06E532B0D8316C","rawData","提供行政院重大政策之訊息。","「主題」、「日期」、「連結」、「內容」。","行政院","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","洪先生","02-33568122",""
"不動產買賣實價登錄批次資料","xml","http://lvr.land.moi.gov.tw/opendata/lvr_landAxml.zip","rawData","本資料集主要提供申報人申報之不動產買賣交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。","主要欄位有「土地區段位置/建物區段門牌」、「總價」、「土地移轉總面積(平方公尺)」、「建物移轉總面積(平方公尺)」、「使用分區或編定」…等。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"不動產買賣實價登錄批次資料","csv","http://lvr.land.moi.gov.tw/opendata/lvr_landAcsv.zip","rawData","本資料集主要提供申報人申報之不動產買賣交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。","主要欄位有「土地區段位置/建物區段門牌」、「總價」、「土地移轉總面積(平方公尺)」、「建物移轉總面積(平方公尺)」、「使用分區或編定」…等。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"不動產買賣實價登錄批次資料","txt","http://lvr.land.moi.gov.tw/opendata/lvr_landAtxt.zip","rawData","本資料集主要提供申報人申報之不動產買賣交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。","主要欄位有「土地區段位置/建物區段門牌」、「總價」、「土地移轉總面積(平方公尺)」、「建物移轉總面積(平方公尺)」、「使用分區或編定」…等。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"不動產租賃實價登錄批次資料","xml","http://lvr.land.moi.gov.tw/opendata/lvr_landCxml.zip","rawData","本資料集主要提供申報人申報之不動產租賃交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。 ","主要欄位有「租金總額(元)」、「土地租賃面積(平方公尺)」、「建物租賃面積(平方公尺)」、「使用分區或編定」。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"不動產租賃實價登錄批次資料","csv","http://lvr.land.moi.gov.tw/opendata/lvr_landCcsv.zip","rawData","本資料集主要提供申報人申報之不動產租賃交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。 ","主要欄位有「租金總額(元)」、「土地租賃面積(平方公尺)」、「建物租賃面積(平方公尺)」、「使用分區或編定」。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"不動產租賃實價登錄批次資料","txt","http://lvr.land.moi.gov.tw/opendata/lvr_landCtxt.zip","rawData","本資料集主要提供申報人申報之不動產租賃交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。 ","主要欄位有「租金總額(元)」、「土地租賃面積(平方公尺)」、「建物租賃面積(平方公尺)」、「使用分區或編定」。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"預售屋買賣實價登錄批次資料","xml","http://lvr.land.moi.gov.tw/opendata/lvr_landBxml.zip","rawData","本資料集主要提供申報人申報之預售屋買賣交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。 ","主要欄位有「總價」、「土地移轉總面積(平方公尺)」、「建物移轉總面積(平方公尺)」、「使用分區或編定」。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"預售屋買賣實價登錄批次資料","csv","http://lvr.land.moi.gov.tw/opendata/lvr_landBcsv.zip","rawData","本資料集主要提供申報人申報之預售屋買賣交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。 ","主要欄位有「總價」、「土地移轉總面積(平方公尺)」、「建物移轉總面積(平方公尺)」、「使用分區或編定」。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"預售屋買賣實價登錄批次資料","txt","http://lvr.land.moi.gov.tw/opendata/lvr_landBtxt.zip","rawData","本資料集主要提供申報人申報之預售屋買賣交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。 ","主要欄位有「總價」、「土地移轉總面積(平方公尺)」、「建物移轉總面積(平方公尺)」、「使用分區或編定」。","內政部","每月1、16日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;Big5","汪先生","04-22544496#210","本項資料集於每月1、16日發布。  資料編碼：XML格式為UTF-8；CSV、TXT格式為Big5。"
"易發生婦幼被害犯罪地點","csv","http://www.moi.gov.tw/opendata/women.csv","rawData","提供近半年來易發生婦幼被害（強盜、搶奪、性侵害、妨害風化及傷害等）犯罪地點","編號、地點位置、管轄警察局、分局","內政部","每半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","莊小姐","02-27672372",""
"中華民國駐外單位聯合網站活動訊息","xml","http://www.taiwanembassy.org/newsxml.asp","rawData","提供駐外地當地活動訊息","標題、日期、摘要、連結","外交部","每日","依據政府資訊開放平台使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","程先生","02-23805429",""
"駐外館處通訊錄","csv","http://multilingual.mofa.gov.tw/web/web_UTF-8/OpenData/OverseasOffice.csv","rawData","本資料集主要提供我政府駐外館處地址、聯絡資訊、網址等資訊。","主要欄位有「駐外館處中英文名稱、館址、電話、傳真、e-mail」等。","外交部","每週","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","黃先生","02-23482587",""
"駐華使館及機構通訊錄","csv","http://multilingual.mofa.gov.tw/web/web_UTF-8/OpenData/OfficesInROC.csv","rawData","本資料集主要提供駐華使館及機構地址、聯絡資訊、網址等資訊。","主要欄位有「中外文館址、電話、傳真、網址、e-mail」等。","外交部","每週","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","黃先生","02-23482587",""
"臺灣美食文化網-美食分類","xml","http://taiwanfoodculture.net/foodXml2.asp","rawData","提供臺灣美食七大分類菜色資料","類別、標題、日期、摘要、連結","外交部","每日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","程先生","02-23805429",""
"臺灣美食文化網-美食文化","xml","http://taiwanfoodculture.net/foodXml.asp","rawData","提供臺灣美食文化資料","標題、日期、摘要、連結","外交部","每日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","程先生","02-23805429",""
"衛教資訊","txt","http://www.mnd.gov.tw/Publish.aspx?cnid=3393&p=57365","rawData","當前流行傳染病預防及國人常見生理、心理疾病的防範與治療。","腸病毒防治、防治憂鬱症、消弭酒駕、認識腦膜炎、蛇咬傷知預防及處理、豪雨過後防疫工作、心因性休克、預防猝死、預防代謝症候群、新型冠狀病毒、流行性腦脊隨膜炎、流感疫苗接種具體作法、登革熱防治、憂鬱與自殺診治、肺結核簡介、運動傷害之預防及治療。","國防部","每6個月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","莊小姐","02-23811593",""
"國軍鳥擊防制資料","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3393&p=57248","rawData","國軍現行鳥擊防制均依「要塞堡壘地帶法」及民航局等相關規定辦理，有關機場鳥擊防制權責，除空軍松山機場、陸軍恆春機場(因直升機特性於所屬營區停機坪起降，未使用民航局跑道)2處與民航局各自負責所屬營區外，餘均為國軍業管。","一、針對鳥擊事件發生之軍種、機場、年度、次數之統計數據。  二、國軍現行驅鳥裝備種類。  三、國軍各機場主要威脅鳥種。  ","國防部","每1年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-23311508",""
"各縣市國軍英雄館基本資料表","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3395&p=57258","rawData","提供民眾各縣市國軍英雄館地址、電話，以利民眾旅遊住宿使用。","提供民眾各縣市國軍英雄館地址、電話，以利民眾旅遊住宿使用。","國防部","每1年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","李先生","02-23117084",""
"國軍文藝活動中心","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3395&p=57263","rawData","本資料集主要提供國軍文藝活動中心所在地址、聯絡方式、場地利用等資訊，並公布5月份藝術廳展覽檔期表，以利民眾運用。","1.國軍文藝活動中心所在地址、聯絡方式、場地利用、地理位置等資訊。  2.國軍文藝活動中心─戲劇廳場地租用收費標準。  3.國軍文藝活動中心─藝術廳場地租用收費標準。  4.藝術廳5月份展覽檔期表。  ","國防部","每1年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","李先生","02-23117084",""
"國軍協助災害防救","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3393&p=57289","rawData","本資料係將國軍協助災害防救之政策摘要及說明，以及蒐錄98年1月至102年2月止臺灣地區所發生之災害類別、天數及國軍投入救災資源(含兵力、車輛、飛機、舟艇等)之數據統計資料，提供民眾參考運用。","1.國軍協助災害防救之政策摘要及說明。  2.98年1月至102年2月止臺灣地區所發生之災害類別、天數及國軍投入救災資源(含兵力、車輛、飛機、舟艇等)之數據統計資料，提供民眾參考運用。          ","國防部","每1年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","莊先生","02-23311380",""
"國軍加強河川野溪疏濬","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3393&p=57482","rawData","依據行政院救災協調指示：國軍可依石門水庫疏濬模式，配合經濟部規劃，以「寓訓練於建設」方式，全力協助國內河川、水庫清淤作業。","一、政策摘要  二、統計數據","國防部","每1年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","莊先生","02-23311380",""
"外島排雷成效資料","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3393&p=57627","rawData","82年外島地區戰地政務解除後，考量金、馬地區早期佈設雷區影響地方發展及居民安全，近年陸軍在國防部指導下，逐次檢討已無戰術價值之雷區，採自力及委商方式實施排除。","一、政策摘要  二、統計數據","國防部","每1年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","莊先生","02-23311380",""
"國軍醫院基本資料","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3393&p=57580","rawData","提供國防部軍醫局所屬國軍醫院名稱、地址、電話。","名稱、地址、總機、掛號電話","國防部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","莊小姐","02-23811593",""
"102年國軍鄉民收容(安置)營區資料","csv","http://www.mnd.gov.tw/Publish.aspx?cnid=3393&p=57743","rawData","本資料內容包含「臨時收容(安置)營區」、「可收容人數」及災害業務聯絡窗口等相關訊息。","1.	規劃說明  2.	收容營區數及可收容人數統計表  3.	地方政府災害業務聯絡窗口  ","國防部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","洪先生","02-23614829",""
"全國賦稅預算數-按稅目別分","csv","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9000&kind=21&type=3&funid=i2451&cycle=4&outmode=2&compmode=00&outkind=11&fldspc=0,34,&dweb=1&utf=1","rawData","全國各稅捐稽徵機關直接徵起或委託代徵各項賦稅收入之預算數。","稅目別(包括各項稅課收入等)、統計期(包括年度別)。","財政部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅預算數-按稅目別分","webquery","http://web02.mof.gov.tw/njswww/jspproxy.aspx?sys=210&kind=21&type=1&funid=i2451","rawData","全國各稅捐稽徵機關直接徵起或委託代徵各項賦稅收入之預算數。","稅目別(包括各項稅課收入等)、統計期(包括年度別)。","財政部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按稅目別與機關別分","webquery","http://web02.mof.gov.tw/njswww/jspproxy.aspx?sys=210&kind=21&type=1&funid=i0423","rawData","全國各稅捐稽徵機關直接徵起或委託代徵之賦稅收入實徵淨額，內容包含各項稅課收入、金融保險業營業稅、健康福利捐、特種貨物及勞務稅等，並依照各稅捐機關進行小計，再按日曆年進行年度合計。","稅目別(包括各項稅課收入等)、機關別(包括稅捐稽徵機關)、統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按稅目別與機關別分","csv","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9000&kind=21&type=5&funid=i0423&cycle=41&outmode=2&compmode=00&outkind=2&fldspc=0,43,&codspc0=0,31,&=0,99&utf=1","rawData","全國各稅捐稽徵機關直接徵起或委託代徵之賦稅收入實徵淨額，內容包含各項稅課收入、金融保險業營業稅、健康福利捐、特種貨物及勞務稅等，並依照各稅捐機關進行小計，再按日曆年進行年度合計。","稅目別(包括各項稅課收入等)、機關別(包括稅捐稽徵機關)、統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按稅目別與地區別分","csv","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9000&kind=21&type=5&funid=i0424&cycle=41&outmode=2&compmode=00&outkind=2&fldspc=0,30,&codspc0=0,31,&utf=1","rawData","全國各稅捐稽徵機關直接徵起或委託代徵之賦稅收入實徵淨額，內容包含各項稅課收入、金融保險業營業稅、健康福利捐、特種貨物及勞務稅等，並依照各地區進行小計，再按日曆年進行年度合計。","稅目別(包括各項稅課收入等)、地區別(包括各縣市)、統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按稅目別與地區別分","webquery","http://web02.mof.gov.tw/njswww/jspproxy.aspx?sys=210&kind=21&type=1&funid=i0424","rawData","全國各稅捐稽徵機關直接徵起或委託代徵之賦稅收入實徵淨額，內容包含各項稅課收入、金融保險業營業稅、健康福利捐、特種貨物及勞務稅等，並依照各地區進行小計，再按日曆年進行年度合計。","稅目別(包括各項稅課收入等)、地區別(包括各縣市)、統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按直接稅與間接稅分","webquery","http://web02.mof.gov.tw/njswww/jspproxy.aspx?sys=210&kind=21&type=1&funid=i2425","rawData","按各項稅目之轉嫁性分直接稅與間接稅，並依照日曆年進行年度合計。","直、間接稅與統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按直接稅與間接稅分","csv","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=9100&kind=21&type=5&funid=i2425&cycle=41&outmode=2&compmode=00&outkind=11&fldlst=111&utf=1","rawData","按各項稅目之轉嫁性分直接稅與間接稅，並依照日曆年進行年度合計。","直、間接稅與統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"賦稅負擔率(不含社會安全捐)-按國家別分","csv","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=5400&kind=21&type=5&funid=i2801&cycle=4&outmode=2&compmode=00&outkind=11&fldspc=0,21,&utf=1","rawData","提供主要國家賦稅負擔率（即不含社會安全捐之賦稅收入占國內生產毛額之比重）。","國家別與統計期(年度別)。","財政部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"賦稅負擔率(不含社會安全捐)-按國家別分","webquery","http://web02.mof.gov.tw/njswww/jspproxy.aspx?sys=210&kind=21&type=1&funid=i2801","rawData","提供主要國家賦稅負擔率（即不含社會安全捐之賦稅收入占國內生產毛額之比重）。","國家別與統計期(年度別)。","財政部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按稅目別分","webquery","http://web02.mof.gov.tw/njswww/jspproxy.aspx?sys=210&kind=21&type=1&funid=i0421","rawData","全國各稅捐稽徵機關直接徵起或委託代徵之賦稅收入實徵淨額，內容包含各項稅課收入、金融保險業營業稅、健康福利捐、特種貨物及勞務稅等，並按日曆年進行年度合計。","稅目別(包括各項稅課收入等)、統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"全國賦稅收入實徵淨額日曆年別-按稅目別分","csv","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=6300&kind=21&type=5&funid=i0421&cycle=41&outmode=2&compmode=00&outkind=11&fldspc=0,35,&utf=1","rawData","全國各稅捐稽徵機關直接徵起或委託代徵之賦稅收入實徵淨額，內容包含各項稅課收入、金融保險業營業稅、健康福利捐、特種貨物及勞務稅等，並按日曆年進行年度合計。","稅目別(包括各項稅課收入等)、統計期(包括各月別及年度別)。","財政部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","楊先生","02-2322-7449",""
"公益彩券銷售及盈餘分配情形","xml","http://www.nta.gov.tw/_admin/_upload/Announce/3913/file/不含運彩之盈餘銷售經銷商人數簡表.xml","rawData","公益彩券(不含運動彩券)盈餘分配及銷售量簡表","盈餘分配數、銷售金額","財政部國庫署","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","周先生","02-23228000#8727",""
"中央政府近三年度財政收支結構分析表","csv","http://www.nta.gov.tw/_admin/_upload/Announce/841/file/中央政府近三年度財政收支結構分析表.csv","rawData","中央政府近三年度財政收支結構分析表","「收入」、「支出」","財政部國庫署","每年(適時更新)","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","張小姐","02-23228413",""
"中央普通統籌分配稅款分配情形表","csv","http://www.nta.gov.tw/_admin/_upload/Announce/827/file/中央統籌分配稅款分配情形表.csv","rawData","中央普通統籌分配稅款分配情形表","「實撥金額」、「通知分配金額」","財政部國庫署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","黃小姐","02-23228407",""
"公益彩券營業報告書簡表","csv","http://www.nta.gov.tw/_admin/_upload/Announce/3914/file/近一個月公益彩券營業報告書簡表.csv","rawData","公益彩券營業報告書簡表","「本月售出公益彩券券面總金額」、「本月銷管費用」、「本月提列之獎金支出」、「本月認列之逾期未領獎金收入」、「本月可分配盈餘」、「分配予內政部供國民年金之用」、「分配予健保局供全民健康保險準備之用」、「分配予地方政府供社會福利支出之用」","財政部國庫署","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","周先生","02-23228073",""
"中央政府債務未償餘額占國內生產毛額百分比","csv","http://www.nta.gov.tw/_admin/_upload/Announce/754/file/未償額占GDP.csv","rawData","中央政府一年以上債務未償餘額占國內生產毛額百分比","「債務未償餘額」、「國內生產毛額」","財政部國庫署","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","鄧先生","02-23228000#7487",""
"各級政府歲入歲出淨額、餘絀及融資","csv","http://web02.mof.gov.tw/njswww/JspProxy.aspx?sys=220&ym=6300&kind=21&type=1&funid=i0101&cycle=4&outmode=2&compmode=00&outkind=11&fldspc=0,10,&utf=1","rawData","彙整中央、地方等各級政府決算或會計報告之歲入及歲出總額，並扣除政府間移轉收支等重複列計部分，即為各級政府歲入與歲出淨額；歲入與歲出之差額稱餘絀，正數為賸餘，負數為短絀。","統計項目(歲入淨額、歲出淨額、餘絀、融資收支等)、統計期(各年度別)","統計處","每年7月31日更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-23227555",""
"國有非公用土地提供綠美化資訊公開","csv","http://www.fnp.gov.tw/Web/Data/main/01-10211.csv","rawData","為增進國有非公用土地管理效益，美化環境景觀，暨節省管理人力及經費","提供民眾可申辦綠美化之國有非公用土地位置、縣市、鄉鎮市區、地段、地號、面積(平方公尺)","財政部國有財產署","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年接管土地及房屋數量統計","csv","http://www.fnp.gov.tw/Web/Data/main/02-101-1.csv","rawData","國產署歷年辦理接管業務之統計資料","年度、接管國有土地面積、接管國有房屋棟數、接管國有房屋面積、接管抵稅土地筆數、接管抵稅土地面積、接管無人承認繼承土地筆數、接管無人承認繼承土地面積","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年辦理勘查分割土地數量統計","csv","http://www.fnp.gov.tw/Web/Data/main/03-101-1.csv","rawData","國產署歷年辦理勘查及分割之統計資料","年度、勘查筆數、分割筆數、合計","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年自行申辦未登記土地測量登記數量統計","csv","http://www.fnp.gov.tw/Web/Data/main/04-101-1.csv","rawData","國產署歷年自行申辦未登記土地測量登記業務之統計資料","年度、筆數、面積","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
