試驗藥品非監視新藥成分,報告書准,報告書不准,報告書小計
"Cefoperazone inj 1g","3","0","3"
"Cefotaxime inj 500mg","2","0","2"
"Cefoxitin inj 1g","2","0","2"
"Cephalexin cap 250mg","8","0","8"
"Cephalexin cap 500mg","10","0","10"
"Cephalothin ing 1g","1","0","1"
"Cephapirin inj 1g","1","0","1"
"Cephradine inj 1g","4","0","4"
"Cephradine Arg inj 1g","4","0","4"
"Cephradine cap 250mg","2","0","2"
"Cephradine cap 500mg","6","0","6"
"Chlorpromazine tab 100mg","1","0","1"
"Cimetidine tab 200mg","1","0","1"
"Cimetidine tab 400mg","4","0","4"
"Clindamycin cap 150mg","5","0","5"
"Clindamycin cap 300mg","2","0","2"
"Clindamycin inj 150mg/ml","4","0","4"
"Clonazepam tab 0.5mg","1","0","1"
"Clonazepam tab 2mg","1","0","1"
"Colchicine tab 0.5mg","3","0","3"
"Danazol cap 200mg","1","0","1"
"Dextromethorphan SR tab 60mg","3","0","3"
"Diazepam tab 2mg","1","0","1"
"Diazepam tab 5mg","0","2","2"
"Diclofenac Na EC tab 25mg","2","0","2"
"Diclofenac Na EC tab 50mg","2","1","3"
"Diclofenac Na EM cap 50mg","3","0","3"
"Diclofenac Na SR cap 100mg","1","0","1"
"Diclofenac Na SR tab 75mg","2","0","2"
"Diclofenac Na SR tab 100mg","4","1","5"
"Digoxin Elixir 0.05mg/ml","1","0","1"
"Digoxin tab 0.25mg","0","1","1"
"Diltiazem tab 5mg","0","1","1"
"Diltiazem tab 30mg","7","0","7"
"Diltiazem tab 60mg","2","1","3"
"Diltiazem SR cap 120mg","1","0","1"
"Diltiazem SR cap 180mg","1","0","1"
"Diphenidol tab 25mg","5","0","5"
"Dipyridamole tab 25mg","7","2","9"
"Dipyridamole tab 50mg","1","0","1"
"Dipyridamole tab 75mg","1","0","1"
"Domperidone tab 10mg","4","0","4"
"Estazolam tab 2mg","2","0","2"
"Estradiol Patch 0.05mg","1","1","2"
"Fenoterol HBr tab 2.5mg","1","1","2"
"Flavoxate tab 200mg","1","0","1"
"Fludiazepam tab 0.25mg","3","0","3"
"Flunarizine cap 5mg","1","0","1"
"Flunarizine cap 10mg","1","0","1"
"Flunarizine tab 5mg","1","1","2"
"Flunitrazepam tab 1mg","1","0","1"
"Flunitrazepam tab 2mg","1","0","1"
"Flupentixol tab 3mg","1","0","1"
"Flupentixol/Melitracen 0.5mg/10mg","2","0","2"
"Flurbiprofen tab 50mg","1","0","1"
"Flurbiprofen tab 100mg","1","0","1"
"Furosemide inj 10mg/ml","2","0","2"
"Furosemide tab 40mg","6","0","6"
"Gentamycin inj 40mg/ml","8","0","8"
"Gliclazide tab 80mg","7","2","9"
"Gliclazide MR tab 30mg","11","0","11"
"Gliclazide MR tab 60mg","2","1","3"
"Glipizide tab 5mg","3","0","3"
"Glipizide ER tab 5mg","1","0","1"
"Glipizide SR tab 10mg","1","0","1"
"Glyburide tab 5mg","12","1","13"
"Guaifenesin ER tab 600mg","1","0","1"
"Haloperidol Decanoate inj 50mg/ml","1","0","1"
"Haloperidol tab 5mg","2","0","2"
"Haloperidol tab 10mg","1","1","2"
"Hydroxychlorquine tab 200mg","2","0","2"
"Ibuprofen lysinate tab 500mg","1","0","1"
"Ibuprofen supp. 50mg","0","1","1"
"Ibuprofen susp. 20mg/ml","1","0","1"
"Ibuprofen tab 400mg","2","0","2"
"Imipramine tab 25mg","1","0","1"
"Indapamide tab 1.25mg","1","0","1"
"Indapamide tab 2.5mg","3","0","3"
"Indapamide SR tab 1.5mg","8","0","8"
"Isoniazid tab 100mg","2","0","2"
"Isoniazid/Rifampicin/Pyrazinamide/Ethambutol F.C. Tab 37.5mg/75mg/200mg/137.5mg","1","0","1"
"Isorsorbide mononitrate tab 20mg","2","0","2"
"Isorsorbide mononitrate SR tab 40mg","1","0","1"
"Isorsorbide mononitrate SR tab 60mg","4","0","4"
"Isorsorbide dinitrate tab 10mg","1","0","1"
"Ketoprofen cap 50mg","1","0","1"
"Ketoprofen SR cap 200mg","1","0","1"
"Labetalol tab 200mg","1","0","1"
"Levonorgestrel tab 0.75mg","1","0","1"
"Levonorgestrel tab 1.5mg","1","0","1"
"Lidocaine patch 700mg/patch","1","0","1"
"Lorazepam tab 0.5mg","1","0","1"
"Lorazepam tab 1mg","1","0","1"
"Lysine acetylsalicylate inj 900mg","1","1","2"
"Mebeverine SR cap 200mg","1","0","1"
"Meclofenamic cap 100mg","2","0","2"
"Megestrol Susp. 40mg/ml","0","2","2"
"Megestrol Susp. 125mg/ml","0","1","1"
"Mephenoxalone tab 200mg","6","1","7"
"Mequitazine tab 5mg","2","0","2"
"Metformin tab 500mg","10","0","10"
"Metformin tab 850mg","2","0","2"
"Metformin tab 1000mg","1","0","1"
"Metformin ER tab 500mg","4","0","4"
"Metformin ER tab 750mg","1","0","1"
"Metformin SR tab 500mg","1","0","1"
"Metformin SR tab 750mg","1","0","1"
"Metformin XR tab 500mg","1","0","1"
"Metformin XR tab 750mg","1","0","1"
"Methylphenidate ER tab 36mg","2","0","2"
"Methylprednisolone inj 40mg","1","0","1"
"Methylprednisolone Inj 500mg","1","0","1"
"Methylprednisolone tab 4mg","4","0","4"
"Methylprednisolone tab 8mg","1","0","1"
"Metolazone tab 0.5mg","2","0","2"
"Mexiletine cap 100mg","1","0","1"
"Minocycline cap 50mg","1","1","2"
"Minocycline cap 100mg","3","0","3"
"Morphine sulfate continous tab 30mg","1","0","1"
"Naproxen suspension 25mg/ml","1","1","2"
"Naproxen tab 250mg","1","0","1"
"Naproxen tab 275mg","1","0","1"
"Naproxen tab 500mg","1","0","1"
"Naproxen EC tab 500mg","1","1","2"
"Naproxen SR tab 750mg","4","0","4"
"Nefopam tab 30mg","1","0","1"
"Niacin SR tab 500mg","1","0","1"
"Niacin ER tab 500mg","1","1","2"
"Nicotinic Acid SR tab 500mg","1","0","1"
"Nifedipine cap 5mg","2","0","2"
"Nifedipine cap 10mg","17","4","21"
"Nifedipine SR cap 20mg","1","1","2"
"Nifedipine tab 10mg","0","1","1"
"Nifedipine Retard tab 20mg","1","0","1"
"Nifedipine ER tab 30mg","1","0","1"
"Nifedipine PR tab 30mg","1","0","1"
"Nifedipine SR tab 30mg","1","0","1"
"Nimetazepam tab 5mg","1","0","1"
"Orphenadrine ER tab 100mg","1","0","1"
"Oxybutynin ER tab 5mg","3","1","4"
"Oxybutynin CR tab 5mg","0","1","1"
"Pentoxifylline tab 100mg","1","0","1"
"Pentoxifylline SR tab 100mg","1","0","1"
"Pentoxifylline SR tab 400mg","9","0","9"
"Penroxifylline retard tab 400mg","1","0","1"
"Phenylpropanolamine SR cap 75mg","3","0","3"
"Pipoxolan tab 10mg","1","0","1"
"Piracetam oral soln 200mg/ml","1","0","1"
"Piracetam granules for oral soln 2400mg","1","0","1"
"Piracetam cap 400mg","3","0","3"
"Piracetam tab 1200mg","5","0","5"
"Pirenoxine eye drop susp 0.05mg/ml","0","1","1"
"Piroxicam cap 10mg","3","1","4"
"Piroxicam cap 20mg","1","0","1"
"Piroxicam tab 20mg","2","0","2"
"Prednisolone oral soln 1.344mg/ml","1","0","1"
"Prednisolone oral soln 10mg/ml","1","0","1"
"Propafenone tab 150mg","1","0","1"
"Propranolol tab 10mg","0","1","1"
"Propranolol tab 40mg","1","0","1"
"Pseudoephedrine SR tab 120mg","1","0","1"
"Pyrazinamide tab 500mg","1","1","2"
"Rifampin cap 300mg","8","1","9"
"Rifampin cap 450mg","2","0","2"
"Rifampin/Isoniazid cap 300/150mg","1","0","1"
"Roxatidine cap 75mg","1","0","1"
"Salbutamol CR tab 4mg","1","0","1"
"Salmon calcitonin, syn inj 50 IU/ml","1","0","1"
"Salmon calcitonin nasal spray 550 IU/ml","0","1","1"
"Scopolamine patch 1.5mg/cm2","0","1","1"
"Selegiline tab 5mg","1","1","2"
"Sulfasalazine tab 500mg","1","1","2"
"Sulfinpyrazone tab 100mg","1","0","1"
"Sulindac tab 200mg","5","0","5"
"Sulpiride tab 50mg","4","0","4"
"Sulpiride tab 200mg","6","0","6"
"Sulpiride tab 400mg","1","0","1"
"Tamoxifen tab 10mg","1","0","1"
"Terbutaline tab 2.5mg","1","0","1"
"Theophylline SR cap 250mg","1","0","1"
"Theophylline SR tab 200mg","1","0","1"
"Theophylline SR tab 250mg","1","0","1"
"Theophylline SR tab 400mg","0","1","1"
"Tiaprofenic acid tab 200mg","2","0","2"
"Ticlopidine tab 100mg","2","0","2"
"Ticlopidine tab 250mg","1","1","2"
"Tolperisone tab 150mg","1","0","1"
"Tranexamic acid cap 250mg","1","0","1"
"Valproate Sodium tab 500mg","1","0","1"
"Valproate sodium/Valproic acid SR tab 333/145mg","3","0","3"
"Verapamil SR cap 120mg","1","0","1"
"Verapamil SR tab 240mg","1","0","1"
"Warfarin sodium tab 5mg","1","0","1"
"總 計","544","67","611"
