認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,認證項目,公告資訊名稱,公告資訊連結,認證證書連結
"013","仲禹工程顧問股份有限公司(環境暨超微量分析實驗室)","40850台中市南屯區工業24路32號4樓","(04) 2350-1158","http://www.worthies.com.tw/service_dioxin.htm","103.11.21","戴奧辛(乳品類、肉類、魚貝類、蛋類、油脂類)、多氯聯苯(乳品類、肉類、魚貝類、蛋類、油脂類)","衛生福利部103年11月21日部授食字第1031105858號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32919&chk=5f21ebf2-e226-4b7d-bfed-654be021ff3d","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32949&chk=8617546d-8eec-49ca-9cba-10e5fd96f871"
"014","騰德姆斯技術顧問股份有限公司(高雄實驗室)","806高雄市前鎮區南七路3號3樓","(07)831-7000 轉111","http://www.aimex.tw/index02.asp#","106.11.17","防腐劑、硼酸及其鹽類、過氧化氫、甜味劑、硝基夫喃代謝物、金黃色葡萄球菌、包裝飲用水中綠膿桿菌、糞便性鏈球菌、大腸桿菌群、孔雀綠及其代謝物、生菌數、大腸桿菌、大腸桿菌群、沙門氏桿菌、黴菌及酵母菌、水分、粗灰分、粗蛋白、順丁烯二酸、仙人掌桿菌、咖啡因、丙酸、二氧化硫(食品)、乳酸菌、二甲基黃及二乙基黃、膳食纖維、殘留農藥(二)、殘留農藥(五)、動物用藥-多重殘留分析(二)、水產動物類中重金屬(鉛、鎘)、甲基汞(二)","衛生福利部106年11月17日衛授食字第1061106807號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=69373","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=24181"
"015","上準環境科技股份有限公司(食品衛生實驗室)","40768台中市西屯區工業區三十六路41號","(04) 2358-2525","http://www.sundream.com.tw","106.11.13","硝基呋喃代謝物、孔雀綠及其代謝物、三聚氰胺、油脂中重金屬(砷、鉛、銅、汞)、包裝飲用水中重金屬(砷、鉛、鎘、銅、鋅、汞)、水產動物類重金屬(鉛、鎘)、過氧化氫(食品)、過氧化氫(免洗筷)、硼酸及其鹽類、順丁烯二酸、動物用藥-多重殘留分析(二)、鄰苯二甲酸酯類、食米重金屬(鉛、鎘、汞)、食用菇類重金屬(鉛、鎘) 、四環黴素類、氯黴素類、殘留農藥(二)、(五)、黃麴毒素","衛生福利部106年11月13日衛授食字第1061106947號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=69201","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=5922"
"016","台灣檢驗科技股份有限公司(食品實驗室-高雄)","81170高雄市楠梓加工出口區開發路61號","(07) 301-2121","http://www.tw.sgs.com/zh_tw/home_tw_v2?","106.11.13","生菌數、大腸桿菌群、糞便性鏈球菌、綠膿桿菌、腸炎弧菌、仙人掌桿菌、大腸桿菌、黴菌及酵母菌、乳品中李斯特菌、沙門氏桿菌、水分、粗灰分、粗脂肪、粗蛋白、酸價、總極性物質、膳食纖維、糖類(葡萄糖、果糖、蔗糖、麥芽糖、乳糖)、硝基呋喃代謝物、孔雀綠及其代謝物、防腐劑、丙酸、動物性成分-定性篩選、動物性成分-豬、羊、雞、牛、食品中植物性成分-蔥、洋蔥、韭菜、蒜、蕎、乙型受體素類、動物用藥-多重殘留分析(二)、防腐劑、著色劑、礦物質(鈣、銅、鐵、鎂、錳、磷、鉀、鈉、鋅)、水產動物類重金屬(鉛、鎘)、食用油脂重金屬(砷、鉛、銅、汞)、硼酸及其鹽類、酸度(蜂蜜)、水不溶物含量(蜂蜜)、澱粉酶活性(蜂蜜)、羥甲基糠醛(蜂蜜)、維生素A、C、咖啡因、塑化劑、甜味劑、乳酸菌、維生素D、順丁烯二酸、組織胺、揮發性鹽基態氮、膽固醇、動物性成分-金絲燕、鹿、單核球增多性李斯特菌、病原性大腸桿菌、阪崎腸桿菌、氯黴素類、四環黴素類、包裝飲用水大腸桿菌群、食品中脂肪酸、過氧化價、維生素E、二甲基黃及二乙基黃、b-內醯胺類抗生素、雙氰胺、金黃色葡萄球菌、飲料類重金屬(砷、鉛、銅、銻、錫)、罐頭類重金屬(鉛、錫)、食米重金屬(鉛、鎘、汞)、蔬果類重金屬(鉛、鎘)、食品添加物規格檢驗-鉛檢查法、食品添加物規格檢驗-重金屬檢查法、食品添加物規格檢驗-砷檢查法、甜味劑、水分(蜂蜜)、糖類(蜂蜜)、聚果糖、志賀氏桿菌、產氣莢膜桿菌、基因改造食品(40-3-2(RRS)、A2704-12、A5547-127、DP-305423-1、DP-356043-5、MON87705、MON87708、MON89788、MON87769、MON87701)、大腸桿菌O157：H7、魚油EPA、DHA、糖類(果糖、乳糖、半乳糖、蔗糖、葡萄糖、麥芽糖)、防腐劑、甜味劑、碘價、皂化價、著色劑(二)","衛生福利部106年11月13日衛授食字第1061106951號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=69321","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=5726"
"018","昭信標準檢驗股份有限公司(食品、藥物化粧品檢測實驗室)","24355新北市泰山區明志路3段517號6樓","(02) 2906-4369","http://www.theosin.com.tw/theosin/index2.php","104.09.11","魚油中EPA、DHA、Monacolin K、丙酸、防腐劑","衛生福利部104年09月11日部授食字第1041105931號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=40483&chk=3a9c251b-ad6c-4110-b351-c3969502a44f","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18678&chk=0d343e13-559a-4067-b053-c77e0447ea99"
"020","愛之味股份有限公司(健康科學研究所檢驗分析中心)","62152嘉義縣民雄鄉頭橋工業二路11號","(05) 221-1521","http://agvcn.cn.alibaba.com/","105.04.21","水分、粗蛋白、粗灰分、礦物質(鋅、銅、鐵、鈉、鈣)、粗脂肪、過氧化氫、膳食纖維、防腐劑、生菌數、大腸桿菌群、大腸桿菌、順丁烯二酸、食用菇類重金屬(鉛、鎘)、赭麴毒素A、葡聚糖、聚果糖、黃麴毒素","衛生福利部105年04月21日部授食字第1051102225號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=53934&chk=6bab39ee-22c8-47c4-a60a-403796b74c36","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=22540&chk=9820cd23-66d0-49a2-94e0-c03190e70cf7"
"021","國立成功大學-永續環境實驗所(藥物毒物分析實驗室)","709台南市安南區安明路三段500號","(06) 384-0136","http://serc.ncku.edu.tw/index.php?lang=cht","105.01.12","殘留農藥(二)、(五)","衛生福利部105年01月12日部授食字第1041100050號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=49744&chk=6908efb6-338d-40e2-9779-be4f31149f2e","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=21133&chk=bbbfbf6d-1f25-4694-b275-e49024fc61c4"
"023","統一企業股份有限公司(永康品管課)","71001台南市永康區中正路301號","(06) 253-6789","http://www.uni-president.com.tw/","106.11.01","生菌數、大腸桿菌、大腸桿菌群、金黃色葡萄球菌、仙人掌桿菌","衛生福利部106年11月01日衛授食字第1061106706號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=68498","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=22289"
"024","財團法人中華穀類食品工業技術研究所(化驗組實驗室)","24937新北市八里區中山路三段223號","(02) 2610-1010","http://www.cgprdi.org.tw/","106.04.14","硼酸及其鹽類、木醣醇、防腐劑、濕麵筋、丙酸、順丁烯二酸、水分、粗灰分、黃麴毒素、赭麴毒素A、著色劑","衛生福利部106年04月14日衛授食字第1061102190號","http://www.fda.gov.tw:8080/TC/includes/GetFile.ashx?mID=133&id=64346&chk=b187a691-7015-4736-9d7c-1d61d83102d7","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=5728"
"025","正修科技大學超微量研究科技中心(環境檢驗實驗室)","833高雄市鳥松區澄清路840號","(07) 731-0606","http://www2.csu.edu.tw/csitshow/micro/index-1.htm","105.09.14","戴奧辛及多氯聯苯(肉類、乳品類、蛋類、魚貝類、油脂類、蔬果植物類)","衛生福利部105年09月14日部授食字第1051105150號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=57327&chk=61e48216-1284-4559-b414-a1d8c0c1ff1b","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5923&chk=1f7a81a9-3827-44d6-9448-99c80a9e2514"
"026","弘光科技大學(食品與化妝品品質檢驗與分析中心)","433台中市沙鹿區中棲路34號","(04) 2631-8652","http://web.hk.edu.tw/~tacfc/index.files/options_basic_7.html","105.11.07","食品中植物性成分之定性(洋蔥、韭、蕎、蔥、蒜)、硼酸及其鹽類、諾羅病毒、沙波病毒、A型肝炎病毒、二氧化硫、星狀病毒、冬蟲夏草、蟲蛹草、過氧化氫、沙門氏桿菌","衛生福利部105年11月07日部授食字第1051106154號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=59136&chk=2bbf6d89-b324-4b31-bd3e-c1471aac9b2c","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5924&chk=ebd62c95-94d0-4394-9f71-fb8c82c79992"
"027","華友科技顧問股份有限公司(藥物食品化粧品檢驗實驗室)","24255新北市新莊區中正路610號2F","(02) 2906-0887","http://www.hwayo.com.tw/","106.05.23","西藥成分定性(食品)","衛生福利部106年05月23日衛授食字第1061103111號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=65283","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=1796"
"029","台灣檢驗科技股份有限公司(化學實驗室-台北)","24886新北市新北產業園區五權路33號","(02) 2299-3279","http://www.tw.sgs.com/zh_tw/home_tw_v2","106.03.06","礦物質(鈉)、材質試驗(鉛、鎘)、溶出試驗(鉛、鎘)、雙酚A、溶出試驗(高錳酸鉀消耗量)、溶出試驗(甲基丙烯酸甲酯單體)、溶出試驗(甲醛)、溶出試驗(蒸發殘渣)、溶出試驗(氯乙烯單體)、溶出試驗(氯仿可溶物)、溶出試驗(酚)、溶出試驗(以Pb計)、溶出試驗(砷)、溶出試驗(鋅)、砷之檢驗(以As計)、溶出試驗(銻、鍺)、材質試驗(鋇)、材質鑑別、材質試驗(螢光增白劑-遷移性螢光物質試驗)、耐熱性試驗、溶出試驗(三聚氰胺)、溶出試驗(總乳酸)、溶出試驗(著色劑)、材質試驗(氯乙烯單體)、材質試驗(二丁錫化物)、材質試驗(甲酚磷酸酯)、材質試驗(苯乙烯、甲苯、乙苯、正丙苯、異丙苯)、材質試驗(偏二氯乙烯單體)、溶出試驗(氯甲代環氧丙烷單體)、溶出試驗(氯乙烯單體)、溶出試驗(BBP、DEHA、DINP、DIDP)、免洗筷聯苯、溶出試驗(酚)-哺乳器具除外橡膠類、哺乳器具橡膠類、溶出試驗(鋅)-哺乳器具橡膠類、溶出試驗(鉛)-玻璃、陶瓷器、施琺瑯、材質試驗(2-巯基咪唑啉)-哺乳器具除外橡膠類、材質試驗(鉛、鎘)-哺乳器具除外橡膠類、聚甲基丙烯酸甲酯、聚醯胺(尼龍)、聚乙烯、聚丙烯、聚甲基戊烯、溶出試驗(甲基丙烯酸甲酯單體)-聚甲基丙烯酸甲酯、溶出試驗(己內醯胺單體)-聚醯胺(尼龍)、塑膠類嬰兒奶瓶雙酚A、塑膠類食品容器-可塑劑、免洗筷過氧化氫、免洗筷二氧化硫、材質試驗(鉛、鎘)-聚對苯二甲酸乙二酯、材質試驗(鉛、鎘)-聚乳酸、材質試驗(鉛、鎘)-聚苯砜樹酯塑膠類嬰兒奶瓶、材質試驗(鉛、鎘)-聚碳酸酯、材質試驗(鉛、鎘)-聚醚砜樹酯塑膠類嬰兒奶瓶、溶出試驗(甲醛)-未以塑膠淋膜紙類製品、溶出試驗(銻、鍺)-聚對苯二甲酸乙二酯)","衛生福利部106年03月06日衛授食字第1061101310號","http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mID=133&id=63297","http://www.fda.gov.tw:8080/tc/includes/GetFile.ashx?mID=133&id=5729"
