許可證字號,中文品名,英文品名,申請商
"衛署藥製049500","“培力”安醣錠 15 毫克","Piotas Tablets 15 mg“P.L.”","培力藥品工業股份有限公司"
"衛署藥製049549","“正和”糖立敏 錠 30 毫克","Diazone Tablets 30mg“C.H.”","正和製藥股份有限公司新營廠"
"衛署藥製049560","“信東”寶利糖錠 30 毫克","Politone Tablets 30mg (Pioglitazone)","信東生技股份有限公司"
"衛署藥製049581","“十全”劈糖錠 30 毫克","Piosugar Tablets 30 mg","十全實業股份有限公司"
"衛署藥製049930","泌特穩錠 30 毫克","Glitis Tablets 30mg","中化裕民健康事業股份有限公司"
"衛署藥製050043","比非醣錠 15 毫克","Befree Tablets 15 mg","瑞士藥廠股份有限公司"
"衛署藥製050130","安索糖錠 15 毫克","Anxotos Tablets 15 mg","瑩碩生技醫藥股份有限公司"
"衛署藥製052589","“榮民”艾寧糖錠 30 毫克","Piogo Tablets 30mg","榮民製藥股份有限公司"
"衛署藥製055275","“優生”優糖宜錠 30 毫克","Glufit Tablets 30 mg“Yu Sheng”","優生製藥廠股份有限公司"
"衛署藥製056692","降糖皮爾錠15毫克","U-CHU Piozon Tablets 15mg","五洲製藥股份有限公司"
"衛署藥製057769","泌特士錠15毫克","Glitos Tablets 15mg","中國化學製藥股份有限公司新豐工廠"
"衛署藥製057799","＂永信＂糖泌康膜衣錠15/850毫克","Diabecon F.C. Tablets 15/850mg ＂Yung Shin＂","永信藥品工業股份有限公司"
"衛署藥製057872","艾醣錠＂艾威群＂30毫克","Pioglitazone ＂Alvogen＂ Tablets 30mg","台灣艾威群有限公司"
"衛署藥製057897","艾醣錠＂艾威群＂15毫克","Pioglitazone ＂Alvogen＂ Tablets 15mg","台灣艾威群有限公司"
"衛署藥輸023206","愛妥糖錠３０公絲","ACTOS TABLETS 30MG","臺灣武田藥品工業股份有限公司"
"衛署藥輸023207","愛妥糖錠１５公絲","ACTOS TABLETS 15MG","臺灣武田藥品工業股份有限公司"
"衛署藥輸024839","愛妥蜜 15/850 毫克膜衣錠","ACTOSMET 15/850mg Film Coated Tablets","台灣武田藥品工業股份有限公司"
"衛署藥輸024839","愛妥蜜 15/850 毫克膜衣錠","ACTOSMET 15/850mg Film Coated Tablets","台灣武田藥品工業股份有限公司"
"衛署菌疫輸000713","恩博凍晶注射劑","ENBREL (ETANERCEPT) 25MG","美商惠氏藥廠（亞洲）股份有限公司台灣分公司"
"衛署菌疫輸000824","恩博凍晶注射劑50公絲","Enbrel 50mg powder and solvent for solution for injection","美商惠氏藥廠（亞洲）股份有限公司台灣分公司"
"衛署菌疫輸000846","恩博針筒裝注射劑 50 毫克","Enbrel 50mg solution for injection in pre-filled syringe","美商惠氏藥廠（亞洲）股份有限公司台灣分公司"
"衛署菌疫輸000851","恩博針筒裝注射劑 25毫克","Enbrel 25mg solution for injection in pre-filled syringe","美商惠氏藥廠（亞洲）股份有限公司台灣分公司"
"衛署菌疫輸000775","＂艾伯維＂ 復邁注射劑","HUMIRA 40MG SOLUTION FOR INJECTION, VIAL","瑞士商艾伯維藥品有限公司台灣分公司"
"衛署菌疫輸000776","＂亞培＂ 復邁針筒裝注射劑","HUMIRA 40MG SOLUTION FOR INJECTION, PRE-FILLED SYRINGE","美商亞培股份有限公司台灣分公司"
