試驗藥品監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
"Acyclovir tab 400mg","回春堂","衛署藥製 039628","","","Y","841128","Zovirax tab 400mg","Wellcome","UK"
"Acyclovir tab 400mg","景德","衛署藥製 042280","","","Y","870519","Deviro tab 800mg","景德","Taiwan"
"Acyclovir tab 800mg","永信","衛署藥製 039368","","Y","","840911","Zovirax tab 800mg","Wellcome","UK"
"Acyclovir tab 800mg","回春堂","衛署藥製 039036","","Y","","840613","Zovirax tab 800mg","Wellcome","UK"
"Acyclovir tab 800mg","景德","衛署藥製 039854","","Y","","850213","Zovirax tab 800mg","Wellcome","US"
"Alendronate tab 10mg","科化","衛署藥製 055937","","","Y","991008","Covaxin tab 70mg","華興","Taiwan"
"Alendronate tab 70mg","杏輝","衛署藥製 057366","","Y","","1010511","Fosamax Plus tab 70mg","MSD Frosst Iberica","Spain"
"Alendronate tab 70mg","科化","衛署藥製 049787","","Y","","970826","Fosamax tab 70mg","M.S.D.","Mexico"
"Alfuzosin tab 10mg","十全","衛署藥製 050006","","Y","","971219","Xatral XL tab 10mg","Sanofi Winthrop","France"
"Alfuzosin tab 10mg","生達","衛署藥製 047903","","Y","","971223","Xatral XL tab 10mg","Sanofi Winthrop","France"
"Alfuzosin XL tab 10mg","萬菱","衛署藥製 047771","","Y","","950106","Xatral XL tab 1200mg","Synthelabo","France"
"Alminoprofene tab 300mg","吉富","衛署藥輸 023536","","Y","","940613","Minalfene tab 300mg","Bouchara","France"
"Alprazolam SR tab 0.5mg","寶齡富錦","衛署藥製 049291","","","Y","960906","Alpragin SR tab 1mg","寶齡富錦","Taiwan"
"Alprazolam SR tab 1mg","寶齡富錦","衛署藥製 048556","","Y","","960119","Xanax XR tab 1mg","Sanico","Belgium"
"Alprazolam tab 0.25mg","健亞","衛署藥製 042948","","","Y","880330","Gendergin tab 0.5mg","健亞","Taiwan"
"Alprazolam tab 0.5mg","中國化學","衛署藥製 042537","","Y","","870801","Xanax tab 0.5mg","Upjohn","Taiwan"
"Alprazolam tab 0.5mg","五洲","衛署藥製 045070","","Y","","910207","Xanax tab 0.5mg","Upjohn","Belgium"
"Alprazolam tab 0.5mg","永信","衛署藥製 044546","","Y","","900615","Xanax tab 0.5mg","Upjohn","Belgium"
"Alprazolam tab 0.5mg","信東","衛署藥製 044685","","Y","","901012","Xanax tab 0.5mg","Upjohn","Belgium"
"Alprazolam tab 0.5mg","健亞","衛署藥製 042514","","Y","","870706","Xanax tab 0.5mg","Upjohn","Belgium"
"Alprazolam tab 0.5mg","景德","衛署藥製 042686","","Y","","950106","Xanax tab 0.5mg","Pharmacia&Upjohn","Belgium"
"Alprazolam tab 0.5mg","景德","衛署藥製 042686","","","Y","870921","Kinax tab 1mg","景德","Taiwan"
"Alprazolam tab 0.5mg","寶齡富錦","衛署藥製 052554","","","Y","990305","Alpragin tab 2mg","寶齡富錦","Taiwan"
"Alprazolam tab 1mg","健亞","衛署藥製 044011","","Y","","890523","Xanax tab 1mg","Upjohn","Belgium"
"Alprazolam tab 1mg","景德","衛署藥製 041465","","Y","","860602","Xanax tab 0.5mg","Upjohn","Taiwan"
"Alprazolam tab 1mg","寶齡富錦","衛署藥製 049854","","","Y","971205","Alpragin tab 2mg","寶齡富錦","Taiwan"
"Ambroxol oral soln 3mg/ml","生達","衛署藥製 041236","","Y","","900208","Mucosolvan liquid solution 3mg/ml","Boehringer Ingelheim","Taiwan"
"Ambroxol oral soln 3mg/ml","榮民","衛署藥製 052116","","Y","","980117","Mucosolvan Liquid 3mg/ml","百靈佳委託健喬信元","Taiwan"
"Ambroxol tab 30mg","中國化學","衛署藥製 036151","","Y","","871211","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","井田","衛署藥製 031912","","Y","","880319","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","世達","衛署藥製 033203","","Y","","920307","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","永信","衛署藥製 031662","","Y","","881215","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","生達","衛署藥製 031896","","Y","","870122","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","杏輝","衛署藥製 033415","","Y","","910410","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","皇佳","衛署藥製 035060","","Y","","920305","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","國嘉","衛署藥製 032880","","Y","","920331","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","強生","衛署藥製 033939","","Y","","920306","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","瑞士","衛署藥製 033049","","Y","","920424","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","壽元","衛署藥製 037875","","Y","","930910","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","福元","衛署藥製 035981","","Y","","930505","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","臺裕","衛署藥製 040302","","Y","","920218","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","衛達","衛署藥製 031999","","Y","","911107","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","優生","衛署藥製 032524","","Y","","930211","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","應元","衛署藥製 034862","","Y","","890522","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol tab 30mg","羅得","衛署藥製 033204","","Y","","901231","Mucosolvan tab 30mg","Boehringer Ingelheim","Taiwan"
"Ambroxol SR cap 75mg","信東","衛署藥製 057188","","Y","","1000826","Mucosolvan C.R. cap 75mg","Boehringer Ingelheim","Germany"
"Ambroxol SR cap 75mg","井田","衛署藥製 052533","","Y","","990206","Loxol S.R. tab 75mg","健亞","Taiwan"
"Ambroxol SR tab 75mg","正和","衛署藥製 050227","","Y","","971225","Loxol SR tab 75mg","健亞","Taiwan"
"Ambroxol SR tab 75mg","永信","衛署藥製 050342","","Y","","970807","Loxol SR tab 75mg","健亞","Taiwan"
"Amezinium Metilsulfate tab 10mg","鴻傑","衛署藥製 057228","","Y","","1001031","Risumic tab 10mg","大日本住友製藥株式會社","Japan"
"Amisulpride tab 50mg","新瑞","衛署藥製 052347","","","Y","981030","Ribelite tab 200mg","瑞士","Taiwan"
"Amisulpride tab 200mg","十全","衛署藥製 051192","","Y","","980414","Solian tab 200mg","Sanofi Winthrop","France"
"Amisulpride tab 200mg","中國化學","衛署藥製 055051","","Y","","990628","Solian tab 200mg","Sanofi-Winthrop","France"
"Amisulpride tab 200mg","信東","衛署藥製 055556","","Y","","990824","Solian tab 200mg","Sanofi Winthrop","France"
"Amisulpride tab 200mg","景德","衛署藥製 055974","","Y","","991014","Solian tab 200mg","Sanofi Winthrop","France"
"Amisulpride tab 200mg","瑞士","衛署藥製 048867","","Y","","960615","Solian tab 200mg","Sanofi-Winthrop","France"
"Amisulpride tab 200mg","鼎泰","衛署藥製 049097","","Y","","960906","Solian tab 200mg","Sanofi Winthrop","France"
"Amisulpride tab 200mg","瑩碩","衛署藥製 049657","","","Y","970905","Cospirit tab 400mg","健亞","Taiwan"
"Amisulpride tab 400mg","瑩碩","衛署藥製 049374","","Y","","961228","Solian tab 200mg","Sanofi-Winthrop","France"
"Amlodipine tab 10mg","台灣諾華","衛署藥輸 025198","","Y","","980925","Norvasc tab 10mg","Pfizer","Australia"
"Amlodipine tab 10mg","南光","衛署藥製 044687","","Y","","900718","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 10mg","華興","衛署藥製 047632","","Y","","940816","Norvasc tab 10mg","Pfizer","Taiwan"
"Amlodipine tab 10mg","羅得","衛署藥製 052520","","Y","","990205","Norvasc 10mg","Pfizer","Italy"
"Amlodipine tab 10mg","井田","衛署藥製 056716","","","Y","1000308","Yawaho tab 5mg","井田","Taiwan"
"Amlodipine tab 10mg","寶齡富錦","衛署藥製 049966","","","Y","980106","Amlodine tab 5mg","寶齡富錦","Taiwan"
"Amlodipine tab 10mg","永信","衛署藥製 044925","","","Y","910304","Ampin tab 5mg","永信","US"
"Amlodipine tab 5mg","井田","衛署藥製 045187","","Y","","910927","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","世達","衛署藥製 048859","","Y","","960615","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","台灣新林","衛署藥製 048465","","Y","","951207","Norvasc tab 10mg","Pfizer","Australia"
"Amlodipine tab 5mg","永信","衛署藥製 044475","","Y","","900514","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","生達","衛署藥製 044607","","Y","","900803","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","吉富","衛署藥輸 024898","","Y","","970617","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","信元","衛署藥製 042704","","Y","","871102","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","信東","衛署藥製 044371","","Y","","900208","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","恆生","衛署藥製 048600","","Y","","960122","Norvasc tab 10mg","Pfizer","Australia"
"Amlodipine tab 5mg","海喬","衛署藥輸 025202","","Y","","990312","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","景德","衛署藥製 048313","","Y","","950718","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","瑞士","衛署藥製 048994","","Y","","960820","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","豪宏","衛署藥製 045670","","Y","","920707","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","衛達","衛署藥製 047093","","Y","","940304","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","寶齡富錦","衛署藥製 045085","","Y","","910802","Norvasc tab 5mg","Pfizer","Taiwan"
"Amlodipine tab 5mg","平廷","衛署藥製 042704","","","Y","1030505","Nobar tab 5mg","健喬信元","Taiwan"
"Amlodipine tab 5mg","南光","衛署藥製 045448","","","Y","910606","Amilo tab 10mg","南光","Australia"
"Amlodipine tab 5mg","華興","衛署藥製 048833","","","Y","960313","Amcopine tab 10mg","華興","Taiwan"
"Amlodipine tab 5mg","羅得","衛署藥製 055552","","","Y","991110","DU.Q tab 10mg ＂ROOT＂","羅得","Taiwan"
"Amlodipine tab 5mg","中國化學","衛署藥製 042857","","Y","","880202","Norvasc tab 5mg","Pfizer","Taiwan"
"Amlodipine tab 5mg","壽元","衛署藥製 042840","","Y","","880212","Norvasc tab 5mg","Pfizer","Taiwan"
"Amlodipine tab 5mg","瑪科隆","衛署藥製 042917","","Y","","880329","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","國嘉","衛部藥製 059056","","Y","","1001028","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine tab 5mg","得際","衛部藥製 059415","","Y","","1030402","Norvasc tab 5mg","Pfizer","Australia"
"Amlodipine/ Benazepril cap 5mg/10mg","萬菱","衛署藥製 056647","","Y","","1000413","Lotrel cap 5mg/10mg","Novartis","US"
"Amlodipine/ Benazepril tab 5mg/10mg","晟德","衛署藥製 057325","","Y","","1001031","Amtrel tab 5/10mg","東洋","Taiwan"
"Amlodipine/ Benazepril tab 5mg/10mg","中國化學","衛部藥製 059395","","Y","","1051111","Lotrel tab 5/10mg","Novartis","US"
"Amlodipine/ Valsartan tab 5mg/80mg","元豐泰","衛部藥製 058112","","Y","","1021014","Exforge tab 5mg/80mg","Novartis","Spain"
"Amlodipine/ Valsartan tab 5mg/80mg","中國化學","衛部藥製 059409","","Y","","1051219","Exforge tab 5mg/80mg","Novartis Farmaceutica S.A.","Spain"
"Amlodipine/ Valsartan tab 10mg/160mg","瑩碩","衛部藥製 058370","","","Y","1030715","Am-Daiwen tab 5mg/80mg","歐帕","Taiwan"
"Amlodipine/ Valsartan tab 10mg/160mg","中國化學","衛部藥製 059643","","","Y","1060104","Amlodipine besylate/Valsartan tab 5/80mg","中國化學","Taiwan"
"Amoxicillin/ Clavulanic acid syrup 25mg/ml/ 6.25mg/ml","中國化學","衛署藥製 045379","","Y","","920206","Augmentin (125mg+31.25mg/5ml)","Beecham","UK"
"Amoxicillin/ Clavulanic acid syrup 25mg/ml/ 6.25mg/ml","永信","衛署藥製 044123","","Y","","910225","Augmentin (125mg+31.25mg/5ml)","Beecham","UK"
"Amoxicillin/ Clavulanic acid tab 250mg/125mg","永信","衛署藥製 044713","","Y","","901022","Augmentin tab 375mg","Beecham","UK"
"Amoxicillin/ Clavulanic acid tab 250mg/125mg","中國化學","衛署藥製 043952","","","Y","890713","Anbicyn tab 625mg","中國化學","Taiwan"
"Amoxicillin/ Clavulanic acid tab 500mg/125mg","中國化學","衛署藥製 042660","","Y","","870622","Augmentin 625mg tab","Smithkline Beecham","US"
"Amoxicillin/ Clavulanic acid tab 500mg/125mg","永信","衛署藥製 045276","","Y","","911114","Augmentin 625mg tab","Smithkline Beecham","US"
"Amoxicillin/ Clavulanic acid tab 875mg/125mg","台灣諾華","衛署藥輸 024808","","Y","","970226","Augmentin tab","Smithkline Beecham","UK"
"Ampicillin/ Sulbactam inj 1g/0.5g","中國化學","衛署藥製 042756","","Y","","880105","Unasyn inj 1.5gm","Pfizer","Italy"
"Ampicillin/ Sulbactam inj 1g/0.5g","永信","衛署藥製 046544","","Y","","930917","Unasyn inj 1.5gm","Pfizer","Italy"
"Anastrozole tab 1mg","臺灣東洋","衛署藥製 047539","","Y","","940905","Arimidex tab 1mg","AstraZeneca","US"
"Anastrozole tab 1mg","吉富","衛署藥輸 025288","","Y","","991014","Arimidex tab 1mg","AstraZeneca","US"
"Anastrozole tab 1mg","杏輝","衛署藥製 056730","","Y","","1000125","Arimidex tab 1mg","AstraZeneca","US"
"Anastrozole tab 1mg","美時","衛署藥製 048909","","Y","","960111","Arimidex tab 1mg","AstraZeneca","US"
"Anastrozole tab 1mg","培力","衛署藥製 055555","","Y","","991119","Arimidex tab 1mg","AstraZeneca","US"
"Aripiprazole oral dispersible tab 10mg","中國化學","衛部藥製 058180","","","Y","1020701","Arizole OD tab 15mg","中國化學","Taiwan"
"Aripiprazole oral dispersible tab 15mg","中國化學","衛署藥製 057962","","Y","","1020514","Abilify Discmelt ODT 15mg","Bristl-Myers Squibb","US"
"Aripiprazole oral solution 1 mg/ml","晟德","衛署藥製 057998","","Y","","1011219","Abilify Oral Solution 1mg/mL","Bristol-Myers Squibb","US"
"Aripiprazole tab 5mg","瑞士","衛部藥製 058997","","","Y","1041217","Aripizole tab 10mg","瑞士新市廠","Taiwan"
"Aripiprazole tab 10mg","中國化學","衛署藥製 055904","","Y","","991220","Otsuka Abilify tab 10mg","Otsuka","Japan"
"Aripiprazole tab 10mg","生達","衛署藥製 057131","","Y","","1001209","Otsuka Abilify tab 10mg","Otsuka","Japan"
"Aripiprazole tab 10mg","吉富","衛署藥輸 025218","","Y","","990125","Otsuka Abilify tab 10mg","Otsuka","Japan"
"Aripiprazole tab 10mg","景德","衛署藥製 057341","","Y","","1010817","Otsuka Abilify tab 10mg","Otsuka","Japan"
"Aripiprazole tab 10mg","瑞士","衛署藥製 056718","","Y","","1000815","Otsuka Abilify tab 10mg","Otsuka","Japan"
"Aripiprazole tab 10mg","瑩碩","衛署藥製 055227","","Y","","990429","Otsuka Abilify tab 10mg","Otsuka","Japan"
"Aripiprazole tab 10mg","鴻汶","衛部藥製 058055","","Y","","1010921","Otsuka Abilify tab 10mg","Otsuka","Japan"
"Aripiprazole tab 10mg","健亞","衛署藥製 057320","","","Y","1010416","Aripiprazole tab 15mg","健亞","Taiwan"
"Aripiprazole tab 15mg","健亞","衛署藥製 057364","","Y","","1001123","Abilify tab 15mg","Otsuka, 2nd tokushima","Japan"
"Aripiprazole tab 15mg","中國化學","衛署藥製 057733","","","Y","1011024","Arizole tab 10mg","中國化學","Taiwan"
"Aripiprazole tab 15mg","生達","衛署藥製 057142","","","Y","1010305","Arify tab 10mg","生達","Taiwan"
"Aripiprazole tab 15mg","瑩碩","衛署藥製 055544","","","Y","991102","Ariple tab 10mg","聯亞新竹廠","Taiwan"
"Aripiprazole tab 15mg","瑞士","衛部藥製 058585","","","Y","1030522","Aripizole tab 10mg","瑞士","Taiwan"
"Aripiprazole tab 15mg","五洲","衛部藥製 058036","","","Y","1020516","Abimay tab 20mg","五洲","Taiwan"
"Aripiprazole tab 20mg","五洲","衛署藥製 056708","","Y","","990929","Abilify tab 20mg","Otsuka","Japan"
"Aripiprazole tab 20mg","美迪亞","衛署藥製 057382","","Y","","1010210","Abilify tab 20mg","Otsuka","Japan"
"Aripiprazole tab 20mg","瑩碩","衛署藥製 056726","","","Y","1000719","Ariple tab 10mg","聯亞生技","Taiwan"
"Atomoxetine cap 18mg","瑩碩","衛署藥製 057377","","","Y","1010823","Mixre cap 25mg","聯亞","Taiwan"
"Atomoxetine cap 25mg","瑩碩","衛署藥製 056738","","Y","","1000401","Strattera Hard cap 25mg","Lilly del Caribe","Puerto Rico"
"Atomoxetine cap 40mg","瑩碩","衛署藥製 057401","","","Y","1010817","Mixre cap 25mg","聯亞","Taiwan"
"Atomoxetine tab 40mg","仕康","衛部藥製 058138","","Y","","1020318","Strattera cap 40mg","Lilly Del Caribe Inc.","Puerto Rico"
"Atomoxetine tab 40mg","勝群","衛部藥製 058283","","Y","","1020719","Strattera cap 41mg","Lilly Del Caribe Inc.","Puerto Rico"
"Atorvastatin tab 10mg","中國化學","衛署藥製 051598","","Y","","980716","Lipitor tab 10mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 10mg","台灣諾華","衛署藥輸 025200","","Y","","981125","Lipitor tab 10mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 10mg","健亞","衛署藥製 049543","","Y","","970123","Lipitor tab 10mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 10mg","瑞士","衛署藥製 056791","","Y","","1000826","Lipitor tab 10mg","Pfizer","Ireland"
"Atorvastatin tab 10mg","瑩碩","衛署藥製 048879","","Y","","960620","Lipitor tab 10mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 10mg","優生","衛署藥製 057930","","Y","","1000811","Lipitor tab 10mg","Godecke GmbH","Germany"
"Atorvastatin tab 10mg","十全","衛署藥製 055895","","","Y","991216","Atorcal tab 40mg ＂S.C.＂","十全","Taiwan"
"Atorvastatin tab 10mg","大豐","衛署藥製 056319","","","Y","1000513","Lipiminus tab 40mg","大豐","Taiwan"
"Atorvastatin tab 10mg","生達","衛署藥製 055272","","","Y","990727","Atorva tab 40mg","生達","Taiwan"
"Atorvastatin tab 10mg","健喬信元","衛署藥製 057267","","","Y","1001209","Lipitin tab 40mg","健喬信元","Taiwan"
"Atorvastatin tab 10mg","培力","衛署藥製 057774","","","Y","1020318","Atover tab 40mg","培力","Taiwan"
"Atorvastatin tab 20mg","瑞士","衛部藥製 058401","","","Y","1030617","Lipikon tab 10mg","瑞士","Taiwan"
"Atorvastatin tab 20mg","鴻傑","衛署藥製 056739","","Y","","1000422","Lipitor tab 20mg","Pfizer","Ireland"
"Atorvastatin tab 20mg","十全","衛署藥製 055583","","","Y","991210","Atorcal tab 40mg ＂S.C.＂","十全","Taiwan"
"Atorvastatin tab 20mg","大豐","衛署藥製 055956","","","Y","990924","Lipiminus tab 40mg","大豐","Taiwan"
"Atorvastatin tab 20mg","中國化學","衛署藥製 055952","","","Y","990310","Atoty tab 10mg","中國化學","Taiwan"
"Atorvastatin tab 20mg","台灣諾華","衛署藥輸 025337","","","Y","991217","Tulip tab 40mg","Lek","Slovenia"
"Atorvastatin tab 20mg","生達","衛署藥製 057805","","","Y","1011127","Atorva tab 40mg ＂Standard＂","生達","Taiwan"
"Atorvastatin tab 20mg","健亞","衛署藥製 052530","","","Y","981030","Atorin tab 10mg","健亞","Taiwan"
"Atorvastatin tab 20mg","瑩碩","衛署藥製 049226","","","Y","961227","Anxolipo tab 10mg","瑩碩-聯亞","Taiwan"
"Atorvastatin tab 20mg","健喬信元","衛部藥製 058211","","","Y","1020701","Atotin tab 40mg","健喬信元","Taiwan"
"Atorvastatin tab 20mg","中化裕民","衛部藥製 058517","","","Y","1031009","Atoroty tab 40mg","中國化學","Taiwan"
"Atorvastatin tab 20mg","培力","衛署藥製 057950","","","Y","1020408","Atover tab 40mg","培力","Taiwan"
"Atorvastatin tab 40mg","大豐","衛署藥製 052301","","Y","","980410","Lipitor tab 40mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 40mg","台灣諾華","衛署藥輸 025201","","Y","","981123","Lipitor tab 40mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 40mg","生達","衛署藥製 055268","","Y","","990304","Lipitor tab 40mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 40mg","健喬信元","衛署藥製 057133","","Y","","1000308","Lipitor tab 40mg","Pfizer","Ireland"
"Atorvastatin tab 40mg","培力","衛署藥製 054967","","Y","","990419","Lipitor tab 40mg","Parke-Davis/Godecke","Germany"
"Atorvastatin tab 40mg","信東","衛部藥製 058366","","Y","","1011221","Lipitor tab 40mg","Pfizer","Ireland"
"Atorvastatin tab 40mg","健亞","衛署藥製 051732","","","Y","981102","Atorin tab 10mg","健亞","Taiwan"
"Atorvastatin tab 40mg","瑩碩","衛署藥製 049288","","","Y","970125","Anxolipo tab 10mg","聯亞","Taiwan"
"Atorvastatin tab 40mg","中國化學","衛部藥製 058041","","Y","","1020719","Lipitor tab 40mg","Pfizer Ireland Pharmaceuticals","Ireland"
"Atorvastatin tab 40mg","瑞士","衛部藥製 058579","","","Y","1030917","Lipikon tab 10mg","瑞士","Taiwan"
"Azelastine Nasal Spray 0.1% W/V","壽元","衛署藥製 047879","","Y","","941028","Azep Nasal Spray 0.1% W/V","Viatris","Germany"
"Azelastine Nasal Spray 1mg/ml","健喬信元","衛署藥製 048635","","Y","","960307","Allergodil akut Nasenspray 1mg/ml","Viatris","Germany"
"Azithromycin powder for susp 47.78mg/g","瑩碩","衛署藥製 055554","","Y","","991014","Zithromax Powder for Susp 47.78mg/g","Pfizer","Italy"
"Azithromycin tab 250mg","永信","衛署藥製 057378","","Y","","1010817","Zithromax tab 250mg","Pfizer","Australia"
"Azithromycin tab 250mg","吉富","衛署藥輸 025093","","Y","","980709","Zithromax tab 250mg","Pfizer","Australia"
"Azithromycin tab 250mg","南光","衛署藥製 057842","","Y","","1020206","Zithromax tab 250mg","Pfizer","Australia"
"Azithromycin tab 250mg","中國化學","衛部藥製 058949","","Y","","1041002","Zithromax tab 250mg","Pfizer Australia Pty Limited","Australia"
"Azithromycin tab 250mg","瑞士","衛部藥製 059403","","Y","","1051020","Zithromax tab 250mg","Pfizer Australia Pty Limited","Australia"
"Bambuterol tab 10mg","十全","衛署藥製 045620","","Y","","920617","Bambec tab 10mg","AB Astra","Sweden"
"Bambuterol tab 10mg","信東","衛署藥製 045041","","Y","","910605","Bambec tab 10mg","AB Astra","Sweden"
"Bambuterol tab 10mg","科進","衛署藥製 046204","","Y","","930318","Bambec tab 10mg","AB Astra","Sweden"
"Bambuterol tab 10mg","健喬信元","衛署藥製 045178","","Y","","910919","Bambec tab 10mg","AB Astra","Sweden"
"Benidipine tab 8mg","健喬信元","衛署藥製 057368","","","Y","1010710","Coniel tab 4mg","健喬信元","Taiwan"
"Benzonatate cap 100mg","美時","衛署藥製 042435","","Y","","870713","Tessalon soft cap 100mg","Forest Pharma.","US"
"Benzonatate cap 100mg","美喬","衛部藥製 058202","","Y","","1021030","Tessalon Perles Soft Cap 100mg","Catalent","US"
"Benzonatate soft cap 200mg","美時","衛署藥製 057991","","Y","","1010116","Tessalon soft cap 200 mg","Catalent Pharma Solutions","US"
"Betaxolol tab 20mg","信東","衛署藥製 044619","","Y","","900824","Kerlone tab 20mg","Synthelabo Groupe","France"
"Betaxolol tab 20mg","健喬信元","衛署藥製 045354","","Y","","910916","Kerlone tab 20mg","Synthelabo Groupe","France"
"Betaxolol tab 20mg","雙正","衛署藥輸 022553","","Y","","880719","Kerlone tab 20mg","Synthelabo Groupe","France"
"Bicalutamide tab 50mg","躍欣","衛署藥輸 025087","","Y","","980717","Casodex tab 50mg","Astrazeneca","Germany"
"Bisoprolol fumarate tab 1.25mg","信東","衛署藥製 055984","","Y","","990924","Concor tab 1.25mg","Merck","Germany"
"Bisoprolol fumarate tab 1.25mg","健喬信元","衛署藥製 049504","","Y","","970606","Concor tab 1.25mg","Merck","Germany"
"Bisoprolol fumarate tab 1.25mg","萬菱","衛署藥製 049851","","Y","","970512","Concor tab 1.25mg","Merck","Germany"
"Bisoprolol fumarate tab 2.5mg","信東","衛部藥製 058077","","","Y","1011116","Bisol tab 5mg","信東","Taiwan"
"Bisoprolol fumarate tab 2.5mg","萬菱","衛署藥製 049915","","","Y","980106","Cidincor tab 1.25mg","健亞","Taiwan"
"Bisoprolol fumarate tab 5mg","井田","衛署藥製 049544","","Y","","970429","Concor tab 5mg","Merck","Germany"
"Bisoprolol fumarate tab 5mg","生達","衛署藥製 049650","","Y","","970819","Concor tab 5mg","Merck","Germany"
"Bisoprolol fumarate tab 5mg","信東","衛署藥製 047538","","Y","","940810","Concor tab 5mg","Merck","Germany"
