許可證字號,核准日期,英文品名,藥品有效成分,藥商名稱,期滿日期,類別
"衛署藥製字第043950號","04 09 2000 12:00:00","Tanatril tablets 5mg","Imidapril Hydrochloride 5mg","台灣田邊製藥股份有限公司","04 09 2007 12:00:00","新成分"
"衛署藥製字第043951號","04 09 2000 12:00:00","Tanatril tablets 10mg","Imidapril Hydrochloride 10mg","台灣田邊製藥股份有限公司","04 09 2007 12:00:00","新成分"
"衛署藥製字第044074號","31 10 2000 12:00:00","Combivent Metered Aerosol","Ipratropium Bromide Anhydrous 0.0042gm + Salbutamole Sulphate 0.024gm","台灣百靈佳殷格翰股份有限公司","31 10 2007 12:00:00","新複方"
"衛署藥輸字第023125號","19 02 2001 12:00:00","Mizollen Film-coated Tablets 10mg","Mizolestine 10mg","台灣藤澤藥品工業股份有限公司","19 02 2008 12:00:00","新成分"
"衛署藥輸字第023127號","20 02 2001 12:00:00","Blopress Tablets 4mg","Candesartan Cilexetil 4mg","台灣武田藥品工業股份有限公司","20 02 2008 12:00:00","新成分"
"衛署藥輸字第023128號","20 02 2001 12:00:00","Blopress Tablets 8mg","Candesartan Cilexetil 8mg","台灣武田藥品工業股份有限公司","20 02 2008 12:00:00","新成分"
"衛署藥輸字第023140號","19 03 2001 12:00:00","Serzone Tablets 250mg","Nefazodone Hydrochloride 250mg","台灣必治妥施貴寶股份有限公司","19 03 2008 12:00:00","新成分"
"衛署藥輸字第023143號","19 03 2001 12:00:00","Serzone Tablets 100mg","Nefazodone Hydrochloride 100mg","台灣必治妥施貴寶股份有限公司","19 03 2008 12:00:00","新成分"
"衛署藥輸字第023154號","26 03 2001 12:00:00","Ebastel Tablets 5mg","Ebastine 5mg","台灣大日本製藥股份有限公司","26 03 2008 12:00:00","新成分"
"衛署藥輸字第023161號","09 04 2001 12:00:00","Micardis Tablets 80mg","Telmisartan 80mg","台灣百靈佳殷格翰股份有限公司","09 04 2008 12:00:00","新成分"
"衛署藥輸字第023162號","09 04 2001 12:00:00","Micardis Tablets 40mg","Telmisartan 40mg","台灣百靈佳殷格翰股份有限公司","09 04 2008 12:00:00","新成分"
"衛署藥輸字第023179號","08 05 2001 12:00:00","Detantol R F.C tablets 3mg","Bunazosin Hydrochloride 3mg","衛采製藥股份有限公司","08 05 2008 12:00:00","新成分"
"衛署藥輸字第023206號","18 06 2001 12:00:00","ACTOS Tablets 30 mg","Pioglitazone(Hydrochloride)","台灣武田藥品工業股份有限公司","18 06 2008 12:00:00","新成分"
"衛署藥輸字第023207號","18 06 2001 12:00:00","ACTOS Tablets 15 mg","Pioglitazone(Hydrochloride)","台灣武田藥品工業股份有限公司","18 06 2008 12:00:00","新成分"
"衛署藥輸字第023204號","18 06 2001 12:00:00","Rebetron combination therapy pak (intron a 6miu/ml plus rebetol 200mg/cap)","Interferon Alpha- 2b And Ribavirin 200mg/Cap","先靈葆雅企業股份有限公司","18 06 2008 12:00:00","新複方新療效"
"衛署藥輸字第023202號","18 06 2001 12:00:00","Seretide 100 Accuhaler Inhalation Powder","Salmeterol Xinafoate 72.5mcg + Fluticasone Propionate 100mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","18 06 2008 12:00:00","新投予途徑"
"衛署藥輸字第023203號","18 06 2001 12:00:00","Seretide 250 Accuhaler Inhalation Powder","Salmeterol Xinafoate 72.5mcg + Fluticasone Propionate 250mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","18 06 2008 12:00:00","新投予途徑"
"衛署藥製字第044508號","03 07 2001 12:00:00","Oxalip Injection","Oxaliplatin 5mg","台灣東洋藥品工業股份有限公司","15 01 2008 12:00:00","新適應症"
"衛署藥輸字第023223號","05 07 2001 12:00:00","Avelox Film-coated Tablet 400mg","Moxifloxacin Hydrochloride 436.8mg/Tab (Corresponding To 400mg Moxifloxacin)","台灣拜耳股份有限公司","05 07 2008 12:00:00","新成分"
"衛署藥輸字第023235號","23 07 2001 12:00:00","Hypoca capsule 10mg","Barnidipine Hydrochloride 3.33mg /Barnidipine Hydrochloride 6.67mg","台灣山之內製藥股份有限公司","23 07 2008 12:00:00","新成分"
"衛署藥輸字第023237號","23 07 2001 12:00:00","Hypoca capsule 15mg","Barnidipine Hydrochloride 5mg /Barnidipine Hydrochloride 10mg","台灣山之內製藥股份有限公司","23 07 2008 12:00:00","新成分"
"衛署藥輸字第023251號","01 08 2001 12:00:00","Hypoca capsule 5mg","Barnidipine Hydrochloride 1.67mg /Barnidipine Hydrochloride 3.33mg","台灣山之內製藥股份有限公司","23 07 2008 12:00:00","新成分"
"衛署藥輸字第023248號","11 08 2001 12:00:00","Comtan Film-Coated Tablet 200mg","Entacapone 200mg","台灣諾華股份有限公司　　　　　　　　　　　　　　　　","11 08 2008 12:00:00","新成分"
"衛署藥輸字第023262號","20 08 2001 12:00:00","Symbicort Turbuhaler 80/4.5μg/dose","Budesonide 80μg/Dose Formoterol Fumarate Dihydrate 4.5μg/Dose","台灣阿斯特捷利康股份有限公司","20 08 2008 12:00:00","新成分"
"衛署藥輸字第023265號","20 08 2001 12:00:00","Symbicort Turbuhaler 160/4.5μg/dose","Budesonide 160μg/Dose Formoterol Fumarate Dihydrate 4.5μg/Dose","台灣阿斯特捷利康股份有限公司","20 08 2008 12:00:00","新成分"
"衛署藥輸字第023269號","28 08 2001 12:00:00","Synarel Nasal Solution","Nafarelin Acetate","法瑪西亞股份有限公司","28 08 2008 12:00:00","新成分"
"衛署藥輸字第023273號","06 09 2001 12:00:00","FLIXONASE NASAL DROPS 400MCG","Fluticasone Propionate","荷商葛蘭素史克藥廠股份有限公司台灣分公司","06 09 2008 12:00:00","新投予途逕"
"衛署藥輸字第023279號","13 09 2001 12:00:00","Mirapex Tablets 0.125mg","Pramipexol Hydrochloride 0.088mg","台灣百靈佳殷格翰股份有限公司","13 09 2008 12:00:00","新成分"
"衛署藥輸字第023280號","13 09 2001 12:00:00","Mirapex Tablets 0.25mg","Pramipexol Hydrochloride 0.18mg","台灣百靈佳殷格翰股份有限公司","13 09 2008 12:00:00","新成分"
"衛署藥輸字第023281號","13 09 2001 12:00:00","Mirapex Tablets 1.5mg","Pramipexol Hydrochloride 0.15mg","台灣百靈佳殷格翰股份有限公司","13 09 2008 12:00:00","新成分"
"衛署藥輸字第023282號","13 09 2001 12:00:00","Mirapex Tablets 1mg","Pramipexol Hydrochloride 0.7mg","台灣百靈佳殷格翰股份有限公司","13 09 2008 12:00:00","新成分"
"衛署藥輸字第023276號","13 09 2001 12:00:00","Remeron Tablet 15 mg","Mirtazapine 15mg","歐嘉隆股份有限公司　","13 09 2008 12:00:00","新成分"
"衛署藥輸字第023277號","13 09 2001 12:00:00","Remeron Tablet 45 mg","Mirtazapine 45mg","歐嘉隆股份有限公司　","13 09 2008 12:00:00","新成分"
"衛署藥輸字第023278號","13 09 2001 12:00:00","Remeron Tablet 30 mg","Mirtazapine 30mg","歐嘉隆股份有限公司　","13 09 2008 12:00:00","新成分"
"衛署藥輸字第023293號","08 10 2001 12:00:00","Zanidip F.C. Tablet 10mg","Lercanidipine Hydrochloride 10mg","友華生技醫藥股份有限公司","08 10 2008 12:00:00","新成分"
"衛署菌疫輸字第000691號","08 10 2001 12:00:00","Dysport Injection 500unit","Botulinum Toxin Type A","海喬國際股份有限公司","08 10 2008 12:00:00","新成分"
"衛署藥製字第044650號","15 10 2001 12:00:00","Robatrol capsules 200mg","Ribavirin 200mg","羅氏大藥廠股份有限公司","15 10 2006 12:00:00","新成分"
"衛署菌疫輸字第000696號","30 10 2001 12:00:00","Infergen Injection","Interferon Alfacon-1 30mcg","台灣山之內製藥股份有限公司","30 10 2008 12:00:00","新成分"
"衛署藥輸字第023306號","05 11 2001 12:00:00","Pantoloc i.v.","Pantoprazole Sodium Sesquihydrate","禾利行股份有限公司","05 11 2008 12:00:00","新投予途逕"
"衛署藥輸字第023335號","19 12 2001 12:00:00","Mesulid Tablets 100 mg","Nimesulide","禾利行股份有限公司","19 12 2007 12:00:00","新成分"
"衛署藥輸字第023349號","31 12 2001 12:00:00","Smecta","Dioctahedral Smectite 3g","海喬國際股份有限公司 ","31 12 2008 12:00:00","新成分"
"衛署菌疫輸字第000702號","21 01 2002 12:00:00","Infanrix-IPV+Hib","Each 0.5ml Contains Prp 30~50ug; Diphtheria Toxoid (Dt) Not Less Than 30 Iu; Tetanus Toxoid (Tt) Not Less Than 40 Iu; Pertussis Toxoid 25ug; Filamentous Haemagglutinin (Fha)--25ug; Inactivated Polio Virus - Type 1--40du; Inactivated Polio Virus - Type 2--8du; Inactivated Polio Virus - Type 3--32du","荷商葛蘭素史克藥廠股份有限公司台灣分公司","21 01 2009 12:00:00","新成分"
"衛署藥輸字第023376號","04 02 2002 12:00:00","Tilade CFC-free Inhaler","Nedocromil Sodium","台灣藤澤藥品工業股份有限公司　","04 02 2009 12:00:00","新成分"
"衛署藥輸字第023401號","25 03 2002 12:00:00","Tomudx 2mg lyophilised Powder for IV infusion","Raltitrexed 2mg","台灣阿斯特捷利康股份有限公司","25 03 2009 12:00:00","新成分"
"衛署菌疫輸字第000713號","30 04 2002 12:00:00","Enbrel 25mg","Etanercept 25mg","美商惠氏藥廠（亞洲）股份有限公司台灣分公司","30 04 2009 12:00:00","新成分"
"衛署藥輸字第023428號","06 05 2002 12:00:00","Wellbutrin Sustained-Release Tablets 150mg","Bupropion Hydrochloride 150mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","06 05 2009 12:00:00","新成分"
"衛署藥製字第045020號","25 06 2002 12:00:00","Musgud","Cyclobenzaprine Hcl","美時化學製藥股份有限公司","25 06 2007 12:00:00","新成分"
"衛署藥輸字第023488號","05 07 2002 12:00:00","Postinor-2 Tablets","Levonorgestrel 0.75mg","岱康貿易股份有限公司","05 07 2009 12:00:00","新成分"
"衛署藥輸字第023492號","15 07 2002 12:00:00","Solian Tablet 200mg","Amisulpride 200mg","賽諾菲聖德拉堡股份有限公司","15 07 2009 12:00:00","新成分"
"衛署藥輸字第023493號","15 07 2002 12:00:00","Solian Tablet 50mg","Amisulpride 50mg","賽諾菲聖德拉堡股份有限公司","15 07 2009 12:00:00","新成分"
"衛署藥輸字第023519號","19 08 2002 12:00:00","Edronax Tablets 4mg","Reboxetine Methanesulfonate 5.224mg/Tab(=Reboxetine 4mg/Tab)","法瑪西亞股份有限公司","19 08 2009 12:00:00","新成分"
"衛署菌疫輸字第000717號","22 07 2002 12:00:00","Beriplast P combi-Set","Human Fibrinogen, Factor Xiii From Human Plasma, Aprotinin, Human Thrombin, Calcium Chloride Dihydrate","吉發企業股份有限公司","22 07 2009 12:00:00","新成分"
"衛署藥輸字第023520號","19 08 2002 12:00:00","fortrans powder for oral solution in Sachet","Polyethylene Glycol 4000 64gm/Sachet(73.69g)","海喬國際股份有限公司","19 08 2009 12:00:00","新成分"
"衛署藥輸字第023548號","12 09 2002 12:00:00","Salagen Tablets 5 mg","Pilocarpine Hydrochloride 5mg","天義企業股份有限公司","12 09 2009 12:00:00","新適應症新投予途徑"
"衛署藥輸字第023551號","18 09 2002 12:00:00","Resovist","Ferucarbotran 540mg","台灣先靈股份有限公司","18 09 2009 12:00:00","新成分"
"衛署菌疫輸字第000729號","20 09 2002 12:00:00","NovoRapid Penfill 3 mL, 100 U/mL","Insulin Aspart","台灣諾和諾德藥品股份有限公司","20 09 2009 12:00:00","新成分"
"衛署菌疫輸字第000730號","20 09 2002 12:00:00","NovoRapid 100 U/mL","Insulin Aspart","台灣諾和諾德藥品股份有限公司","20 09 2009 12:00:00","新成分"
"衛署藥輸字第023556號","02 10 2002 12:00:00","Lescol XL Film-coated Tablets 80mg","Fluvastatin Sodium","台灣諾華股份有限公司","02 10 2007 12:00:00","新成分"
"衛署菌疫輸字第000734號","07 10 2002 12:00:00","Prevenar, Pneumococcal 7-valent Conjugate Vaccine","Polusaccharide Serotype 4, 6b,9v, 14, 18c, 19f, 23f & Crm 197 Carrier Protein","美商惠氏藥廠股份有限公司台灣分公司","07 10 2009 12:00:00","新成分"
"衛署菌疫輸字第000748號","11 12 2002 12:00:00","Infanrix-IPV","Each 0.5ml Contains Diphtheria Toxoid (Dt) Not Less Than 30 Iu; Tetanus Toxoid (Tt) Not Less Than 40 Iu; Pertussis Toxoid 25ug; Filamentous Haemagglutinin (Fha)--25ug; Inactivated Polio Virus - Type 1--40du; Inactivated Polio Virus - Type 2--8du; Inactivated Polio Virus - Type 3--32du","荷商葛蘭素史克藥廠股份有限公司台灣分公司","11 12 2009 12:00:00","新成分"
"衛署藥輸字第023615號","30 12 2002 12:00:00","Arava 10mg Film-Coated Tabelts","Leflunomide 10mg","台灣安萬特藥品股份有限公司","30 12 2009 12:00:00","新成分"
"衛署藥輸字第023616號","30 12 2002 12:00:00","Arava 20mg Film-Coated Tabelts","Leflunomide 20mg","台灣安萬特藥品股份有限公司","30 12 2009 12:00:00","新成分"
"衛署藥輸字第023617號","30 12 2002 12:00:00","Arava 100mg Film-Coated Tabelts","Leflunomide 100mg","台灣安萬特藥品股份有限公司","30 12 2009 12:00:00","新成分"
"衛署菌疫輸字第000751號","28 01 2003 12:00:00","Boostrix","Each Vial Contains: Pertussis Toxoid(Pt)--8ug; Diphtheria Toxoid(Dt) Not Less Than 2 Iu; Tetanus Toxoid(Tt) Not Less Than 20 Iu; Filamentous Haemagglutinin (Fha)--8ug; 69 Kda Outer Membrane Protein(69k)--2.5ug","荷商葛蘭素史克藥廠股份有限公司台灣分公司","28 01 2010 12:00:00","新成分"
"衛署藥輸字第023687號","28 03 2003 12:00:00","Extraneal Peritoneal Dialysis Solution with 7.5% Icodextrin","Icodextrin","百特醫療產品股份有限公司","28 03 2010 12:00:00","新成分"
"衛署藥輸字第023712號","05 05 2003 12:00:00","Avelox Infusion Solution 400mg/250ml","Moxifloxacin Hydrochloride 1.744mg/Ml (Equivalent To Moxifloxacin 1.6mg/Ml)","台灣拜耳股份有限公司","05 05 2010 12:00:00","新投予途逕"
"衛署藥輸字第023720號","12 05 2003 12:00:00","Sonata capsules 10mg","Zaleplon 10mg","美商惠氏藥廠（亞洲）股份有限公司台灣分公司","12 05 2010 12:00:00","新成分"
"衛署藥輸字第023721號","12 05 2003 12:00:00","Sonata capsules 5mg","Zaleplon 5mg","美商惠氏藥廠（亞洲）股份有限公司台灣分公司","12 05 2010 12:00:00","新成分"
"衛署藥輸字第023728號","21 05 2003 12:00:00","Cravit 500mg solution for infusion","Levofloxacin Hemihydrate 512.46mg","台灣第一三共製藥股份有限公司","21 05 2010 12:00:00","新使用途徑"
"衛署藥輸字第023729號","21 05 2003 12:00:00","Cravit  500mg F.C.Tablets","Levofloxacin Hemihydrate 512.46mg","台灣第一三共製藥股份有限公司","21 05 2010 12:00:00","新使用途徑"
"衛署菌疫輸字第000765號","02 06 2003 12:00:00","Pegasys vial 135 mcg/vial","Peginterferon Alfa-2a 135 Mcg","羅氏大藥廠股份有限公司","02 06 2010 12:00:00","新成分"
"衛署藥輸字第023738號","03 06 2003 12:00:00","Myfortic 360mg gastro-resistant Tablets","Mycophenolic Acid 360mg (Sodium Mycophenolate)","台灣諾華股份有限公司","03 06 2010 12:00:00","新成分"
"衛署菌疫輸字第000766號","03 06 2003 12:00:00","Pegasys vial 180 mcg/vial","Peginterferon Alfa-2a 180 Mcg","羅氏大藥廠股份有限公司","03 06 2010 12:00:00","新成分"
"衛署藥輸字第023739號","10 06 2003 12:00:00","Orgalutran solution for injection","Ganirelix 0.25mg","歐嘉隆股份有限公司","10 06 2010 12:00:00","新成分"
"衛署藥輸字第023740號","11 06 2003 12:00:00","Imigran Nasal Spray 10mg","Sumatriptan 10mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","11 06 2010 12:00:00","新投予途逕"
"衛署藥輸字第023741號","11 06 2003 12:00:00","Imigran Nasal Spray 20mg","Sumatriptan 20mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","11 06 2010 12:00:00","新投予途逕"
"衛署菌疫輸字第000767號","26 06 2003 12:00:00","OKAVAX","Attenuated Live Varicella-Zoster Virus ( Oka Strain ) Not Less Than 1,000 PFU","台灣安萬特藥品股份有限公司","26 06 2010 12:00:00","新成分"
"衛署藥輸字第023762號","30 06 2003 12:00:00","Tequin Tablets 400 mg","Gatifloxacin 400mg","台灣必治妥施貴寶股份有限公司","30 06 2010 12:00:00","新成分"
"衛署藥輸字第023763號","30 06 2003 12:00:00","Tequin Tablets 200 mg","Gatifloxacin 200mg","台灣必治妥施貴寶股份有限公司","30 06 2010 12:00:00","新成分"
"衛署藥輸字第023765號","30 06 2003 12:00:00","Teslascan 0.01mmol/ml Disolution for Infusion","Mangafodipir Trisodium Anhydrous 7.57mg/Ml","新加坡商安莘有限公司台灣分公司","30 06 2010 12:00:00","新成分"
"衛署藥輸字第023769號","02 07 2003 12:00:00","Zelmac 6mg Tablets","Tegaserod Hydrogen Maleate 8.31 Mg (Tegaserod 6 Mg)","台灣諾華股份現公司","02 07 2010 12:00:00","新成分"
"衛署藥輸字第023774號","09 07 2003 12:00:00","Cialis Film-Coated Tablets 20mg","Tadalafil 20mg","台灣禮來股份有限公司","09 07 2010 12:00:00","新成分"
"衛署藥輸字第023786號","31 07 2003 12:00:00","Renagel Tablets 400 mg","Sevelamer Hydrochloride 400mg","台灣中外製藥股份有限公司","31 07 2010 12:00:00","新成分"
"衛署菌疫輸字第000768號","04 08 2003 12:00:00","NovoMix 30 Penfill 3 mL, 100 U/mL","Insulin Aspart 100u/Ml","台灣諾和諾德藥品股份有限公司","04 08 2010 12:00:00","新成分"
"衛署藥製字第045700號","06 08 2003 12:00:00","Urotrol FC Tablets 15 mg","Propiverine Hcl 15 Mg/Tab","健亞生物科技股份有限公司","06 08 2008 12:00:00","新成分"
"衛署藥輸字第023792號","08 08 2003 12:00:00","Xyzal film-coated Tab. 5mg","Levocetirizine Dihydrochloride 5mg","優喜碧股份有限公司","08 08 2010 12:00:00","新成分"
"衛署菌疫輸字第000769號","15 08 2003 12:00:00","Tissucol Duo Quick","Fibrin Sealer-Aprotinin Solution 1 Ml + Thrombin-Calcium Cholide Solution 1 Ml","百特醫療產品股份有限公司","15 08 2010 12:00:00","新複方"
"衛署藥輸字第023804號","25 08 2003 12:00:00","Levitra Film-coated Tablets 10mg","Vardenafil 10mg/Tab","台灣拜耳股份有限公司","25 08 2010 12:00:00","新成分"
"衛署藥製字第045725號","28 08 2003 12:00:00","Lacoxa SR Tablets 400mg","Etodolac 400mg","東生華製藥股份有限公司","28 08 2010 12:00:00","新劑型"
"衛署藥輸字第023809號","28 08 2003 12:00:00","Cialis Film-Coated Tablets 10mg","Tadalafil 10mg","台灣禮來股份有限公司","09 07 2010 12:00:00","新成分"
"衛署藥輸字第023824號","10 09 2003 12:00:00","Dipeptiven concentrated solution for infusion","N(2)-L-Alanyl-L-Glutamine 0.2g","台灣費森尤斯卡比股份有限公司","10 09 2010 12:00:00","新成分"
"衛署藥製字第043698號","22 09 2003 12:00:00","UFUR CAPSULE","Tegafu 100mg + Uracil 224mg","台灣東洋藥品工業股份有限公司","22 09 2008 12:00:00","新適應症"
"衛署藥製字第045863號","30 10 2003 12:00:00","Fedcen Sustained Release Tablets 120mg","Pseudoephedrine Hcl 120mg","美時化學製藥股份有限公司","30 10 2008 12:00:00","新藥/新劑型（控釋劑型）新單位含量"
"衛署菌疫輸字第000781號","25 11 2003 12:00:00","Aranesp 25 mcg/ml","Darbepoetin Alfa 25mcg","麒麟藥品股份有限公司","25 11 2010 12:00:00","新成分"
"衛署菌疫輸字第000782號","25 11 2003 12:00:00","Aranesp 40 mcg/ml","Darbepoetin Alfa 40mcg","麒麟藥品股份有限公司","25 11 2010 12:00:00","新成分"
"衛署菌疫輸字第000783號","25 11 2003 12:00:00","Aranesp 60 mcg/ml","Darbepoetin Alfa 60mcg","麒麟藥品股份有限公司","25 11 2010 12:00:00","新成分"
"衛署藥輸字第023879號","03 12 2003 12:00:00","Ketek 400mg Film-coated Tablets","Telithromycin 40mg","台灣安萬特藥品股份有限公司","03 12 2010 12:00:00","新成分"
"衛署藥製字第045971號","05 12 2003 12:00:00","Arheuma Tablets 20mg＂Lotus＂","Leflunomide 20mg","美時化學製藥股份有限公司","05 12 2008 12:00:00","新成分"
"衛署藥製字第045972號","05 12 2003 12:00:00","Denosin Tablets 5mg","Desloratadine 5mg","美時化學製藥股份有限公司","05 12 2008 12:00:00","新成分"
"衛署藥輸字第023883號","08 12 2003 12:00:00","Actonel 5mg film-coated Tablets","Risedronate Sodium 5mg","台灣安萬特藥品股份有限公司","08 12 2010 12:00:00","新成分"
"衛署藥輸字第023887號","08 12 2003 12:00:00","Actonel 35mg film-coated tab","Risedronate Sodium 35mg","台灣安萬特藥品股份有限公司","08 12 2008 12:00:00","新成分"
"衛署藥輸字第023888號","08 12 2003 12:00:00","Keppra film-coated tablets 250mg","Levetiracetam 250mg","優喜碧股份有限公司","08 12 2010 12:00:00","新成分"
"衛署藥輸字第023889號","08 12 2003 12:00:00","Keppra film-coated tablets 500mg","Levetiracetam 500mg","優喜碧股份有限公司","08 12 2010 12:00:00","新成分"
"衛署藥製字第046011號","22 12 2003 12:00:00","Eric SR Tablets 600mg (Etodolac)","Etodolac 600mg","五洲製藥股份有限公司","22 12 2008 12:00:00","新劑型"
"衛署藥輸字第023905號","12 01 2004 12:00:00","Ixense Sublingual Tablets 3mg","Apomorphine Hydrochloride","台灣武田藥品工業股份有限公司","31 07 2010 12:00:00","新投予途徑(藥輸023789)"
"衛署藥輸字第023908號","15 01 2004 12:00:00","Ixense Sublingual Tablets 2mg","Apomorphine Hydrochloride","台灣武田藥品工業股份有限公司","31 07 2010 12:00:00","新投予途徑(藥輸023788)"
"衛署藥製字第046072號","30 01 2004 12:00:00","Acetmet Retard Capsules 90mg","Acemetacin","健喬信元醫藥生技股份有限公司","06 12 2007 12:00:00","新藥/新劑型（控釋劑型）新單位含量"
"衛署藥輸字第023919號","09 02 2004 12:00:00","Aggrenox Modified Release Capsules","Dipyridamole 200mg + Acetylsalicylic Acid 25mg","台灣百靈佳殷格翰股份有限公司","09 02 2011 12:00:00","新複方"
"衛署藥輸字第023920號","09 02 2004 12:00:00","Hepsera Tablets","Adefovir Dipivoxil 10mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","09 02 2011 12:00:00","新成分"
"衛署藥輸字第023928號","24 02 2004 12:00:00","Chirocaine 2.5mg/ml Solution for Injection","Levobupivacaine 2.5mg","美商亞培股份有限公司台灣分公司","24 02 2011 12:00:00","新成分"
"衛署藥輸字第023929號","24 02 2004 12:00:00","Chirocaine7.5mg/ml Solution for Injection","Levobupivacaine 7.5mg","美商亞培股份有限公司台灣分公司","24 02 2011 12:00:00","新成分"
"衛署藥輸字第023932號","27 02 2004 12:00:00","MultiHance","Gadobenate Dimeglumine 529mg","富富企業股份有限公司","27 02 2011 12:00:00","新成分"
"衛署藥輸字第023934號","02 03 2004 12:00:00","Carnitene Injection 1g","L-Carnitine Inner Salt 1g/5ml","翰亨實業股份有限公司","02 03 2011 12:00:00","新成分"
"衛署藥輸字第023952號","29 03 2004 12:00:00","Avodart Soft Cap. 0.5mg","Dutasteride 0.5mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","29 03 2011 12:00:00","新成分"
"衛署藥輸字第023965號","23 04 2004 12:00:00","Chirocaine5mg/ml Solution for Injection","Levobupivacaine 5mg","美商亞培股份有限公司台灣分公司","23 04 2011 12:00:00","新成分"
"衛署藥製字第046260號","04 05 2004 12:00:00","Olmetec F.C. Tablets 20mg","Olmesartan Medoxomil 20mg","台灣三共製藥股份有限公司","04 05 2009 12:00:00","新成分"
"衛署藥輸字第023983號","11 05 2004 12:00:00","Arcoxia Tablet 60mg","Etoricoxib","美商默沙東藥廠股份有限公司台灣分公司","11 05 2011 12:00:00","新成分"
"衛署藥輸字第023985號","14 05 2004 12:00:00","Emend capsules 80mg","Aprepitant","美商默沙東藥廠股份有限公司台灣分公司","14 05 2011 12:00:00","新成分"
"衛署藥輸字第023986號","14 05 2004 12:00:00","Emend capsules 125mg","Aprepitant","美商默沙東藥廠股份有限公司台灣分公司","14 05 2011 12:00:00","新成分"
"衛署藥輸字第024002號","02 06 2004 12:00:00","Precedex injections 100mcg/ml","Dexmedetomidine","美商亞培股份有限公司台灣分公司","02 06 2011 12:00:00","新成分"
"衛署藥製字第046386號","01 07 2004 12:00:00","Loxol SR Tablets 75mg","Ambroxol Hcl 75mg","健亞生物科技股份有限公司","01 07 2009 12:00:00",""
