管制級別,藥品名稱,藥品英文名稱,主要成分,適應症,有效期間,售價單位,售價單價,包裝規格,健保藥品代碼,分裝,備註
"2","疼始康定10毫克持續藥效錠","OxyContin Controlled-Release Tablets 10mg","Oxycodone HCl 10mg/Tab","1.需要長期疼痛控制之中重度癌症疼痛病患。 2.需要長期疼痛控制之慢性中重度非癌症疼痛病患，且曾經接受過類鴉片藥物而無法有效控制疼痛者。","如標籤","粒","40","20Tab/盒","BC26432100","","(105年1月22日開始銷售)"
"2","疼始康定20毫克持續藥效錠","OxyContin Controlled-Release Tablets 20mg","Oxycodone HCl 20mg/Tab","1.需要長期疼痛控制之中重度癌症疼痛病患。 2.需要長期疼痛控制之慢性中重度非癌症疼痛病患，且曾經接受過類鴉片藥物而無法有效控制疼痛者。","如標籤","粒","76","20Tab/盒","BC26434100","","(105年1月22日開始銷售)"
"2","奧諾美5毫克速效膠囊","OxyNorm Immediate Release Capsules 5mg","Oxycodone HCl 5mg/Cap","1.需要長期疼痛控制之中重度癌症疼痛病患。 2.需要長期疼痛控制之慢性中重度非癌症疼痛病患，且曾經接受過類鴉片藥物而無法有效控制疼痛者。","如標籤","粒","14.5","56Cap/盒","BC26421100","","(105年3月21日開始銷售)"
"2","鹽酸配西汀注射液50毫克/毫升","Pethidine Hydrochloride Injection 50 mg/ml","鹽酸配西汀50mg/ml 　","鎮痛","五年","支","20","1ml/安瓿、 10支/盒","AC05874209","",""
"2","鹽酸配西汀錠50毫克","Pethidine Hydrochloride Tablets 50 mg","鹽酸配西汀50mg/Tab","鎮痛","二年","粒","5.5","70Tab/盒","AC05858100","",""
"2","吩坦尼注射液0.05毫克/毫升,10毫升/安瓿","Fentanyl Injection 0.05mg/ml,10ml/amp","吩坦尼0.05mg/ml","麻醉和麻醉前給藥、急性疼痛之緊急治療","如標籤","支","98","10ml/安瓿、 5支/盒","楊森BC21224229、菲尼斯B024154229","","    用於麻醉時不另給付"
"2","”管制藥品廠”吩坦尼注射液0.05毫克/毫升,2毫升/安瓿","Fentanyl Injection 0.05mg/mL,2ml/amp ”PPCD”","吩坦尼0.05mg/ml","麻醉和麻醉前給藥、急性疼痛之緊急治療","五年","支","20","2ml/安瓿、 10支/盒","AC44332212","","用於麻醉時不另給付"
"2","楊森”多瑞喜穿皮貼片劑12微公克/小時","Durogesic D-TRANS Transdermal Patch 12mcg/h","吩坦尼 2.100mg/patch","需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛","如標籤","片","188","5片/盒","BC248703B9","",""
"2","“管制藥品廠” 吩坦尼穿皮貼片劑25微公克/小時","Fentanyl Transdermal Patch 25mcg/hr “PPCD”","吩坦尼 2.5mg/patch","需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛","二年","片","220","5片/盒","AC50018311","",""
"2","”漢姆”吩坦尼穿皮貼片劑25微公克/小時 ","Fentanyl HPQ 25mcg/hr Transdermal Patch","吩坦尼 4.8mg/patch","需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛","如標籤","片","355","5片/盒","B024889311","","(暫停供應)"
"2","“管制藥品廠”吩坦尼穿皮貼片劑50微公克/小時","Fentany Transdermal Patch 50mcg/hr “PPCD”","吩坦尼 5mg/patch","需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛","二年","片","430","5片/盒","AC517173CS","",""
"2","”楊森”多瑞喜穿皮貼片劑50微公克/小時","Durogesic D- TRANS transdermal patch 50mcg/h","吩坦尼8.4mg/patch","需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛","如標籤","片","670","5片/盒","BC248423CS","","(暫停供應)"
"2","阿華吩坦尼注射液","Alfentanil Injection；Rapifen Injection","阿華吩坦尼0.544mg/ml","短效麻醉性止痛劑及麻醉誘導劑","如標籤","支","150","2ml/安瓿、 5支/盒","","",""
"2","平舒疼口頰溶片 200微公克","Painkyl fentanyl buccal soluble films 200mcg","吩坦尼 200mcg/film","癌症病患突發性疼痛之處置,且適用對象僅限於18歲(含)以上且正在使用類鴉片藥物治療其潛在持續性癌疼痛並具耐受性者","如標籤","片","275","30片/盒","BC25981100","","(104年1月28日開始銷售)"
"2","平舒疼口頰溶片 600微公克","Painkyl fentanyl buccal soluble films 600mcg","吩坦尼 600mcg/film","癌症病患突發性疼痛之處置,且適用對象僅限於18歲(含)以上且正在使用類鴉片藥物治療其潛在持續性癌疼痛並具耐受性者","如標籤","片","395","30片/盒","BC25983100","","(104年1月28日開始銷售)"
"1","鹽酸古柯鹼","Cocaine Hydrochloride","鹽酸古柯鹼","局部麻醉劑(調劑或製劑用原料)","如標籤","公克","800","10Gm/瓶","","","(暫停供應)"
"2","磷酸可待因","Codeine Phosphate","磷酸可待因","鎮咳、鎮痛(調劑或製劑用原料)","如標籤","公克","50","5000Gm/桶、50Gm/罐","","",""
"3","磷酸可待因注射液15毫克/毫升","Codeine Phosphate Injection 15 mg/ml","磷酸可待因15mg/ml","鎮咳、鎮痛","三年","支","15","1ml/安瓿、 10支/盒","AC05889209","",""
"2","磷酸可待因錠15毫克","Codeine Phosphate Tablets 15 mg","磷酸可待因15mg/ Tab","鎮咳、鎮痛","二年","粒","1.9","100Tab/盒","AC05857100","","(暫停供應)"
"2","磷酸可待因錠30毫克","Codeine Phosphate Tablet 30 mg","磷酸可待因30mg/ Tab","鎮咳、鎮痛","二年","粒","2.4","100Tab/盒","AC05865100","",""
"2","鹽酸配西汀對照標準品","","鹽酸配西汀　","檢驗用","","瓶","900","250毫克/瓶","","","(暫停供應)"
"1","鹽酸嗎啡對照標準品","","鹽酸嗎啡","檢驗用","","瓶","1050","250毫克/瓶","","","(暫停供應)"
"2","磷酸可待因對照標準品","","磷酸可待因","檢驗用","","瓶","875","250毫克/瓶","","","(暫停供應)"
"2","鹽酸甲基安非他命比對標準品","","鹽酸甲基安非他命","檢驗用","","瓶","983","500毫克/瓶","","","(暫停供應)"
