類別,藥物名稱,俗名,分級,醫療用途,濫用方式,說明,圖片,圖片文字
"中樞神經興奮劑(安非他命及相似濫用物質)","PMA","“Chicken Yellow”或“Chicken Powder”","第二級毒品","無","口服","一、緣起　　副甲氧基安非他命(PMA)係屬安非他命類似物，以“Ecstasy”或“MDA”的名義販賣。PMA之作用與MDMA相似，但PMA毒性較MDMA為大。二、危害性　　屬中樞神經興奮劑及幻覺劑，施用後的不良作用包括中樞神經及交感神經興奮作用、體溫上升、心跳速率加快，產生異常亢奮、脫水、心律不整、血壓上升、抽搐痙攣、幻覺等現象，易造成中風或腦內出血，嚴重則會導致死亡。","https://consumer.fda.gov.tw/Files/Drug_Abuse/12/檢出PMA(無管管局logo)1_併檢出MDA,MDMA,PCP,PMMA,Ketamine.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/12/檢出PMA(無管管局logo)3_併檢出MDA,MDMA,PCP,PMMA,Ketamine.jpg","PMA;;PMA"
"中樞神經興奮劑(安非他命及相似濫用物質)","PMMA","另類搖頭丸","第二級毒品","無","口服","副甲氧基甲基安非他命（para-methoxymethamphetamine、PMMA ），有類似MDMA副作用，會使心跳加快血壓體溫上升，PMMA未如MDMA般，產生幻覺的效果，PMMA的產生效果指數較MDMA低，且在產生效果的劑量就達到毒性劑量，PMMA較PMA無刺激活性，副作用：降低說話及與他人互動的動力，另會產生冒汗、重度眼球震顫、身體僵硬、胃痛及頭痛等症狀。目前列為第二級管制藥品及第三級毒品。","https://consumer.fda.gov.tw/Files/Drug_Abuse/13/PMMA - (無管管局logo).jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/13/PMMA (無管管局logo).jpg","PMMA;;PMMA"
"中樞神經迷幻劑","西洛西賓","魔菇","第二級毒品","無","口服","一、緣起　　西洛西賓(Psilocybine或Psilocybin)係由引起幻覺的蕈類(Hallucinogenic-Mushrooms)所萃取，具迷幻、擬交感神經作用及類似麥角二乙胺 (LSD)之效果。二、危害性　　施用後之不良反應包括噁心、嘔吐、肌肉無力、呵欠、嗜睡、流淚、面潮紅、瞳孔放大、出汗、缺乏協調性等。魔菇的劑量很難控制，作用時間也不大相同，端視其種類、大小及成熟度而定。其他不良反應尚包括頭昏眼花、腹瀉、口乾、坐立不安等。食用後約20分鐘內，使用者即可感到肌肉放鬆、心跳過速、 瞳孔放大、口乾、噁心感及迷幻作用。較高劑量下則出現視覺上的幻覺及知覺扭曲，效用可維持至6小時。","https://consumer.fda.gov.tw/Files/Drug_Abuse/293-01.JPG","西洛西賓"
"中樞神經迷幻劑","PCP","天使塵、Love boat","第二級毒品","無","口服、煙吸","一、緣起　　Phencyclidine(PCP)俗稱天使塵(Angel dust)，於1960年代合成，主要作為麻醉之用，但隨後發現其會引起幻覺、躁動、胡言亂語、喪失方向感、精神分裂等副作用而逐漸被廢棄，並因其副作用會產生幻覺、欣快感而遭濫用，為歐美常見之濫用藥物。二、危害性　　吸食過量會產生意識模糊、失去方向感、知覺異常、躁動、好鬥、暴力傾向、產生幻覺(尤其是視幻及聽幻)、胡言亂語，過量時甚會導致死亡。","https://consumer.fda.gov.tw/Files/Drug_Abuse/19/苯環利定.jpg","PCP"
"中樞神經興奮劑(安非他命及相似濫用物質)","搖頭丸","狂喜、忘我、綠蝴蝶 、MDMA","第二級毒品","無","口服","一、緣起　　 搖頭丸的學名為亞甲雙氧甲基安非他命(3,4-Methylenedioxymethamphetamine) 簡稱MDMA，化學結構類似安非他命，具有安非他命的興奮作用及三甲氧苯乙胺（Mescaline）之迷幻作用。與MDA（3,4-Methylenedioxyamphetamine，暱稱Love Drug或Mellow Drug of America）及MDE（3,4-Methylenedioxyethamphetamine，俗稱夏娃或Eve）皆為同類化合物。MDMA俗稱Ecstasy、E、XTC、M、AKA、忘我、亞當、狂喜、快樂丸、搖頭丸、綠蝴蝶；並常以各種不同顏色、圖案之錠劑、膠囊或粉末出現，很難從外觀來辨識，但多以口服方式使用。 二、危害性　　使用MDMA會產生與安非他命及古柯鹼相似之副作用，精神症狀如混淆不清、抑鬱、睡眠問題、渴求藥物、嚴重焦慮，並在使用期間或數週後產生誇大妄想等；生理症狀會產生食慾不振、心跳加快、精力旺盛、運動過度、肌肉緊張、不隨意牙關緊閉、噁心、嘔吐、視力模糊、眼球快速轉動、軟弱無力、寒顫或流汗、疲倦及失眠等症狀。施用過量會產生中毒症狀，包括體溫過高(可高達43℃)、脫水、低血鈉、急性高血壓、心律不整、凝血障礙、橫紋肌溶解及急性腎衰竭等症狀，嚴重者可能導致死亡。 　　醫學研究證實，一般用量的MDMA濫用者在注意力（警覺力）、記憶力、學習能力、一般智力等認知功能方面，皆有明顯退化的現象。根據2000年德國的學者提出一篇研究報告，針對28位年齡介於18-29歲之間的MDMA濫用者來進行綜合性認知測驗，這些濫用者平均每次使用1.4顆藥，一個月平均使用2.4次。結果發現，這些MDMA濫用者在簡單的注意力(警覺力)測驗表現沒有顯著的影響；但是在比較複雜的注意力測驗，以及記憶力和學習能力測驗，與反映一般智力方面的測驗，皆明顯表現得比控制組來得差。這些認知上的異常可能與MDMA本身的神經毒性有關。另一方面，亦發現如果濫用者同時使用MDMA與大麻者，在認知方面的表現則又顯得更加退化。 2001年加拿大多倫多大學的研究人員也發表了一篇研究報告，更進一步證實了持續使用MDMA與進行性的記憶衰退有很大的關連。他們針對15名年齡介於17-31歲的MDMA濫用者進行了長達一年的研究。這些濫用者每次使用50-300 mg(約0.5-3顆)的MDMA，每個月平均使用2.4次。結果發現，這些MDMA濫用者的記憶力情況，無論是即刻性回憶(Immediate recall)或者是延遲性回憶(Delayed recall)，皆呈現出顯著退化的現象。由此可知，搖頭丸即使只是週末假日使用，就足以讓健康的青少年造成記憶力、智力等認知功能的退化。　　由於MDMA無醫療用途，全由非法途逕取得，其所含純MDMA成分多半不高，有時甚至完全不含MDMA；另外也會摻加甲基安非他命、咖啡因、MDA、MDE、Ketamine或混含其他有害雜質，藥效強弱不一，更增加其毒性副作用。又由於MDMA會減弱自我控制能力，加上易產生不會受到傷害的幻覺，服用者可能會對自身行為安全掉以輕心，而造成意外傷害。","https://consumer.fda.gov.tw/Files/Drug_Abuse/11/MDMA(無管管局logo)1_併檢出Amphetamine,Caffeine.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/11/檢出MDMA(無管管局logo)3_併檢出MDA,PMA,PCP,PMMA,Ketamine.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/11/MDMA(無管管局logo)4_併檢出Methamphetamine,2C-B.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/11/檢出MDMA(無管管局logo)2_併檢出MDA,PMA,PCP,PMMA,Ketamine.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/11/MDMA(無管管局logo)5_併檢出Methamphetamine,PMMA,Ketamine,Fenfluramine.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/11/檢出MDMA(無管管局logo)6-14 - 複製.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/11/檢出MDMA(無管管局logo)8.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/11/檢出MDMA(無管管局logo)7.jpg","搖頭丸;;搖頭丸;;搖頭丸;;搖頭丸;;搖頭丸;;搖頭丸;;搖頭丸;;搖頭丸"
"中樞神經迷幻劑","5-MeO-DIPT","火狐狸","第四級毒品","無","口服","一、緣起　　5-MeO-DIPT屬色胺類（Tryptamine）物質，具有幻覺效果，為安非他命之衍生物，無醫療用途。二、危害性　　 屬中樞迷幻劑，其副作用包括使瞳孔放大、噁心、下顎緊閉、肌肉緊張過度、高血壓及心跳過速等症狀，過量使用具致命危險。文獻記載，一名29 歲男子為尋找性樂趣而使用5-MeO-DIPT，導致急性心臟衰竭死亡，驗屍結果顯示，該名男子的心臟和肝臟呈現動脈炎、心肌局部缺血、白血球增多及肺部充血等現象。另有多數案例亦證實5-MeO-DIPT 具有顯著之毒性。5-MeO-DIPT 在國外常被當做俱樂部藥物，因其潛藏之致命危險性，德國、美國與新加坡等國家分別於1999 年、2003 年及2006 年將5-MeO-DIPT 列為第一級管制物質；此外，希臘、丹麥、瑞典及日本亦陸續將其列為管制物質。","https://consumer.fda.gov.tw/Files/Drug_Abuse/15/5-MeO-DIPT_2 (無管管局logo).jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/15/5-MeO-DIPT_(無管管局logo).jpg","5-MeO-DIPT;;5-MeO-DIPT"
"中樞神經迷幻劑","大麻","草、麻仔、老鼠尾巴或飯。濫用大麻的行為濫用者稱為「呼麻」及「開飯」","第二級毒品","無","口服、煙吸","一、緣起　　大麻(Marijuana)為耐寒的一年生草本植物，生長在溫帶或熱帶氣候，植株高約4米製5米，掌狀複葉，雌雄異株，蒴果卵形有棱，成熟期約4至5月，種子深綠色。大麻纖維植物的化學組成極為複雜，其中cannabinoids成分對中樞神經有明顯作用。已知的大麻酚約60幾種，其中以四氫大麻酚(Tetrahydrocannabinol, THC)、大麻二酚(cannabidol)及大麻酚(cannabinol)等，對動物和人體均具生理活性作用，且以四氫大麻酚之生理活性作用為最強。二、危害性　　 屬於中樞神經迷幻劑。吸食後會產生心跳加快、妄想、幻覺、口乾、眼睛發紅等現象。長期使用會產生耐受性及心理依賴性，使得使用的劑量或次數增加。 一旦產生依賴性，突然停用會產生厭食、焦慮、不安、躁動、憂鬱、睡眠障礙等戒斷症狀。急性中毒時會產生記憶及認知能力減退、焦慮、憂鬱、多疑、失去方向感等症狀，長期使用會造成記憶、學習及認知能力減退、體重增加、免疫力降低、不孕症、精子減少、精子活動減退及對周遭事務漠不關心之「動機缺乏症候群」。懷孕婦女吸食大麻常會造成早產、胎兒體重偏低。吸食大麻就像香菸一樣，吸食者罹患癌症的機率都較高；且大麻帶來的幻覺作用會造成知覺異常，常導致交通事故等公共危險傷害的原因。","https://consumer.fda.gov.tw/Files/Drug_Abuse/16/檢出Tetrahydrocannabinol(無管管局logo)1.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/16/檢出Tetrahydrocannabinol(無管管局logo) 2.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/16/吸食器、大麻膏、大麻葉(無管管局logo).jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/16/大麻葉(無管管局logo).jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/16/大麻膏(無管管局logo).jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/16/大麻菸(無管管局logo).jpg","大麻;;大麻菸;;吸食器、大麻膏、大麻葉;;大麻葉;;大麻膏;;大麻菸"
"中樞神經迷幻劑","麥角二乙胺(LSD)","一粒沙、搖腳丸、ELISA、加州陽光、白色閃光、方糖、Acid 、Broomer","第二級毒品","無","口服、舌下","一、緣起　　 LSD(Lysergic acid diethylamide)學名為麥角二乙胺，1938年首次由麥角菌（一種生長在黑麥或其他穀物中的真菌）之成分麥角酸合成而來，目前多由麥角素半合成而得，為無嗅、稍帶苦味之白色結晶體。二、濫用方式　　 其可與其他賦形劑混合作成錠劑、丸劑；或作成膠狀、液體滴在吸墨紙、方糖、郵票狀紙片等傳遞物上或溶於飲料中；也可作成注射劑或雪茄，以供口服、抽吸或注射。目前台灣查獲的LSD多作成深褐色、類似沙狀的藥丸，故俗稱一粒沙。三、危害性　　其為最強烈的中樞神經迷幻劑，使用後30到90分鐘會發揮效果，約在12小時後才會消失藥效。其效果因人而異，與所用劑量、濫用者的人格、心情及週遭環境皆有關係。生理上會有瞳孔放大，體溫、心跳及血壓上升、口乾、震顫、噁心、嘔吐、頭痛等現象；情緒及心理上產生欣快感、判斷力混淆、失去方向感及脫離現實感、錯覺及幻覺，感覺異常，嚴重者還會出現焦慮、恐慌、胡言亂語、精神分裂症、自殘、自殺等暴力行為。若施用過量會導致抽搐、昏迷，甚至死亡。長時間使用會產生耐受性、心理及生理依賴性，並產生「倒敘現象」－即使已經很久沒有使用LSD，但精神症狀或幻覺仍會不預警地隨時發生。許多濫用者係因判斷力混淆、幻覺及脫離現實感，因而對自身行為安全掉以輕心。","https://consumer.fda.gov.tw/Files/Drug_Abuse/17/檢出LSD(無管管局logo)_併檢出ketamine.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/17/麥角乙二胺-1.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/17/LSD.jpg","LSD;;LSD;;LSD"
"吸入性濫用物質","氧化亞氮","笑氣、吹氣球","","手術痲醉","鼻吸","一、緣起　　Nitrous oxide(N2O,氧化亞氮)學名為一氧化二氮或氧化亞氮，在常溫常壓下為無色、無味氣體，於醫療使用上須與O2併用，但因本身的效力無法達到深度的手術麻醉，故一般僅用於手術前的麻醉誘導或牙科手術，若與其他麻醉藥併用，有加乘作用。二、危害性　　 為短效的吸入性全身麻醉劑，吸入約15到30秒即可產生欣快感，並可持續2到3分鐘，同時可能會伴隨著臉潮紅、暈眩、頭臉的刺痛感、低血壓反射心跳加速、甚至暈厥及幻覺。氧化亞氮會使與維生素B12合成及代謝有關的酵素失去活性，因而影響有維生素B12參與的正常生理功能。因氧化亞氮無色、無味，容易讓人不知不覺中吸入過量，一旦吸入濃度大於80 ﹪或長期慢性使用約2到3個月，則會產生周邊神經病變，如麻痺、耳鳴、不能平衡、衰弱、反射減弱及亞急性脊髓合併退化等症狀，並可能產生精神疾病，如幻覺、失憶、憂鬱等，另外可能產生的副作用尚有肺氣腫、氣胸等。因醫療使用氧化亞氮時，都會加入70%-80%的氧氣，但時下青少年則未使用氧氣，常與酒精或其他藥物併用，容易有中毒危險，會造成嚴重身心傷害。","https://consumer.fda.gov.tw/Files/Drug_Abuse/301-01.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/301-02.jpg","氧化亞氮 ;;氧化亞氮"
"吸入性濫用物質","強力膠","吸食強力膠或有機溶劑稱為「煉丹」","","無","吸入","一、緣起　　 吸食強力膠及其它有機溶劑是國內青少年最常見之濫用物質之一。強力膠中主要溶劑為甲苯，而常見的有機溶劑如汽油、打火機油、修正液、油漆稀釋劑、噴霧劑、抗凍劑、油污清除劑等，其所含溶劑依化學成份可分為芳香族烴如苯、甲苯、二甲苯；脂肪族烴如正丁烷；鹵化烷如三氯乙烯、氯仿、氟氯化碳；醚類如乙醚；酯類如乙酸乙酯；酮類如丙酮；醇類如甲醇、乙二醇等。二、危害性　　吸食15～20次或數分鐘後，施用者會有興奮、幻覺及欣快感，覺得飄飄然可幻想許多影像及聲音，且對外界刺激極為敏感，容易衝動而產生偏差之行為；有時伴有噁心、嘔吐，而後隨之而來的是中樞神經抑制作用，症狀包括眩暈、運動失調、頭昏眼花、說話不清、失去方向感等，倘吸食量繼續增加，則會產生幻覺、妄想、時空扭曲等症狀。 　　 吸食者常將強力膠或有機溶劑裝於塑膠袋，而後掩住口鼻吸入揮發氣體，吸食者在迷幻、意識不清的情形下，常因未將塑膠袋移開而窒息死亡，此外，亦因心律不整、心臟衰竭、呼吸道痙攣、吸入嘔吐物或意外傷害而導致死亡。長期使用有機溶劑會產生器官的傷害，如四氯化碳會造成肝臟壞死，苯、甲苯會產生骨髓抑制及中樞神經傷害，己烷會造成周邊神經病變，三氯乙烯會產生肝臟傷害、腎衰竭、心肌炎等，且也可能產生心理依賴及耐受性。吸食強力膠較少產生生理依賴及戒斷症狀，但心理依賴卻很常見。吸食者之辨識方法，可由類似酒醉行為、呼吸、身體、衣物及待過環境中發現溶劑的味道，與長期使用者因塑膠袋口與嘴接觸易造成口鼻周圍紅疹。","https://consumer.fda.gov.tw/Files/Drug_Abuse/306-01.JPG;;https://consumer.fda.gov.tw/Files/Drug_Abuse/306-02.JPG","強力膠;;強力膠"
"吸入性濫用物質","亞硝酸酯類","Amyl nitrite：Poppers；Butyl nitrite與Isobutyl nitrite俗稱Rush","","1.心絞痛、緩解腎炎或膽囊炎引起之腹痛、氰化物中毒輔助治療劑。2.非醫療用途:空間芳香劑","舌下、吸入、貼片","一、緣起　　Nitrites原用於治療心絞痛、氰化物中毒的輔助治療劑以及空間芳香劑。烷基亞硝酸酯類屬Nitrites的一種，因會釋出Nitric oxide ( NO )，具有平滑肌鬆弛劑之作用，近年來被男同性戀非法使用，作為增加性享樂(Sexual pleasure)之用。二、危害性　　常見不良作用包括頭暈、心悸、視力模糊、頭痛、嘔吐、鼻子灼傷、變性血紅素貧血症、低血壓、反射性心搏過速等。當皮膚接觸Butyl nitrite而出現硬皮的傷口，顯示發生過敏反應，這些傷口大多出現在鼻子、嘴唇、陰囊及陰莖的周圍。且因揮發性亞硝酸酯類具有可燃性與爆炸性，故灼傷為不可忽視之危險性。近年來男同性戀者有濫用揮發性亞硝酸酯類的情況，且施用後性行為浮濫，常成為罹患愛滋病和Kaposi’s sarcoma (卡波西氏肉瘤)的高危險群。","https://consumer.fda.gov.tw/Files/Drug_Abuse/522-01.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/522-02.jpg","亞硝酸酯類1;;亞硝酸酯類2"
"中樞神經迷幻劑","類大麻活性物質（K2）","K2、Spice、Bilss、Black Mamba、Bombay Blue、Fake Weed、Genie、Zoha","第三級毒品","無","以煙吸方式居多，少數摻入茶內。","一、緣起 　　K2或Spice是摻有類大麻活性物質（化學結構類似四氫大麻酚化合物）的草葉類混合物。這些化合物包含HU-210、HU-211、CP47,497、JWH-018、JWH-073等。 JWH-018及JWH-073為1995年Clemson University研究人員，John W. Huffman所研發，主要用於THC(tetrahydrocannabinol)受體的研究，之後又研發一系列之JWH藥物。CP47,497為1980年輝瑞製藥工廠研發製造，為一種止痛藥。HU-210由以色列Hebrew University於1988年首次合成。HU-210、CP47,497、JWH-018、JWH-073、JWH-250、JWH-122與AM-2201均屬類大麻活性物質，其活性均遠較大麻所含之四氫大麻酚之效用為強。 二、危害性　　服用一定劑量HU-210、CP47,497、JWH-018、JWH-073、JWH-250、JWH-122或AM-2201後 ，即會產生如服用大麻之作用，會造成焦慮、噁心、幻覺、妄想、心動過速、情緒加劇、短期失憶、記憶受損、無方向感、意識混亂、狂躁、中度興奮、腦部認知功能改變、逐漸喪失協調性與專注力或昏迷之副作用，甚至會傷害呼吸系統，持續使用並會產生如同大麻之成癮性與戒斷症狀","https://consumer.fda.gov.tw/Files/Drug_Abuse/23/K2.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/23/類大麻活性物質JWH-018.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/23/類大麻活性物質JWH-018 (2).jpg","K2;;類大麻活性物質;;類大麻活性物質"
"中樞神經興奮劑(安非他命及相似濫用物質)","4-甲基甲基卡西酮（Mephedrone）","喵喵（Meow Meow）","第三級毒品","無","口服，常與愷他命併用。","一、緣起　　 Mephedrone之化學名為4-methylmethcathinone（簡稱4-MMC），施用後會產生類似甲基安非他命與搖頭丸的效果，但因作用時間短，故施用者會不斷追加劑量。二、危害性(一)呼吸系統方面會有嚴重鼻出血、鼻灼熱感、呼吸困難等情況。(二)心臟血管方面會有心臟病發作、嚴重的血管收縮、血壓上升、心悸、心律不整、潮紅、胸痛、多汗、四肢冰冷等症狀。(三)精神症狀方面會引起幻覺、妄想、錯覺、焦慮、憂鬱、激動不安、興奮。(四)神經系統問題有短期記憶喪失、記憶力不集中、瞳孔放大等。(五)肌肉骨骼系統問題則有痙攣或抽蓄、牙關緊閉、磨牙。　　 根據國外資料顯示，Mephedrone是在2008年間，由中國輸出至歐洲及澳洲、紐西蘭等地區，目前已造成多起死亡個案。有1名英國女孩吃了1顆混有愷他命與Mephedrone的藥物，數小時後不幸身亡；另有1名英國男性使用後18小時，開始出現幻覺，認為有蟲在身上爬並且不斷啃咬，最後竟把睪丸扯下。2010年四月中旬，英國已將其列為B級管制，德國、瑞典、法國等國家則列為非法藥物，加強管理。在2010年，國內開始發現Mephedrone的蹤跡，同年5月造成1名17歲少女使用後暴斃的案例。。","https://consumer.fda.gov.tw/Files/Drug_Abuse/24/檢出Mephedrone成分_2 .jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/24/檢出Mephedrone,Methylone,Caffine_1.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/24/檢出Mephedrone成分_1.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/24/檢出Mephedrone成分_3 .jpg","驗出Mephedrone成分;;驗出Mephedrone成份;;驗出Mephedrone成份;;驗出Mephedrone成份"
