標題,發布日期,連結
"03013 第三丁基氫醌","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2653&t=s"
"03014 抗壞血酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2654&t=s"
"03015 混合濃縮生育醇","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2655&t=s"
"03016 濃縮d-α-生育醇","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2656&t=s"
"03017 乙烯二胺四醋酸二鈉鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2657&t=s"
"03017 乙烯二胺四醋酸二鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2658&t=s"
"04001 亞硫酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2659&t=s"
"04002 亞硫酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2660&t=s"
"04003 亞硫酸鈉 (無水)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2661&t=s"
"04004 亞硫酸氫鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2662&t=s"
"04005 低亞硫酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2663&t=s"
"04006 偏亞硫酸氫鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2664&t=s"
"04008 偏亞硫酸氫鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2665&t=s"
"04009 過氧化苯甲醯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2666&t=s"
"05001 亞硝酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2667&t=s"
"05002 亞硝酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2668&t=s"
"05003 硝酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2669&t=s"
"05004 硝酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2670&t=s"
"06001 鉀明礬","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2671&t=s"
"06002 鈉明礬","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2672&t=s"
"06003 燒鉀明礬","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2673&t=s"
"06004 銨明礬","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2674&t=s"
"06005 燒銨明礬","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2675&t=s"
"06006 氯化銨","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2676&t=s"
"06007 d-酒石酸氫鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2677&t=s"
"06007 dl-酒石酸氫鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2678&t=s"
"06008 碳酸氫鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2679&t=s"
"06009 碳酸銨","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2680&t=s"
"06011 碳酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2682&t=s"
"06012 合成膨脹劑","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2683&t=s"
"06013 酸式磷酸鋁鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2684&t=s"
"06014 燒鈉明礬","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2685&t=s"
"07001 氯化鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2686&t=s"
"07002 氫氧化鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2687&t=s"
"07004 葡萄糖酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2689&t=s"
"07005 檸檬酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2690&t=s"
"07006 磷酸二氫鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2691&t=s"
"07007 磷酸氫鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2692&t=s"
"07010 酸性焦磷酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2694&t=s"
"07011 甘油醇磷酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2695&t=s"
"07012 乳酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2696&t=s"
"07013 乳酸硬脂酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2697&t=s"
"07014 碳酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2698&t=s"
"07015 碳酸銨","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2699&t=s"
"07016 碳酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2700&t=s"
"07018 碳酸鎂","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2701&t=s"
"07019 硫酸銨","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2702&t=s"
"07020 硫酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2703&t=s"
"07021 硬脂酸鎂","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2704&t=s"
"07022 硫酸鎂","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2705&t=s"
"07023 氯化鎂","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2706&t=s"
"07024 磷酸二氫銨","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2707&t=s"
"07025 磷酸氫二銨","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2708&t=s"
"07026 磷酸二氫鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2710&t=s"
"07027 磷酸氫二鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2711&t=s"
"07028 磷酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2713&t=s"
"07029 磷酸二氫鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2714&t=s"
"07030 磷酸二氫鈉 (無水)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2715&t=s"
"07031 磷酸氫二鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2716&t=s"
"07032 磷酸氫二鈉 (無水)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2717&t=s"
"07033 磷酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2718&t=s"
"07034 磷酸鈉 (無水)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2719&t=s"
"07035 偏磷酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2720&t=s"
"07036 偏磷酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2721&t=s"
"07037 多磷酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2722&t=s"
"07038 多磷酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2723&t=s"
"07039 醋酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2724&t=s"
"07039 醋酸鈉 (無水)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2725&t=s"
"07040 甘油","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2726&t=s"
"07041 乳酸硬脂酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2727&t=s"
"07044 矽藻土","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2728&t=s"
"07046 滑石粉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2729&t=s"
"07047 L－半胱胺酸鹽酸鹽","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2730&t=s"
"07051 乙烯二胺四醋酸二鈉鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2731&t=s"
"07051 乙烯二胺四醋酸二鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2732&t=s"
"07054 氧化鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2734&t=s"
"07055 碳酸氫鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2735&t=s"
"07056 木松香甘油酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2736&t=s"
"07057 石油蠟 (包括精製石蠟及微晶石蠟)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2738&t=s"
"07058 米糠蠟","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2739&t=s"
"07059 硬脂酸 (十八烷酸)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2740&t=s"
"07060 己二酸","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2741&t=s"
"07061 硫酸鋁","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2742&t=s"
"07062 珍珠岩粉 (膨脹珍珠岩)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2743&t=s"
"07065 羥丙基纖維素","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2744&t=s"
"07066 羥丙基甲基纖維素","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2745&t=s"
"07067 聚糊精","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2747&t=s"
"07068 食用石膏","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2749&t=s"
"07069 酸性白土 (活性白土)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2750&t=s"
"07070 酸性焦磷酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2751&t=s"
"07071 棕櫚蠟","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2752&t=s"
"07075 無水氯化鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2753&t=s"
"07076 三偏磷酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2754&t=s"
"07079 過氧化苯甲醯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2755&t=s"
"08001 維生素A粉末","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2756&t=s"
"08002 維生素A油溶液","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2757&t=s"
"08003 維生素A脂肪酸酯 (油溶液)","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2758&t=s"
"08004 鹽酸硫胺明 (維生素B1)","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2759&t=s"
"08005 硝酸硫胺明","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2760&t=s"
"08008 核黃素 (維生素B2)","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2761&t=s"
"08009 核黃素磷酸鈉","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2762&t=s"
"08010 鹽酸吡哆辛 (維生素B6)","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2763&t=s"
"08011 氰鈷胺明 (維生素B12)","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2764&t=s"
"08012 L－抗壞血酸 (維生素C)","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2765&t=s"
"08013 L－抗壞血酸鈉","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2766&t=s"
"08014 L－抗壞血酸硬脂酸酯","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2767&t=s"
"08015 L－抗壞血酸棕櫚酸酯","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2768&t=s"
"08016 鈣化醇 (維生素D2)","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2769&t=s"
"08018 生育醇 (維生素E)","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2770&t=s"
"08020 混合濃縮生育醇","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2771&t=s"
"08021 濃縮d-α-生育醇","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2772&t=s"
"08022 醋酸d -α-生育醇酯","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2773&t=s"
"08023 醋酸dl-α-生育醇酯","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2774&t=s"
"08024 濃縮醋酸d-α-生育醇酯","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2776&t=s"
"08025 酸式丁二酸d－α－生育醇酯","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2777&t=s"
"08026 菸鹼酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2780&t=s"
"08027 菸鹼醯胺","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2782&t=s"
"08028 葉酸","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2784&t=s"
"08030 氧化鈣","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2785&t=s"
"08031 碳酸鈣","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2786&t=s"
"08032 還原鐵","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2787&t=s"
"08034 羰基鐵","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2789&t=s"
"08035 電解鐵","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2790&t=s"
"08036 檸檬酸鐵銨","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2791&t=s"
"08037 氯化鐵","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2792&t=s"
"08038 檸檬酸鐵","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2793&t=s"
"08039 硫酸亞鐵","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2794&t=s"
"08041 檸檬酸亞鐵鈉","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2795&t=s"
"08042 碘化鉀","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2796&t=s"
"08043 碘酸鉀","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2797&t=s"
"08044 甲基柑果苷(維生素P)","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2798&t=s"
"08045 維生素K3","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2799&t=s"
"08047 鹽酸L-組織胺鹽","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2800&t=s"
"08048 L-異白胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2801&t=s"
"08049 DL-色胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2802&t=s"
"08050 L-色胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2803&t=s"
"08051 L－α胺基異戊酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2804&t=s"
"08053 L－乙二胺己酸L－麩酸酯","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2805&t=s"
"08054 鹽酸L－二胺基己酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2806&t=s"
"08055 DL－蛋胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2807&t=s"
"08056 L－蛋胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2808&t=s"
"08057 L－苯丙胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2809&t=s"
"08058 DL－羥丁胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2810&t=s"
"08059 L－羥丁胺酸","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2811&t=s"
"08061 本多酸鈉","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2812&t=s"
"08063 氯化鉀","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2814&t=s"
"08064 硫酸鎂","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2815&t=s"
"08066 重酒石酸膽鹼","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2816&t=s"
"08067 氯化膽鹼","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2817&t=s"
"08113 磷酸二氫鈣","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2818&t=s"
"08114 磷酸氫鈣","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2819&t=s"
"08116 磷酸鈣","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2820&t=s"
"08117 乳酸鐵","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2821&t=s"
"08118 乳酸鈣","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2822&t=s"
"08140 葡萄糖酸鈣","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2823&t=s"
"09001 食用紅色六號","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2824&t=s"
"09002 食用紅色七號","2013-09-04","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2825&t=s"
