標題,發布日期,連結
"肉及肉製品水分含量建議檢驗方法","2014-08-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9513&t=s"
"食品中食品添加物建議檢驗方法彙整表(2)","2014-08-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9515&t=s"
"膠囊錠狀食品中大豆異黃酮之檢驗方法","2014-08-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9545&t=s"
"食品微生物之檢驗方法－嬰兒雙叉乳酸桿菌之檢驗","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11003&t=s"
"食品微生物之檢驗方法－乳酸菌－副乾酪乳酸桿菌之檢驗","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11004&t=s"
"食品微生物之檢驗方法－乳酸菌－唾液鏈球菌之檢驗","2015-03-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=11005&t=s"
"食品中動物用藥殘留量檢驗方法－丁香酚及三卡因甲磺酸之檢驗(TFDAV0005.00)","2015-06-10","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13474&t=s"
"化粧品中抗組織胺檢驗方法(Antihistamines：bromodiphenhydramine,carbinoxamine,clemastine,diphenhydramine,diphenylpyraline and doxylamine)","2015-07-31","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13806&t=s"
"化粧品中防腐劑之檢驗方法(二)(Preservatives：2,4-dichlorobenzyl alcohol,benzyl alcohol,bromochlorophene,chlorocresol,chlorphenesin,p-chlorophenol,phenoxyethanol and benzoyl peroxide)","2015-07-31","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13807&t=s"
"食品中蘆薈素之檢驗方法(TFDAA0037.00)","2015-09-11","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14035&t=s"
"食品中偶氮二甲醯胺之檢驗方法(TFDAA0038.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14159&t=s"
"食品中尿素之檢驗方法(TFDAA0039.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14160&t=s"
"醬油中萘酚之檢驗方法(TFDAA0040.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14161&t=s"
"食品中反丁烯二酸二甲酯殘留之檢驗方法(TFDAA0041.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14162&t=s"
"海參中醋酸之檢驗方法(TFDAA0042.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14163&t=s"
"食品微生物之檢驗方法－乳酸菌－短乳酸桿菌之檢驗(TFDAM0011.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14165&t=s"
"食品微生物之檢驗方法－乳酸菌－發酵乳酸桿菌之檢驗(TFDAM0012.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14166&t=s"
"食品微生物之檢驗方法－乳酸菌－嗜酸乳酸桿菌之檢驗(TFDAM0013.00)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14167&t=s"
"咖啡中二氯甲烷殘留之檢驗方法(TFDAO0021.01)","2015-10-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=14168&t=s"
"化粧品中果酸成分鑑別及含量測定方法(α-Hydroxy：glycolic acid, dl-malic acid, lactic acid ,citric acid)","2007-12-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1626&t=s"
"化粧品中鉻鑑別及含量測定方法(Chromium)","2009-03-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1630&t=s"
"燙髮劑中溴酸鈉成分之鑑別及含量測定(Sodium Bromate)","2009-03-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1631&t=s"
"化粧品中鉛、鎘及砷鑑別及含量測定方法(Lead, Cadmium and Arsenic)","2009-06-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1634&t=s"
"燙髮劑中硫醇基乙酸及半胱胺酸之鑑別及含量測定方法(Thioglycolic acid and Cysteine)","2009-06-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1635&t=s"
"乳汁中硫氰酸根之檢驗方法(TFDAA0043.00)","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17377&t=s"
"麵條中亞氯酸根之檢驗方法(TFDAA0044.00)","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17378&t=s"
"化粧品中三氯醋酸之檢驗方法(Trichloroacetic Acid)","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17379&t=s"
"化粧品中甲基丙烯酸甲酯之鑑別及含量測定(Methyl Methacrylate)","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17380&t=s"
"可吸收性縫合線材質鑑別之檢驗方法(polylactic acid,polyglycolicoly acid,poly(lactic-co-glycolic acid),polydioxanone,polycaprolactone,polypropylene carbonate,polytrimethylene carbonate)","2015-11-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17381&t=s"
"膠囊與錠狀食品中芝麻素、芝麻林素及五味子乙素之檢驗方法(TFDAA0045.00)","2015-12-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17519&t=s"
"膠囊與錠狀食品中牛磺酸之檢驗方法(TFDAA0046.00)","2015-12-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17520&t=s"
"膠囊與錠狀食品中綠原酸類之檢驗方法(TFDAA0047.00)","2015-12-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17521&t=s"
"食品中糖類之檢驗方法(TFDAO0022.01)","2015-12-12","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17523&t=s"
"奈米碳酸鈣及奈米珍珠粉之粒徑量測方法(TFDAO0024.00)","2016-01-26","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17749&t=s"
"化粧品中二氧化鈦奈米微粒之粒徑量測方法(Titanium Dioxide Nanoparticles)","2016-01-26","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17750&t=s"
"化粧品中染髮劑之檢驗方法(二)(Hair Dyes共12項)","2016-01-26","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17751&t=s"
"化粧品中硼酸之檢驗方法(Boric Acid)","2016-01-26","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17752&t=s"
"食品中動物性成分檢驗方法－旗魚科魚類成分之定性檢驗(TFDAF0011.00)","2016-01-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17760&t=s"
"食品中碘含量之檢驗方法(TFDAA0049.00)","2016-02-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=17902&t=s"
"膠囊錠狀食品中葉黃素及玉米黃素之檢驗方法(TFDAA0051.01)","2016-04-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=18113&t=s"
"蜂蜜中動物用藥殘留量檢驗方法-硝基呋喃代謝物之檢驗(TFDAV0006.00)","2016-04-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=18114&t=s"
"化粧品中氯化芐二甲烴銨之檢驗方法(Benzalkonium Chloride)","2016-04-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=18115&t=s"
"化粧品中染髮劑之檢驗方法【第1次修正】(Hair Dyes增加品項至50項)","2016-04-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=18116&t=s"
"食品中丙烯醯胺之檢驗方法(GC/MS)","2010-03-22","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1979&t=s"
"食品中游離態L-肉鹼之檢驗方法(TFDAA0050.00)","2016-06-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21480&t=s"
"食品中褪黑激素之檢驗方法(TFDAA0052.00)","2016-06-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21481&t=s"
"食品中維生素C之檢驗方法(TFDAA0053.00)","2016-06-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21482&t=s"
"化粧品中溴酸鈉之檢驗方法(Sodium Bromate)","2016-06-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21483&t=s"
"食品中真菌成分檢驗方法－牛樟芝之檢驗(TFDAF0001.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21576&t=s"
"食品中真菌成分檢驗方法－冬蟲夏草之檢驗(TFDAF0002.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21577&t=s"
"食品中真菌成分檢驗方法－蛹蟲草之檢驗(TFDAF0003.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21578&t=s"
"油脂中汙染動物性成分檢驗方法－豬、雞、牛、羊及魚之定性檢驗(TFDAF0004.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21579&t=s"
"食品中動物性成分檢驗方法－魴魚之定性檢驗(TFDAF0005.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21580&t=s"
"食品中動物性成分檢驗方法－低眼巨鯰之定性檢驗(TFDAF0006.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21581&t=s"
"食品中動物性成分檢驗方法－鮪屬魚類之定性檢驗(TFDAF0007.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21582&t=s"
"食品中動物性成分檢驗方法－鉤吻鮭屬魚類之定性檢驗(TFDAF0008.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21583&t=s"
"食品中動物性成分檢驗方法－大西洋鮭魚之定性檢驗(TFDAF0009.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21584&t=s"
"食品中動物性成分檢驗方法－麥奇鉤吻鮭之定性檢驗(TFDAF0010.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21585&t=s"
"食品中動物性成分檢驗方法－旗魚科魚類之定性檢驗(TFDAF0011.01)","2016-07-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21586&t=s"
"食品中六價鉻之檢驗方法(TFDAH0004.01)","2016-09-01","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21762&t=s"
"食品中甜味劑之檢驗方法(TFDAA0009.01)","2016-10-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21887&t=s"
"膠囊及錠狀食品中氟離子之檢驗方法(TFDAA0054.00)","2016-10-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21888&t=s"
"食品中游離態泛酸之檢驗方法(TFDAA0055.00)","2016-10-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21889&t=s"
"食品中游離態葉酸之檢驗方法(TFDAA0056.00)","2016-10-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21890&t=s"
"茶葉中過氯酸鹽之檢驗方法(TFDAO0026.00)","2016-10-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=21891&t=s"
"化粧品中氧化鋅奈米微粒之粒徑量測方法(Zinc Oxide Nanoparticles)","2016-11-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22128&t=s"
"化粧品中局部麻醉劑檢驗方法(Local Anesthetics：benzocaine,cocaine,dibucaine,lidocaine,procaine and tetracaine)","2016-11-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22129&t=s"
"基因改造食品檢驗方法－黃豆轉殖品項DAS-68416-4 (UI: DAS-68416-4)之轉殖品項特異性定性及定量檢驗(TFDAG0033.00)","2016-11-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22131&t=s"
"食用油中苯之檢驗方法(TFDAO0025.02)","2016-11-23","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22132&t=s"
"塑膠類嬰兒奶瓶中雙酚A之檢驗方法(TFDAU0005.01)","2017-01-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22387&t=s"
"食品中著色劑之檢驗方法(二)(TFDAA0057.00)","2017-01-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22388&t=s"
"食品中動物性成分檢驗方法－蝦之定性檢驗(TFDAF0012.00)","2017-01-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22389&t=s"
"蛋類中蘇丹色素之檢驗方法(TFDAA0058.00)","2017-01-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22390&t=s"
"化粧品中禁用色素類之鑑別及含量測定(Banned Dyes共14項)","2017-01-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22391&t=s"
"化粧品中美白成分之檢驗方法(Whitening Ingredients：ascorbyl glucoside,kojic acid,arbutin,3-O-ethyl ascorbic acid,potassium 4-methoxysalicylate,magnesium ascorbyl phosphate and tranexamic acid)","2017-01-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22392&t=s"
"穀類中二溴乙烷之檢驗","2010-04-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2267&t=s"
"食品中總有效氯之檢驗方法(TFDAD0001.00)","2017-03-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22834&t=s"
"食品中亞氯酸鹽及氯酸鹽之檢驗方法(TFDAD0002.00)","2017-03-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22835&t=s"
"健康食品保健功效(品管指標)成分或特定項目檢驗方法(TFDAA0026.01)","2017-03-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=22836&t=s"
"食品中殘留農藥檢驗方法－極性農藥及其代謝物多重殘留分析方法(TFDAP0006.00)","2017-04-19","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=23237&t=s"
"食品中殘留農藥檢驗之建議方法清單(TFDAP0003.01)","2017-04-26","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=23293&t=s"
"食品中殘留農藥檢驗方法－多重殘留分析方法(六)(TFDAP0007.00)","2017-04-26","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=23294&t=s"
"米製品中羅丹明B、酸性紅、夾竹桃紅及偶氮玉紅著色劑之鑑別方法(TFDAA0059.00)","2017-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24040&t=s"
"食品中甲醛之檢驗方法(乙醯(代)丙酮法)(TFDAA0048.01)","2017-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24041&t=s"
"食品中番瀉苷之檢驗方法(TFDAO0023.01)","2017-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24042&t=s"
"化粧品中染髮劑之檢驗方法(三) (Hair Dyes共13項)","2017-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24043&t=s"
"食品微生物之檢驗方法－乳酸菌－乾酪乳酸桿菌之檢驗(TFDAM0014.00)","2017-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24044&t=s"
"食品微生物之檢驗方法－乳酸菌－瑞士乳酸桿菌之檢驗(TFDAM0015.00)","2017-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24045&t=s"
"食品微生物之檢驗方法－乳酸菌－鼠李糖乳酸桿菌之檢驗(TFDAM0016.00)","2017-07-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24046&t=s"
"雞肉及雞蛋中殘留農藥檢驗方法–芬普尼及其代謝物之檢驗(TFDAP0008.01)","2017-08-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24199&t=s"
"化粧品中六氯酚、硫氯酚及雙氯酚之鑑別及含量測定(Hexachlorophene, Bithionol and Dichlorophen)","2010-05-03","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2426&t=s"
"食品中游離胺基酸、葡萄糖胺及牛磺酸之檢驗方法(TFDAA0060.00)","2017-09-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24279&t=s"
"膠囊與錠狀食品中水溶性維生素之檢驗方法(TFDAA0012.02)","2017-09-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24280&t=s"
"嬰兒配方乳品中維生素B1之檢驗方法(TFDAA0061.00)","2017-09-07","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24281&t=s"
"禽畜產品中殘留農藥檢驗方法－多重殘留分析方法(123品項)(TFDAP0009.01)","2017-09-30","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24478&t=s"
"動物產品中殘留農藥檢驗之建議方法清單(TFDAP0010.00)","2017-09-30","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24479&t=s"
"基因改造食品檢驗方法-黃豆轉殖品項BPS-CV127-9 (UI BPS-CV127-9)之轉殖品項特異性定性及定量檢驗(TFDAG0032.01)","2017-09-30","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24480&t=s"
"食品中蘇丹色素之檢驗方法(TFDAA0062.00)","2017-09-30","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24481&t=s"
"動物用藥殘留檢驗之建議方法清單(TFDAV0007.00)","2017-11-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24665&t=s"
"蜂蜜中C4植物糖之檢驗方法(TFDAO0027.00)","2017-11-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24666&t=s"
"食品中二氧化硫之檢驗方法(氣相層析質譜法)(TFDAA0063.00)","2017-11-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24667&t=s"
"食品中磷酸鹽之檢驗方法(TFDAA0021.02)","2017-11-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24668&t=s"
"膠囊錠狀食品中檸檬酸三乙酯之檢驗方法(TFDAA0064.00)","2017-11-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24669&t=s"
"食品中著色劑之檢驗方法－多重分析方法(TFDAA0065.00)","2017-11-14","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=24670&t=s"
"化粧品中汞鑑別及含量測定方法(Mercury)","2010-06-03","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2563&t=s"
"食用油中無機砷之檢驗方法","2010-06-29","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3055&t=s"
"食品中香豆素之參考檢驗方法","2010-07-05","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3072&t=s"
"膠囊錠狀食品維生素礦物質檢驗方法彙整表","2011-01-27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3192&t=s"
"飲料中兒茶素之檢驗方法","2010-11-16","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3749&t=s"
"化粧品中樟腦、薄荷腦及水楊酸甲酯之鑑別及含量測定(Camphor, Menthol and Methyl Salicylate)","2010-12-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3873&t=s"
"化粧品中Bimatoprost、Cloprostenol、Fluprostenol及Travoprost之鑑別及含量測定","2010-12-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3874&t=s"
"化粧品中異丙基甲苯酚、酚及三氯二苯脲之鑑別及含量測定(Isopropyl Methylphenol, Phenol and Triclocarban)","2010-12-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3875&t=s"
"食品微生物之檢驗方法－沙波病毒之參考檢驗方法","2011-02-15","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=4251&t=s"
"基因改造食品檢驗方法—玉米轉殖品項BT11 (UI: SYN-BTØ11-1)之構造特異性定性及定量檢驗","2011-03-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=4600&t=s"
"基因改造食品檢驗方法—玉米轉殖品項EVENT176 (UI SYN-EV176-9)之構造特異性定性及定量檢驗","2011-03-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=4601&t=s"
"基因改造食品檢驗方法—玉米轉殖品項GA21 (UI: MON-ØØØ21-9)之構造特異性定性及定量檢驗","2011-03-21","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=4602&t=s"
