回收分級,文號,日期,產品,許可證字號,批號,許可證持有者,原因,
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","氫氧化鎂錠 MAGNESIUM HYDROXIDE TABLETS ＂SHINLON＂","衛署藥製字第007374號","2260712、3260713、2260813、3260814、2181118、3181119、2281211、3281212、2140427、3140428、2130628、3130629、2100827、3100828、2211226、3211227、2010232、3010233、2170533、3170534、2050731、2100245、3100246、2090444、3090445、2300542、3300543、2150846、3150847、2311040、3311041(共31批)","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","咪唑尼達膠囊２５０公絲 METRONIDAZOLE CAPSULES 250MG ＂SHINLON＂","衛署藥製字第013664號","6100819","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","健心寧錠 PROPRANOLOL TABLETS ＂SHINLON＂","衛署藥製字第019192號","2241116、3241117","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","來治咳３０公絲膜衣錠(伊普拉辛隆) RASICO 30MG F.C. TABLETS (EPRAZINONE) ＂S.L.＂","衛署藥製字第034293號","3220226","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","＂信隆＂ 痛達寧膜衣錠(待克菲那) TONTARIN F.C. TABLETS (DICLOFENAC)","衛署藥製字第024103號","2231115","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","＂信隆＂停拉嚼錠750毫克 TINDA CHEWABLE TABLETS 750MG ＂S.L.＂","衛署藥製字第044044號","3220719、3090813、3241016、3251017、3191211、3201214、2240429、3240420、2290828、3290829、3241028、2070834、3070835、3041137、3051138、3151130、3191134、2211137、3211138、2291135、3291136、2021235、3021236、2041237、3041238、3051239、3061230(共27批)","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","＂信隆＂ 優利鐵 膠囊 YOUR IRON CAPSULES ＂S.L.＂","衛署藥製字第047050號","6071018、8071010、6251010、8251012、6091212、8091214、6040126、8040128、6260324、8260326、6280528、8280520、6100720、8100722、6230826、8230828、6021025、8021027、6261124、8261126、6271125、8271127、6020136、6260336、8260338、6290531、8290533、6230737、9230730、6240738、8240730、6181035、8181037、5121230、6121231、8121233、9121234、5130342、6130343、8130345、9130346、6090549、8090541、5240749、6240740、8240742、9240743、5061042、6061043、5071043、6071044、5091247、6091248、8091240、9091241(共55批)","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","“培力”尼卡平靜脈注射液","衛署藥製字第048882號","3010303、3010304","培力藥品工業股份有限公司","大豐製藥股份有限公司未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","鹽酸消旋甲基麻黃鹼錠","內衛藥製字第001451號","5011404","華安生技有限公司","大豐製藥股份有限公司未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年4月22日部授食字第1051102202號(食藥署風管組)","2016-05-01","“天乾”康膚消炎乳膏1公絲/公克（丙酮特安皮質醇）","衛署藥製字第032580號","3240","天乾製藥有限公司","未依GMP規定生產及儲存藥品，生產紀錄填寫不實，藥品儲存環境不良。",
"第二級","105年4月22日FDA風字第1050013385號(食藥署風管組)","2016-05-05","＂黃氏＂服炎液劑","衛署藥製字第048483號","3AT01、3AT19、4FY19、4FY20、4OR26、4OR27、5MH37、5MH38","黃氏製藥有限公司","主成分原料未具有藥品許可證",
"第二級","105年4月22日FDA風字第1050013385號(食藥署風管組)","2016-05-05","＂黃氏＂好舒雞眼軟膏","衛署藥製字第046479號","3MH01、3JU14、4MH38、4DR18、5JY28","黃氏製藥有限公司","主成分原料未具有藥品許可證",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","＂信隆＂ 複方維他命Ｂ錠 SHINLON VITAMIN B COMPLEX TABLETS","內衛藥製字第004203號","2250723、3250724","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682B號(食藥署藥品組)","2015-09-07","抑疼痛膠囊２００公絲〝信隆〞 ETODON CAPSULES 200MG ＂S.L.＂","衛署藥製字第043985號","6240524、6091123、6090931","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年9月10日 FDA藥字第1040039163號(食藥署藥品組)","2015-09-18","美膚健藥膏 MANFUGEN OINTMENT ＂S.C.＂","內衛藥製字第006173號","12H35、12H61、13G86、13K80、13K84、13K90、14G14、14H64、14K19、14M92、14P90、12H07、13H02、12H17、12H66、12K17、13F42、13G46、13G91、12H24、13C63、13G34、13C69","十全實業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年7月9日 FDA藥字第1040029908號(食藥署藥品組)","2015-07-09","速潰樂腸溶膜衣錠40毫克 Pantyl Gastro-resistant Tablets 40mg","衛署藥製字第057974號","3AT3CB、3AT3CA、36T3CH及36T3G8","中國化學製藥股份有限公司新豐工廠","廠商自主通報，說明藥品留樣品因水分測定結果顯示水分含量偏高，且部分藥錠有膜衣層龜裂現象",
"2","104年11月20日 FDA藥字第1040054779號(食藥署藥品組)","2015-12-07","痰可稀錠8毫克(鹽酸溴克辛) TANCOSIN TABLETS 8MG (BROMHEXINE HYDROCHLORIDE) ＂CHEN TA＂","衛署藥製字第025986號","C11602","成大藥品股份有限公司","廠商主動通報，說明藥品因長期安定性試驗之硬度試驗結果未符合原核准規格。",
"第二級","105年1月28日 FDA風字第1050002530A號(食藥署風管組)","2016-02-25","＂正長生＂克暈液（氯茶生僉二苯安明） ANDRUMIN LIQUID (DIMENHYDRINATE) ＂J.C.S.＂","衛署藥製字第031483號","309901","正長生化學製藥股份有限公司","成品檢驗結果未能符合查驗登記規格。",
"2","105年2月16日 FDA藥字第1050001916號(食藥署藥品組)","2016-02-26","口淨舒喉片2公絲 CLEANTHROAT TROCHES 2MG","衛署藥製字第000987號","T2E02、T2E04、T2E07、T2E08、T2G05、T3G02、T3G03","華盛頓製藥廠股份有限公司","廠商主動通報，說明藥品使用不符合規定之原料藥",
"","105年3月28日 FDA藥字第1050011685號(食藥署藥品組)","2016-04-08","＂濟生＂施免潰瘍注射液(希每得定) CIMETIDINE INJECTION ＂CHI SHENG＂","衛署藥製字第022465號","J2151、J2152","濟生化學製藥廠股份有限公司","廠商主動通報，說明藥品因長期安定性試驗結果發現主成分含量趨近於原核准規格下限",
"2","105年4月22日 FDA藥字第1051404338號(食藥署藥品組)","2016-04-28","“優良”立定錠300毫克(碳酸鋰) LIDIN TABLETS 300MG (LITHIUM CARBONATE)","衛署藥製字第024474號","5P1091","優良化學製藥股份有限公司","接獲藥品不良品通報，藥品有碎裂、破損之不良情形，廠商自行評估後主動啟動回收",
"2","105年4月18日 FDA藥字第1051404139號(食藥署藥品組)","2016-04-28","剋癌易20毫克/毫升單支注射液Taxotere 20mg/ml Concentrate for solution for infusion","衛署藥輸字第025289號","","賽諾菲股份有限公司","廠商主動通報，說明案內藥品因主成分濃度有異常之不良情形。",
"第二級","105年4月22日部授食字第1051102202號(食藥署風管組)","2016-05-01","“天乾”氯化苄二烴銨溶液50%","衛署藥製字第030991號","4267","天乾製藥有限公司","未依GMP規定生產及儲存藥品，生產紀錄填寫不實，藥品儲存環境不良。",
"第二級","105年4月22日部授食字第1051102202號(食藥署風管組)","2016-05-01","“天乾”皮膚好藥膏（施翠邁）","衛署藥製字第036631號","6047","天乾製藥有限公司","未依GMP規定生產及儲存藥品，生產紀錄填寫不實，藥品儲存環境不良。",
"第二級","105年4月22日FDA風字第1050013385號(食藥署風管組)","2016-05-05","＂黃氏＂痣癒妥軟膏","衛署藥製字第048030號","2MY20、2MY21、2SR10、2SR11、3AL07、3MY38、3MY39、4JY08、4FY30、4AL04、4AL05、4SR30、4SR31、5JY29、5JY30、5MH15、5MH16","黃氏製藥有限公司","主成分原料未具有藥品許可證",
"第二級","105年4月22日FDA風字第1050013385號(食藥署風管組)","2016-05-05","＂黃氏＂剋疣外用液","衛署藥製字第050770號","3MY20、3JE20、3JU33、3SR07、3SR09、3SR20、3OR05、3NR15、3NR16、3DR22、3DR24、4MH06、4MY05、4MY06、4AT13、4AT14、4AT36、4OR22、4DR41、5JY03、5JY32、5JY33","黃氏製藥有限公司","主成分原料未具有藥品許可證",
"第二級","105年5月3日部授食字第1051102509號 (食藥署風管組)","2016-05-05","咳舒佳液","衛署藥製字第034044號","311302","正長生化學製藥股份有限公司","含量測定結果與規格不符。",
"第二級","105年5月2日FDA風字第1050016428號 (食藥署風管組)","2016-05-05","“維星”安碘液","衛署藥製字第055911號","HA30213、HA30217","維星生技有限公司","含量測定結果與規格不符。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","愛補膠囊","衛署藥製字第035297號","5021303、5021305","佳士達藥品有限公司","大豐製藥股份有限公司未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","旺力新糖衣錠 ONE-RESEM S.C. TABLETS","內衛藥製字第011290號","2221114、3221115、4221116、2110424、3110425、4110426","內衛藥製字第011290號","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682B號(食藥署藥品組)","2015-09-07","安奈妥糖衣錠 ANETHOL TRITHIONE S.C. TABLETS ＂SHINLON＂","衛署藥製字第015359號","3141216","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682B號(食藥署藥品組)","2015-09-07","克黴速乳膏〝信隆〞 CLOBE CREAM ＂S.L.＂","衛署藥製字第043215號","7261238","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","104年8月26日 FDA藥字第1040033682B號(食藥署藥品組)","2015-09-07","扶得康軟膏(氟欣諾隆) FUTOCAN CREAM (FLUO CINOLONE)＂SHINLON＂","衛署藥製字第020926號","7151122","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
"2","106年3月24日FDA藥字第1061402713號(食藥署藥品組)","2017-03-30","金壕感冒膠囊 COLDAN GOLD CAPSULE","衛署藥輸字第023399號","633、632、631、574、573、572、453、452、451、323、322及321","德佑藥品有限公司","案內批號藥品未依照核准檢規檢測即放行",
"2","106年3月24日FDA藥字第1061402713號(食藥署藥品組)","2017-03-30","近畿綜合感冒顆粒 NEW COLDAN GRANULE","衛署藥輸字第023389號","5Y1、4Y2及371","德佑藥品有限公司","案內批號藥品未依照核准檢規檢測即放行",
"2","106年3月24日FDA藥字第1061402713號(食藥署藥品組)","2017-03-30","近畿胃腸藥顆粒 NEW ICHOYAKU KINKI","衛署藥輸字第023377號","5Y2、4Z3及311","德佑藥品有限公司","案內批號藥品未依照核准檢規檢測即放行",
"2","106年3月24日FDA藥字第1061402713號(食藥署藥品組)","2017-03-30","近畿痢克停膠囊 ICHO NI DARUMU CAPSULE","衛署藥輸字第023408號","522及241","德佑藥品有限公司","案內批號藥品未依照核准檢規檢測即放行",
"2","106年3月24日FDA藥字第1061402713號(食藥署藥品組)","2017-03-30","近畿胃腸藥錠 CHOYU M TABLET","衛署藥輸字第023383號","651、582、561、4Z2、481、3X2、361、282及251","德佑藥品有限公司","案內批號藥品未依照核准檢規檢測即放行",
"2","106年3月24日FDA藥字第1061403102號(食藥署藥品組)","2017-03-30","近畿拿走痛顆粒 NOHAREGEN GRANULE","衛署藥輸字第023535號","681、5X2、4Y1及362","優德貿易有限公司","案內批號藥品未依照核准檢規檢測即放行",
"第二級","106年3月24日FDA風字第1061101852號。（風險管理組）","2017-04-06","＂得生＂ 順好貼藥布(吲哚美洒辛) Sung Hao Tieh Pap ＂T.S.＂ (Indomethacin)","衛署藥製字第047720號","02693059、02693060、02693061及02693062","凱進藥品有限公司","廠商主動回收。",
"第二級","106年3月27日衛授食字第1061101833號。（風險管理組）","2017-04-06","“易陽”舒血凝糖衣錠100公絲（梯可比定）TICLOPINE S.C. TABLETS 100MG (TICLOPIDINE)“EAYUNG”","衛署藥製字第034016號","PM04","易陽實業有限公司","重量管制結果與規格不符。",
"第二級","106年3月27日衛授食字第1061101823號(風險管理組)。","2017-04-06","＂永吉＂益心膠囊１０公絲（悠卡諾） ERCIN CAPSULES 10MG (UBIDECARENONE) ＂YUNG CHI＂","衛署藥製字第040639號","PM06","永吉製藥股份有限公司","重量管制結果與規格不符。",
"第二級","106年3月28日衛授食字第1061101822號。 (風險管理組)","2017-04-06","＂陽生＂ 雅膚寧乳膏 YEAFULIN CREAM ＂Y.S.＂","衛署藥製字第025816號","WJ202","台灣陽生製藥工業股份有限公司","含量測定結果與規格不符。",
"2","106年3月27日 FDA藥字第1061403110號(食藥署藥品組)","2017-04-06","莎膚納軟膏 SAFUNAIN RUB OINTMENT","衛署藥輸字第009198號","711、685、674、632、531、484、341、及231","臺聯藥物有限公司","案內批號藥品未依照核准檢規檢測即放行",
"2","106年4月7日 FDA藥字第1061403351號(食藥署藥品組)","2017-04-13","艾筆腎上腺素注射筆 0.3 毫克/次 Epipen Epinephrine Auto-Injector","衛署藥輸字第025223號","6GH294","台灣邁蘭有限公司","廠商主動通報，案內批號藥品之留樣品發現零件瑕疵，可能導致該裝置無法啟動",
"2","106年4月12日 FDA藥字第1061403697號(食藥署藥品組)","2017-04-20","＂應元＂ 視益眼藥水 0.25% SHOWEN EYE DROPS 0.25% ＂Y.Y.＂","衛署藥製字第045307號","1116013","應元化學製藥股份有限公司","廠商主動通報，案內批號藥品因安定性試驗發現純度有低於規格值情況",
"2","106年4月14日 FDA藥字第1061403702號(食藥署藥品組)","2017-04-20","頓痛特注射液50毫克/毫升(鹽酸妥美度) TRAMTOR INJECTION 50MG/ML (TRAMADOL HYDROCHLORIDE)","衛署藥製字第038145號","11181503、11181504、11181505、11181506、11181507、11181508、11181509","美時化學製藥股份有限公司","廠商主動通報，案內藥品於長期安定性試驗結果發現，第12個月時pH值未符合原核准規格",
"2","106年4月19日 FDA藥字第1061403960號(食藥署藥品組)","2017-04-27","＂大豐＂血可補注射液0.5毫克/毫升 MECOBAL INJECTION 0.5 MG/ML ＂T.F＂","衛署藥製字第032989號","6124208","大豐製藥股份有限公司","接獲藥品不良品通報，案內批號藥液之pH值不符合檢規",
"2","106年4月28日 FDA藥字第1061404331號(食藥署藥品組)","2017-05-04","＂百合＂ 人白蛋白２０％ ALBIOMIN 20%","衛署菌疫輸字第000380號","B234056、B234066、B234106、B234116、B234335、B234416、B234456、B234466、B234476、B234505、B234525、B234585、B235695(共13批)","禾利行股份有限公司","廠商主動通報，案內批號藥品因生產設備故障可能有被乙二醇汙染之疑慮",
"2","106年5月5日 FDA藥字第1060016959號(食藥署藥品組)","2017-05-11","可妃茵錠 K-feing Tablets","衛部藥製字第058305號","16C28、16D59、16F17","十全實業股份有限公司","廠商主動通報，案內批號藥品因安定性試驗發現不純物偏離規格",
"第一級","106年5月18日衛授食字第1061103115A號(風險管理組)","2017-05-18","＂極東＂正露丸 SEIROGAN ＂KYOKUTO＂","衛署藥輸字第015450號","全批號","中榮貿易股份有限公司","竄改產品批號及有效期限標示。",
"第一級","106年5月18日衛授食字第1061103115B號。 (風險管理組)","2017-05-18","極品正露丸 HONPO SEIROGAN","衛署藥輸字第023437號","全批號","嫦娥藥品有限公司","竄改產品批號及有效期限標示。",
"2","106年5月4日 FDA藥字第1060017070號(食藥署藥品組)","2017-05-11","賜眼康點眼液〝溫士頓〞SENCORT OPHTHALMIC SOLUTION ＂WINSTON＂","衛署藥製字第043619號","SEN10044、SEN10054、SEN10064、SEN10074、SEN10084、SEN10094、SEN10104、SEN10114、SEN15001、SEN15002、SEN15003、SEN15004、SEN15005、SEN15006、SEN15007、SEN15008、SEN15009、SEN15010、SEN15011、SEN15012、SEN16001、SEN16002、SEN16003、SEN16004 (共24批)","溫士頓醫藥股份有限公司","廠商主動通報，案內批號藥品因安定性試驗發現主成分含量低於原核准規格",
"1","106年5月23日新北衛食字第1060988536號(新北市政府衛生局)","2017-05-23","金平膜衣錠5毫克 Zypine film coated tablets 5mg","衛部藥製字第058028號","E1235及E1238","幸生實業股份有限公司","經銷商竄改案內批號藥品效期及批號",
"第二級","106年5月19日衛授食字1061102965號。(風險管理組)","2017-05-25","隆波特眼藥水 0.005% LANOPROST OPHTHALMIC SOLUTION 0.005% (LATANOPROST)","衛署藥製字第047521號","TM008、TP005及TP010","景德製藥股份有限公司","製程確效結果有疑義。",
"2","106年5月17日 FDA藥字第1060018672號(食藥署藥品組)","2017-05-25","＂應元＂ 視益眼藥水 0.25% SHOWEN EYE DROPS 0.25% ＂Y.Y.＂","衛署藥製字第045307號","1115087、1115146、1115200、1115208、1116015、1116017、1116076","應元化學製藥股份有限公司","廠商主動通報，案內批號藥品因安定性試驗發現純度有低於規格值情況",
"2","106年5月18日 FDA藥字第1061404930號、106年5月19日 FDA藥字第1061405041號(食藥署藥品組)","2017-05-25","皮復健乳膏 SILVER SULFADIAZINE CREAM","衛署藥製字第016402號","400g包裝批號：SVOB39、SVOB40、SVOB48、SVOB49、SVOB50；500g包裝批號：SVOB33、SVOB34、SVOB35、SVOB36、SVOB37、SVOB38、SVOB41、SVOB42、SVOB43、SVOB44、SVOB45、SVOB46、SVOB47、SVOB51、SVOB52","瑞士藥廠股份有限公司","接獲藥品不良品通報，案內藥品有顏色異常之不良情形",
"第一級","106年5月25日衛授食字1061103287號。(風險管理組)","2017-05-25","”天良”諾克治痛感冒液NOCKS PAIN RELIEF ANTI-COLD SOLUTION ＂T.L.B.＂","衛署藥製字第011311號","全批號","天良生物科技企業股份有限公司","將藥品重新貼標、包裝及更改批號與有效期間標示。",
"2","106年5月25日 FDA藥字第1061405254號(食藥署藥品組)","2017-06-03","＂福元＂ 瓦斯敏錠 GASMIN TABLETS ＂F.Y.＂","衛署藥製字第000415號","GAS704","福元化學製藥股份有限公司","接獲藥品不良品通報，案內批號藥品有異物混入藥品內",
"2","106年5月31日 FDA藥字第1060020493號(食藥署藥品組)","2017-06-09","百福眼藥膏 Biomicin Sterile Ophthalmic Ointment","衛署藥製字第049932號","BIO15002、BIO15003、BIO15004、BIO16001","溫士頓醫藥股份有限公司","廠商主動通報，案內批號藥品因長期安定性試驗發現主成分含量偏離原核准規格",
"2","106年6月1日 FDA藥字第1061405426號(食藥署藥品組)","2017-06-09","倍鬆錠５公絲（貝可芬）BEFON TABLETS 5MG (BACLOFEN) ＂M.S.＂","衛署藥製字第037141號","330404、330405、430401、430402、430403、430404、430405、530401、530402、530403、530404、630401、630402、630403、630404、630405","美時化學製藥股份有限公司","廠商主動通報，案內批號藥品因長期安定性試驗之主成分含量檢驗結果不符合原核准規格",
"2","106年6月2日 FDA藥字第1061405420號(食藥署藥品組)","2017-06-09","優福乾粉注射劑（弗斯黴素）〝聯邦〞UFO POWDER FOR INJECTION (FOSFOMYCIN) ＂UNION＂","衛署藥製字第035049號","IG6011、IG6061","聯邦化學製藥股份有限公司","接獲藥品不良品通報，案內批號藥品因產品包裝不良",
"2","106年6月16日 FDA藥字第1061405938號(食藥署藥品組)","2017-06-22","鹽酸四環素眼藥膏１％ TETRACYCLINE HCL OPHTHALMIC OINTMENT 1% ＂KINGDOM＂","內衛藥製字第016430號","TA010、TB010、TB014及TC006","景德製藥股份有限公司","接獲藥品不良品通報，藥品外觀顏色異常，廠商自行評估後主動啟動回收",
"2","106年6月23日 FDA藥字第1060024421號(食藥署藥品組)","2017-06-29","〝溫士頓〞喜利膽膠囊３００毫克 CISBILE CAPSULES 300MG ＂WINSTON＂","衛署藥製字第044186號","CI-10024、CI-10034、CI-10044及CI-15001","溫士頓醫藥股份有限公司","廠商主動通報，說明案內批號藥品於第18個月安定性試驗之溶離度檢驗結果不符合原核准規格",
"","106年6月29日 FDA藥字第1060024866號(食藥署藥品組)","2017-07-06","克菌寧 殺菌液2% Easy Antiseptic Liquid 2%","衛署藥製字第052435號","2038-1538、2038-1543、2038-1544、2038-1545、2038-1601、2038-1602、2038-1603、2038-1604、2038-1605、2038-1606、2038-1607、2038-1608、2038-1609、2038-1610、2038-1611、2038-1612、2038-1613、2038-1614、2038-1615、2038-1616、2038-1617、2038-1618、2038-1619、2038-1620、2038-1621、2038-1622、2038-1623、2038-1624、2038-1625、2038-1626、2038-1627及2038-1628，共32批","寶齡富錦生技股份有限公司","廠商主動通報，說明案內批號藥品有發生沉澱情形之疑慮",
"2","106年11月13日 FDA藥字第1061410496號(食藥署藥品組)","2017-11-23","〝福元〞胃乳錠300毫克WEIL TABLET 300MG ＂F.Y.＂","衛署藥製字第042942號","WEL717","福元化學製藥股份有限公司","接獲藥品不良品通報，案內批號藥品打印錯誤，經廠商評估後自行回收案內批號藥品",
