燈號,標題名稱,內容,附檔,更新日期
"綠燈","美國Magnolia Bird Farm公司自主回收疑遭沙門氏菌汙染之花生產品，問題產品未輸入我國。","2012年11月15日，美國Magnolia Bird Farm公司自主回收疑遭沙門氏菌汙染之花生產品（如下表列），因其使用Sunland公司回收之花生原料。 有關Sunland公司花生原料污染事件，食品藥物管理局掌握相關訊息，並已於10月16日發布相關訊息（詳見該局消費者知識服務網網站）。Sunland公司回收之花生原料外包裝袋上寫的最佳日期為2012年10月12日至2013年10月12日，或是標示作物生產年份為2011或2012年。 經查問題產品並未輸入我國，本案經評估列屬綠燈。 Magnolia Bird Farm公司產品回收清單 Sunland Peanuts in Shell 2 lbs., 5 lbs., 10 lbs., 25 lbs., 50 lbs. 2 lbs. clear plastic; 5 lbs. & 10 lbs. in brown Kraft bag; 25 & 50 lbs. in white paper bag Hulled Peanuts 2 lbs., 5 lbs., 10 lbs., 25 lbs., 50 lbs. 2 lbs. clear plastic; 5 lbs. & 10 lbs. in brown Kraft bag; 25 & 50 lbs. in white paper bag Magnolia Bird Farm Conure Mix 2 lbs., 5 lbs., 10 lbs., 25 lbs., 50 lbs. 2 lbs. clear plastic; 5 lbs. & 10 lbs. in brown Kraft bag; 25 & 50 lbs. in white paper bag Magnolia Bird Farm Large Hookbill 2 lbs., 5 lbs., 10 lbs., 25 lbs., 50 lbs. 2 lbs. clear plastic; 5 lbs. & 10 lbs. in brown Kraft bag; 25 & 50 lbs. in white paper bag Magnolia Bird Farm Hookbill Supreme 2 lbs., 5 lbs., 10 lbs., 25 lbs., 50 lbs. 2 lbs. clear plastic; 5 lbs. & 10 lbs. in brown Kraft bag; 25 & 50 lbs. in white paper bag Magnolia Bird Farm Parrot Mix 3 lbs., 5 lbs., 10 lbs., 25 lbs., 50 lbs. 3 lbs. clear plastic; 5 & 10 lbs. in brown Kraft bag; 25 & 50 lbs. in white paper bag ;; 食品藥物管理局呼籲民眾若赴美國旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","","2012-11-17"
"綠燈","加拿大Birtch Farms and Estate Winery牌的南瓜醬產品疑遭肉毒桿菌污染，問題產品並未輸入我國。","一、 加拿大食品檢驗局(CFIA)於2012年11月19日警告消費者勿購買疑似遭肉毒桿菌（Clostridium botulinum）污染之Birtch Farms and Estate Winery牌的南瓜醬產品。 二、 問題產品係110毫升和250毫升包裝（附件），所有產品批號皆受到影響，銷售於安大略省(Ontario)。 三、 經查問題產品於加拿大境內販售，並未輸入我國，本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾若赴加拿大旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 肉毒桿菌廣泛存在自然界各處中，本菌會分泌毒素，造成食品中毒最常見的毒素是A、B、E等型，中毒致命率占所有細菌性食品中毒的第一位，食品加工過程中應注意：(1) 所用的食品原料應充分洗淨，除菌。(2)香腸、火腿類應注意硝酸鹽/亞硝酸鹽的添加量是否適量均勻。(3)充分殺菌。食品藥物管理局建議民眾，此毒素不耐熱，經煮沸後毒性會消失，應注意食品在食用前「應充分加熱」(至少應在 100℃，加熱 10分鐘) 。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1945。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2817&type=0","2012-11-21"
"綠燈","加拿大食品安全檢驗局(CFIA)回收美國輸入Sunland牌之疑遭沙門氏菌汙染之Organic Dark Chocolate Creamy 花生醬產品，問題產品未輸入我國。","1. 加拿大食品安全檢驗局(CFIA)警告美國輸入Sunland牌之疑遭沙門氏菌汙染之Organic Dark Chocolate Creamy 花生醬產品，問題產品未輸入我國。 2. 有關Sunland公司花生原料污染事件，食品藥物管理局掌握相關訊息，並已於10月16日發布相關訊息（詳見該局消費者知識服務網網站）。Sunland公司回收之花生原料外包裝袋上寫的最佳日期為2012年10月12日至2013年10月12日，或是標示作物生產年份為2011或2012年。 3. 問題產品為Sunland牌之Organic Dark Chocolate Creamy 花生醬(375 公克)（附件），UPC編碼為0 48687 89829 9，批次編號為100326，分布在魁北克或全加拿大，目前無相關病例報導。 4. 經查問題產品並未輸入我國，本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾若赴美國旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2820&type=0","2012-11-21"
"綠燈","美國Tony’s Imports and Exports公司自主回收自黎巴嫩輸入之疑遭沙門氏菌（Salmonella）汙染之AL-RABIH Tahineh芝麻糊產品，問題產品未輸入我國。","一、 美國Tony’s Imports and Exports公司自主回收自黎巴嫩輸入之疑遭沙門氏菌（Salmonella）汙染共141桶之AL-RABIH Tahineh芝麻糊產品。 二、 問題產品為白色塑膠桶，重量為40磅（18公斤），上頭標示” Imported by Tony Khorozian, Tony’s Imports & Exports, Tel S.S.F. 650-872- 6534, Fresno: 415 412- 1985 Best Before February 2014”(附件)，無相關病例報告。 三、 經查問題產品出售於美國境內分銷商或製造商作為原料，並未直接銷售予消費者，亦未輸入我國，本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾若赴美國或黎巴嫩旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2819&type=0","2012-11-21"
"綠燈","荷蘭自然及食品品質部回收自比利時輸入疑遭李斯特菌（Listeria Monocytogenes）污染之Keiemse起司，問題產品未輸入我國。","1. 荷蘭自然及食品品質部回收自比利時輸入疑遭李斯特菌（Listeria Monocytogenes）污染之Keiemse起司 2. 問題產品為2012年10月22日以後生產之Keiems Bloempje with and without herbs, Keiem Lean To Nature, Keiems Bloemetje with Herbs, Keiemnaer, Keiemse White, Keiemse Flower Large及Keiem Skinny with herbs等7款。 3. 經查涉案產品未輸入國內，本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾如自荷蘭或比利時攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 一旦感染李斯特菌症，每個人出現的症狀都可能會因年齡、性別和抵抗力強弱等，而有所不同，一般會在攝食汙染此菌之食物後約12小時內，出現類似感冒或腸胃不適等症狀。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、熟食和即食食物分開存放。避免進食存放在冰箱超過1天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1953。","","2012-11-21"
"綠燈","美國Michaels Gourmet Delicacies公司自主回收疑遭李斯特菌（Listeria Monocytogenes）污染之野生阿拉斯加鮭魚(Wild Alaskan Sockeye Salmon)，問題產品未輸入我國。","美國Michaels Gourmet Delicacies公司自主回收所有生產批號為#1443之野生阿拉斯加鮭魚(Wild Alaskan Sockeye Salmon)，疑遭李斯特菌污染。 問題產品為2012年6月12日至11月16日，在佛羅里達(Florida)Whole Foods超市販賣之下列產品： <><> <><> 重量 <><> 牌名 <><> 品名 <><> 批號 <><> UPC編碼 <><> <><> <><> 4 盎司 <><> Michaels Gourmet Delicacies <><> Wild Alaskan Sockeye Salmon Vacuum Packed <><> # 1443 <><> 93573 81729 <><> <><> <><> 8盎司 <><> Michaels Gourmet Delicacies <><> Wild Alaskan Sockeye Salmon Vacuum Packed <><> # 1443 <><> 93573 81728 <><> <><> <><> 16盎司 <><> Michaels Gourmet Delicacies <><> Wild Alaskan Sockeye Salmon Vacuum Packed <><> # 1443 <><> 13964 11568 <><> <><> <><> 4盎司 <><> Trimmings in Plastic Container <><> Wild Alaskan Sockeye Salmon Vacuum <><> # 1443 <><> 93573 81729 <><> <><> 經查涉案產品僅於美國境內販售，未輸入國內，本案經評估列屬綠燈。;;1. 食品藥物管理局呼籲民眾如自美國攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 一旦感染李斯特菌症，每個人出現的症狀都可能會因年齡、性別和抵抗力強弱等，而有所不同，一般會在攝食汙染此菌之食物後約12小時內，出現類似感冒或腸胃不適等症狀。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、熟食和即食食物分開存放。避免進食存放在冰箱超過1天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1953。","","2012-11-21"
"綠燈","芬蘭雀巢公司自主回收可能含有金屬碎片異物之Puffet IC Vanilla產品，該產品並未輸入我國。","1. 芬蘭雀巢公司於2012年11月21日自主回收可能含有金屬碎片異物之Puffet IC Vanilla產品。 2. 問題產品包裝如附件，批次為2286401812，最佳食用日期至2014年4月5日，販售於芬蘭各地之食品商店。 3. 案內產品未輸入我國，因此本案經評估列屬綠燈。 ;;建議民眾於警訊期間如赴芬蘭旅遊，應注意相關食品回收警訊，應避免購買或食用可能受污染之相關產品，並呼籲民眾避免購買網路上來路不明之產品，以確保食品衛生安全。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2821&type=0","2012-11-22"
"綠燈","美國Boulder Ice Cream公司自主回收疑遭沙門氏菌汙染之冰淇淋產品，問題產品未輸入我國。","2012年11月12日，Boulder Ice Cream公司自主回收疑遭沙門氏菌汙染之巧克力花生奶油冰淇淋產品，因其使用Sunland公司回收之花生原料。 有關Sunland公司花生原料污染事件，食品藥物管理局掌握相關訊息，並已於10月16日發布相關訊息（詳見該局消費者知識服務網網站）。Sunland公司回收之花生原料外包裝袋上寫的最佳日期為2012年10月12日至2013年10月12日，或是標示作物生產年份為2011或2012年。 問題產品外包裝如附件，回收清單如下表: UPC編碼 品名 包裝尺寸 最佳食用日期 65388802142 Boulder Ice Cream Peanut Butter Cup 16盎司 2013.8.16 65388807004 Sorano Gelato Chocolate Peanut Butter 16盎司 2013.8.10 65388850103 Boulder Homemade Chocolate Peanut Butter Gelato 5 公升 2013.10.03 無 Boulder Ice Cream – Peanut Butter Cup 2.5加侖 2012.7.24 無 Boulder Ice Cream - Elvis 2.5加侖 2012.07.24 65388806112 Yoki Bliss – Peanut Butter 4 x 1 加侖 2012.09.24 4. 經查問題產品並未輸入我國，本案經評估列屬綠燈。;;1. 食品藥物管理局呼籲民眾若赴美國旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2822&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2823&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2824&type=0","2012-11-22"
"綠燈","加拿大食品檢驗局(CFIA)發布回收疑遭沙門氏菌汙染之Krown牌小番茄(Cherry Tomatoes)及含有該小番茄之派對盤(party trays)，問題產品未輸入我國。","2012年11月21日，加拿大食品檢驗局(CFIA)發布回收疑遭沙門氏菌汙染之Krown牌小番茄(附件)及含有該小番茄之派對盤((party trays)。 問題產品如下表: 牌名 產品名稱 容量 UPC編碼 販售日期 KROWN 小番茄(Cherry tomatoes) 551毫升 0 33383 65520 8 2012年11月13日至21日 在Safeway商店出售 小番茄之派對盤 各種容量 各種編碼 2012年11月14日至21日 產品銷售於不列顛哥倫比亞省，阿爾伯塔省，薩斯喀徹溫省，曼尼托巴省，安大略省，西北地區和育空地區，或全加拿大，無相關病例報告。 經查問題產品並未輸入我國，本案經評估列屬綠燈。;;1. 食品藥物管理局呼籲民眾若赴加拿大旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2828&type=0","2012-11-23"
"綠燈","美國Rio Queen Citrus公司自主回收疑遭沙門氏菌汙染之Karol牌墨西哥小番茄(Mexican Cherry Tomatoes)，問題產品未輸入我國。","1. 2012年11月21日，美國Rio Queen Citrus公司自主回收疑遭沙門氏菌汙染之Karol牌墨西哥小番茄共840盒。 2. 問題產品為12/1 品脫， 批號為01W45，銷售日期為2012/11/10至2012/11/19，產品銷售德克薩斯州(Texas)和南卡羅來納州(South Carolina)的零售商店，無相關病例報告。 3. 經查問題產品並未輸入我國，本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾若赴美國旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2829&type=0","2012-11-23"
"綠燈","美國FDA發布Sunland公司回收疑遭沙門氏菌汙染之堅果和種子產品，問題產品未輸入我國。","2012年11月24日美國FDA發布Sunland公司回收疑遭沙門氏菌汙染之堅果和種子產品，問題產品未輸入我國。 Sunland公司花生原料污染事件，食品藥物管理局業於10月16日陸續發布相關訊息（詳見該局消費者知識服務網網站）。Sunland公司回收之花生原料外包裝袋上寫的最佳日期為2012年10月12日至2013年10月12日，或是標示作物生產年份為2011或2012年。 案內產品未輸入我國，本案經評估列屬綠燈。 ;; 1.食品藥物管理局呼籲民眾如自國外攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾 如赴加拿大與美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 沙門氏桿菌廣泛存在自然界各種動物中，攝入汙染該菌食品，可能引發腸胃炎，沙門氏桿菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/content.aspx?site_content_sn=1942","","2012-11-24"
"綠燈","加拿大食品檢驗局（CFIA）發布Capital牌及Compliments牌火腿腸(Ham Sausages)疑遭李斯特菌（Listeria Monocytogenes）污染，問題產品未輸入我國。","加拿大食品檢驗局2012年11月22日發布Capital牌及Compliments牌火腿腸疑遭李斯特菌污染，並自即日起，暫停該問題製造廠Capital Packer Inc.（工廠編號：231）之生產作業，該製造廠宣布回收疑遭污染產品，資訊如下表： 牌名 產品名稱 重量 UPC 編碼 批碼 Capital 火腿腸 (Ham Sausages) 300克 0 64946 51100 6 2012 DE 26 Compliments 火腿腸 (Ham Sausages) 375克 0 68820 10061 4 2012 DE 26 前述產品可能已被販賣至加拿大各地，CFIA呼籲民眾不要食用並展開相關調查，如有其他疑受汙染產品種類將另更新資訊。 經查問題產品未輸入國內，本案經評估列屬綠燈。;;1. 食品藥物管理局呼籲民眾如自加拿大攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴加拿大旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 一旦感染李斯特菌症，每個人出現的症狀都可能會因年齡、性別和抵抗力強弱等，而有所不同，一般會在攝食汙染此菌之食物後約12小時內，出現類似感冒或腸胃不適等症狀。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、熟食和即食食物分開存放。避免進食存放在冰箱超過1天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1953。","","2012-11-26"
"綠燈","美國Capital City Frui公司自主回收疑遭沙門氏菌汙染之Capital牌小番茄(Cherry Tomatoes)，問題產品未輸入我國。","2012年11月21日，美國Capital City Frui公司自主回收疑遭沙門氏菌汙染之Capital牌小番茄，因其使用了美國Rio Queen Citrus公司回收2012年11月14日生產之小番茄。 問題銷售日期為2012/11/14至2012/11/18，產品在愛荷華州，密蘇里州，伊利諾伊州，堪薩斯州，內布拉斯加州，南達科他州，明尼蘇達州和威斯康星州的零售商店銷售，無相關病例報告，產品規格如下，包裝如附件: 牌名 品名 包裝規格 產品批次 標示日期代碼 Capital Brand 1 Pint Clamshell Cherry Tomatoes 1品脫 P96290001 P96330002 P96477001 P96368001 P96500001 P96313001 P96330007 P96290006 P96500006 4604 4605 4606 4605 4701 4604 4605 4604 4701 3. 經查問題產品並未輸入我國，本案經評估列屬綠燈。;;1. 食品藥物管理局呼籲民眾若赴美國旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2843&type=0","2012-11-28"
"綠燈","澳新食品標準局(FSANZ)回收自中國大陸輸入疑遭仙人掌桿菌（Bacillus cereus）污染之辣腐乳(Favor Swallow Bean Sauce)，問題產品不得輸入我國。","1. 澳新食品標準局(FSANZ)回收自中國大陸輸入疑遭仙人掌桿菌（Bacillus cereus）污染之辣腐乳。 2. 問題產品為350克玻璃罐裝（如附件），保存期限為2014年9月18日，於維多利亞(Victoria)的一些亞洲超市販售。 3. 依經濟部國際貿易局「臺灣地區與大陸地區貿易許可辦法規定」，經查案內產品不得輸入，因此本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾如自澳大利亞或中國大陸攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴澳大利亞或中國大陸旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 仙人掌桿菌極易由灰塵及昆蟲傳播污染食品，食品中帶菌率可高達20～70%。.避免食物受到污染（防止灰塵及病媒）。造成食品中毒的原因主要是冷藏不夠，保存不當，尤其在夏天，食品於20℃以上的環境中放置時間過長，使該菌大量繁殖並產生毒素，再加上食用前未經徹底加熱，因而導致中毒。食品烹調後儘速食用，如未能馬上食用，應保溫在65℃以上。儲存短期間（兩天內）內者，可於5℃以下冷藏庫保存，若超過兩天以上者務必冷凍保存。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1938。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2847&type=0","2012-11-30"
"綠燈","美國VEGGIE PATCH®公司自主回收疑遭李斯特菌（Listeria Monocytogenes）污染之Ultimate Meatless Burger和Falafe等2種產品，問題產品未輸入我國。","美國VEGGIE PATCH®公司2012年11月30日發布VEGGIE PATCH牌Ultimate Meatless Burger和Falafe等2種產品疑遭李斯特菌污染。 問題產品如附件，回收資訊如下表： 牌名 產品名稱 重量 UPC 編碼 有效期限 VEGGIE PATCH The Ultimate Meatless Burger 9盎司 6-10129-00211-5 2013.01.12 VEGGIE PATCH Falafel 9盎司 6-10129-06619-3 2013.01.15 產品銷售於紐約州，康乃狄克州，賓夕法尼亞州，佛羅里達州，馬里蘭州，伊利諾伊州，印第安那州，威斯康星州，弗吉尼亞州，新澤西州和特拉華州，無相關病例報告。 3. 經查問題產品未輸入國內，本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾如自美國攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴加拿大旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 一旦感染李斯特菌症，每個人出現的症狀都可能會因年齡、性別和抵抗力強弱等，而有所不同，一般會在攝食汙染此菌之食物後約12小時內，出現類似感冒或腸胃不適等症狀。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、熟食和即食食物分開存放。避免進食存放在冰箱超過1天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1953。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2865&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2866&type=0","2012-12-04"
"綠燈","加拿大食品檢驗局(CFIA)與Loblaw公司自主回收美國輸入疑遭沙門氏菌（Salmonella）汙染之榛果(Filberts)與混和堅果產品(Mixed Nuts)，問題產品未輸入我國。","1. 加拿大食品檢驗局與Loblaw公司自主回收美國輸入疑遭沙門氏菌（Salmonella）汙染之榛果(Filberts)與混和堅果產品(Mixed Nuts)。 2. 問題產品資訊為網袋裝（附件），回收資訊如下： 產品 規格 UPC編碼 Filberts 454克 7 75636 10004 1 Mixed Nuts 454克 6 28721 20678 7 Mixed Nuts 1.36公斤 0 33383 70401 2 分布在加拿大Loblaw公司各經銷商，無相關病例報告。 3. 經查問題產品未輸入我國，本案經評估列屬綠燈。;;1. 食品藥物管理局呼籲民眾若赴美國或加拿大旅遊，購買或食用上述產品時，應注意產品衛生安全，如自國外攜帶或網路購得上揭產品，應先暫停食用以確保食品衛生安全。 2. 沙門氏菌廣泛存在自然界各種動物中，攝入汙染該菌之食品，可能引發腸胃炎，沙門氏菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2867&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2868&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=2869&type=0","2012-12-04"
"綠燈","美國FSIS發布加拿大CFIA與Aliya’s Foods公司回收自加拿大輸入疑遭李斯特菌（Listeria Monocytogenes）污染之冷凍奶油雞肉香米飯(Butter Chicken with Basmati Rice)，問題產品未輸入我國。","1. 美國FSIS 2012年11月30日發布加拿大CFIA與Aliya’s Foods公司回收自加拿大輸入疑遭李斯特菌（Listeria Monocytogenes）污染之Trader Joe’s牌冷凍奶油雞肉香米飯(Butter Chicken with Basmati Rice)，回收重量約為4865磅。 2. 問題產品為12.5 盎司，產品批次編號為30512，製造日期為2012-10-31，產品銷售於美國Trader Joe’s商店，無相關病例報告。 3. 經查問題產品未輸入國內，本案經評估列屬綠燈。 ;;1. 食品藥物管理局呼籲民眾如自美國或加拿大攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴美國或加拿大旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 一旦感染李斯特菌症，每個人出現的症狀都可能會因年齡、性別和抵抗力強弱等，而有所不同，一般會在攝食汙染此菌之食物後約12小時內，出現類似感冒或腸胃不適等症狀。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、熟食和即食食物分開存放。避免進食存放在冰箱超過1天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1953。","","2012-12-04"
