製造廠名稱,製造廠地址,登錄號碼,登錄品項,國別,藥商名稱,是否在3年有效期間內,有效期限
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","External Pacemaker Pulse Generator","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Implantable Pacemaker Pulse Generator","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Pacemaker Lead Adaptor","DE","台灣百多力有限公司","Y","2018-02-22"
"Piramal Enterprises Limited","Plot 67-70, Sector II, Pithampur 454 775, District Dhar, Madhya Pradesh, India","QSD2733","Rigid Gas Permeable Contact Lens Care Products","IN","香港商眼力健亞洲有限公司台灣分公司","Y","2018-02-20"
"Piramal Enterprises Limited","Plot 67-70, Sector II, Pithampur 454 775, District Dhar, Madhya Pradesh, India","QSD2733","Soft(Hydrophilic) Contact Lens Care Products","IN","香港商眼力健亞洲有限公司台灣分公司","Y","2018-02-20"
"Human Med AG","Wilhelm-Hennemann-Str.9, 19061 Schwerin, Germany","QSD2741","Suction Lipoplasty System","DE","萊亞實業股份有限公司","Y","2018-02-22"
"Dong Guan TANITA Health Equipment Co., Ltd.","HongTu Industrial Area Nancheng District Dongguan Guangdong 5230808, China","QSD2742","Impedance Plethysmograph","CN","西合實業股份有限公司","Y","2018-02-23"
"Allergan Pharmaceuticals Ireland","Castlebar Road, Westport, Co Mayo, Ireland","QSD2744","Soft (Hydrophilic) Contact Lens Care Products(Sterile)","IE","台灣愛力根藥品股份有限公司","Y","2018-02-24"
"Laerdal Medical AS.","Tanke, Svilandsgate, 30, P.O.Box 337, N-4002 Stavanger, Norway","QSD2749","Manual Emergency Ventilator","NO","信儀股份有限公司","Y","2018-03-03"
"Laerdal Medical AS.","Tanke, Svilandsgate, 30, P.O.Box 337, N-4002 Stavanger, Norway","QSD2749","Powered Suction Pump","NO","信儀股份有限公司","Y","2018-03-03"
"LISA laser products OHG","Max-Planck-Str. 1, 37191 Katlenburg-Lindau, Germany","QSD2751","Laser Surgical Instrument for Use in General and Plastic Surgery and in Dermatology","DE","稚庭企業股份有限公司","Y","2018-03-03"
"LISA laser products OHG","Albert-Einstein-Str. 1-9, 37191 Katlenburg-Lindau, Germany","QSD2751","Laser Surgical Instrument for Use in General and Plastic Surgery and in Dermatology","DE","稚庭企業股份有限公司","Y","2018-03-03"
"Fenwal Controls of Japan Ltd., Nagano Plant","448-1, Toyoshina, Azumino-Shi, Nagano Pref., 399-8205, Japan","QSD2758","Hemodialysis System and Accessoreis","JP","杏昌生技股份有限公司","Y","2018-03-03"
"Fenwal Controls of Japan, Ltd., Nagano Plant","448-1 Toyoshina, Azumino-Shi, Nagano Pref., 399-8205, Japan","QSD2758","Hemodialysis system and accessories","JP","杏昌生技股份有限公司","Y","2021-03-03"
"GE Healthcare Japan Corporation","7-127, Asahigaoka 4-chome, Hino-Shi, Tokyo, 191-8503, Japan","QSD2768","Magnetic Resonance Diagnostic Device","JP","奇異亞洲醫療設備股份有限公司","Y","2018-03-03"
"GE Healthcare Japan Corporation","7-127, Asahigaoka 4-chome, Hino-Shi, Tokyo, 191-8503, Japan","QSD2768","Diagnostic Ultrasonic Transducer","JP","奇異亞洲醫療設備股份有限公司","Y","2018-03-03"
"GE Healthcare Japan Corporation","7-127, Asahigaoka 4-chome, Hino-Shi, Tokyo, 191-8503, Japan","QSD2768","Computed Tomography X-Ray System","JP","奇異亞洲醫療設備股份有限公司","Y","2018-03-03"
"FUJIREBIO INC. Hachioji 3rd Facility","935, Ishikawa-machi, Hachioji-shi Tokyo, 192-0032, Japan","QSD2814","Glycosylated hemoglobin assay","JP","台富製藥股份有限公司","Y","2018-03-21"
"FUJIREBIO INC. Hachioji 3rd Facility","935, Ishikawa-machi, Hachioji-shi Tokyo, 192-0032, Japan","QSD2814","Calibrator","JP","台富製藥股份有限公司","Y","2018-03-21"
"FUJIREBIO INC. Hachioji 3rd Facility","935, Ishikawa-machi, Hachioji-shi Tokyo, 192-0032, Japan","QSD2814","Quality control material (assayed and unassayed)","JP","台富製藥股份有限公司","Y","2018-03-21"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Thyroid Stimulating Hormone Test System","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Thyroid Autoantibody Immunological Test System","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Total Triiodothyronine Test System","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Free Thyroxine Test System","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Total Thyroxine Test System","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Thyroxine-Binding Globulin Test System","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Cytomegalovirus Serological Reagents","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Rubella Virus Serological Reagents","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Toxoplasma Gondii Serological Reagents","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Epstein-Barr Virus Serological Reagents","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Herpes Simplex Virus Serological Reagents","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Antinuclear Antibody Immunological Test System","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Quality Control Material (Assayed And Unassayed)","IT","新科化實業有限公司","Y","2018-03-22"
"DiaSorin, S.p.A.","Via Crescentino snc, 13040 Saluggia (VC), Italy","QSD2815","Hepatitis Test Analyte Specific Reagents","IT","新科化實業有限公司","Y","2018-03-22"
"Almo Erzeugnisse Erwin Busch GmbH","Groβe Allee 84, 34454 Bad Arolsen, Germany","QSD2841","Hypodermic Single Lumen Needle","DE","台灣柏朗股份有限公司","Y","2018-04-07"
"Almo Erzeugnisse Erwin Busch GmbH","Groβe Allee 84, 34454 Bad Arolsen, Germany","QSD2841","Piston Syringe","DE","台灣柏朗股份有限公司","Y","2018-04-07"
"Christoph Miethke GmbH & Co. KG","Ulanenweg 2, 14469 Potsdam, Germany","QSD2849","Central Nervous System Fluid Shunt and Components","DE","台灣柏朗股份有限公司","Y","2018-04-07"
"Biolinks Co., Ltd. Yokohama Factory","18-6, Takayama, Tsuzuki-ku, Yokohama-shi, Kanagawa, 224-0065 Japan","QSD2851","Fibrinogen/Fibrin Degradation Products Assay","JP","台灣希森美康股份有限公司","Y","2018-04-04"
"Biolinks Co., Ltd. Yokohama Factory","18-6, Takayama, Tsuzuki-ku, Yokohama-shi, Kanagawa, 224-0065, Japan","QSD2851","Fibrinogen/fibrin degradation products assay","JP","台灣希森美康股份有限公司","Y","2021-04-04"
"Integra NeuroSciences","5955 Pacific Center Blvd. San Diego, CA 92121, U.S.A.","QSD2857","Intracranial Pressure Monitoring Device","US","美麗康國際有限公司","Y","2018-04-19"
"Shun Thai Rubber Gloves Industry Public Co., Ltd.","9,14 Moo 4 Kached Sub-District, 21100 Rayong-Muang District Thailand","QSD2859","Patient Examination Glove","TH","豪品國際實業股份有限公司","Y","2018-04-06"
"ORTHOMED S.A.S","ZAC de St Estève, 06640 St Jeannet, France","QSD2868","Passive Tendon Prosthesis","FR","韶田股份有限公司","Y","2018-04-11"
"ORTHOMED S.A.S","ZAC de St Estève, 06640 St Jeannet, France","QSD2868","Single/Multiple Component Metallic Bone Fixation Appliance and Accessories","FR","韶田股份有限公司","Y","2018-04-11"
"ORTHOMED S.A.S","ZAC de St Estève, 06640 St Jeannet, France","QSD2868","Smooth or Threaded Metallic Bone Fixation Fastener","FR","韶田股份有限公司","Y","2018-04-11"
"Panasonic Manufacturing(Beijing) Co., Ltd.","1# Tong Ji North Road, Beijing Economic & Technological Development Zone, Beijing 100176, China","QSD2871","Panasonic Automatic Blood Pressure Meter","CN","台松電器販賣股份有限公司","Y","2018-04-20"
"Gambro Lundia AB","Box 10101, Magistratsvägen 16, SE-220 10 Lund, Sweden","QSD2890","Hemodialysis system and accessories","SE","百特醫療產品股份有限公司","Y","2019-03-12"
"Gambro Lundia AB","Box 10101, Magistratsvägen 16, SE-220 10 Lund, Sweden","QSD2890","Water purification system for hemodialysis","SE","百特醫療產品股份有限公司","Y","2019-03-12"
"Gambro Lundia AB","Box 10101, Magistratsvägen 16, SE-220 10 Lund, Sweden","QSD2890","High permeability hemodialysis system","SE","百特醫療產品股份有限公司","Y","2019-03-12"
"Gambro Lundia AB","Box 10101, Magistratsvägen 16, SE-220 10 Lund, Sweden","QSD2890","General purpose disinfectants","SE","百特醫療產品股份有限公司","Y","2019-03-12"
"Laboratoire de la Mer","ZAC de la Madeleine, Avenue du Général Patton-35400 Saint-Malo, France","QSD2891","Ear, nose, and throat drug administration device(Sterile)","FR","嘉德藥品企業股份有限公司","Y","2020-10-28"
"Laboratoire de la Mer","ZAC de la Madeleine, Avenue du Général Patton-35400 Saint-Malo, France","QSD2891","Irrigating syringe","FR","嘉德藥品企業股份有限公司","Y","2020-10-28"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Gastroenterology-Urology Biopsy Instrument(Needles, Brushes, Biopsy, Snares, Accessories)(Sterile)","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Gastrointestinal Tube and Accessories(Balloon, Catheters, Gastrostomy Devices, Feeding Tubes, Inflation Devices, Sleeve, Accessories)(Sterile)","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Biliary Catheter and Accessories(Stent and Introducers, Extraction Balloon, Extraction Basket, Extraction Devices, Drainage Devices and Accessories, Retrieval Devices, Accessories)","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Endoscope and Accessories(Guide Wire and Accessories, Catheters, Needles, Accessories)(Sterile)","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Hemorrhoidal Ligator","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Esophageal Dilator","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Endoscope Electrosurgical Unit and Accessories","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Mechanical Lithotriptor","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Bronchoscope(Flexible or Rigid) and Accessories","US","台灣曲克股份有限公司","Y","2018-05-04"
"Wilson Cook Medical Inc.","4900 Bethania Station Road, Winston-Salem, NC 27105, U.S.A.","QSD2912","Gastrointestinal Motility Monitoring System","US","台灣曲克股份有限公司","Y","2018-05-04"
"Philips and Neusoft Medical Systems Co., Ltd.","Neusoft Park, Hun Nan Industrial Area, Shenyang 110179, China","QSD2936","Computed Tomography X-Ray System","CN","台灣飛利浦股份有限公司","Y","2018-05-10"
"Philips and Neusoft Medical Systems Co., Ltd.","Neusoft Park, Hun Nan Industrial Area, Shenyang 110179, China","QSD2936","Image-Intensified Fluoroscopic X-Ray System","CN","台灣飛利浦股份有限公司","Y","2018-05-10"
"Philips and Neusoft Medical Systems Co., Ltd.","Neusoft Park, Hun Nan Industrial Area, Shenyang 110179, China","QSD2936","Ultrasonic Pulsed Doppler Imaging System","CN","台灣飛利浦股份有限公司","Y","2018-05-10"
"Iridex Corporation","1212 Terra Bella Avenue, Mountain View,CA 94043, U.S.A.","QSD2939","Ophthalmic Laser","US","科林儀器股份有限公司","Y","2018-05-09"
"Iridex Corporation","1212 Terra Bella Avenue, Mountain View,CA 94043, U.S.A.","QSD2939","Ophthalmic Laser","US","科林儀器股份有限公司","Y","2018-05-09"
"Iridex Corporation","1212 Terra Bella Avenue, Mountain View,CA 94043, U.S.A.","QSD2939","Laser Surgical Instrument for Use in General and Plastic Surgery and in Dermatology等2項。","US","科林儀器股份有限公司","Y","2018-05-09"
"Iridex Corporation","1212 Terra Bella Avenue, Mountain View,CA 94043, U.S.A.","QSD2939","Laser Surgical Instrument for Use in General and Plastic Surgery and in Dermatology等2項。","US","科林儀器股份有限公司","Y","2018-05-09"
"Nikkiso Co., Ltd. Kanazawa Plant","3-1, Hokuyohdai, Kanazawa, Ishikawa, 920-0177, Japan","QSD2942","Water purification system for hemodialysis","JP","台灣日機裝股份有限公司","Y","2018-05-10"
