標題,連結,發布日期
"[藥物食品安全週報第167期]--向檳榔說不/Bisphosphonate類藥品安全警示/明辨飲料摻毒 避免身心受害","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=315&chk=159EEA5C-531C-4B43-BF29-59F19D5C7224&mid=138&name=fdContent","2008-11-27"
"[藥物食品安全週報第168期]--癲癇治療藥物Phenytoin或Fosphenytoin不良反應/不法藥物報您知/硫酸嗎啡用藥安全簡介","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=316&chk=FB90A007-5122-4B24-B580-6A29CD44D367&mid=138&name=fdContent","2008-12-04"
"[藥物食品安全週報第16期]--疫區、貿易與肉品安全/「健康年貨聰明買」系列報導 (一) 小心黃麴毒素/適量吃魚有益健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=168&chk=608579B8-A617-41CE-A909-254E838FCFD8&mid=138&name=fdContent","2006-01-06"
"[藥物食品安全週報第170期]--冬令進補小技巧/拒絕不明藥物/新興迷幻藥5-Meo-DMT危險高不要輕易嘗試","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=317&chk=93F50FA7-F9D7-42A9-A85E-A422034669FA&mid=138&name=fdContent","2008-12-18"
"[藥物食品安全週報第171期]--橙香四溢 健康加分/切勿使用新加坡製均隆驅風油/不法藥物專區/耶誕狂歡,毒品勿近","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=318&chk=139BF067-B489-44B5-A408-85E7E03FFA0F&mid=138&name=fdContent","2008-12-25"
"[藥物食品安全週報第172期]--口服磷酸鹽類清腸藥品/只含Long-acting beta-agonists成分氣喘藥物/選用有衛署字號染髮劑","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=319&chk=81B49207-3BB3-4542-B7FD-755B83F73FF7&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第173期]--藥物非商品/不法藥物再報/少油多蔬果,遠離三高","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=320&chk=19FDC700-748E-4E6A-B435-9D35901512CE&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第174期]--精挑細選辦年貨/認清測試血糖儀器的使用限制/過年期間預先備妥慢性病藥物","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=321&chk=C8709559-7D3F-498A-AA72-FFDED7C9F4DF&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第175期]-- 天天五蔬果/又見不法藥物/染髮前先認清衛署字號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=322&chk=D70D0014-FC5C-45FB-80E5-41D06F50D1DB&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第176期]-- 大陸「多美滋奶粉」/降膽固醇用藥安全訊息/非法化粧品含「汞」危害健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=323&chk=3AD8243D-2EC9-47B1-8A59-B86815E828D0&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第177期]--正確進補 健康添活力/慎選花生製品/認識藥物成癮性","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=324&chk=567011FE-41B1-4D8F-9112-880580ACA8D1&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第178期]--化粧品宣傳用語/注意不法藥物資訊/過動兒藥物Methylphenidate的用藥常識","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=325&chk=BFA0C1AB-2BD3-4766-8501-6BED54EF9132&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第179期]--認識阪崎腸桿菌/不法藥物資訊/GMP確保藥品品質","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=326&chk=575181E9-6A00-4931-B9BE-4225C3DE972E&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第17期]--零風險的迷思/「健康年貨聰明買」系列報導 (二) 美白的魚翅/有「螢光反應」不等於「螢光增白劑」","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=169&chk=C662D730-649E-4122-B5EE-3FE6E085BF11&mid=138&name=fdContent","2006-01-12"
"[藥物食品安全週報第180期]--認識沙門氏菌/勿服用不明藥物/使用磷酸可待因之應注意事項","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=327&chk=97B83E43-046B-4367-AA8E-FDB634FF4EFA&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第181期]--謹慎使用牛皮癬治療藥品efalizumab/勿食不明減肥產品/安全染髮 仔細查看包裝與標示","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=328&chk=58008444-2D99-4757-AB45-FDE29EA0AC7F&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第182期]--選購素食產品要注意/又見違法添加西藥產品/藥物濫用傷健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=329&chk=AE268F1E-9DC6-429D-915D-A610F294AB5D&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第183期]--謹慎使用腸胃障礙治療藥品Metoclopramide/自備餐具飲食更安心/國民營養法為國人健康保障加分","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=330&chk=9F0BC612-7345-4FC8-89F6-BDAC4357DE79&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第184期]--謹慎使用彩色塑膠食具/不法藥物產品資訊專區/認識T-2毒素","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=331&chk=090AF650-5907-483D-B344-76EBC7D3558C&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第185期]--隨時監測化粧品之品質安全/不法藥物再現蹤/為什麼要列管安眠藥佐沛眠（Zolpidem）？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=332&chk=080AA7C0-274E-4436-A444-8453DB429367&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第186期]--散裝食品應明顯標示品名及原產地/不法藥物露行蹤/勿將食品或調味料直接置於餐墊紙上食用","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=333&chk=6F3E1933-C203-43B2-BF99-031769A727AF&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第187期]--台灣常見爽身粉不含石綿/我國未進口疑含沙門氏菌開心果產品/環孢子蟲","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=334&chk=4BB3E910-3074-48E3-B318-478CAAFFFFD1&mid=138&name=fdContent","2009-04-20"
"[藥物食品安全週報第188期]--含尼古丁（Nicotine）成分戒菸輔助劑/又見不法藥品資訊/溼熱天氣要嚴防食品中毒","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=335&chk=0A3F1467-DF52-461F-BBF7-48F01B2DF8EE&mid=138&name=fdContent","2009-04-24"
"[藥物食品安全週報第189期]--拒買來源不明的藥品保健康/Ceftriaxone成分藥品之用藥警訊/百日咳疫情加溫","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=336&chk=3B177B85-BF4E-490E-BA41-F53CB846353D&mid=138&name=fdContent","2009-05-10"
"[藥物食品安全週報第18期]--「健康年貨聰明買」系列 報導/「可接受的風險」認知","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=170&chk=0D6AEB86-3224-40EE-8A62-C98365A56155&mid=138&name=fdContent","2006-01-19"
"[藥物食品安全週報第190期]--水楊酸鹽類藥品之用藥警訊/拒絕不良藥品及食品/H1N1新型流感疫情升溫","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=337&chk=16A0F134-03D8-42EA-A574-C2468AA42B8F&mid=138&name=fdContent","2009-05-11"
"[藥物食品安全週報第191期]--肉毒桿菌毒素注射劑之用藥警訊/遠離不法藥品/多樣化安非他命類毒品","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=338&chk=9D96B28D-10B7-4406-988E-EA4B96DD2BC2&mid=138&name=fdContent","2009-05-18"
"[藥物食品安全週報第192期]--成立食品藥物管理局/向不法藥品說不/使用抗癲癇藥品，嚴防用藥者出現自殺傾向","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=339&chk=22985AC8-D387-43C9-B564-9C9147488A2F&mid=138&name=fdContent","2009-06-04"
"[藥物食品安全週報第193期]--得舒緩(Tarceva)藥品之用藥警訊/別讓猝睡症困擾您/端午飄香，「粽」要養生","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=340&chk=65DAA51D-AE36-4684-AFE4-7358CCA5EF71&mid=138&name=fdContent","2009-06-05"
"[藥物食品安全週報第194期]--使用睪固酮凝膠應注意事項/研訂農藥殘留標準 為國人健康把關/少鹽低鈉保健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=341&chk=D984F40B-1EBE-4959-B9F5-FC18F9A8FD03&mid=138&name=fdContent","2009-06-06"
"[藥物食品安全週報第195期]--抗生素Flucloxacillin導致肝傷害與基因型有關/三聚氰胺與美耐皿/菜脯違法含甲醛？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=342&chk=CB16E92D-76F0-4D6C-AC3A-3F7E54075AB5&mid=138&name=fdContent","2009-06-16"
"[藥物食品安全週報第196期]--看清標示明辨葷素/不法減重藥品資訊/食品中的鋁","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=343&chk=C3522D10-30E3-4615-B1C1-D451C6FCCD8B&mid=138&name=fdContent","2009-06-22"
"[藥物食品安全週報第197期]-- 謹慎使用興奮劑治療注意力不足及過動疾患/不法減重產品訊息/藥物濫用戒斷求助有門","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=344&chk=C48137DE-2373-4BF3-B9C2-EA376D7C87A8&mid=138&name=fdContent","2009-06-29"
"[藥物食品安全週報第198期]--隨時更換劣變油/不法含藥產品訊息/古柯鹼的用藥相關警訊","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=345&chk=76FAF4E4-8B24-4A63-A1C7-B397BA2B6386&mid=138&name=fdContent","2009-07-21"
"[藥物食品安全週報第199期]--氣喘治療藥品Leucotriene modifiers之安全資訊/拒用不法含藥產品/油炸食品中的丙烯醯胺","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=347&chk=F3290E26-132B-41EC-8053-6BF7E073A45B&mid=138&name=fdContent","2009-07-24"
