試驗藥品監視新藥成分,報告書准,報告書不准,報告書小計
"Cetirizine/Pseudoephedrine ER tab 5mg/120mg","2","0","2"
"Cilostazol tab 50mg","4","0","4"
"Cilostazol tab 100mg","2","0","2"
"Ciprofloxacin tab 250mg","4","3","7"
"Ciprofloxacin tab 500mg","5","0","5"
"Ciprofloxacin tab 750mg","2","0","2"
"Ciprofloxacin SR tab 500mg","1","0","1"
"Cisapride tab 5mg","9","0","9"
"Cisapride tab 10mg","3","0","3"
"Citalopram tab 20mg","7","0","7"
"Clarithromycin tab 250mg","7","0","7"
"Clarithromycin tab 500mg","3","1","4"
"Clarithromycin XL tab 500mg","2","0","2"
"Clarithromycin MR tab 500mg","1","0","1"
"Clodronate cap 400mg","1","0","1"
"Clopidogrel tab 75mg","16","1","17"
"Clozapine tab 100mg","4","0","4"
"Cyclobenzaprine tab 10mg","3","0","3"
"Cyclobenzaprine ER tab 15mg","1","0","1"
"Cyclobenzaprine ER tab 30mg","1","1","2"
"Cyclosporin cap 25mg","1","0","1"
"Cyclosporin cap 100mg","2","0","2"
"Dapoxetine tab 30mg","2","1","3"
"Deronedarone tab 400mg","1","0","1"
"Desloratadine syrup 0.5 mg/ml","1","0","1"
"Desloratadine tab 5mg","5","0","5"
"Diacerein cap 50mg","1","0","1"
"Diclofenac K tab 25mg","2","0","2"
"Diclofenac K tab 50mg","6","2","8"
"Divalproex EC tab 250mg","1","0","1"
"Divalproex ER tab 500mg","1","0","1"
"Donepezil oral solution 1mg/ml","1","0","1"
"Donepezil OD tab 5mg","1","0","1"
"Donepezil tab 5mg","4","0","4"
"Donepezil tab 10mg","4","0","4"
"Doxazosin tab 2mg","10","0","10"
"Doxazosin SR tab 4mg","1","0","1"
"Doxazosin XL tab 4 mg","2","0","2"
"Duloxetine cap 30mg","4","1","5"
"Duloxetine cap 60mg","1","1","2"
"Ebastine tab 5mg","1","0","1"
"Ebastine tab 10mg","1","0","1"
"Efavirenz tab 400mg","0","1","1"
"Efavirenz tab 600mg","2","0","2"
"Emtricitabine/Tenofovir tab 200mg/300mg","1","0","1"
"Enalapril tab 5mg","1","0","1"
"Enalaprile tab 20mg","10","1","11"
"Enalapril/Felodipine ER tab 5mg/5mg","1","0","1"
"Enalapril/HCTZ tab 10mg/25mg","1","0","1"
"Entacapone tab 200mg","1","0","1"
"Entecarvir tab 0.5 mg","8","3","11"
"Entecavir tab 1mg","2","1","3"
"Epinastine tab 20mg","1","0","1"
"Eplerenone tab 50mg","1","0","1"
"Escitalopram oral solution 1mg/mL","1","0","1"
"Escitalopram tab 10mg","7","1","8"
"Escitalopram tab 20mg","1","0","1"
"Esomeprazole powder for inj. 40mg","1","0","1"
"Esomeprazole tab 40mg","3","0","3"
"Esomeprazole DR tab 40mg","1","0","1"
"Esomerprazole EC tab 40mg","2","2","4"
"Eszopiclone tab 2mg","1","0","1"
"Etodolac SR tab 400mg","3","1","4"
"Etodolac SR tab 600mg","1","0","1"
"Etodolac XL tab 500mg","1","0","1"
"Etoricoxib tab 60mg","3","0","3"
"Famotidine granule 20mg/gm","1","0","1"
"Famotidine inj 10mg","1","0","1"
"Famotidine lyo-inj 20mg/vial","1","0","1"
"Famotidine tab 20mg","8","0","8"
"Famotidine tab 40mg","10","0","10"
"Febuxostat tab 80mg","3","1","4"
"Felodipine ER tab 5mg","3","1","4"
"Felodipine SR tab 5mg","4","0","4"
"Felodipine ER tab 10mg","2","0","2"
"Felodipine SR tab 10mg","2","0","2"
"Fenofibrate cap 100mg","3","0","3"
"Fenofibrate tab 160mg","5","1","6"
"Fenofibrate cap 200mg","4","0","4"
"Fentanyl patch 25 μg/h","1","0","1"
"Fentanyl transdermal patch 50 μg/h","1","0","1"
"Fexofenadine tab 60mg","5","0","5"
"Fexofenadine tab 180mg","4","0","4"
"Fexofenadine/Pseudoephedrine SR tab 60mg/120mg","1","0","1"
"Finasteride tab 5mg","10","1","11"
"Fluconazole cap 50mg","4","0","4"
"Fluconazole cap 150mg","5","1","6"
"Fluconazole tab 200mg","1","0","1"
"Fluoentixol/Melitrancen SC Tab 0.5mg/10mg","1","0","1"
"Fluoxetine cap 20mg","12","2","14"
"Flurbiprofen tab 50mg","1","0","1"
"Flurbiprofen tab 100mg","2","0","2"
"Flutamide tab 250mg","1","0","1"
"Fluvastatin PR tab 80mg","1","0","1"
"Fluvastatin XL tab 80mg","1","0","1"
"Fluvastatin ER tab 80mg","0","1","1"
"Fluvoxamine tab 50mg","3","0","3"
"Fluvoxamine tab 100mg","1","0","1"
"Formoterol tab 40mg","2","0","2"
"Fosinopril tab 10mg","2","1","3"
"Fosinopril tab 20mg","1","0","1"
"Gabapentin oral soln 50mg/ml","1","0","1"
"Gabapentin cap 300mg","3","0","3"
"Gabapentin cap 400mg","1","0","1"
"Gabapentin tab 600mg","2","0","2"
"Gabapentin tab 800mg","2","0","2"
"Galantamine tab 8mg","2","0","2"
"Geftinib tab 250mg","1","0","1"
"Gemfibrozil cap 300mg","6","1","7"
"Gemfibrozil tab 600mg","6","0","6"
"Gestrinone cap 2.5mg","2","1","3"
"Glimepiride tab 2mg","11","1","12"
"Glimepiride tab 4mg","1","0","1"
"Glimepiride/Metformin tab 2mg/500mg","5","1","6"
"Glyburide/Metformin tab 2.5mg/500mg","1","0","1"
"Glyburide/Metformin tab 5mg/500mg","2","0","2"
"Granisetron tab 1mg","2","1","3"
"Guanifenesin SR tab 600mg","1","0","1"
"Imatinib microtablets cap 100mg","1","0","1"
"Imatinib tab 100mg","6","2","8"
"Imatinib tab 400mg","0","1","1"
"Imidapril tab 5mg","0","3","3"
"Irbesartan tab 150mg","7","0","7"
"Irbesartan tab 300mg","6","1","7"
"Itraconazole cap 100mg","1","0","1"
"Ivabradine tab 5mg","1","0","1"
"Ketoconazole tab 200mg","9","0","9"
"Ketorolac inj 15mg/ml","1","0","1"
"Ketorolac inj 30mg/ml","7","0","7"
"Ketorolac tab 10mg","4","0","4"
"Ketorolac EM cap 10mg","3","0","3"
"Lacidipine tab 4mg","2","0","2"
"Lamivudine tab 100mg","3","0","3"
"Lamivudine tab 150mg","1","0","1"
"Lamotrigine tab 50mg","3","1","4"
"Lamotrigine tab 100mg","2","1","3"
"Lansoprazole cap 30mg","6","0","6"
"Leflunomide tab 20mg","1","0","1"
"Lenalidomide cap 15mg","1","0","1"
"Lenalidomide cap 25mg","1","0","1"
"Lercanidipine tab 10mg","3","1","4"
"Letrozole tab 2.5 mg","1","0","1"
"Levetiracetam Oral Solution 100mg/ml","1","0","1"
"Levetiracetam tab 500mg","6","1","7"
"Levetiracetam XR tab 750mg","1","0","1"
"Levocarnitine oral solution 1g/10ml","1","0","1"
"Levocetirizine tab 5mg","12","1","13"
"Levofloxacin IV Solution for Infusion 5 mg/ml","2","0","2"
"Levofloxacin tab 100mg","2","0","2"
"Levofloxacin tab 500mg","6","0","6"
"Lisinopril tab 10mg","5","0","5"
"Lisinopril tab 20mg","1","0","1"
"Loratadine syrup 1mg/ml","3","0","3"
"Loratadine OD tab 10mg","1","0","1"
"Loratadine tab 10mg","8","0","8"
"Loratadine/Pseudoephedrine SR tab 5mg/120mg","2","0","2"
"Loratadine/Pseudoephedrine SR tab 10mg/240mg","1","0","1"
"Lornoxicam tab 8mg","1","0","1"
"Losartan tab 50mg","16","3","19"
"Losartan tab 100mg","1","2","3"
"Losartan/Hydrochlorothiazide tab 50mg/12.5mg","7","0","7"
"Lovastatin tab 20mg","6","1","7"
"Mebeverine SR cap 200mg","1","0","1"
"Meloxicam inj 15mg/1.5ml","1","0","1"
"Meloxicam tab 7.5mg","9","1","10"
"Meloxicam tab 15mg","4","1","5"
"Memantine oral drop 10mg/g","2","0","2"
"Memantine oral solution 2mg/ml","1","0","1"
"Memantine tab 10mg","5","1","6"
"Meropenem IV inj 0.5g","2","0","2"
"Midazolam inj 5mg/ml","1","0","1"
"Mifepristone tab 200mg","2","0","2"
"Miglitol tab 50mg","2","0","2"
"Miglitol tab 100mg","1","0","1"
"Milnacipran cap 50mg","2","0","2"
"Mirtazapine OD tab 15mg","1","0","1"
"Mirtazapine OD tab 30mg","5","0","5"
"Mirtazapine tab 30mg","8","0","8"
"Misoprostol tab 200mcg","1","0","1"
"Mitiglinide tab 10mg","1","0","1"
"Moclobemide tab 150mg","3","1","4"
"Modafinil tab 200mg","1","0","1"
"Montelukast oral granules 4mg","1","0","1"
"Montelukast chewable tab 5mg","2","0","2"
"Montelukast tab 5mg","4","1","5"
"Montelukast tab 10mg","6","0","6"
"Mosapride tab 5mg","18","1","19"
"Moxifloxacin tab 400mg","3","0","3"
"Mycophenolate cap 250mg","3","0","3"
"Nabumetone tab 500mg","7","0","7"
"Nabumetone tab 750mg","1","0","1"
"Nateglinide tab 60mg","4","0","4"
"Nateglinide tab 120mg","2","0","2"
"Nevirapine tab 200mg","1","0","1"
"Niacin/Lovastatin SR tab 500mg/20mg","2","1","3"
"Niacin/Lovastatin SR tab 1000mg/20mg","0","1","1"
"Nicardipine tab 20mg","2","0","2"
"Nicorandil tab 5mg","5","0","5"
"Nicotine Patch 2.08mg/cm^2","1","0","1"
"Nicotine Patch 35mg/20cm^2","1","0","1"
"Nicotine Patch 52.5mg/30cm^2","0","1","1"
"Nimesulide tab 100mg","2","1","3"
"Nimodipine tab 30mg","1","1","2"
"Nitrendipine tab 10mg","3","0","3"
"Nizatidine cap 150mg","1","0","1"
"Nordazepam tab 5mg","1","0","1"
"Norfloxacin cap 400mg","2","0","2"
"Norfloxacin tab 100mg","3","1","4"
"Norfloxacin tab 200mg","3","1","4"
"Ofloxacin tab 100mg","2","0","2"
"Ofloxacin tab 200mg","4","0","4"
"Ofloxacin tab 400mg","1","0","1"
"Olanzapine OD tab 5mg","3","0","3"
"Olanzapine OD tab 10mg","2","1","3"
"Olanzapine tab 5mg","5","0","5"
"Olanzapine tab 10mg","8","1","9"
"Olanzapine/Fluoxetine cap 6mg/25mg","1","1","2"
"Olmesartan tab 20mg","3","0","3"
"Olmesartan tab 250mg","1","0","1"
"Omeprazole cap 20mg","4","0","4"
"Omeprazole cap 40mg","1","0","1"
"Omeprazole tab 20mg","1","1","2"
"Ondansetron tab 8mg","1","0","1"
"Oseltamivir cap 75mg","1","1","2"
"Otilonium tab 40mg","2","1","3"
"Oxatomide tab 30mg","2","0","2"
"Oxcarbazepine oral susp. 60mg/ml","1","0","1"
"Oxcarbazepine tab 300mg","3","0","3"
"Oxcarbazepine tab 600mg","0","2","2"
"Pantoprazole tab 40mg","4","1","5"
"Pantoprazole EC tab 40mg","2","2","4"
"Pantoprazole Gastro-resistant tab 40mg","2","1","3"
"Paricalcitol cap 4mcg","1","0","1"
"Paroxetine tab 20mg","7","1","8"
"Paroxetine CR tab 25mg","1","0","1"
"Perindopril tab 4mg","3","2","5"
"Perindopril tab 8mg","2","1","3"
"Peridopril/Indapamide tab 4mg/12.5mg","1","0","1"
"Pilocarpine tab 5mg","2","0","2"
"Pioglitazone tab 30mg","16","1","17"
"Pioglitazone/Metformin tab 15mg/850mg","3","1","4"
"Piperacillin inj 2gm","2","0","2"
"Piperacillin/Tazobactam inj 2gm/0.25gm","2","0","2"
"Piperacillin/Tazobactam inj 4gm/0.5gm","1","0","1"
"Pitavastatin tab 2mg","3","1","4"
"Pitavastatin tab 4mg","1","0","1"
"Pramipexole dihydrochloride monohydrate tab 0.25mg","1","0","1"
"Pravastatin tab 10mg","2","0","2"
"Pravastatin tab 20mg","4","0","4"
"Pravastatin tab 40mg","5","0","5"
"Pravastatin tab 5mg","1","0","1"
"Pregabalin hard cap 75mg","5","1","6"
"Procaterol tab 25mcg","5","1","6"
"Procaterol tab 50mcg","2","0","2"
"Propacetamol inj. powder 1g","1","0","1"
"Propentofylline tab 300mg","1","0","1"
"Propiverine tab 15mg","2","0","2"
"Pseudoephedrine/Desloratadine ER tab 240/5mg","1","0","1"
"Quetiapine oral suspension 25mg/ml","1","1","2"
"Quetiapine tab 25mg","5","1","6"
"Quetiapine tab 100mg","3","0","3"
"Quetiapine tab 200mg","9","0","9"
"Quetiapine ER tab 200mg","2","1","3"
"Rabeprazole tab 20mg","1","1","2"
"Rabeprazole EC tab 20mg","3","0","3"
"Raloxifene tab 60mg","2","0","2"
"Ramipril cap 2.5mg","1","0","1"
"Ramipril tab 2.5mg","1","0","1"
"Ramipril tab 10mg","6","1","7"
"Ranitidine inj 25mg/ml","3","0","3"
"Ranitidine tab 150mg","6","0","6"
"Ranitidine tab 300mg","6","1","7"
"Ranolazine ER tab 500mg","1","0","1"
"Rasagiline tab 1.56mg","1","0","1"
"Repaglinide tab 1mg","6","0","6"
"Repaglinide/Metformin tab 1mg/500mg","1","0","1"
"Ribavirin cap 200mg","5","2","7"
"Ribavirin tab 200mg","0","2","2"
"Riluzole tab 50mg","1","0","1"
"Risedronate tab 35mg","1","0","1"
"Risperidone oral soln 1mg/ml","2","0","2"
"Risperidone tab 2mg","11","1","12"
"Rivastigmine oral soln 3.2mg/ml","1","0","1"
"Rivastigmine cap 4.5mg","1","0","1"
"Rizatriptan tab 5mg","1","0","1"
"Rizatriptan tab 10mg","1","0","1"
"Rosiglitazone tab 4mg","7","0","7"
"Rosuvastatin tab 5mg","2","0","2"
"Rosuvastatin tab 10mg","11","2","13"
"Sebacoyl dinalbuphine ester inj. 75mg/ml","0","1","1"
"Sertraline oral conc 20mg/ml","1","0","1"
"Sertraline tab 50mg","7","0","7"
"Sibutramine cap 10mg","1","0","1"
"Sibutramine cap 15mg","11","0","11"
"Sildenafil tab 20mg","1","0","1"
"Sildenafil OD tab 50mg","1","0","1"
"Sildenafil tab 100mg","15","2","17"
"Silodosin cap 4mg","2","1","3"
"Silodosin tab 4mg","1","0","1"
"Simvastatin tab 10mg","1","0","1"
"Simvastatin tab 20mg","13","1","14"
"Simvastatin tab 40mg","5","0","5"
"Simvastatin tab 80mg","1","0","1"
"Sitagliptin tab 100mg","2","0","2"
"Sodium Phenylbutyrate tab 500mg","1","0","1"
"Solifenacin tab 5mg","4","0","4"
"Sulbactam inj 0.5gm/vial","3","0","3"
"Tadalafil tab 20mg","3","0","3"
"Tamsulosin OD tab 0.2mg","2","0","2"
"Tamsulosin SR OD tab 0.2mg","1","0","1"
"Tamsulosin PR tab 0.4mg","2","0","2"
"Tamsulosin SR cap 0.2mg","6","0","6"
"Tamsulosin XR tab 0.2mg","1","0","1"
"Tegafur/Uracil cap 100mg/224mg","2","0","2"
"Telmisartan tab 40mg","1","0","1"
"Temozolomide cap 20mg","1","0","1"
"Temozolomide cap 100mg","1","0","1"
"Temozolomide cap 250mg","1","0","1"
"Tenofovir tab 300mg","5","1","6"
"Tenoxicam inj. 20mg","1","0","1"
"Tenoxicam tab 20mg","2","0","2"
"Terazosin tab 2mg","9","0","9"
"Terbinafine tab 250mg","5","0","5"
"Thalidomide cap 50mg","2","0","2"
"Tiagabine tab 10mg","1","0","1"
"Tigecycline lyo powder for inj. 50mg","1","0","1"
"Tizanidine tab 2mg","4","1","5"
"Tizanidine tab 4mg","1","0","1"
"Tolterodine tab 2mg","2","0","2"
"Topiramate tab 25mg","2","0","2"
"Topiramate tab 100mg","7","0","7"
"Torsemide tab 20mg","1","0","1"
"Tramadol inj 50mg/ml","3","0","3"
"Tramadol cap 50mg","6","0","6"
"Tramadol SR tab 100mg","2","0","2"
"Tramadol XL tab 200mg","1","0","1"
"Tramadol/Acetaminophen tab 37.5mg/32.5mg","2","0","2"
"Tranilast cap 100mg","1","0","1"
"Trazodone tab 50mg","4","0","4"
"Trazodone tab 100mg","3","0","3"
"Trimebutine tab 100mg","1","0","1"
"Ulipristal tab 5mg","1","0","1"
"Valaciclovir tab 500mg","2","0","2"
"Valaciclovir tab 1g","1","1","2"
"Valsartan cap 80mg","1","1","2"
"Valsartan tab 80mg","7","1","8"
"Valsartan tab 160mg","6","0","6"
"Valsartan/Hydrochlorothiazide cap 80mg/12.5mg","1","0","1"
"Valsartan/Hydrochlorothiazide tab 80mg/12.5mg","2","1","3"
"Valsartan/Hydrochlorothiazide tab 160mg/12.5mg","1","0","1"
"Venlafaxine tab 37.5mg","4","0","4"
"Venlafaxine SR cap 75mg","4","0","4"
"Venlafaxine XR cap 75mg","5","1","6"
"Vildagliptin tab 50mg","1","1","2"
"Voriconazole tab 200mg","1","0","1"
"Zaleplon cap 10mg","8","1","9"
"Zaleplon tab 10mg","1","0","1"
"Zolpidem tab 10mg","16","3","19"
"Zolpidem CR tab 6.25mg","1","1","2"
"Zolpidem ER tab 12.5mg","1","0","1"
"Zopiclone tab 7.5mg","5","1","6"
"Zotepine tab 50mg","2","0","2"
"總 計","1369","145","1514"
