名稱,地址,電話,全國性講習機構,連結
"光宇學校財團法人元培醫事科技大學","元培街306號","03-5381183","是","http://future.ypu.edu.tw/bin/home.php"
"行政院國軍退除役官兵輔導委員會台北榮民總醫院","石牌路2段201號","02-02-28757472","否","http://wd.vghtpe.gov.tw/nutr/"
"私立大葉大學","學府路168號","04-8511888","否","www.dyu.edu.tw"
"私立天主教輔仁大學","中正路510號","02-29053731","否",""
"宜蘭縣外燴服務工作人員職業工會","中山路2段4號","03-9889030","否",""
"宜蘭縣烹飪商業同業公會","校舍路28號","03-9372288","否","www.ilan-cooking.org.tw"
"宜蘭縣勞工團體聯盟總會","中正路二段7巷11號","03-9641873","否","http://tw.myblog.yahoo.com/g573466"
"宜蘭縣餐盒食品商業同業公會","和睦路55號","03-9323588","否",""
"宜蘭縣餐飲業職業工會","中正南路127之12號","03-9543361","否",""
"社團法人中華食品安全管制系統發展協會","民權路246號3樓","04-22029016","是","http://www.chinese-haccp.org.tw/"
"社團法人中華國際餐旅文化交流協會","建國路三段108-1號","07-7808099","是","http://bonton.url.tw/"
"社團法人中華餐旅協會","興南路2段127號","02-29453205","是","www.cook3600.com.tw"
"社團法人宜蘭縣萬得福弱勢族群權益發展協會","陽明一路78號","03-9371650","否",""
"社團法人宜蘭縣餐飲推廣協會","國民南路5之15號","03-9605563","否","www.goodfood.org.tw"
"社團法人臺北市樂活健康促進協會","景興街42巷2弄5號4樓","09-30843141","否",""
"花蓮縣健康美食協會","林森路391號","03-8356635","否","https://sites.google.com/site/hlcghf/"
"花蓮縣專業職能技能培訓人員職業工會","中正路108號","03-8329208","否",""
"花蓮縣廚師業職業工會","北昌村北昌五街3號","03-8566731","否",""
"南投縣家政美食推廣協會","虎山路614號","09-55-438635","否",""
"南投縣烹飪商業同業公會","民權街24號","049-2237573","否","http://www.culinary.org.tw"
"南投縣廚師職業工會","信義街五巷十五號","049-2240880","否","http://www.chefunion.org.tw"
"南投縣餐飲業職業工會","中山街240巷16號","049-2221050","否",""
"南臺科技大學","南台街1號","06-2533131","否","http://www.stust.edu.tw/"
"屏東縣中餐服務人員職業工會","建興南路35-10號","08-7550038","否",""
"屏東縣美食交流協會","忠孝路309-2號","08-7328447","是",""
"屏東縣廚師職業工會","延平路34號","08-8336228","否","Cooker928@yahoo.com.tw"
"屏東縣餐飲業職業工會","健豐路217號","08-7371359","否","http://www/ptdining.org,tw/"
"美和學校財團法人美和科技大學","屏光路23號","08-7799821","否","http://www.meiho.edu.tw"
"苗栗縣外燴服務工作人員職業工會","中山路28號","037-758308","否",""
"苗栗縣餐飲業職業工會","中正路191號","037-321540","否",""
"桃園市烹飪商業同業公會","環北路400號13樓之2","03-4269769","否",""
"桃園市餐飲業職業工會","春日路241號4樓","03-3324814","否",""
"桃園縣餐盒食品商業同業公會","南園路2-50號","03-4517549","否",""
"財團法人中華穀類食品工業技術研究所","下罟子12-6號","02-26101010","是","http://www.cgprdi.org.tw/"
"財團法人台灣食品產業策進會","仁愛路四段107號7樓","02-27521006","是","https://www.tfif.org.tw/"
"財團法人食品工業發展研究所","食品路331號","03-5223191","是","http://www.firdi.org.tw"
"財團法人慈寶安全衛生環境科學暨社會福利基金會","湳中街22巷21號7樓","02-32344482","是",""
"高雄巿烹飪商業同業公會","復興二路209號","07-2812332","否","www.cakc.org.tw"
"高雄市外燴飲食職業工會","建國路三段108-1號","07-7802199","否","www.bonton.url.tw"
"高雄市米食製品職業工會","建國路三段108-1號","07-7808099","否","www.bonton.url.tw"
"高雄市廚師職業工會","班超路132號5樓之5","07-7153762","否","http://kchef.org"
"高雄市餐盒食品商業同業公會","甲南里鹽南路17號","07-6116180","否",""
"高雄市餐飲業職業工會","二聖一路288號4樓","07-7117828","否","http://www.krwu.org.tw"
"國立中正大學清江學習中心","世賢路四段120號","05-2949025","是","http://cjlc.ccu.edu.tw/main.php"
"國立台灣大學膳食協調委員會","羅斯福路4段1號","02-33662268","否","http://www.ntu.edu.tw/"
"國立宜蘭大學","神農路1段1號","03-9317783","是",""
"國立屏東科技大學","學府路1號","08-7703202","否",""
"國立臺灣大學醫學院附設醫院","中山南路7號","02-23123456","否",""
"國立澎湖科技大學","六合路300號","09-33153428","否",""
"國泰醫療財團法人國泰綜合醫院","仁愛路四段280號","02-27082121","否",""
"崇仁醫護管理專科學校","盧厝里紅毛埤217號","05-2773932","是",""
"統一企業股份有限公司附設教育訓練中心","中正路301號","06-2536789","是",""
"景文科技大學","安忠路99號","02-82122000","否",""
"宜蘭縣總工會","環河路111號","03-9532508","否",""
"宜蘭縣總工會附設職業訓練中心","環河路111號","03-9322426","否",""
"宜蘭縣蘭陽美食交流協會","梅洲里鎮平路222巷8號","03-9289696","否",""
"社團法人中國餐飲學會","仁愛街44號","02-29937250","是",""
"社團法人中華中外美饌研究發展協會","中央路一段192巷11弄8號","02-27659865","是",""
"社團法人中華民國餐飲藝術推廣協會","新台五路一段234號8樓","02-23582769","是",""
"社團法人中華食品危害分析與重點管制系統學會","海專路142號厚生樓A11212-2室","07-3633256","是","http://haccp.org.tw"
"雲林縣廚師職業工會","民生路238-3號","05-5353076","否",""
"雲林縣餐飲業職業工會","雲東里永樂街35號3樓","05-5327721","否",""
"新北市烹飪商業同業公會","五工五路5號4樓","02-2298-0193","否","http://www.be-boss.org.tw"
"新北市廚師業職業工會","仁愛街53巷4號","02-29768710~1","否","http://www.cook.org.tw"
"新北市餐飲業職業工會","三民路二段37號9樓","02-29634041","否","http://www.cookery.org.tw"
"新竹市廚師業職業工會","經國路一段454巷46號1樓","03-5353813","否","http://cook.hc@hotmail.com"
"新竹市餐飲業職業工會","民富街293號","03-5259775","否",""
"新竹縣餐飲業職業工會","縣政八街77號2樓","03-5516058","否","http://dining-hc.org.tw/"
"暐凱國際檢驗科技股份有限公司","內湖路一段120巷15弄28號","02-87511232","是","http://www.fsi.net.tw"
"嘉南藥理科技大學","二仁路一段60號","06-2664911","否","www.chna.edu.tw"
"嘉義市廚師職業工會","廣州街219之3號2樓","05-2363397","否",""
"嘉義市餐飲業職業工會","東區林森東路111巷1號","05-2765095","否",""
"嘉義縣廚師業職業工會","新榮路167巷46號1樓","05-3705536","否",""
"嘉義縣餐飲業職業工會","興業東路316號2樓之1","05-2254574","否",""
"實踐大學","大直街70號","02-66012497","是","http://incubator.usc.edu.tw"
"彰化縣廚師業職業工會","東隆路119之3號","04-7775440","否",""
"彰化縣餐飲業職業工會","三民路249巷1號","04-7220901","否",""
"臺中市外燴人員職業工會","中山路442號","04-25257843","否",""
"臺中市美食烹飪商業同業公會","中山路252號2樓","04-25272889","否",""
"臺中市烹飪商業同業公會","大墩路25號","04-24737766","否","http://www.cooking.org.tw"
"臺中直轄市中餐服務人員職業工會","中山路442號","04-25276257","否",""
"臺北市私立開平餐飲職業學校","復興南路二段148巷24號","02-27556939","是","http://www.kpvs.tp.edu.tw/"
"臺東縣烹飪商業同業公會","傳廣路97巷47號","089-322143","否",""
"臺南市小吃業職業工會","金華路二段447號","09-80-383399","否","http://sunmean.twbbs.org/gh/007/index.htm"
"臺南市烹飪商業同業公會","金華路三段257號2樓之4","06-2223435","否",""
"臺南市廚師業職業工會","西門路一段177號","06-2925890~2","否","http://www.chefunion.org.tw/"
"臺南市餐盒食品商業同業公會","三民路8巷14號","06-6329081","否",""
"臺南市餐飲業職業工會","大埔街50號3樓","06-2131301","否",""
"銘傳大學","基河路130號3樓","02-28824564","否",""
"澎湖縣餐飲業職業工會","民福路2號2樓","06-9279214","否",""
"稻江科技暨管理學院餐旅管理學系","嘉義縣朴子市學府路二段51號","05-3622889","否",""
