標題,發布日期,連結
"食品中動物性成分檢驗方法－鵝成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1751&t=s"
"食品中動物性成分檢驗方法－鴨成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1752&t=s"
"食品中動物性成分檢驗方法－袋鼠成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1755&t=s"
"食品中動物性成分檢驗方法－鹿成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1756&t=s"
"食品中動物性成分檢驗方法－羊成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1757&t=s"
"食品中動物性成分檢驗方法－馬成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1758&t=s"
"食品中動物用藥殘留量檢驗方法－孔雀綠及其代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1762&t=s"
"食品中動物用藥殘留量檢驗方法－安巴素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1766&t=s"
"食品中殘留農藥檢驗方法－殺蟲劑因滅汀之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1768&t=s"
"食品中殘留農藥檢驗方法－殺蟲劑可尼丁及其代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1772&t=s"
"食品中殘留農藥檢驗方法－殺草劑百速隆之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1774&t=s"
"食用藻類中無機砷之檢驗方法(MOHWH0017.00)","2016-01-30","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=17766"
"食品中殘留農藥檢驗方法－燻蒸劑溴化甲烷之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1778&t=s"
"食品中殘留農藥檢驗方法－殺草劑得拉本之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1780&t=s"
"食品中殘留農藥檢驗方法－殺菌劑氟硫滅之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1783&t=s"
"食品中殘留農藥檢驗方法－殺菌劑二硫代胺基甲酸鹽劑之檢驗 (三)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1788&t=s"
"食品中殘留農藥檢驗方法－茶多重殘留分析","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1789&t=s"
"食品中抗氧化劑之檢驗方法－多重分析方法(MOHWA0021.00)(自105年5月1日生效)","2016-02-26","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=17896"
"食品中動物用藥殘留量檢驗方法－氟尼辛及托芬那酸之檢驗(MOHWV0045.00)","2016-03-01","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=17904"
"食品中殘留農藥檢驗方法－殺草劑依速隆之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1797&t=s"
"食品中殘留農藥檢驗方法─殺草劑亞喜芬之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1810&t=s"
"食品中殘留農藥檢驗方法─殺蟎劑得氯蟎之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1813&t=s"
"食品中動物用藥殘留量檢驗方法－泰妙素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1817&t=s"
"食品中動物用藥殘留量檢驗方法－史黴素及其代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1819&t=s"
"食品中動物用藥殘留量檢驗方法－Benzimidazole類多重殘留分析(二)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1820&t=s"
"食品中動物用藥殘留量檢驗方法－Benzimidazole類多重殘留分析","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1824&t=s"
"食品中動物用藥殘留檢驗方法－枯草菌素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1825&t=s"
"食品中殘留農藥檢驗方法－殺蟎劑大克蟎之檢驗(一)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1826&t=s"
"食品中殘留農藥檢驗方法－殺蟎劑大克蟎之檢驗(二)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1827&t=s"
"食品中動物用藥殘留量檢驗方法－Trenbolone acetate及其代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1828&t=s"
"食品中動物用藥殘留量檢驗方法－賽滅淨之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1835&t=s"
"食品中動物用藥殘留檢驗方法－抗生素類別之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1839&t=s"
"食品中動物用藥殘留檢驗方法－抗生物質之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1840&t=s"
"食品中動物用藥殘留檢驗方法－青黴素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1845&t=s"
"食品中動物用藥殘留量檢驗方法－己烯雌酚及Hexestrol之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1847&t=s"
"食品中動物用藥殘留量檢驗方法－乃託文之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1850&t=s"
"食品中動物用藥殘留量檢驗方法－害獲滅之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1852&t=s"
"食品中動物用藥殘留量檢驗方法－黃體荷爾蒙助孕酮、17α-羥基助孕酮、4-雄烯-3,17-二酮及睪固酮之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1853&t=s"
"食品中動物用藥殘留量檢驗方法－Zeranol、17a-雌素二醇及17b-雌素二醇之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1854&t=s"
"食品中動物用藥殘留量檢驗方法－歐來金得之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1860&t=s"
"食品中動物用藥殘留量之檢驗方法－滴克奎諾之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1864&t=s"
"食品中動物用藥殘留量檢驗方法－氟苯並嘧唑氨基甲酸之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1866&t=s"
"食品微生物之檢驗方法—氣單胞菌之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1878&t=s"
"食品微生物之檢驗方法－產氣莢膜桿菌之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1879&t=s"
"食品微生物之檢驗方法－黴菌及酵母菌數之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1882&t=s"
"食品微生物之檢驗方法－耶辛尼氏腸炎桿菌之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1884&t=s"
"食品微生物之檢驗方法－大腸桿菌O157：H7之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1888&t=s"
"食品中黴菌毒素檢驗方法－T-2毒素及HT-2毒素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1889&t=s"
"食品中黴菌毒素檢驗方法－脫氧雪腐鐮刀菌烯醇之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1892&t=s"
"食品中黴菌毒素檢驗方法－棒麴毒素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1893&t=s"
"食品中黴菌毒素檢驗方法－乳製品中黃麴毒素M1之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1896&t=s"
"飲料中古柯鹼之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1974&t=s"
"食品中動物用藥殘留量檢驗方法-Triclabendazole及其代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1975&t=s"
"食品中動物用藥殘留量檢驗方法-左美素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1976&t=s"
"食品中動物用藥殘留量檢驗方法－抗原蟲劑多重殘留分析","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1977&t=s"
"食品中動物用藥殘留量檢驗方法-仙杜拉素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=1978&t=s"
"食品中黴菌毒素檢驗方法－橘黴素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2020&t=s"
"食品中放射性核種之檢驗方法(MOHWO0015.00)","2016-05-19","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=20231"
"餐具衛生標準及其檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2024&t=s"
"食品中戴奧辛及多氯聯苯殘留量檢驗方法(公告指定CNS總號14758 類號N6369)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2032&t=s"
"飲料中黃樟素之檢驗方法(MOHWA0022.00)","2016-06-03","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=20366"
"食品中多氯聯苯檢驗方法(一)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2038&t=s"
"食品中黴菌毒素檢驗方法－玉米赤黴毒素之檢驗(MOHWT0003.02)","2016-08-04","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=21644"
"食品器具、容器、包裝檢驗方法－玻璃、陶瓷器、施琺瑯之檢驗(MOHWU0009.03)","2016-08-04","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=21650"
"食品中黴菌毒素檢驗方法－玉米及其製品中伏馬毒素B1和B2之檢驗(MOHWT0011.03)","2016-09-13","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=21786"
"禽畜產品中殘留農藥檢驗方法－多重殘留分析方法(MOHWP0056.00)","2016-11-08","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=22000"
"食品原料阿拉伯樹膠規格之檢驗方法(MOHWO0010.02)","2017-02-02","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=22483"
"食品中動物用藥殘留量檢驗方法－安保寧之檢驗(二) (MOHWV0046.00)","2017-02-07","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=22519"
"食品中螢光增白劑－二胺基二苯乙烯及其衍生物之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2256&t=s"
"嬰兒奶嘴中亞硝胺含量之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2258&t=s"
"食品中調味劑之檢驗方法－阿斯巴甜之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2259&t=s"
"食品中防腐劑之檢驗方法(MOHWA0020.02)","2017-02-14","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=22595"
"食品中甜味劑之檢驗方法－醋磺內酯鉀、糖精、甘精及環己基(代)磺醯胺酸之檢驗(MOHWA0019.04)","2017-02-21","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=22673"
"食品中農藥殘量之檢驗方法－有機氯劑之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2308&t=s"
"食品中農藥殘留量檢驗方法－乃力松之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2309&t=s"
"食品中動物用藥殘留量檢驗方法－泰拉黴素之檢驗(MOHWV0047.00)","2017-04-20","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=23219"
"食品中農藥殘留量檢驗方法－殺菌劑福爾培之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2322&t=s"
"食鹽中亞鐵氰化鈉之檢驗方法(MOHWA0023.00)","2017-04-20","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=23220"
"食品中茶胺酸之檢驗方法(MOHWA0024.00)","2017-04-20","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=23221"
"食品中動物用藥殘留量檢驗方法－乙醯異戊醯泰樂黴素及其代謝物之檢驗(MOHWV0048.00)","2017-04-26","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=23261"
"食品微生物之檢驗方法－腸炎弧菌之檢驗(MOHWM0011.02)","2017-04-27","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=23315"
"食品微生物之檢驗方法－仙人掌桿菌之檢驗(MOHWM0016.02)","2017-05-11","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=23366"
"食品中殘留農藥檢驗方法－有機氮劑腈硫醌之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2345&t=s"
"食品中殘留農藥檢驗方法－有機氮劑多寧之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2351&t=s"
"食品中殘留農藥檢驗方法－氨基甲酸鹽劑硫敵克代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2358&t=s"
"食品中殘留農藥檢驗方法－殺蟎劑錫蟎丹之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2360&t=s"
"食品中殘留農藥檢驗方法－殺草劑氟氯比之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2366&t=s"
"食品中殘留農藥檢驗方法－殺蟎劑三亞蟎之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2373&t=s"
"食品中殘留農藥檢驗方法－水果多重殘留分析(三)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2378&t=s"
"食品中殘留農藥檢驗方法－殺草劑拔敵草之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2382&t=s"
"食品中殘留農藥檢驗方法－殺蟲劑克芬松之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2389&t=s"
"食品中殘留農藥檢驗方法－殺草劑固殺草及其代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2392&t=s"
"食品中殘留農藥檢驗方法－殺菌劑賽福座及其代謝物之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2393&t=s"
"食品中殘留農藥檢驗方法－殺菌劑克熱淨之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2397&t=s"
"食品中殘留農藥檢驗方法－水果多重殘留分析(二)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2401&t=s"
"食品中殘留農藥檢驗方法－禽畜產品中有機磷劑之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2405&t=s"
"食品中殘留農藥檢驗方法－生長調節劑益收生長素之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2407&t=s"
"食品中殘留農藥檢驗方法－殺蟲劑得拉松之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2408&t=s"
"食品中殘留農藥檢驗方法－多重殘留分析之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2409&t=s"
"食品中殘留農藥檢驗方法－殺草劑亞速爛之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2412&t=s"
"食品中殘留農藥檢驗方法－抑芽劑克普芬之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2414&t=s"
"食品中海洋生物毒素之檢驗方法－失憶性貝毒軟骨藻酸之檢驗","2017-08-28","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24162"
"食品中甲基汞檢驗方法(三) (MOHWH0018.00)","2017-08-30","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24200"
"水產動物中無機砷之檢驗方法(MOHWH0019.00)","2017-08-30","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24201"
"食品中動物用藥殘留量檢驗方法－可利斯汀之檢驗(MOHWV0049.00)","2017-08-31","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24205"
"食品中殘留農藥檢驗方法－多重殘留分析方法(五)(MOHWP0055.03)(373品項)【自107年1月1日生效】","2017-08-31","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24206"
"食鹽中氟離子之檢驗方法(MOHWA0025.00)","2017-09-06","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24256"
"食品中黴菌毒素檢驗方法－多重毒素之檢驗 (MOHWT0010.02)【自106年10月1日生效】","2017-09-06","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24258"
"食鹽中碘離子之檢驗方法(MOHWA0026.00)","2017-09-13","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24288"
"食鹽中碘酸根離子之檢驗方法(MOHWA0027.00)","2017-09-13","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24290"
"畜禽類可食性內臟中重金屬檢驗方法－鉛及鎘之檢驗(MOHWH0020.00)","2017-11-08","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24626"
"飲料中咖啡因之檢驗方法(MOHWA0028.00)","2017-11-13","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24647"
"塑膠類食品器具容器包裝之耐熱溫度標示符合性試驗方法(MOHWU0023.02)","2017-11-13","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24648"
"食品中甲醛之檢驗方法(二) (MOHWA0004.03)","2017-11-16","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=103&id=24673"
"食用油脂中重金屬檢驗方法－砷、鉛及銅之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2479&t=s"
"食用油脂中重金屬檢驗方法－汞之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2480&t=s"
"食品中甲基汞檢驗方法（二）","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3328&t=s"
"食品加工用二氧化碳之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3933&t=s"
"食品用一氧化二氮之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3934&t=s"
"食品用丙烷之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3935&t=s"
"食品用正丁烷之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3936&t=s"
"食品用異丁烷之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=3937&t=s"
"食用油脂中總極性化合物檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=4203&t=s"
"食品中海洋生物毒素之檢驗方法－麻痺性貝毒之檢驗(一)","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=4612&t=s"
"食品中防腐劑之檢驗方法－丙酸之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5341&t=s"
"食品中動物用藥殘留量檢驗方法－抗生素及其代謝物多重殘留分析","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5485&t=s"
"食鹽中重金屬檢驗方法－銅、鉛及鎘之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5577&t=s"
"食鹽中重金屬檢驗方法－砷之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5578&t=s"
"食鹽中重金屬檢驗方法－汞之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5579&t=s"
"包裝飲用水及盛裝飲用水中重金屬檢驗方法－銅及鋅之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5649&t=s"
"包裝飲用水及盛裝飲用水中重金屬檢驗方法－砷、鉛及鎘之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5650&t=s"
"食品中動物性成分檢驗方法－豬肉製品中含火雞肉成分之定量檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5748&t=s"
"食品中動物性成分檢驗方法—狗成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5750&t=s"
"食品中動物性成分檢驗方法—貓成分之定性檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5751&t=s"
"食品中Monacolin K之檢驗方法","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5764&t=s"
"食品中動物性成分檢驗方法－鹿肉製品中含豬肉成分之定量檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=5765&t=s"
"食品微生物之檢驗方法—肉毒桿菌之檢驗","2013-09-06","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=6111&t=s"
