許可證字號,發證日,商品名,許可證持有者,監視終止
"藥輸025154","99.03.09","Vidaza for Injectable Suspension　","賽基有限公司","104.03.09"
"菌疫輸000893","99.03.18","Omnitrope 3.3mg/ml solution for injection","台灣諾華股份有限公司","104.03.18"
"菌疫輸000896","99.03.18","Omnitrope 6.7mg/ml solution for injection","台灣諾華股份有限公司","104.03.18"
"菌疫輸000893","99.03.18","Omnitrope 3.3mg/ml solution for injection","台灣諾華股份有限公司","104.03.18"
"菌疫輸000896","99.03.18","Omnitrope 6.7mg/ml solution for injection","台灣諾華股份有限公司","104.03.18"
"藥輸025156","99.03.24","EPIDUO 0.1%/2.5% GEL","香港商高德美有限公司台灣分公司","104.03.24"
"藥輸025156","99.03.24","EPIDUO 0.1%/2.5% GEL","香港商高德美有限公司台灣分公司","104.03.24"
"藥輸025161","99.03.31","Co-Rasilez 150/25mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025162","99.03.31","Co-Rasilez 150/12.5mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025163","99.03.31","Co-Rasilez 300/12.5mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025164","99.03.31","Co-Rasilez 300/25mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025161","99.03.31","Co-Rasilez 150/25mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025162","99.03.31","Co-Rasilez 150/12.5mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025163","99.03.31","Co-Rasilez 300/12.5mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025164","99.03.31","Co-Rasilez 300/25mg Film-Coated Tablets","台灣諾華股份有限公司","104.03.31"
"藥輸025165","99.04.01","Afinitor 5mg tablets　","台灣諾華股份有限公司","104.04.01"
"藥輸025166","99.04.01","Afinitor 10mg Tablets　","台灣諾華股份有限公司","104.04.01"
"藥輸025165","99.04.01","Afinitor 5mg tablets　","台灣諾華股份有限公司","104.04.01"
"藥輸025166","99.04.01","Afinitor 10mg Tablets　","台灣諾華股份有限公司","104.04.01"
"藥輸025172","99.04.13","Aminoplasmal Neo 5% E","台灣柏朗股份有限公司","104.04.13"
"藥輸025173","99.04.13","Aminoplasmal Neo 10%","台灣柏朗股份有限公司","104.04.13"
"藥輸025174","99.04.13","Aminoplasmal Neo 10% E","台灣柏朗股份有限公司","104.04.13"
"藥輸025172","99.04.13","Aminoplasmal Neo 5% E","台灣柏朗股份有限公司","104.04.13"
"藥輸025173","99.04.13","Aminoplasmal Neo 10%","台灣柏朗股份有限公司","104.04.13"
"藥輸025174","99.04.13","Aminoplasmal Neo 10% E","台灣柏朗股份有限公司","104.04.13"
"藥輸025179","99.04.20","BFLUID INJECTION","臺灣大塚製藥股份有限公司","104.04.20"
"藥輸025179","99.04.20","BFLUID INJECTION","臺灣大塚製藥股份有限公司","104.04.20"
"藥製054853","99.04.23","PG2 Injection 500 mg　","懷特生技新藥股份有限公司","104.04.23"
"藥製054853","99.04.23","PG2 Injection 500 mg　","懷特生技新藥股份有限公司","104.04.23"
"菌疫輸000897","99.05.27","Orencia Lyophilized Powder for IV Infusion 250mg　","臺灣必治妥施貴寶股份有限公司","104.05.27"
"菌疫輸000897","99.05.27","Orencia Lyophilized Powder for IV Infusion 250mg　","臺灣必治妥施貴寶股份有限公司","104.05.27"
"藥輸025204","99.06.08","Omnaris Nasal Spray 50mcg","和聯藥業股份有限公司","104.06.08"
"藥輸025205","99.06.08","ATRIPLA TABLETS","禾利行股份有限公司","104.06.08"
"藥輸025203","99.06.08","SMOFKABIVEN EMULSION FOR INFUSION","台灣費森尤斯卡比股份有限公司","104.06.08"
"藥輸025204","99.06.08","Omnaris Nasal Spray 50mcg","和聯藥業股份有限公司","104.06.08"
"藥輸025205","99.06.08","ATRIPLA TABLETS","禾利行股份有限公司","104.06.08"
"藥輸025214","99.06.15","Revlimid Capsules 25mg","賽基有限公司","104.06.15"
"藥輸025215","99.06.15","Revlimid Capsules 15mg","賽基有限公司","104.06.15"
"藥輸025216","99.06.15","Revlimid Capsules 10mg","賽基有限公司","104.06.15"
"藥輸025217","99.06.15","Revlimid Capsules 5mg","賽基有限公司","104.06.15"
"藥輸025214","99.06.15","Revlimid Capsules 25mg","賽基有限公司","104.06.15"
"藥輸025215","99.06.15","Revlimid Capsules 15mg","賽基有限公司","104.06.15"
"藥輸025216","99.06.15","Revlimid Capsules 10mg","賽基有限公司","104.06.15"
"藥輸025217","99.06.15","Revlimid Capsules 5mg","賽基有限公司","104.06.15"
"藥輸025220","99.06.22","ONGLYZA FILM-COATED TABLETS 2.5MG","臺灣必治妥施貴寶股份有限公司","104.06.22"
"藥輸025221","99.06.22","ONGLYZA FILM-COATED TABLETS 5MG","臺灣必治妥施貴寶股份有限公司","104.06.22"
"藥輸025220","99.06.22","ONGLYZA FILM-COATED TABLETS 2.5MG","臺灣必治妥施貴寶股份有限公司","104.06.22"
"藥輸025221","99.06.22","ONGLYZA FILM-COATED TABLETS 5MG","臺灣必治妥施貴寶股份有限公司","104.06.22"
"藥輸025224","99.06.28","Multaq 400mg film-coated tablets","賽諾菲安萬特股份有限公司","104.06.28"
"藥輸025224","99.06.28","Multaq 400mg film-coated tablets","賽諾菲安萬特股份有限公司","104.06.28"
"藥輸025228","99.07.06","ZOLINZA Capsules","美商默沙東藥廠股份有限公司台灣分公司","104.07.06"
"藥輸025228","99.07.06","ZOLINZA Capsules","美商默沙東藥廠股份有限公司台灣分公司","104.07.06"
"藥輸025229","99.07.07","Renvela Film-coated Tablet　","健臻生技有限公司　","104.07.07"
"藥輸025229","99.07.07","Renvela Film-coated Tablet　","健臻生技有限公司　","104.07.07"
"藥輸025234","99.07.14","EXELON PATCH 5","台灣諾華股份有限公司","104.07.14"
"藥輸025234","99.07.14","EXELON PATCH 5","台灣諾華股份有限公司","104.07.14"
"藥製055118","99.07.16","Urief Capsules 4 mg","健喬信元醫藥生技股份有限公司","104.07.16"
"藥製055118","99.07.16","Urief Capsules 4 mg","健喬信元醫藥生技股份有限公司","104.07.16"
"藥輸025238","99.07.28","Temodal Powder for solution for infusion","先靈葆雅企業股份有限公司","104.07.28"
"藥輸025238","99.07.28","Temodal Powder for solution for infusion","先靈葆雅企業股份有限公司","104.07.28"
"藥輸025242","99.08.05","TS-1CAPSULES 25MG","臺灣東洋藥品工業股份有限公司　","104.08.05"
"藥輸025243","99.08.05","TS-1 CAPSULES 20MG　","臺灣東洋藥品工業股份有限公司　","104.08.05"
"藥輸025242","99.08.05","TS-1CAPSULES 25MG","臺灣東洋藥品工業股份有限公司　","104.08.05"
"藥輸025243","99.08.05","TS-1 CAPSULES 20MG　","臺灣東洋藥品工業股份有限公司　","104.08.05"
"藥輸025244","99.08.16","HYCAMTIN CAPSULES 0.25MG　","荷商葛蘭素史克藥廠股份有限公司台灣分公司　","104.08.16"
"藥輸025245","99.08.16","HYCAMTIN CAPSULES 1MG","荷商葛蘭素史克藥廠股份有限公司台灣分公司　","104.08.16"
"藥輸025246","99.08.16","Takepron Intravenous 30mg","臺灣武田藥品工業股份有限公司","104.08.16"
"藥輸025247","99.08.16","EMEND IV 115mg Powder for Injection　","美商默沙東藥廠股份有限公司台灣分公司","104.08.16"
"藥輸025244","99.08.16","HYCAMTIN CAPSULES 0.25MG　","荷商葛蘭素史克藥廠股份有限公司台灣分公司　","104.08.16"
"藥輸025245","99.08.16","HYCAMTIN CAPSULES 1MG","荷商葛蘭素史克藥廠股份有限公司台灣分公司　","104.08.16"
"藥輸025246","99.08.16","Takepron Intravenous 30mg","臺灣武田藥品工業股份有限公司","104.08.16"
"藥輸025247","99.08.16","EMEND IV 115mg Powder for Injection　","美商默沙東藥廠股份有限公司台灣分公司","104.08.16"
"藥製055405","99.10.01","Nidadd Sustained Release Tablets 500mg　","世育興業股份有限公司","104.10.01"
"藥製055405","99.10.01","Nidadd Sustained Release Tablets 500mg　","世育興業股份有限公司","104.10.01"
"藥輸025272","99.10.05","Revolade film-coated tablets 25mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","104.10.05"
"藥輸025273","99.10.05","Revolade film-coated tablets 50mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","104.10.05"
"藥輸025272","99.10.05","Revolade film-coated tablets 25mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","104.10.05"
"藥輸025273","99.10.05","Revolade film-coated tablets 50mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","104.10.05"
"藥輸025274","99.10.06","Posanol 40 mg/ml oral suspension","先靈葆雅企業股份有限公司","104.10.06"
"藥輸025274","99.10.06","Posanol 40 mg/ml oral suspension","先靈葆雅企業股份有限公司","104.10.06"
"藥輸025282","99.10.19","Onbrez Breezhaler 150 mcg inhalation powder, hard capsule","台灣諾華股份有限公司","104.10.19"
"藥輸025282","99.10.19","Onbrez Breezhaler 150 mcg inhalation powder, hard capsule","台灣諾華股份有限公司","104.10.19"
"藥輸025286","99.11.03","Prezista Tablets 400mg　","嬌生股份有限公司","104.11.03"
"藥輸025286","99.11.03","Prezista Tablets 400mg　","嬌生股份有限公司","104.11.03"
"菌疫輸000903","99.11.12","Elonva Solution for Injection 150ug/0.5ml","先靈葆雅企業股份有限公司","104.11.12"
"菌疫輸000904","99.11.12","Elonva Solution for Injection 100ug/0.5ml","先靈葆雅企業股份有限公司","104.11.12"
"菌疫輸000903","99.11.12","Elonva Solution for Injection 150ug/0.5ml","先靈葆雅企業股份有限公司","104.11.12"
"菌疫輸000904","99.11.12","Elonva Solution for Injection 100ug/0.5ml","先靈葆雅企業股份有限公司","104.11.12"
"菌疫輸000905","99.11.15","Ilaris 150mg Power for Solution for Injection","台灣諾華股份有限公司","104.11.15"
"菌疫輸000905","99.11.15","Ilaris 150mg Power for Solution for Injection","台灣諾華股份有限公司","104.11.15"
"菌疫輸000906","99.11.18","Prevenar 13, Pneumococcal 13-Valent Conjugate Vaccine　","美商惠氏藥廠（亞洲）股份有限公司臺灣分公司","104.11.18"
"菌疫輸000906","99.11.18","Prevenar 13, Pneumococcal 13-Valent Conjugate Vaccine　","美商惠氏藥廠（亞洲）股份有限公司臺灣分公司","104.11.18"
"藥輸025295","99.11.23","Samsca Tablets 30mg","臺灣大塚製藥股份有限公司","104.11.23"
"藥輸025296","99.11.23","Samsca Tablets 15mg","臺灣大塚製藥股份有限公司","104.11.23"
"藥輸025295","99.11.23","Samsca Tablets 30mg","臺灣大塚製藥股份有限公司","104.11.23"
"藥輸025296","99.11.23","Samsca Tablets 15mg","臺灣大塚製藥股份有限公司","104.11.23"
"衛署藥輸字第025300號","99.11.30","BRIDION 100MG/ML SOLUTION FOR INJECTION","先靈葆雅企業股份有限公司","104.11.30"
"藥輸025303","99.12.03","Mozobil solution for injection　","健臻生技有限公司　","104.12.03"
"藥輸025303","99.12.03","Mozobil solution for injection　","健臻生技有限公司　","104.12.03"
"藥輸025306","99.12.07","Galvus Tablets 50mg","台灣諾華股份有限公司","104.12.07"
"藥輸025306","99.12.07","Galvus Tablets 50mg","台灣諾華股份有限公司","104.12.07"
"藥輸025309","99.12.10","Bronuck Ophthalmic Solution 0.1%　","友華生技醫藥股份有限公司","104.12.10"
"藥輸025309","99.12.10","Bronuck Ophthalmic Solution 0.1%　","友華生技醫藥股份有限公司","104.12.10"
"藥製R00032","99.12.23","INER Sodium Fluoride [F-18] Injection　","行政院原子能委員會核能研究所核醫製藥中心","104.12.23"
"藥製R00032","99.12.23","INER Sodium Fluoride [F-18] Injection　","行政院原子能委員會核能研究所核醫製藥中心","104.12.23"
"藥輸025315","99.12.30","AZILECT 1MG TABLETS　","海喬國際股份有限公司","104.12.30"
"衛部藥製第058222號","103.4.3","Urief Capsules 8 mg","健喬信元醫藥生技股份有限公司","104.7.16"
"藥輸025316","100.01.10","Keppra Concentrate for Solution for Infusion 100mg/ml","荷商葛蘭素史克藥廠股份有限公司台灣分公司　","105.01.10"
"藥輸025316","100.01.10","Keppra Concentrate for Solution for Infusion 100mg/ml","荷商葛蘭素史克藥廠股份有限公司台灣分公司　","105.01.10"
"菌疫輸000908","100.01.12","NovoMix 50 FlexPen　","臺灣諾和諾德藥品股份有限公司","105.01.12"
"菌疫輸000909","100.01.12","NovoMix 50 Penfill","臺灣諾和諾德藥品股份有限公司","105.01.12"
"菌疫輸000910","100.01.12","EVICEL Fibrin Sealant　","英商壯生和壯生（香港）股份有限公司臺灣分公司　","105.01.12"
"菌疫輸000908","100.01.12","NovoMix 50 FlexPen　","臺灣諾和諾德藥品股份有限公司","105.01.12"
"菌疫輸000909","100.01.12","NovoMix 50 Penfill","臺灣諾和諾德藥品股份有限公司","105.01.12"
"菌疫輸000910","100.01.12","EVICEL Fibrin Sealant　","英商壯生和壯生（香港）股份有限公司臺灣分公司　","105.01.12"
"菌疫輸000912","100.01.13","Adacel Polio　","賽諾菲安萬特股份有限公司","105.01.13"
"藥輸025320","100.01.13","Vitafusal Solution for Infusion","和聯藥業股份有限公司","105.01.13"
"菌疫輸000912","100.01.13","Adacel Polio　","賽諾菲安萬特股份有限公司","105.01.13"
"藥輸025320","100.01.13","Vitafusal Solution for Infusion","和聯藥業股份有限公司","105.01.13"
"藥輸025326","100.01.19","CoPlavix film coated tablets 75mg/100mg　","賽諾菲安萬特股份有限公司","105.01.19"
"藥輸025326","100.01.19","CoPlavix film coated tablets 75mg/100mg　","賽諾菲安萬特股份有限公司","105.01.19"
"藥輸025350","100.01.28","LIVALO Tablets 2mg　","台田藥品股份有限公司　","105.01.28"
"藥輸025350","100.01.28","LIVALO Tablets 2mg　","台田藥品股份有限公司　","105.01.28"
"菌疫輸000914","100.03.03","Victoza　","臺灣諾和諾德藥品股份有限公司","105.03.03"
"菌疫輸000914","100.03.03","Victoza　","臺灣諾和諾德藥品股份有限公司","105.03.03"
"菌疫輸000916","100.03.08","Prepandrix TM","荷商葛蘭素史克藥廠股份有限公司台灣分公司","105.03.08"
"菌疫輸000915","100.03.10","Pergoveris　","臺灣默克股份有限公司","105.03.10"
"菌疫輸000915","100.03.10","Pergoveris　","臺灣默克股份有限公司","105.03.10"
"藥輸025386","100.03.29","Prismasol 4mmol/lpotassium,solution for haemofiltration and haemodialysis　","衛寶股份有限公司","105.03.29"
"藥輸025387","100.03.29","Prismasol B0,solution for haemofiltration and haemodialysis　","衛寶股份有限公司","105.03.29"
"藥輸025388","100.03.29","Prismasol 2mmol/lpotassium,solution for haemofiltration and haemodialysis","衛寶股份有限公司","105.03.29"
"藥輸025386","100.03.29","Prismasol 4mmol/lpotassium,solution for haemofiltration and haemodialysis　","衛寶股份有限公司","105.03.29"
"藥輸025387","100.03.29","Prismasol B0,solution for haemofiltration and haemodialysis　","衛寶股份有限公司","105.03.29"
"藥輸025388","100.03.29","Prismasol 2mmol/lpotassium,solution for haemofiltration and haemodialysis","衛寶股份有限公司","105.03.29"
"藥輸025394","100.04.14","INVEGA SUSTENNA PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION 100MG/ML　","嬌生股份有限公司","105.04.14"
"藥輸025394","100.04.14","INVEGA SUSTENNA PROLONGED RELEASE SUSPENSION FOR INTRAMUSCULAR INJECTION 100MG/ML　","嬌生股份有限公司","105.04.14"
"藥輸025417","100.05.13","Priligy film-coated tablet 30mg　","嬌生股份有限公司　","105.05.13"
"藥輸025417","100.05.13","Priligy film-coated tablet 30mg　","嬌生股份有限公司　","105.05.13"
"罕菌疫輸字第000010號","100.05.27","Normosang 25 mg/mL Concentrate for Solution for Infusion　","科懋生物科技股份有限公司　","105.05.27"
"罕菌疫輸字第000010號","100.05.27","Normosang 25 mg/mL Concentrate for Solution for Infusion　","科懋生物科技股份有限公司　","105.05.27"
"藥輸025377","100.06.09","Taflotan ophthalmic solution","臺灣參天製藥股份有限公司　","105.06.09"
"藥輸025377","100.06.09","Taflotan ophthalmic solution","臺灣參天製藥股份有限公司　","105.06.09"
"菌疫輸000911","100.06.11","Simponi TM (golimumab),Solution for Injection　","嬌生股份有限公司","105.06.11"
"菌疫輸000911","100.06.11","Simponi TM (golimumab),Solution for Injection　","嬌生股份有限公司","105.06.11"
"藥輸025436","100.06.17","ZYPADHERA TM","臺灣禮來股份有限公司","105.06.17"
"藥輸025437","100.06.21","ARTCEREB Irrigation and Perfusion Solution for Cerebrospinal Surgery　","臺灣大塚製藥股份有限公司","105.06.21"
"藥輸025437","100.06.21","ARTCEREB Irrigation and Perfusion Solution for Cerebrospinal Surgery　","臺灣大塚製藥股份有限公司","105.06.21"
"藥輸025438","100.06.23","Besivance (besifloxacin ophthalmic suspension, 0.6%)","博士倫股份有限公司","105.06.23"
"藥輸025438","100.06.23","Besivance (besifloxacin ophthalmic suspension, 0.6%)","博士倫股份有限公司","105.06.23"
"菌疫輸000907","100.07.01","Actemra Solution for Infusion　","臺灣中外製藥股份有限公司","105.07.01"
"菌疫輸000907","100.07.01","Actemra Solution for Infusion　","臺灣中外製藥股份有限公司","105.07.01"
"藥輸025451","100.07.06","Valdoxan film-coated tablets 25mg","新加坡商施維雅股份有限公司臺灣分公司　","105.07.06"
"藥製056644","100.07.13","Mentholatum AD Cream","臺灣曼秀雷敦股份有限公司","105.07.13"
"藥輸025459","100.07.13","Pradaxa Capsules 110 mg","臺灣百靈佳殷格翰股份有限公司","105.07.13"
"藥輸025459","100.07.13","Pradaxa Capsules 150 mg","臺灣百靈佳殷格翰股份有限公司","105.07.13"
"藥輸025472","100.07.25","Evoltra concentrate for solution for infusion　","健臻生技有限公司　","105.07.25"
"藥輸025472","100.07.25","Evoltra concentrate for solution for infusion　","健臻生技有限公司　","105.07.25"
"藥輸025492","100.08.04","Sevikar HCT 20/5/12.5mg","台灣第一三共股份有限公司","105.08.04"
"藥輸025493","100.08.04","Sevikar HCT 40/5/25mg","台灣第一三共股份有限公司","105.08.04"
"藥輸025494","100.08.04","Sevikar HCT 40/5/12.5mg","台灣第一三共股份有限公司","105.08.04"
"藥輸025495","100.08.04","Sevikar HCT 40/10/12.5mg","台灣第一三共股份有限公司","105.08.04"
"藥輸025496","100.08.04","Sevikar HCT 40/10/25mg","台灣第一三共股份有限公司","105.08.04"
"菌疫輸000918","100.08.18","Prolia","荷商葛蘭素史克藥廠股份有限公司台灣分公司","105.08.18"
"藥輸025453　","100.08.19","Kombiglyze XR Tablets 5mg/1000mg　","臺灣必治妥施貴寶股份有限公司","105.08.19"
"藥輸025454","100.08.19","Kombiglyze XR Tablets 5mg/500mg","臺灣必治妥施貴寶股份有限公司","105.08.19"
"藥輸025455","100.08.19","Kombiglyze XR Tablets 2.5mg/1000mg","臺灣必治妥施貴寶股份有限公司","105.08.19"
"藥輸025423","100.08.22","Duodart Capsules ","荷商葛蘭素史克藥廠股份有限公司台灣分公司","105.08.22"
"藥輸025523","100.09.02","Aerius D12 Modified-Release Tablets","臺灣先靈葆雅企業股份有限公司","105.09.02"
"菌疫輸000919","100.09.08","Neulasta","台灣協和醱酵麒麟股份有限公司","105.09.08"
"藥輸025444","100.09.14","Twynsta Tablets 40/5mg","臺灣百靈佳殷格翰股份有限公司","105.09.14"
"藥輸025445","100.09.15","Twynsta Tablets 40/10mg","臺灣百靈佳殷格翰股份有限公司","105.09.14"
"藥輸025446","100.09.16","Twynsta Tablets 80/5mg","臺灣百靈佳殷格翰股份有限公司","105.09.14"
"藥輸025447","100.09.17","Twynsta Tablets 80/10mg","臺灣百靈佳殷格翰股份有限公司","105.09.14"
"藥輸025401","100.09.28","Innomustine Injection","因華生技製藥股份有限公司","105.09.28"
"衛署藥輸字第025350號","100.1.28","LIVALO Tablets 2mg","台田藥品股份有限公司","105.1.28"
"藥輸025537","100.10.28","Trajenta 5mg Film-Coated Tablets","臺灣百靈佳殷格翰股份有限公司","105.10.28"
"藥輸025537","100.10.28","Trajenta 5mg Film-Coated Tablets","臺灣百靈佳殷格翰股份有限公司","105.10.28"
"衛署藥輸字第025573號","100.11.28","Daxas Film-Coated Tablets 500 mcg","臺灣武田藥品工業股份有限公司","105.11.28"
"藥輸025550","100.11.9","LATISSE (bimatoprost) 0.03%　","台灣愛力根藥品股份有限公司","105.11.9"
"菌疫輸000920","100.12.5","Stelara TM Solution for Injection","嬌生股份有限公司","105.12.5"
"菌疫輸000917","100.3.22","FluLaval","荷商葛蘭素史克藥廠股份有限公司台灣分公司","105.3.22"
"藥輸025418","100.5.19","Exforge HCT Film Coated Tablets 5/160/25 mg","台灣諾華股份有限公司","105.5.19"
"藥輸025419","100.5.19","Exforge HCT Film Coated Tablets 5/160/12.5 mg","台灣諾華股份有限公司","105.5.19"
"藥輸025420","100.5.19","Exforge HCT Film Coated Tablets 10/160/12.5 mg","台灣諾華股份有限公司","105.5.19"
"藥輸025421","100.5.19","Exforge HCT Film Coated Tablets 10/160/25 mg","台灣諾華股份有限公司","105.5.19"
"藥輸025427","100.5.31","Feburic 80 mg Film Coated Tablets","台灣安斯泰來製藥股份有限公司","105.5.31"
"藥輸025480","100.7.27","Galvus Met 50/500 film-coated tablets","台灣諾華股份有限公司","105.7.27"
"藥輸025481","100.7.27","Galvus Met 50/850 film-coated tablets","台灣諾華股份有限公司","105.7.27"
"藥輸025482","100.7.27","Galvus Met 50/1000 film-coated tablets","台灣諾華股份有限公司","105.7.27"
"藥輸025556","101.01.06","Duovir-N　","微確藥品有限公司","106.01.06"
"衛署藥輸字第025524號","101.04.20","Gliolan Powder for Oral Solution","百博生技有限公司","106.04.20"
"衛署藥輸字第025691號","101.05.11　","BRILINTA Film-coated Tablets 90 mg　","臺灣阿斯特捷利康股份有限公司","106.05.11　"
"衛署藥輸字第025542號","101.05.24　","Ella　","友華生技醫藥股份有限公司","106.05.24　"
"衛署罕菌疫輸字第000014號","101.08.27","Tysabri Concentrate for Solution for Infusion 300mg","華宇藥品股份有限公司","106.08.27"
"衛署藥輸字第025614號","101.1.19","Implanon NXT","美商默沙東藥廠股份有限公司台灣分公司","106.1.19"
"衛署菌液輸字第000925號","101.1.30","Tisseel Solution for sealant","百特醫療產品股份有限公司","106.1.30"
"衛部藥輸字第026167號","102.10.8","TREZAV","台灣邁蘭有限公司","106.1.6"
"衛署藥輸字第025360號","101.10.18","Ozurdex (dexamethasone intravitreal implant) 0.7mg","台灣愛力根藥品股份有限公司","106.10.18"
"藥輸字第025814號","101.10.23","EdurantTM Film Coated Tablets 25mg","嬌生股份有限公司","106.10.23"
"衛署藥輸字第025852號","101.11.12","Rozerem Tablets 8 mg","臺灣武田藥品工業股份有限公司","106.11.12"
"衛署藥輸字第025853號","101.11.13","INLYTA Film-Coated Tablets 1 mg","輝瑞大藥廠股份有限公司","106.11.13"
"衛署藥輸字第025854號","101.11.13","INLYTA Film-Coated Tablets 5 mg","輝瑞大藥廠股份有限公司","106.11.13"
"衛署藥輸字第025755號","101.11.19","EDARBI Tablets 80mg","臺灣武田藥品工業股份有限公司","106.11.19"
"衛署藥輸字第025756號","101.11.19","EDARBI Tablets 40mg","臺灣武田藥品工業股份有限公司","106.11.19"
"衛署藥輸字第025887號","101.12.28","Dexilant Delayed Release Capsules 60mg","臺灣武田藥品工業股份有限公司","106.12.28"
"衛署藥輸字第025886號","101.12.28","Dexilant® Delayed Release Capsules 30mg","臺灣武田藥品工業股份有限公司","106.12.28"
