年度,月份,分類,檢體名稱,農藥殘留量,抽樣衛生局,抽樣地點
"106","07~08","小葉菜類","黑格林","合格","屏東縣政府衛生局","814生鮮超市廣東路店(速坡比有限公司)/屏東縣屏東市廣東路87號"
"106","07~08","小葉菜類","蔥","芬佈賜Fenbutatin-oxide 0.25 (不得檢出)","屏東縣政府衛生局","九如鄉農會生鮮超市/屏東縣九如鄉九如路2段205號"
"106","07~08","小葉菜類","青江菜","合格","雲林縣衛生局","千葉火鍋(斗六店)/雲林縣斗六市民生南路182號"
"106","07~08","小葉菜類","小白菜","合格","雲林縣衛生局","千葉火鍋(斗六店)/雲林縣斗六市民生南路182號"
"106","07~08","小葉菜類","地瓜葉","合格","雲林縣衛生局","全聯實業股份有限公司雲林斗六分公司/雲林縣斗六市莊敬路43號"
"106","07~08","小葉菜類","龍鬚菜","合格","雲林縣衛生局","全聯實業股份有限公司雲林斗六分公司/雲林縣斗六市莊敬路43號"
"106","07~08","小葉菜類","青江菜","芬普尼Fipronil 0.009 (不符使用規定)","臺北市政府衛生局","菜園/臺北市大安區四維路198巷23號"
"106","07~08","小葉菜類","芹菜","達滅芬Dimethomorph 0.02 (不符使用規定)、芬滅松Fenamiphos 0.02 (不符使用規定)、氟比來Fluopicolide 0.04 (不符使用規定)、腐絕Thiabendazole 0.03 (不符使用規定)、護粒松Edifenphos 0.05 (不符使用規定)、滅普寧Mepronil 0.04 (不符使用規定)、脫克松Tolclofos-methyl 0.14 (不得檢出)","臺北市政府衛生局","愛維根社會企業股份有限公司/臺北市文山區萬隆街62巷4號地下樓"
"106","07~08","小葉菜類","青蔥","合格","臺北市政府衛生局","士東市場第108號攤-美麗蔬菜/台北市士林區士東路100號"
"106","07~08","小葉菜類","小松菜-有機","合格","基隆市政府衛生局","里仁事業股份有限公司/基隆市安樂區安樂路二段233號"
"106","07~08","小葉菜類","青江菜","合格","基隆市政府衛生局","好康蔬果行/基隆市安樂區安和一街004巷002號1樓"
"106","07~08","小葉菜類","韭黃","合格","基隆市政府衛生局","青菜攤/基隆市仁愛區博愛市場1F-A16"
"106","07~08","小葉菜類","青江菜","合格","基隆市政府衛生局","駿成商號/基隆市仁愛區愛一路4號(仁愛市場1F私4)"
"106","07~08","小葉菜類","皇宮菜","合格","基隆市政府衛生局","豫立生鮮蔬果行/基隆市七堵區福五街85巷7號(百福市場左側第一攤)"
"106","07~08","小葉菜類","莧菜","合格","基隆市政府衛生局","青菜攤/基隆市仁愛區仁愛市場1F-D63"
"106","07~08","小葉菜類","蔥","合格","基隆市政府衛生局","湯公公火鍋店/基隆市仁愛區愛二路27號1樓"
"106","07~08","小葉菜類","青江菜","合格","基隆市政府衛生局","丸山日式涮涮鍋/基隆市仁愛區愛二路45號1樓"
"106","07~08","小葉菜類","青江菜","合格","桃園市政府衛生局","家樂福(中壢店)/桃園市中壢區中山東路二段510號"
"106","07~08","小葉菜類","韭菜","合格","桃園市政府衛生局","众來農產行/桃園市中壢區新中北路2段216號"
"106","07~08","小葉菜類","青江菜","普拔克Propamocarb hydrochloride 32.1 (10.0)","桃園市政府衛生局","众來農產行/桃園市中壢區新中北路2段216號"
"106","07~08","小葉菜類","韭菜","合格","桃園市政府衛生局","騏驥農產行/桃園市中壢區幸福里福星三街80-2號1F"
"106","07~08","小葉菜類","切紫蘇","合格","桃園市政府衛生局","源春蔘藥行/桃園市中壢區義民路２４號"
"106","07~08","小葉菜類","大陸妹","合格","連江縣衛生福利局","市攤-王依嬌/連江縣南竿鄉介壽村72號"
"106","07~08","小葉菜類","小白菜","合格","連江縣衛生福利局","市攤-陳賽金/連江縣南竿鄉介壽村92號"
"106","07~08","小葉菜類","空心菜","合格","連江縣衛生福利局","市攤-陳賽金/連江縣南竿鄉介壽村92號"
"106","07~08","小葉菜類","大陸妹","合格","連江縣衛生福利局","市攤-林水英/連江縣南竿鄉復興村125號"
"106","07~08","小葉菜類","地瓜葉","合格","連江縣衛生福利局","大眾商店/連江縣南竿鄉介壽村359號"
"106","07~08","小葉菜類","韭菜","合格","連江縣衛生福利局","榮興商店/連江縣南竿鄉介壽村361號"
"106","07~08","小葉菜類","菠菜","合格","連江縣衛生福利局","市攤-陳法清/連江縣南竿鄉介壽村314號"
"106","07~08","小葉菜類","大陸妹","合格","連江縣衛生福利局","市攤-陳菊金/連江縣南竿鄉介壽村281號"
"106","07~08","小葉菜類","切紫蘇","合格","新北市政府衛生局","信實中藥房/新北市淡水區中正路60號"
"106","07~08","小葉菜類","紫蘇","合格","新北市政府衛生局","順德堂蔘藥行/新北市深坑區文化街66號"
"106","07~08","小葉菜類","美國西洋芹菜","合格","彰化縣衛生局","裕毛屋企業股份有限公司彰化分公司/彰化縣彰化市福安里曉陽路15號1、2樓"
"106","07~08","小葉菜類","西洋芹菜","合格","彰化縣衛生局","全聯實業股份有限公司彰化彰新分公司/彰化縣彰化市新興里彰新路1段72號"
"106","07~08","小葉菜類","美國芹菜","合格","彰化縣衛生局","惠康百貨股份有限公司員林二分公司/彰化縣員林市新興里博愛路185號"
"106","07~08","小葉菜類","青江菜","賽滅寧Cypermethrin 2.3 (2.0)","彰化縣衛生局","小城百貨有限公司埔心店/彰化縣埔心鄉東門村員鹿路2段201號"
"106","07~08","小葉菜類","大葉","達特南Dinotefuran 0.49 (不得檢出)","彰化縣衛生局","中華壽司店/彰化縣員林市東和里林森路30號1樓"
"106","07~08","小葉菜類","油菜","合格","嘉義縣衛生局","翁芳昌菜攤/嘉義縣義竹鄉六桂村238-14號"
"106","07~08","小葉菜類","油菜","合格","嘉義縣衛生局","黃美玉傳統菜販/嘉義縣義竹鄉頭竹村81號"
"106","07~08","小葉菜類","青江菜","合格","雲林縣衛生局","台灣糖業股份有限公司量販事業部北港量販店/雲林縣北港鎮華南路101號"
"106","07~08","小葉菜類","台灣大蒜","賽普洛Cyprodinil 0.08 (不符使用規定)、護汰寧Fludioxonil 0.07 (不符使用規定)、普克利Propiconazole 0.02 (不符使用規定)","雲林縣衛生局","台灣糖業股份有限公司量販事業部北港量販店/雲林縣北港鎮華南路101號"
"106","07~08","小葉菜類","油菜","合格","嘉義縣衛生局","林淑娥菜攤/嘉義縣義竹鄉六桂村14鄰216號旁"
"106","07~08","小葉菜類","紅莧菜","合格","雲林縣衛生局","台灣糖業股份有限公司量販事業部北港量販店/雲林縣北港鎮華南路101號"
"106","07~08","小葉菜類","油菜","合格","臺北市政府衛生局","迦南福氣食品有限公司/台北市大安區長興街92號"
"106","07~08","小葉菜類","油菜","合格","臺北市政府衛生局","南門市場農林蔬菜供應中心/台北市中正區羅斯福路1段8號B1-090"
"106","07~08","小葉菜類","地瓜葉","合格","連江縣衛生福利局","市攤-姜瑞花/連江縣南竿鄉復興村192號"
"106","07~08","小葉菜類","大陸妹","合格","連江縣衛生福利局","市攤-陳玉金/連江縣南竿鄉福澳村39號"
"106","07~08","小葉菜類","台灣皇宮菜","合格","臺中市政府衛生局","大買家股份有限公司台中北屯分公司/台中市北屯區北屯路370號"
"106","07~08","小葉菜類","有機本島萵苣","合格","臺中市政府衛生局","大買家股份有限公司台中北屯分公司/台中市北屯區北屯路370號"
"106","07~08","小葉菜類","青江白菜-青江","合格","臺中市政府衛生局","家樂福-昌平店/台中市北屯區昌平路一段105-1號"
"106","07~08","小葉菜類","小白菜-小白","合格","臺中市政府衛生局","家樂福-昌平店/台中市北屯區昌平路一段105-1號"
"106","07~08","小葉菜類","韭菜","腐絕Thiabendazole 1.06 (不符使用規定)","臺中市政府衛生局","台灣楓康超市股份有限公司大雅鄉分公司/臺中市大雅區中清東路218號"
"106","07~08","小葉菜類","芹菜","達滅芬Dimethomorph 0.23 (不符使用規定)、護矽得Flusilazole 0.03 (不得檢出)、撲克拉Prochloraz 0.02 (不符使用規定)、普拔克Propamocarb hydrochloride 6.09 (不符使用規定)、滅普寧Mepronil 0.12 (不符使用規定)","臺中市政府衛生局","台灣楓康超市股份有限公司大雅鄉分公司/台中市大雅區中清東路218號"
"106","07~08","小葉菜類","有機格蘭菜","合格","臺中市政府衛生局","家樂福崇德店/台中市北區崇德路一段635號"
"106","07~08","小葉菜類","有機小白菜","合格","臺中市政府衛生局","家樂福崇德店/台中市北區崇德路一段635號"
"106","07~08","小葉菜類","空心菜","合格","臺中市政府衛生局","家樂福崇德店/台中市北區崇德路一段635號"
"106","07~08","小葉菜類","雲林西螺芹菜","合格","臺中市政府衛生局","頂好黎明二分公司/台中市南屯區黎明路二段423號"
"106","07~08","小葉菜類","彰化溪州韭菜","合格","臺中市政府衛生局","頂好黎明二分公司/台中市南屯區黎明路二段423號"
"106","07~08","小葉菜類","空心菜","合格","連江縣衛生福利局","市攤-劉好金/連江縣南竿鄉介壽村100號"
"106","07~08","小葉菜類","蔥","芬佈賜Fenbutatin-oxide 0.14 (不得檢出)、愛殺松Ethion 0.14 (不得檢出)","花蓮縣衛生局","慶園自助餐/花蓮縣吉安鄉吉安路二段337號"
"106","07~08","小葉菜類","大陸妹","合格","連江縣衛生福利局","榮興商店/連江縣南竿鄉介壽村361號"
"106","07~08","小葉菜類","地瓜葉","合格","連江縣衛生福利局","市攤-陳法清/連江縣南竿鄉介壽村314號"
"106","07~08","小葉菜類","九層塔","合格","連江縣衛生福利局","市攤-陳炎金/連江縣南竿鄉介壽村267號"
"106","07~08","小葉菜類","白莧菜","合格","新竹市衛生局","自然法則國際有限公司/新竹市北區北大路111號"
"106","07~08","小葉菜類","油菜","合格","新竹市衛生局","國防部聯勤司令部副食供應處新竹副供站/新竹市香山區延平路二段6號"
"106","07~08","小葉菜類","豆苗","合格","南投縣政府衛生局","好婆婆專業月子餐/南投縣草屯鎮太平路1段249號"
"106","07~08","小葉菜類","有機豌豆苗","合格","南投縣政府衛生局","省錢超市/南投縣竹山鎮昭德街86號"
"106","07~08","小葉菜類","蔥","合格","南投縣政府衛生局","東光小吃部/南投縣信義鄉東埔村開高巷72-2號"
"106","07~08","小葉菜類","青江菜","合格","宜蘭縣政府衛生局","玉清水果行分店/宜蘭縣宜蘭市崇聖街45號"
"106","07~08","小葉菜類","韭菜","合格","宜蘭縣政府衛生局","玉清水果行分店/宜蘭縣宜蘭市崇聖街45號"
"106","07~08","小葉菜類","韭菜","合格","宜蘭縣政府衛生局","黃錠安菜攤/宜蘭縣員山鄉大湖路22之16號"
"106","07~08","小葉菜類","韭菜","合格","宜蘭縣政府衛生局","詮翔青果行/宜蘭縣礁溪鄉中山路二段102-104號"
"106","07~08","小葉菜類","青江菜","合格","宜蘭縣政府衛生局","三星明果菜行/宜蘭縣三星鄉中山路1段2-3號(三星市場)"
"106","07~08","小葉菜類","韭菜","合格","宜蘭縣政府衛生局","三星明果菜行/宜蘭縣三星鄉中山路1段2-3號(三星市場)"
"106","07~08","小葉菜類","青江菜","毆殺斯Oxadixyl 0.17 (不符使用規定)","宜蘭縣政府衛生局","貴蘭蔬菜號145-147攤/宜蘭縣羅東鎮民生路6號"
"106","07~08","小葉菜類","韭菜","合格","宜蘭縣政府衛生局","貴蘭蔬菜號/宜蘭縣羅東鎮民生市場146-147號"
"106","07~08","小葉菜類","紅鳳菜","合格","嘉義市政府衛生局","允誠農產行/嘉義市南田路21號"
"106","07~08","小葉菜類","有機小芥菜","合格","宜蘭縣政府衛生局","統建實業股份有限公司/(市招:聖德科斯倉前店)/宜蘭縣羅東鎮倉前路99.101號1樓"
"106","07~08","小葉菜類","芥菜","合格","宜蘭縣政府衛生局","宜蘭市黃昏市場(林秀美攤)/宜蘭市舊城北路123號"
"106","07~08","小葉菜類","小芥菜","福瑞松Phorate 0.08 (0.05)","宜蘭縣政府衛生局","宏東果菜行/宜蘭縣羅東鎮四育路72號"
"106","07~08","小葉菜類","有機小芥菜","合格","臺東縣衛生局","大潤發/臺東市中興路三段592號"
"106","07~08","小葉菜類","小芥菜","合格","宜蘭縣政府衛生局","臻信福生活賣場/宜蘭縣礁溪鄉中山路二段92-1號"
"106","07~08","小葉菜類","白莧菜","合格","新竹市衛生局","大潤發忠孝店/新竹市忠孝路300號"
"106","07~08","小葉菜類","紅莧菜","合格","新竹市衛生局","大潤發忠孝店/新竹市忠孝路300號"
"106","07~08","小葉菜類","油麥菜(中國A菜)","合格","新竹市衛生局","大潤發忠孝店/新竹市忠孝路300號"
"106","07~08","小葉菜類","大陸妹","合格","新竹市衛生局","大亨行/新竹市經國路2段411號"
"106","07~08","小葉菜類","白莧菜","合格","新竹市衛生局","全聯福利中心/新竹市西濱路一段448號1樓"
"106","07~08","小葉菜類","有機白莧菜","合格","新竹市衛生局","棉花田生機園地股份有限公司/新竹市中央路174號1樓"
"106","07~08","小葉菜類","白莧菜","普拔克Propamocarb hydrochloride 2.15 (不符使用規定)","桃園市政府衛生局","施家班菜行/桃園市桃園區大業路1段320號1樓"
"106","07~08","小葉菜類","莧菜","合格","桃園市政府衛生局","東南水果行/桃園市中壢區中央西路2段46之1號"
"106","07~08","小葉菜類","莧菜","合格","桃園市政府衛生局","環東黃昏市場-簡慶華(菜攤)/桃園市中壢區環中東路220號"
