試驗藥品非監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
"Amoxicillin cap 250mg","永豐","衛署藥製 011003","","","Y","891114","Amlin cap 500mg","永豐","Taiwan"
"Amoxicillin cap 250mg","聯邦","衛署藥製 007396","","","Y","910319","Pamoxicillin cap 500mg","聯邦","Taiwan"
"Amoxicillin cap 500mg","中國化學","衛署藥製 024132","","Y","","871014","Amoxil cap 500mg","SmithKline Beecham","Singapore"
"Amoxicillin cap 500mg","台灣汎生","衛署藥製 034523","","Y","","880909","Amoxil cap 500mg","Smithkline Beecham","US"
"Amoxicillin cap 500mg","永信","衛署藥製 025866","","Y","","870519","Hiconcil cap 500mg","Bristol-Myers Squibb","US"
"Amoxicillin cap 500mg","永豐","衛署藥製 023042","","Y","","890829","Amoxil cap 500mg","SmithKline Beecham","US"
"Amoxicillin cap 500mg","聯邦","衛署藥製 022002","","Y","","890301","Amoxil cap 500mg","SmithKline Beecham","US"
"Amoxicillin cap 500mg (103.8.12 註銷BE核備函)","台裕","衛署藥製 030811","","Y","","910107","Amoxil cap 500mg","SmithKline Beecham","US"
"Amphotericin B liposome inj. 50mg","台灣微脂體","衛署藥製 057982","","Y","","1020417","AmBisome liposome for inj. 4mg/ml","Gliead Science","US"
"Aspirin cap 100mg","內外","衛署藥製 040665","","Y","","891117","Bokey cap. 100mg","永信","Taiwan"
"Aspirin cap 100mg","永信","衛署藥製 037344","","Y","","871113","Astrix cap 100mg","Faulding","Australia"
"Aspirin cap 100mg","生達","衛署藥製 043663","","Y","","890824","Astrix cap 100mg","Faulding","Australia"
"Aspirin cap 100mg (103.7.24 註銷BE核備函)","永勝","衛署藥製 043664","","Y","","910912","Astrix cap 100mg","Faulding","Australia"
"Atenolol tab 50mg","大豐","衛署藥製 046607","","","Y","931006","Tiatenol tab 100mg","大豐","Taiwan"
"Atenolol tab 50mg","井田","衛署藥製 043598","","","Y","890306","Ateno tab 100mg","井田","Taiwan"
"Atenolol tab 50mg","井田","衛署藥製 043598","","Y","","940503","Tenormin tab 50mg","Astra Zeneca","UK"
"Atenolol tab 50mg","永信","衛署藥製 044843","","Y","","901012","Tenormin tab 50mg","Zeneca","UK"
"Atenolol tab 50mg","生達","衛署藥製 038867","","Y","","890519","Tenormin tab 50mg","Zeneca","UK"
"Atenolol tab 50mg","信元","衛署藥製 043704","","Y","","890118","Tenormin tab 50mg","Zeneca","UK"
"Atenolol tab 50mg","國嘉","衛署藥製 039816","","","Y","880714","Anlipin tab 100mg","國嘉","Taiwan"
"Atenolol tab 50mg","強生","衛署藥製 036129","","","Y","881005","Atenolol tab 100mg","強生","Taiwan"
"Atenolol tab 50mg","盛益","衛署藥輸 018018","","","Y","880407","Atehexal tab 100mg","Hexal AG","Germany"
"Atenolol tab 50mg","華特","衛署藥輸 023564","","Y","","910918","Tenormin tab 50mg","Zeneca","UK"
"Atenolol tab 50mg","瑞士","衛署藥製 044163","","","Y","891005","Swinorin tab 100mg","瑞士","Taiwan"
"Atenolol tab 50mg","瑞安","衛署藥製 036465","","","Y","881025","Tenolol tab 100mg","瑞安","Taiwan"
"Atenolol tab 50mg","裕心","衛署藥輸 020399","","Y","","880531","Tenormin tab 50mg","Zeneca","UK"
"Atenolol tab 50mg","壽元","衛署藥製 042258","","","Y","881201","Atenolol tab 100mg","壽元","Taiwan"
"Atenolol tab 50mg","衛達","衛署藥製 027452","","","Y","890119","Atenol tab 100mg","衛達","Taiwan"
"Atenolol tab 50mg","賜茂","衛署藥輸 022158","","","Y","890405","Apo-atenolol tab 100mg","Apotex Inc.","Canada"
"Atenolol tab 100mg","大豐","衛署藥製 029735","","Y","","880120","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","中國化學","衛署藥製 036935","","Y","","870706","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","井田","衛署藥製 031223","","Y","","880513","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","永信","衛署藥製 029478","","Y","","851219","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","永勝","衛署藥製 035367","","Y","","890104","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","生春堂","衛署藥製 038964","","Y","","881123","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","生達","衛署藥製 033029","","Y","","800920","Tenormin tab 100mg","Zenaca","UK"
"Atenolol tab 100mg","佑寧","衛署藥製 040789","","Y","","860311","Tenormin tab 100mg","Zenaca","UK"
"Atenolol tab 100mg","芳鑫","衛署藥輸 019680","","Y","","871120","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","信元","衛署藥製 041497","","Y","","880719","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","信東","衛署藥製 034359","","Y","","881026","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","皇佳","衛署藥製 025840","","Y","","880731","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","國嘉","衛署藥製 033124","","Y","","870929","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","強生","衛署藥製 036130","","Y","","880406","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","盛益","衛署藥輸 018017","","Y","","880128","Tenormin tab 100mg","Zeneca GmbH","Germany"
"Atenolol tab 100mg","氰胺","衛署藥輸 021306","","Y","","870519","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","黃氏","衛署藥製 031069","","Y","","850625","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","瑞士","衛署藥製 039843","","Y","","880803","Tenormin tab 100mg","Zenaca","UK"
"Atenolol tab 100mg","瑞安","衛署藥製 032322","","Y","","830825","Tenormin tab 100mg","Zenaca","UK"
"Atenolol tab 100mg","壽元","衛署藥製 041679","","Y","","880112","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","衛達","衛署藥製 037928","","Y","","871117","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","賜茂","衛署藥輸 022144","","Y","","880112","Tenormin tab 100mg","諾華","Taiwan"
"Atenolol tab 100mg","優生","衛署藥製 029443","","Y","","880210","Tenormin tab 100mg","諾華","Taiwan"
"Baclofen tab 5mg","科進","衛署藥製 045591","","Y","","920707","Lioresal tab 5mg","Ciba-Geigy","Japan"
"Baclofen tab 5mg","美時","衛署藥製 037141","","Y","","880201","Lioresal tab 5mg","Ciba-Geigy","Japan"
"Baclofen tab 10mg","美時","衛署藥製 036185","","Y","","831107","Lioresal tab 10mg","Ciba-Geigy","Japan"
"Benzbromarone cap 50mg","瑞士","衛署藥製 015195","","Y","","870519","Desuric tab 100mg","Labaz","France"
"Benzbromarone cap 100mg","瑞士","衛署藥製 022964","","Y","","860602","Desuric tab 100mg","Labaz","France"
"Benzbromarone tab 50mg (103.11.20 註銷BE核備函)","生達","衛署藥製 043927","","Y","","890914","Urinorm tab 50mg","Torii","Japan"
"Benzbromarone tab 50mg (103.7.17 註銷BE核備函)","五洲","衛署藥製 037988","","Y","","880922","Urinorm tab 50mg","Torii","Japan"
"Benzbromarone tab 50mg","中國化學","衛署藥製 044274","","Y","","900516","Urinorm tab 50mg","Torii","Japan"
"Benzbromarone tab 50mg","井田","衛署藥製 032114","","Y","","930713","Urinorm tab 50mg","Torii","Japan"
"Benzbromarone tab 50mg","永信","衛署藥製 037679","","Y","","920401","Urinorm tab 50mg","Torii","Japan"
"Benzbromarone tab 50mg","信元","衛署藥製 042754","","Y","","900312","Urinorm tab 50mg","Torii","Japan"
"Benzbromarone tab 50mg","信東","衛署藥製 041995","","Y","","881208","Urinorm tab 50mg","Torii","Japan"
"Benzbromarone tab 50mg","優生","衛署藥製 029805","","Y","","860125","Desuric tab 100mg","Sanofi-pharma","Belgium"
"Benzbromarone tab 100mg","永信","衛署藥製 043141","","Y","","930902","Benzbromarone-ratiopharm tab 100mg","Merckle GmbH","Germany"
"Benzbromarone tab 100mg","杏輝","衛署藥製 041807","","Y","","870911","Desuric tab 100mg","Sanofi-pharma","Belgium"
"Benzbromarone tab 100mg","盛有","衛署藥輸 018784","","Y","","880412","Desuric tab 100mg","Sanofi-pharma","Belgium"
"Benzbromarone tab 100mg","衛達","衛署藥製 039790","","Y","","870224","Urinorm tab 50mg","Torii","Japan"
"Bethanechol tab 25mg (104.8.28註銷BE核備函)","萬菱","衛署藥製 044365","","Y","","910128","Urecholine tab 25mg","Merck","US"
"Bethanechol tab 25mg","應元","衛署藥製 037225","","Y","","910411","Urecholine tab 25mg","Merck","US"
"Biperiden tab 2mg","泰和","衛署藥製 047044","","Y","","951207","Akineton tab 2mg","Abbott","Germany"
"Biperiden tab 2mg","瑞士","衛署藥製 036944","","Y","","900601","Akineton tab 2mg","Knoll","Germany"
"Biperiden tab 2mg","聯邦","衛署藥製 037441","","Y","","900319","Akineton tab 2mg","Knoll","Germany"
"Bromhexine tab 8mg","瑞安","衛署藥製 041274","","Y","","881123","Bisolvon tab 8mg","百靈佳殷格翰","Taiwan"
"Buflomedil tab 150mg","正和","衛署藥製 040511","","Y","","871228","Loftyl tab 150mg","Abbott","Philippines"
"Buflomedil tab 150mg","信東","衛署藥製 041221","","Y","","870601","Loftyl tab 150mg","Abbott","Philippines"
"Buflomedil tab 150mg","瑞士","衛署藥製 036904","","Y","","940204","Buflo tab 150mg","信東","Taiwan"
"Calcium para-aminosalicylate hydrate granules 1gm/gm","培力","衛署藥製 056649","","Y","","1000401","NIPPAS CALCIUM Granules 100%","田邊三菱製藥株式會社","Japan"
"Carbamazepine tab 200mg","台灣諾華","衛署藥製 036020","","","Y","941215","Tegretol tab 200mg","Novartis/百靈佳","Italy/Taiwan"
"Carbamazepine tab 200mg","信元","衛署藥製 041745","","Y","","860715","Tegretol tab 200mg","諾華","Taiwan"
"Carbamazepine tab 200mg","信東","衛署藥製 041247","","Y","","860422","Tegretol tab 200mg","諾華","Taiwan"
"Carbamazepine tab 200mg","培力","衛署藥製 029375","","Y","","791120","Tegretol tab 200mg","諾華","Taiwan"
"Carbamazepine tab 200mg","優生","衛署藥製 030587","","Y","","841013","Tegretol tab 200mg","諾華","Taiwan"
"Carbamazepine CR tab 200mg","培力","衛署藥製 046486","","Y","","930728","Tegretol CR tab 200mg","Norvartis","Italy"
"Carbamazepine SR tab 400mg","培力","衛署藥製 041574","","Y","","860906","Tegretol Retard 400mg","Ciba-Geigy","Germany"
"Cefaclor susp 250mg/gm","永信","衛署藥製 039048","","Y","","870331","Ceclor oral susp. 250mg/ml","Eli Lilly","US"
"Cefaclor cap 250mg (104.10.5 註銷BE核備函)","瑞士","衛署藥製 037197","","Y","","850416","Keflor cap 250mg","Eli Lilly","Taiwan"
"Cefaclor cap 250mg","中國化學","衛署藥製 036928","","Y","","870826","Keflor cap 250mg","Eli Lilly","Taiwan"
"Cefaclor cap 250mg","永信","衛署藥製 036426","","Y","","920408","Keflor cap 250mg","Eli Lilly","Taiwan"
"Cefaclor cap 250mg","信東","衛署藥製 036082","","Y","","850709","Keflor cap 250mg","Eli Lilly","Taiwan"
"Cefaclor cap 250mg","景德","衛署藥製 037227","","Y","","850419","Keflor cap 250mg","Eli Lilly","Taiwan"
"Cefaclor cap 250mg","優良","衛署藥製 027513","","Y","","830822","Keflor cap 250mg","Eli Lilly","Taiwan"
"Cefaclor cap 500mg","永信","衛署藥製 036425","","Y","","851107","Keflor cap 250mg","Eli Lilly","US"
"Cefaclor ER cap 375mg","優良","衛署藥製 044711","","Y","","900920","Keflor AF 375mg","Eli Lilly","Italy"
"Cefadroxil cap 500mg","中國化學","衛署藥製 029802","","Y","","870608","Duracef cap 500mg","BMS","Taiwan"
"Cefadroxil cap 500mg","永信","衛署藥製 025617","","Y","","880624","Duracef cap 500mg","BMS","Taiwan"
"Cefadroxil cap 500mg","杏輝","衛署藥製 034938","","Y","","890704","Duracef cap 500mg","BMS","Taiwan"
"Cefadroxil cap 500mg","信東","衛署藥製 025659","","Y","","860115","Duracef cap 500mg","BMS","Taiwan"
"Cefadroxil cap 500mg","優良","衛署藥製 025083","","Y","","831109","Duracef cap 500mg","BMS","Taiwan"
"Cefamandole inj 1g","優良","衛署藥製 020638","","Y","","850722","Mandol inj 1gm/vial","Eli Lilly","Taiwan"
"Cefazolin inj 0.5g","生達","衛署藥製 032549","","Y","","861224","Cefamezin inj 0.5g","Fujisawa","Taiwan"
"Cefazolin inj 1g","中國化學","衛署藥製 017712","","Y","","860723","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 1g","台裕","衛署藥製 034614","","Y","","900507","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 1g","永信","衛署藥製 015842","","Y","","870826","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 1g","政德","衛署藥製 029353","","Y","","870701","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 1g","瑞安","衛署藥製 032317","","Y","","870109","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 1g","榮民","衛署藥製 033698","","Y","","870722","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 1g","濟生","衛署藥製 019280","","Y","","840303","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 1g","聯邦","衛署藥製 033456","","Y","","791207","Cefamezin inj 1g","Fujisawa","Taiwan"
"Cefazolin inj 2g","信東","衛署藥製 029447","","Y","","830610","Cefamezin inj 2g","Fujisawa","Japan"
"Cefazolin inj 2g","溫士頓","衛署藥製 021418","","Y","","820906","Cefamezin inj 2g","Fujisawa","Japan"
"Cefmetazole inj 1g","臺灣東洋","衛署藥製 033093","","Y","","840824","Cefmetazole inj 1g","Sankyon","Japan"
"Cefoperazone inj 1g","永信","衛署藥製 029078","","Y","","870701","Cefobid inj 1g","Pfizer","Italy"
"Cefoperazone inj 1g","生達","衛署藥製 028538","","Y","","831109","Cefobid inj 1g","Pfizer","Taiwan"
"Cefoperazone inj 1g","瑞安","衛署藥製 034331","","Y","","850123","Cefobid inj 1g","Pfizer","Taiwan"
"Cefotaxime inj 500mg","中國化學","衛署藥製 028337","","Y","","860602","Claforan inj 500mg","赫美龍","Taiwan"
"Cefotaxime inj 500mg","生達","衛署藥製 028650","","Y","","800706","Claforan inj 500mg","Hoechst","Germany"
"Cefoxitin inj 1g","政德","衛署藥製 031213","","Y","","840907","Mefoxin inj 1g","MSD","US"
"Cefoxitin inj 1g","瑞安","衛署藥製 040982","","Y","","900220","Mefoxin inj 1g","MSD","US"
"Cephalexin cap 250mg (103.8.19 註銷BE核備函)","優良","衛署藥製 016706","","Y","","880531","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 250mg (105.4.22 註銷BE核備函)","景德","衛署藥製 005062","","Y","","880510","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 250mg","中國化學","衛署藥製 004995","","","Y","890119","Cephalin cap 500mg","中化","Taiwan"
"Cephalexin cap 250mg","永信","衛署藥製 009453","","Y","","920408","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 250mg","信東","衛署藥製 006747","","Y","","870701","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 250mg","政德","衛署藥製 019097","","Y","","880212","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 250mg","溫士頓","衛署藥製 010625","","","Y","881231","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 250mg","壽元","衛署藥製 041055","","Y","","880621","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 250mg","聯邦","衛署藥製 005807","","Y","","880816","Keflex cap 250mg","Eli Lilly","Taiwan"
"Cephalexin cap 500mg (103.8.12 註銷BE核備函)","台裕","衛署藥製 030816","","Y","","920825","Keflex cap 500mg","Eli Lilly","Taiwan"
"Cephalexin cap 500mg (105.4.22 註銷BE核備函)","景德","衛署藥製 031095","","Y","","870707","Keflex cap 500mg","Dista","US"
"Cephalexin cap 500mg","中國化學","衛署藥製 023481","","Y","","871007","Keflex cap 500mg","Dista","US"
"Cephalexin cap 500mg","永信","衛署藥製 029172","","Y","","881215","Keflex cap 500mg","Eli Lilly","Taiwan"
"Cephalexin cap 500mg","信東","衛署藥製 015660","","Y","","841016","Keflex cap 500mg","Dista","US"
"Cephalexin cap 500mg","溫士頓","衛署藥製 010194","","Y","","880211","Keflex cap 500mg","Eli Lilly","Taiwan"
"Cephalexin cap 500mg","瑞安","衛署藥製 032313","","Y","","870120","Keflex cap 500mg","Eli Lilly","Taiwan"
"Cephalexin cap 500mg","榮民製藥","衛署藥製 024888","","Y","","881220","Keflex cap 500mg","Eli Lilly","Taiwan"
"Cephalexin cap 500mg","優良","衛署藥製 022105","","Y","","870608","Keflex cap 500mg","Eli Lilly","Taiwan"
"Cephalothin inj 1g","優良","衛署藥製 029292","","Y","","870701","Keflin inj 1g","Eli Lilly","Taiwan"
"Cephapirin inj 1g","瑞安","衛署藥製 039925","","Y","","861118","Lopitrex inj 1g","BMS","Italy"
"Cephradine inj 1g","南光","衛署藥製 029073","","Y","","840303","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine inj 1g","政德","衛署藥製 029504","","Y","","920415","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine inj 1g","優良","衛署藥製 031882","","Y","","840525","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine inj 1gm","台灣東洋","衛署藥製 041676","","Y","","870903","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine inj 1gm","永信","衛署藥製 033149","","Y","","870817","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine inj 1gm","生達","衛署藥製 027170","","Y","","850316","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine inj 1gm","瑞士","衛署藥製 039684","","Y","","860224","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine inj 1gm","瑞安","衛署藥製 032334","","Y","","851216","Velosef-A inj 1g","BMS","Taiwan"
"Cephradine cap 250mg","信東","衛署藥製 036693","","","Y","840120","Velosef cap 250mg","E.R. Squibb","US"
"Cephradine cap 250mg","南光","衛署藥製 029526","","Y","","840717","Velosef cap 250mg","BMS","Taiwan"
"Cephradine cap 250mg","瑞士","衛署藥製 034037","","","Y","890815","Cekodin cap 500mg","瑞士","Taiwan"
"Cephradine cap 250mg","優良","衛署藥製 029599","","Y","","800523","Velosef cap 250mg","BMS","Taiwan"
"Cephradine cap 500mg","台裕","衛署藥製 029623","","Y","","790419","Velosef cap 500mg","BMS","Taiwan"
"Cephradine cap 500mg","永信","衛署藥製 035844","","Y","","880719","Velosef cap 500mg","BMS","Taiwan"
"Cephradine cap 500mg","生達","衛署藥製 032295","","Y","","840824","Velosef cap 500mg","BMS","Taiwan"
"Cephradine cap 500mg","信東","衛署藥製 037125","","Y","","830822","Velosef cap 500mg","E.R. Squibb","US"
"Cephradine cap 500mg","瑞士","衛署藥製 034038","","Y","","860109","Velosef cap 500mg","BMS","Taiwan"
"Cephradine cap 500mg","瑞安","衛署藥製 032324","","Y","","860512","Velosef cap 500mg","BMS","Taiwan"
"Chlorpromazine tab 100mg","榮民","衛署藥製 041547","","Y","","870511","Thorazine tab 100mg","Smithkline Beecham","US"
"Cimetidine tab 200mg","杏輝","衛署藥製 025643","","","Y","890405","Sigamet tab 400mg","杏輝","Taiwan"
"Cimetidine tab 200mg","國嘉","衛署藥製 031292","","","Y","891019","Cimetidine tab 400mg","國嘉","Taiwan"
"Cimetidine tab 200mg","優良","衛署藥製 022903","","Y","","790419","Tagamet tab 200mg","Smithkline Beecham","US"
"Cimetidine tab 400mg","永信","衛署藥製 030642","","Y","","790727","Tagamet tab 400mg","中化","Taiwan"
"Cimetidine tab 400mg","生達","衛署藥製 036247","","Y","","850106","Tagamet tab 400mg","榮民","Taiwan"
"Cimetidine tab 400mg","杏輝","衛署藥製 038833","","Y","","840523","Tagamet tab 400mg","榮民","Taiwan"
"Cimetidine tab 400mg","國嘉","衛署藥製 031824","","Y","","831109","Tagamet tab 400mg","榮民","Taiwan"
"Clindamycin inj 150mg/ml","中國化學","衛署藥製 033572","","Y","","880831","Cleocin inj 150mg/ml","Upjohn","US"
"Clindamycin inj 150mg/ml","南光","衛署藥製 031368","","Y","","840906","Cleocin inj 150mg/ml","Upjohn","US"
"Clindamycin inj 150mg/ml","瑞士","衛署藥製 036469","","Y","","870608","Cleocin inj 150mg/ml","Upjohn","US"
"Clindamycin inj 150mg/ml","優良","衛署藥製 032624","","Y","","830822","Cleocin inj 150mg/ml","Upjohn","US"
"Clindamycin cap 150mg","永信","衛署藥製 032137","","Y","","900227","Cleocin cap 150mg","Upjohn","Belgium"
"Clindamycin cap 150mg","信東","衛署藥製 043991","","Y","","900611","Cleocin cap 150mg","Upjohn","Belgium"
"Clindamycin cap 150mg","南光","衛署藥製 032065","","Y","","841024","Cleocin cap 150mg","Upjohn","Taiwan"
"Clindamycin cap 150mg","景德","衛署藥製 031171","","","Y","890125","Clindamycin cap 300mg","景德","Taiwan"
"Clindamycin cap 150mg","瑞士","衛署藥製 036047","","Y","","870216","Cleocin cap 150mg","Upjohn","Canada"
"Clindamycin cap 150mg","瑞安","衛署藥製 037556","","Y","","870422","Cleocin cap 150mg","Upjohn","Belgium"
"Clindamycin cap 300mg","永信","衛署藥製 036356","","Y","","911028","Cleocin cap 300mg","Upjohn","Belgium"
"Clindamycin cap 300mg","景德","衛署藥製 036971","","Y","","840904","Cleocin cap 300mg","Upjohn","Taiwan"
"Clonazepam tab 0.5mg","景德","衛署藥製 045342","","Y","","950105","Rivotril tab 0.5mg","Roche委託聯亞","Taiwan"
"Clonazepam tab 2mg","景德","衛署藥製 045345","","Y","","950210","Rivotril tab 2mg","Roche委託聯亞","Taiwan"
"Colchicine tab 0.5mg","信東","衛署藥製 041316","","Y","","960212","Colchicine tab 0.5mg","鹽野義","Taiwan"
"Colchicine tab 0.5mg","景德","內衛藥製 006271","","Y","","891205","Colchicine tab 0.5mg","鹽野義","Taiwan"
"Colchicine tab 0.5mg","華興","衛署藥製 009987","","Y","","930112","Colchicine tab 0.5mg","鹽野義","Taiwan"
"Danazol cap 200mg","中國化學","衛署藥製 036232","","Y","","881208","Ladogal cap 200mg","施德齡","Taiwan"
"Dextromethorphan SR tab 60mg","台灣道斯","衛署藥製 049059","","Y","","960919","Regrow SR tab 60mg","台灣東洋","Taiwan"
"Dextromethorphan SR tab 60mg","強生","衛署藥製 044829","","Y","","901231","Regrow SR tab 60mg","台灣東洋","Taiwan"
"Dextromethorphan SR tab 60mg","景德","衛署藥製 057775","","Y","","1020416","Regrow SR tab 60mg","台灣東洋","Taiwan"
"Diazepam tab 2mg","景德","衛署藥製 001646","","Y","","901213","Valium tab 2mg","羅氏","Taiwan"
"Diclofenac EM cap 50mg","永信","衛署藥製 033699","","Y","","870418","Diclo-Puren E.M. cap 50mg","Isis Puren","Germany"
"Diclofenac EM cap 50mg","惠勝","衛署藥製 045958","","Y","","920903","Diclo-Puren E.M. cap 50mg","Isis Puren","Germany"
"Diclofenac EM cap 50mg","優生","衛署藥製 043328","","Y","","900109","Diclo-Puren E.M. cap 50mg","Isis Puren","Germany"
"Diclofenac SR cap 100mg","井田","衛署藥製 043837","","Y","","890315","Voltaren SR tab 100mg","Novartis","Switzerland"
"Diclofenac SR cap 100mg","台灣東洋","衛署藥輸 016814","","Y","","880731","Voltaren SR tab 100mg","Novartis","Switzerland"
"Diclofenac SR cap 100mg","永信","衛署藥製 038019","","Y","","830825","Voltaren SR tab 100mg","Novartis","Switzerland"
"Diclofenac SR cap 100mg","信元","衛署藥製 043657","","Y","","890306","Voltaren SR tab 100mg","Novartis","Switzerland"
"Diclofenac SR cap 100mg","信東","衛署藥製 044478","","Y","","900507","Voltaren SR tab 100mg","Novartis","Switzerland"
"Diclofenac tab 25mg","中國化學","衛署藥製 036926","","Y","","881011","Voltaren tab 25mg","Novartis","Switzerland"
"Diclofenac tab 25mg","永信","衛署藥製 020333","","Y","","790106","Voltaren tab 25mg","Novartis","Switzerland"
