證書編號,縣市別,類別,廠商名稱,負責人,地址,電話,證書狀況,證書有效期限,最大安全生產量,食品衛生管理專責人員,管制小組成員,承包商名稱,承包商負責人,承包商地址,承包商電話,備註
"衛評餐服字第106號","高雄市","餐飲服務業","義大皇家酒店(股)有限公司皇樓中餐廳供膳場所","陳敏薰","840 大樹區 學城路一段153號","07-6568111","廢止","2014-03-05","650","蘇O逸","餐飲部行政副主廚 蕭O欣餐飲部經理 洪O明","","","","",""
"衛評餐服字第107號","苗栗縣","餐飲服務業","西湖渡假村股份有限公司(麗景中餐廳)","曾慶豐","367 三義鄉 西湖村西湖11號","037-874656#1138","廢止","2014-04-06","900","彭O雯","餐飲部行政副主廚 蕭O欣餐飲部經理 洪O明","","","","",""
"衛評餐服字第108號","桃園市","餐飲服務業","香港商南方莊園有限公司台灣分公司中餐廳","莊煐逸","320 中壢市 樹籽路8號","03-4207808","廢止","2016-04-11","360","沈O開","衛生管理專責人員暨餐飲部中餐廳經理 沈O開副總經理 許O程餐飲部中廚房行政主廚 蔣O友","","","","",""
"衛評餐服字第137號","新北市","餐飲服務業","邁克森飯店股份有限公司台北深坑假日飯店(悅-港式飲茶)","張善良","222 深坑區 北深路三段265號","02-77035888","廢止","2015-03-20","130","周揚程","食品衛生管理專責人員暨餐務部服務員 周O程餐飲部經理 戴O宇中餐主廚 洪O龍","","","","",""
"衛評餐服字第233號","臺南市","餐飲服務業","桂田酒店股份有限公司國際宴會廳供膳場所","朱仁宗","710 永康區 永安一街99號","06-7021789","有效","2018-02-03","1000 餐食份/日","王O祥","衛生管理(專責)人員暨中餐廳副理 王O祥餐飲部營養師 黃O廷餐飲部總監 劉O銘宴會廳主廚 高O強宴會廳副主廚 彭O麟","","","","",""
"衛評餐服字第128號","臺北市","餐飲服務業","老爺大酒店股份有限公司明宮粵菜廳","林清波","100 中山區 中山北路2段37之1號","02-25423299","廢止","2016-12-03","240","王O稼","衛生管理專責人員暨餐務經理 王O稼 明宮粵菜廳副主廚 張O達餐飲部協理 邱O蘭","","","","",""
"衛評餐服字第129號","嘉義縣","餐飲服務業","嘉義縣台中榮民總醫院灣橋分院(大道食品有限公司承包)","鄭紹宇","604 竹崎鄉 灣橋村石麻園38號","05-2791072","廢止","2014-12-05","1800","陳O萍","食品衛生管理專責人員 陳O萍營養師 陳O茹 營養師 蔡O梅","","","","",""
"衛評餐服字第009號","新北市","餐飲服務業","衛生福利部樂生療養院供膳場所","賴慧貞","242 新莊區 中正路794號及桃園縣龜山鄉萬壽路1段50巷2號","02-82006600","廢止","2016-04-08","4,500餐食份/日","張O嘉","衛生管理專責人員 張O嘉樂生營養師組長 蘇O華樂生營養師 蔡O禎鼎正公司經理 游O足鼎正公司營養師 劉O芬","鼎正有限公司","陳再昌","新北市板橋市幸福路60巷4-2號","02-29021316","中華民國99年4月9日署授食字第0990014531號函公告發布中華民國103年9月11日食研技字第1030004595號函申請展延"
"衛評餐服字第010號","臺南市","餐飲服務業","行政院衛生署嘉南療養院供膳場所","邱獻章","717 仁德區 中山路870巷80號","06-279-5019","廢止","2012-04-08","1,000餐食份/日","蔡O真","院方營養師-盧O琪生產組組長-王O華衛生管理人員(營養師)-蔡O真","鼎正有限公司","陳再昌","台北縣板橋市幸福路60巷4-2號","02-29021316","中華民國99年4月9日署授食字第0990016592號公告發布"
"衛評餐服字第011號","嘉義縣","餐飲服務業","台中榮民總醫院灣橋分院供膳場所","林耘德","604 竹崎鄉 灣橋村石麻園38號","05-279-1072","廢止","2012-04-27","1,500餐食份/日","羅O娟","營養師-陳O玲營養員-賴O宏衛生管理人員(營養師)-羅O娟","鼎正有限公司","陳再昌","台北縣板橋市幸福路60巷4-2號","02-29021316","中華民國99年4月28日署授食字第0991301181號公告通過中華民國100年2月25日 嘉衛藥食字第1000004467號函變更醫院名稱及負責人"
"衛評餐服字第012號","屏東縣","餐飲服務業","高雄榮民總醫院屏東分院供膳場所","趙建剛","912 內埔鄉 龍泉村昭勝路安平一巷1號","08-7707147","展延(有效)","2018-04-27","2700餐食份/日","陳O分","配膳班班長兼會計 方O駐場經理 莊O中院方營養師 陳O美衛生管理專責人員 陳O分","嘉軒美食有限公司","莊文中","屏東縣麟洛鄉麟趾村中華路91號1樓","0932268381","中華民國99年4月28日署授食字第0990016591號公告發布 中華民國100年1月24日屏衛食字第1000001875號函變更廠商名稱、負責人名稱及HACCP小組成員中華民國101年2月23日署授食字第1010011923號函申請展延中華民國103年FDA食字第1030047441號函申請展延"
"衛評餐服字第013號","臺中市","餐飲服務業","台中市大勇國民小學供膳場所","周玉娟","403 西區 忠明南路515號","04-2375-5959","廢止","2014-04-28","3,000餐食份/日","陳O涵","經理-趙O毅營養師-洪O宜衛生管理人員-陳O涵","台邑食品有限公司","童育賢","台中縣清水鎮吳厝里東山路59-51號","04-26202168","中華民國99年4月29日署授食字第0990020667號公告發布 中華民國100年3月30日中市衛食藥字第1000701389號函變更衛生管理人員"
"衛評餐服字第014號","臺中市","餐飲服務業","台中市中正國民小學供膳場所","劉智云","403 西區 英才路423號","04-23212041","廢止","2014-05-10","3000 餐食份/日","王O珺","營養師-林O婷助理-王O舒衛生管理人員-王O珺","台邑食品有限公司","童育賢","台中縣清水鎮吳厝里東山路59-51號","04-26202168",""
"衛評餐服字第015號","彰化縣","餐飲服務業","秀傳醫療社團法人秀傳紀念醫院供膳場所","黃明和","500 彰化市 南瑤里中山路一段542號","04-7256166#85601","廢止","2012-07-18","2000 個/日","吳O茹","營養師-施O霞營養科主任-張O秀衛生管理人員-吳O茹","高松食品股份有限公司","黃宏威","嘉義縣民雄鄉福樂村成功五街9號","",""
"衛評餐服字第016號","臺北市","餐飲服務業","基督復臨安息日會醫療財團法人臺安醫院供膳場所","黃暉庭","105 松山區 八德路二段424號","02-27718151#2751","展延(有效)","2018-06-23","800 個/日","陳O仲","營養課課長 林O姬 治療飲食廚師 李O朗中廚廚師 劉O禾衛生管理專責人員 陳O仲團膳管理師 蔡佳倫","","","","","中華民國99年6月24日署授食字第0990030488號函公告中華民國103年8月6日食研技字第1030003884號函申請展延"
"衛評餐服字第017號","苗栗縣","餐飲服務業","衛生福利部苗栗醫院供膳場所","許振榮","360 苗栗市 為公路747號","037-261920#2135","展延(有效)","2018-06-23","1000 個/日","陳O帆","衛生福利部苗栗醫院營養師暨衛生管理人員 陳O帆衛生福利部苗栗醫院營養師 李O?衛生福利部苗栗醫院餐廳承包商營養師 李O穎","鼎正有限公司","陳再昌","新北市新莊區壽山路33之22號","02-29021316","中華民國99年6月24日署授食字第0990031020號函公布中華民國101年6月28日食研檢字第1010003013號函申請展延中華民國103年8月28日食研技字第1030004328號函申請展延"
"衛評餐服字第018號","臺北市","餐飲服務業","臺北醫學大學附設醫院","陳瑞杰","110 信義區 吳興街252號","02-27372181#3001","展延(有效)","2018-06-20","5000 個/日","林O茹","衛生管理(專責)人員暨膳食供應組長：林O茹營養室主任: 蘇O悅營養室臨床營養組組長：李O蓉營養室廚師：柯O雲小組成員：王O茵","","","","",""
"衛評餐服字第109號","臺北市","餐飲服務業","時代國際飯店股份有限公司(台北W飯店紫艷中餐廳)","鄭高輝","11065 信義區 忠孝東路5段10號","02-77038888","廢止","2016-04-12","400","李O璇","優化管理總監 林O玉衛生管理專責人員 李O璇宴會廳主廚 許O堂紫艷中餐廳主廚 葉O龍紫艷中餐廳二級廚師 余O賢","","","","",""
"衛評餐服字第110號","高雄市","餐飲服務業","福容大飯店股份有限公司高雄分公司福園廳","郭美珠","80344 鹽埕區 五福四路45號","07-5511188","廢止","2014-05-14","600","李O三","負責人 郭O珠中餐房副主廚 蕭O定食品衛生管理(專責)人員 李O三中餐助廚 顏O美","","","","",""
"衛評餐服字第133號","新北市","餐飲服務業","雲朗觀光股份有限公司新莊分公司翰品酒店兆慶廳","嚴天立","242 新莊區 中正路82號","02-29939788","廢止","2015-01-15","400","吳O寰","食品衛生管理專責人員暨宴會廳副主任 吳O寰中餐房主廚 李O龍 餐飲部協理 李O奉","","","","",""
"衛評餐服字第134號","高雄市","餐飲服務業","君鴻國際酒店股份有限公司珍讚宴會廳","陳瓊讚","802 苓雅區 自強三路1號37-85樓","07-5668000","廢止","2017-01-15","720","郭O芬","食品衛生管理專責人員暨餐務副理 郭O芬餐務經理 張O瑩中餐行政總主廚 許O祥","","","","",""
"衛評餐服字第020號","南投縣","餐飲服務業","行政院國軍退除役官兵輔導委員會埔里榮民醫院供膳場所","呂炳榮","545 埔里鎮 蜈蚣里榮光路1號","049-2988764","廢止","2012-07-19","2200 餐食份/日","楊O佩","提案人-楊O佩 衛管人員同意人-李O樺 主任小組召集人-王O君 營養師","國苗香食品有限公司","謝清蓮","台中縣豐原市社皮里三角路187號","04-25251018",""
"衛評餐服字第021號","新北市","餐飲服務業","台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院(營養課)供膳場所","葉宏一","251 淡水區 民生路45號","02-28094661","展延(有效)","2018-07-18","3000餐食份/日","蔡O芝","提案人:王O芳(營養師)/蘇O惠(營養師)/周O宇(廚師)同意人(營養課課長):楊O如小組召集人(營養師):王O芳衛生管理專責人員:蔡O芝","","","","",""
"衛評餐服字第022號","臺中市","餐飲服務業","光田醫療社團法人光田綜合醫院大甲院區供膳場所","王乃弘","437 大甲區 經國路321號","04-26885599#1210","廢止","2012-08-12","1200 餐食份/日","無歷史資料","無歷史資料","","","","","99.8.13 署授食字第0990041015號 公告通過"
"衛評餐服字第023號","花蓮縣","餐飲服務業","衛生福利部玉里醫院祥和園區供膳場所","孫效儒","981 玉里鎮 中華路448號","03-8889188","展延(有效)","2018-08-12","10000 餐食份/日","陳O瑜","專員 陳O欽 營養師 吳O芳衛生管理人員 陳O瑜","香又香餐盒食品有限公司","邱金妹","花蓮縣花蓮市主和里24鄰中福路72號1樓","03-8326889","99.8.13 署授食字第0990045265號公告通過"
"衛評餐服字第025號","臺中市","餐飲服務業","臺中市惠文國民小學供膳廠所","施孜姿","408 南屯區 公益路二段300號","04-22596901","廢止","2012-08-29","4,000 餐食份/日","顧O梅","股長 彭O怡 廠務 胡O豐 衛生管理(專責)人員 顧O梅","怡饗美食股份有限公司","劉榮泉","臺中市西屯區協和里工業區十路11-1號","04-23599766","中華民國99年8月30日署授食字第0991302699號函公告通過"
"衛評餐服字第026號","臺中市","餐飲服務業","童綜合醫療社團法人童綜合醫院供膳場所","童瑞年","435 梧棲區 臺灣大道8段699號","04-26581919","展延(有效)","2018-10-19","1000 餐食份/日","李O明","營養員 王O色團膳組組長 黃O棻營養治療科技術主任 李O融營養師 李O明衛生管理專責人員兼團膳營養師 李O明營養師 黃O軒","","","","","中華民國99年10月20日署授食字第0990061433號函公告通過"
"衛評餐服字第027號","臺中市","餐飲服務業","長榮國際股份有限公司台中分公司(長榮桂冠酒店(台中)牡丹廳供膳場所)","張明哲","407 西屯區 臺灣大道二段666號","04-23139988","廢止","2016-11-17","600 餐時份/日","才O","餐飲部主廚 黃O榮食品衛生管理(專責)人員-餐飲部主廚 才O副主廚 吳O明領班 林O毅","","","","","中華民國99年11月8日署授食字第0990066715號函公告通過"
"衛評餐服字第028號","臺中市","餐飲服務業","臺中市惠文高級中學午餐廚房","劉欽敏","408 南屯區 公益路二段298號","04-22513928","廢止","2014-11-08","6000 餐食份/日","楊O賢","食品衛生管理(專責)人員 楊O賢經理 詹O吉營養師 林O霈營養師 李O臻行政助理 許O貽","梅景便當食品工廠","黃信允","雲林縣西螺鎮正興里興農路62號","05-5882573","中華民國99年11月8日署授食字第0990066716號函公告通過"
"衛評餐服字第029號","新北市","餐飲服務業","衛生署福利部臺北醫院供膳場所","施玲娜","242 新莊區 臺北思源路127號B1","02-22765566#2035","廢止","2016-11-15","3300餐食份/日","游O燕","院方營養師 蔡O梅 營養科主任 黃O媛 院方營養師 李O芬、楊O純院方營養師 鄭O樓 院方營養師 紀O妏 承包商駐點衛生管理專責人員 游O燕","鼎正有限公司","陳再昌","台北縣板橋市幸福路60巷4-2號","02-2902-1316",""
"衛評餐服字第030號","臺南市","餐飲服務業","桂田酒店心巴黎百匯自助餐廳供膳場所","朱仁宗","710 永康區 鹽行里永安一街99號","06-2438999","廢止","2014-11-15","400 餐食份/日","許O方","食品衛生管理(專責)人員暨西餐廳經理 許O方 總經理 劉O宏餐飲部協理 劉O銘西餐廳副主任 李O華西餐房主廚 陳O泉","","","","","中華民國99年11月16日署授食字第0990068832號函公告通過"
"衛評餐服字第031號","臺南市","餐飲服務業","桂田酒店桂田國際宴會廳供膳場所","朱仁宗","710 永康區 鹽行里永安一街99號","06-2438999","廢止","2014-11-16","1000 餐食份/日","王O祥","食品衛生管理(專責)人員暨中餐廳副理 王O祥總經理 劉O宏 餐飲部協理 劉O銘宴會廳主廚 高O強宴會廳副主廚 彭O麟","","","","","中華民國99年11月17日署授食字第0990068840號函公告通過"
"衛評餐服字第032號","彰化縣","餐飲服務業","秀傳醫療財團法人彰濱秀傳紀念醫院中央廚房","葉永祥","505 鹿港鎮 鹿工路6號、6-2號","047-813888","廢止","2012-12-01","2400 餐食份/日","胡O瑾","營養科組長 王O祁營養科主任 張O秀團膳營養師 紀O月良品營養師 張O花食品衛生管理(專責)人員 胡O瑾","良品餐飲有限公司","梁呈良","彰化縣員林鎮和平里雙平路17號1樓","047-812389","中華民國99年12月2日署授食字第0990070971號函公告通過"
"衛評餐服字第138號","南投縣","餐飲服務業","雲朗觀光股份有限公司日月潭分公司雲品酒店(丹彤廳)","張羽","555 魚池鄉 水社村中正路23號","049-2856788","廢止","2015-04-17","900","陳O鴻","食品衛生管理專責人員暨副主廚 陳O鴻副協理 李O儒主廚 溫O辰","","","","",""
"衛評餐服字第139號","南投縣","餐飲服務業","雲朗觀光股份有限公司日月潭分公司雲品酒店(寒煙翠廳)","張羽","555 魚池鄉 水社村中正路23號","049-2856788","廢止","2015-04-17","360","黃O南","食品衛生管理專責人員暨副主廚 黃O南副協理 李OI儒主廚 鍾O富","","","","",""
"衛評餐服字第112號","臺中市","餐飲服務業","台中市東光國小(飪珍記食品有限公司承包)","蔣東霖","40645 北屯區 東光路926號","04-24377215","有效","2018-07-09","2100","莊O惠","食品衛生管理(專責)人員兼營養師 莊O惠行政主廚 廖O雄幼稚園廚工 洪O窕","飪珍記食品有限公司","黃O銓","臺中市太平區永平路二段476巷16號","04-22796868",""
"衛評餐服字第115號","新北市","餐飲服務業","福容大飯店股份有限公司漁人碼頭分公司(芙蓉宴會廳)","郭美珠","251 淡水區 觀海路83號","02-26089958","廢止","2014-06-18","1000","廖O銘","餐飲部經理 陳O珠中餐主廚 陳O潘中餐副主廚 鍾O庭","","","","",""
"衛評餐服字第116號","臺東縣","餐飲服務業","台東縣農會東農餐廳中央廚房","戴振東","950 台東市 新生路195號","089-318830","廢止","2018-07-05","2000","許O晃","廠長 魏O州烹調管理人員 許O燕","","","","",""
"衛評餐服字第119號","臺南市","餐飲服務業","遠鼎股份有限公司台南分公司(香格里拉台南遠東國際大飯店醉月樓)","熊隸華","701 東區 大學路西段89號","06-7028888","廢止","2014-08-03","200","OOO","葉O穩、李O奉、林O","","","","",""
"衛評餐服字第140號","臺北市","餐飲服務業","時代國際飯店股份有限公司(宴會廳)","鄭高輝","110 信義區 忠孝東路5段10號","02-77038888","廢止","2015-05-06","1600","林O廷","衛生管理專責人員 林O廷優化管理總監 林O玉宴會廳主廚 許O堂","","","","",""
"衛評餐服字第141號","臺北市","餐飲服務業","雲朗觀光股份有限公司台北分公司君品酒店(宴會廳)","辜懷如","103 大同區 承德路1段3號","02-21819950","廢止","2015-04-23","700","王O東","食品衛生管理專責人員暨餐務組副理 王O東宴會廳副理 李O綺宴會中廚副主廚 羅O濬","","","","",""
"衛評餐服字第033號","臺北市","餐飲服務業","寒舍餐旅管理顧問股份有限公司(台北喜來登大飯店宴會廳供膳場所)","蔡伯府","100 中正區 忠孝東路1段12號","02-23215511","廢止","2014-11-28","1500 餐食份/日","陳O偉","食品衛生管理(專責)人員餐飲部副理 陳O偉宴會廳主廚 李O銅宴會廳副主廚 史O財","","","","","中華民國99年11月29日署授食字第0990070970號函公告通過"
"衛評餐服字第113號","臺中市","餐飲服務業","台中市五權國民中學供膳場所","陳進卿","40458 北區 英才路1號","04-22012180","展延(有效)","2018-06-12","3500","黃O熒","衛生管理人員兼營養師 黃O熒廚師 郭O璘廚師 陳O妘 校園營養師 廖O儀營養師兼衛管人員 何O倫","大同餐盒有限公司","邱碧娥","臺中市北區天祥街274號","04-22331299",""
"衛評餐服字第148號","花蓮縣","餐飲服務業","臺灣基督教門諾會醫療財團法人門諾醫院","吳鏘亮","970 花蓮市 民權路44號","03-8241071","廢止","2017-08-17","2,880","陳O敏","食品衛生管理專責人員暨營養師 陳O閔 營養科主任 鍾O珍營養師 陳O珠新美崙供膳代理組長 吳O奕新美崙庫房管理人員 廖O玲","新美崙企業有限公司","林雅芬","花蓮縣花蓮市民權路44號","03-8241688",""
"衛評餐服字第142號","新竹縣","餐飲服務業","承恩建設股份有限公司新竹喜來登大飯店采悅軒","張秀鳳","302 竹北市 光明六路東一段265號","03-6206000","廢止","2015-05-13","320","邱O民","食品衛生管理專責人員暨餐務經理 邱O民餐飲部協理 廖O足中餐行政總主廚 朱O東","","","","",""
"衛評餐服字第034號","臺中市","餐飲服務業","日華金典國際酒店股份有限公司(日華金典酒店宴會廳供膳場所)","王俊賢","403 西區 健行路1049號","04-23288000","廢止","2014-11-28","2000 餐食份/日","鄧O峻","食品衛生管理(專責)人員暨宴會廳副主廚 鄧O峻行政副總主廚 楊O強管理部協理 周O強","","","","","中華民國99年11月29日署授食字第0990070972號函公告通過"
"衛評餐服字第035號","臺中市","餐飲服務業","日華金典國際酒店股份有限公司(日華金典酒店亞歐廣場供膳場所)","王俊賢","403 西區 健行路1049號","04-23288000","廢止","2014-11-28","800 餐食份/日","謝O順","食品衛生管理(專責)人員 亞歐廣場資深副主廚 謝O順管理部管理長 柯O慶成控驗收經理 呂O君採購部副理 許O宗","","","","","中華民國99年11月29日署授食字第0990070974號函公告通過"
"衛評餐服字第036號","臺北市","餐飲服務業","豐隆大飯店股份有限公司(台北君悅大飯店歡飲廊供膳場所)","郭令明","110 信義區 松壽路2號","02-27201200","廢止","2016-12-01","232餐食份/日","李O鎮、張O文","執行副總主廚 陳O烽餐飲處行政經理 曾O昌食品衛生管理(專責)人員暨餐飲處協理 李O鎮食品衛生管理(專責)人員暨食品技師 張O文","","","","","中華民國99年12月2日署授食字第0990072059號函公告通過"
"衛評餐服字第037號","臺北市","餐飲服務業","國正實業股份有限公司(歐華酒店供膳場所)","何曜廷","104 中山區 林森北路646號","02-25853258","廢止","2012-12-01","300 餐食份/日","何O記","副主廚 劉O良餐飲主廚暨食品衛生管理(專責)人員 何O記管理部經理 張O嫻資深領班 黃O昌倉管主任 詹O龍","","","","","中華民國99年12月2日署授食字第0990072060號函公告通過"
"衛評餐服字第040號","臺南市","餐飲服務業","大億國際酒店股份有限公司(大億麗緻酒店共同市場自助餐廳供膳場所)","吳俊億","700 中區 小西里西門路1段660號地下1樓","06-2160000","廢止","2014-12-13","150 餐食份/日","廖O明","總經理 吳O漪人力資源部經理 李O玲西餐行政主廚 余O恭執行辦公室行政副理 許O綺副主廚暨衛生管理(專責)人員 廖O明","","","","","中華民國99年12月14日署授食字第0990074843號函公告通過"
"衛評餐服字第041號","臺南市","餐飲服務業","大億國際酒店股份有限公司(大億麗緻酒店尚軒中餐廳供膳場所)","吳俊億","700 中區 小西里西門路1段660號2樓","06-2160000","廢止","2014-12-13","450 餐食份/日","吳O鴻","總經理 吳O漪人力資源部經理 李O玲西餐行政主廚 余O恭執行辦公室行政副理許O綺副主廚暨衛生管理(專責)人員 吳O鴻","","","","","中華民國99年12月14日署授食字第0990074844號函公告通過"
"衛評餐服字第042號","臺南市","餐飲服務業","大億國際酒店股份有限公司(大億麗緻酒店共宴會餐廳供膳場所)","吳俊億","700 中區 小西里西門路1段660號3樓、5樓","06-2160000","廢止","2014-12-13","1800 餐食份/日","常O鈞","總經理吳O漪人力資源部經理 李O玲西餐行政主廚 余O恭執行辦公室行政副理 許O綺主廚暨衛生管理(專責)人員 常O鈞","","","","","中華民國99年12月14日署授食字第0990074848號函公告通過"
"衛評餐服字第044號","臺中市","餐飲服務業","臺中市西屯區國安國民小學供膳場所","林立峰","407 西屯區 國祥街一號","04-24616011","廢止","2012-12-19","5000 餐食份/日","陳O芳","課長 羅O珍營養師 吳O怡食品衛生管理人員 陳O芳","怡饗美食股份有限公司","劉榮泉","臺中市西屯區協和里工業區十路11之1號","04-23593799","中華民國99年12月20日署授食字第0990076432號函公告通過"
"衛評餐服字第046號","臺東縣","餐飲服務業","娜路彎大酒店股份有限公司翠園中餐廳供膳場所","林炎煌","950 台東市 光明里連航路66號","089-239666","廢止","2014-12-20","1500 餐食份/日","羅O智","中餐廳主任 高O儀中餐廳主廚 孔O裕食品衛生管理(專責)人員暨中餐廳副理 羅O智","","","","","中華民國99年12月21日署授食字第0990076619號函公告通過"
"衛評餐服字第047號","臺東縣","餐飲服務業","娜路彎大酒店股份有限公司歐風西餐廳供膳場所","林炎煌","950 台東市 光明里連航路66號","089-239666","廢止","2014-12-20","1500 餐食份/日","韓O榮","食品衛生管理(專責)人員暨西餐主廚 韓O榮餐飲部協理 謝O紹西餐廳主任 廖O惠財務部協理 林O政","","","","","中華民國99年12月21日署授食字第0990076620號函公告通過"
"衛評餐服字第048號","臺中市","餐飲服務業","臺中市東區成功國民小學午餐廚房","趙秋英","401 東區 旱溪西路1段300號","04-22124224","廢止","2012-12-21","3000 餐食份/日","陳O憶","行政主廚 陳O全營養師 賴O雅衛生管理人員 陳O憶","怡饗美食股份有限公司","劉榮泉","台中市西屯區協和里工業區十路11之1號","04-2359-3799","中華民國99年12月22日署授食字第0990078088號函公告通過"
"衛評餐服字第144號","新竹市","餐飲服務業","名傑開發股份有限公司(卡爾登飯店享餐廳)","陳肇霖","300 北區 北大路225號","03-5252999","廢止","2015-07-05","120","黃O翎","食品衛生管理專責人員暨餐飲組協理 黃O翎執行副總 吳O維西餐廳廚師領班 林O欽","","","","",""
"衛評餐服字第152號","新竹市","餐飲服務業","老爺大酒店股份有限公司新竹分公司(明宮廳)","林清波","300 東區 光復路1段227號","03-5631122","廢止","2015-11-06","320","陳O瑞","食品衛生管理專責人員暨中餐廳經理 陳O瑞人資部經理 吳O菱餐飲部協理 盧O光","","","","",""
"衛評餐服字第154號","臺中市","餐飲服務業","通豪大飯店股份有限公司珍寶樓中餐廳","劉瑞欉","404 北區 大雅路431號","04-22956789","廢止","2015-11-28","500","張O榛","執辦室協理 翁O琳餐飲經理 劉O英中餐副主廚 張O廉","","","","",""
"衛評餐服字第155號","新北市","餐飲服務業","禧月有限公司","林昭慶","23585 中和區 中山路2段327巷15號3樓","02-22467227","展延(有效)","2017-11-28","300","鄧O恬","經理 杜O啟廠長 尤O茹廚師 游O發","","","","",""
"衛評餐服字第049號","臺中市","餐飲服務業","弘光科技大學P棟美食城1樓自助餐區供膳場所","王乃偉","433 沙鹿區 晉江里中棲路34號P棟1樓","04-24717234","廢止","2014-12-21","1000 餐食份/日","白O孆","總經理 李O銘廚師 陳O淑食品衛生管理(專責)人員 白O?","康元餐飲有限公司","李世銘","臺中市西區公正里大進街159號9樓之1","","中華民國99年12月22日署授食字第0990078353號函公告通過"
