燈號,標題名稱,事件過程,處置建議,附檔,更新日期
"黃燈","日本PMDA發布消費警訊，株式会社ジェイメック之化粧品「SilkPeel モイスチャライジングフォーミュラ」，其外盒標籤與內裝產品不相符，而回收乙事。","◎日本PMDA發布消費警訊，株式会社ジェイメック之化粧品「SilkPeel モイスチャライジングフォーミュラ」(批號：7B19)，其外盒標籤與內裝產品不相符，不符合日本法規，故進行回收。 ◎化粧品衛生管理條例第六條規定，化粧品之標籤、仿單或包裝，應依中央衛生主管機關之規定，分別刊載廠名、地址、品名、許可證或核准字號、成分、用途、用法、重量或容量、批號或出廠日期等事項，違反者可處新台幣十萬元以下罰鍰，妨害衛生之物品沒入銷燬之。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8080，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2017-05-08"
"紅燈","有關歐盟(法國)發布消費警訊，原產地德國IVIN Cosmetics品牌之「Rouge métal, 15g. (Metallic red) (Magnetic nail gel)」化粧品遭重金屬污染乙事","◎有關法國發布消費警訊，原產地德國IVIN Cosmetics品牌之「Rouge métal, 15g. (Metallic red) (Magnetic nail gel)」化粧品，Type/number of model: REF. IV-138M，批號：Lot n° : 565 103 02，因含重金屬銻，具化學性危害，可能影響人體健康。 ◎ 按「銻」為重金屬，會對人體皮膚或黏膜產生刺激性作用，影響人體健康。為維護國民健康，衛生福利部已於94年公告禁止使用銻及其化合物添加在化粧品中，並規定凡擅自添加此一成分之化粧品一律禁止輸入、製造或販賣，違反者，依化粧品衛生管理條例之規定，可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎ 為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.fda.gov.tw，通報專線：02-2396-0100。","為確保民眾之健康與權益，衛生福利部呼籲消費者，切勿自行由國外、網路或其他通路商購買該產品使用。","","2014-02-19"
"紅燈","有關歐洲消費警訊發布：回收含Hydroquinone藥品成分之化粧品","◎歐洲發布消費警訊，比利時回收英國之RICO製品(Face cream - Complexion cream with allantoin)及德國回收法國之MISS CAROLINE製品(Lightening gel - Miss Caroline Crème éclaircissante，批號：Batch 311, EAN 8260800 232250)，因其擅自加入Hydroquinone藥品成分，可能危害消費者健康。Hydroquinone為藥品成分，本署未核准可添加在化粧品中，倘化粧品添加該藥品成分，則以違反藥事法第82條處辦，可處十年以下有期徒刑，得併科新台幣1千萬以下罰金。 ◎衛生署呼籲消費者勿自網路或國外購買該產品使用，以保障消費者之健康與權益 ◎為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.doh.gov.tw，通報專線：02-2358-7343。","為維護消費者健康與權益，衛生署呼籲消費者，勿自行由國外網路或其他通路商購買上揭產品使用。","","2008-06-24"
"黃燈","歐盟(德國)發布消費警訊，Surya Brasil品牌之化粧品Henna Cream (Colour: Golden Blonde)，因檢測出N-Nitrosodiethanolamine而回收乙事","◎歐盟(德國)發布消費警訊，Surya Brasil品牌之化粧品Henna Cream (Colour: Golden Blonde)，批號：Packaging: L1113030606; Container: L: 1113030606; Use-by date: 11/2016，因檢測出N-Nitrosodiethanolamine (N-亞硝基二乙醇胺，NDELA)621微克/公斤，故回收乙事。 ◎N-Nitrosodiethanolamine(N-亞硝基二乙醇胺，NDELA) 被歸類為人類致癌物，前行政院衛生署已於98年公告禁止使用在化粧品中，並規定凡含此類成分之化粧品一律禁止輸入、製造或販賣，違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8080，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2015-11-27"
"黃燈","歐盟(德國)發布消費警訊，Surya Brasil品牌之化粧品Henna Cream (Colour: Dark Brown)，含有N-Nitrosodiethanolamine成分而回收乙事","◎歐盟(德國)發布消費警訊，Surya Brasil品牌之化粧品Henna Cream (Colour: Dark Brown)，批號：Packaging: L0215031988 V02/2018, Container: L: 0215031988; Use-by date: 02/2018，因含有N-Nitrosodiethanolamine (N-亞硝基二乙醇胺，NDELA)126微克/公斤，故回收乙事。 ◎N-Nitrosodiethanolamine(N-亞硝基二乙醇胺，NDELA) 被歸類為人類致癌物，前行政院衛生署已於98年公告禁止使用在化粧品中，並規定凡含此類成分之化粧品一律禁止輸入、製造或販賣，違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8080，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2015-11-27"
"黃燈","歐盟EC發布消費警訊，Un été en provence / SB之化粧品「Crème main Au Beurre de Karité - Lavande」，因產品遭微生物汙染，而回收乙事","◎歐盟EC發布消費警訊，Un été en provence / SB之化粧品「Crème main Au Beurre de Karité - Lavande」(批號: CMF95)，因產品被綠膿桿菌(Pseudomonas aeruginosa)，污染可能增加嘴，手和眼睛感染的風險，不符合歐盟的化粧品法規，故廠商主動回收。 ◎為確保化粧品之品質及消費者之使用安全，衛生福利部已於94年9月間公告訂定「化粧品中微生物容許量基準」，規範生菌數容許量如下：（1）嬰兒用、眼部周圍用及使用於接觸黏膜部位之化粧品必須在100 CFU/g或mL以下。（2）其他類化粧品必須在1000 CFU/g或mL以下。且不得檢出大腸桿菌（Escherichia coli）、綠膿桿菌（Pseudomonas aeruginosa）或金黃色葡萄球菌（Staphylococcus aureus）等。產品倘有損害消費者健康之虞，依據消費者保護法廠商應將此商品回收，並停止輸入及販售。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者自國外、網路或其他通路商購買該產品使用。","","2016-08-15"
"紅燈","有關歐盟（德國）發布訊息，原產地美國之NaiLexus品牌「Nail modelling product ＂Liquid Monomer＂」化粧品含methyl metacrylate (MMA)乙事","◎有關歐盟（德國）發布訊息，原產地美國之NaiLexus品牌「Nail modelling product ＂Liquid Monomer＂」化粧品，批號：00623-M130，因含methyl metacrylate (MMA) 86%，可能對人體產生危害。 ◎按Methyl methacrylate成分，衛生署已於94年公告禁止使用在化粧品中，並規定凡含此成分之化粧品一律禁止輸入、製造或販賣，違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。◎衛生署並未核准該產品進口販售，呼籲消費者不要自網路或其他通路商購買該產品使用。 ◎為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.doh.gov.tw，通報專線：02-2358-7343。","為維護消費者健康與權益，衛生署呼籲消費者，勿自行由國外、網路或其他通路商購買該產品使用。","","2012-03-13"
"紅燈","有關歐盟（德國）發布訊息，原產地美國之UP 2000®品牌「Nail modelling product ＂Acrylic Liquid UP 2000 Purple＂」化粧品含methyl methacrylate (MMA)乙事","◎有關歐盟（德國）發布訊息，原產地美國之UP 2000®品牌「Nail modelling product ＂Acrylic Liquid UP 2000 Purple＂」化粧品，Type/number of model: LIQ-000196，因含methyl methacrylate (MMA) 83%，可能對人體產生危害。 ◎按Methyl methacrylate成分，衛生署已於94年公告禁止使用在化粧品中，並規定凡含此成分之化粧品一律禁止輸入、製造或販賣，違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.doh.gov.tw，通報專線：02-2358-7343。","為維護消費者健康與權益，衛生署呼籲消費者，勿自行由國外、網路或其他通路商購買該產品使用。","","2012-03-13"
"紅燈","有關歐盟（捷克）發布訊息，產地不明之CR品牌「Nail Polish ＂Super & Ultra, Brillant Nail Polish＂」化粧品含Bis(2-ethylhexyl)phthalate (DEHP) 塑化劑而回收乙事","◎有關歐盟（捷克）發布訊息，產地不明之CR品牌「Nail Polish ＂Super & Ultra, Brillant Nail Polish＂」化粧品，Type/number of model: Color 89, No: 2906, EAN: 6933553390493，因含「Bis(2-ethylhexyl)phthalate (DEHP)」塑化劑0.23%，故回收此產品。 ◎按「鄰苯二甲酸二（2-乙基己基）酯(Bis(2-ethylhexyl)phthalate (DEHP)」是一種塑化劑，經人體吸收後，會影響人體內分泌系統，為維護國民健康，依我國化粧品衛生管理規定，「鄰苯二甲酸二（2-乙基己基）酯(Bis(2-ethylhexyl)phthalate (DEHP)」不得擅自添加在化粧品中，違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。◎衛生署並未核准該產品進口販售，呼籲消費者不要自網路或其他通路商購買該產品使用。 ◎為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.doh.gov.tw，通報專線：02-2358-7343。","為維護消費者健康與權益，衛生署呼籲消費者，勿自行由國外、網路或其他通路商購買該產品使用。","","2012-03-13"
"綠燈","日本PMDA發布消費警訊，豊田彩之化粧品「繭の洗顔ソープ　ＤＯＲＯ」及「繭の洗顔ソープ　敏感肌用」，產品未刊載製造販售業者名稱，不符合日本法規，而回收乙事。","◎日本PMDA發布消費警訊，豊田彩之化粧品「繭の洗顔ソープ ＤＯＲＯ」(批號：F1070415、F1150715、F1111215)及「繭の洗顔ソープ敏感肌用」(批號：F1290415、F1210915)，產品未刊載製造販售業者名稱，不符合日本法規，故業者進行回收。 ◎化粧品衛生管理條例第六條規定，化粧品之標籤、仿單或包裝，應依中央衛生主管機關之規定，分別刊載廠名、地址、品名、許可證或核准字號、成分、用途、用法、重量或容量、批號或出廠日期等事項，違反者可處新台幣十萬元以下罰鍰，妨害衛生之物品沒入銷燬之。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2017-04-17"
"黃燈","日本PMDA發布消費警訊，株式会社ペスカインターナショナル之化粧品「クリアローション」，該產品中Methylparaben添加過量，導致產品出現結晶現象，而回收乙事。","◎日本PMDA發布消費警訊，株式会社ペスカインターナショナル之化粧品「クリアローション」(批號：Ｓ７ＡＭ、Ｓ７ＡＮ)，該產品中Methylparaben添加過量，導致產品出現結晶現象，故進行回收。 ◎為確保化粧品之品質及消費者之使用安全，衛生福利部於化粧品中防腐劑成分使用及限量規定基準表中訂定paraben類防腐劑限量標準為1%(以總量計)。 ◎為確保化粧品之品質及消費者之使用安全，產品倘有損害消費者健康之虞，依據消費者保護法，廠商應將此商品回收或銷毀，並停止輸入及販售。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2017-04-17"
"黃燈","歐盟EC發布消費警訊，4 Long Lashes之化粧品「Eyelash Enhancing Serum」檢驗出含有藥品成分比馬前列素(bimatoprost)，而回收乙事。","◎歐盟EC發布消費警訊，4 Long Lashes之化粧品「Eyelash Enhancing Serum」(批號：EAN 5 900116 025018) 產品含有藥品成分比馬前列素(bimatoprost)，不符合歐盟法規，故廠商自願性回收。 ◎比馬前列素(bimatoprost)係為藥品成分，衛生福利部未核准可添加在化粧品中，如違法添加涉違反藥事法之規定，可處十年以下有期徒刑，並得併科新台幣1億元以下罰金。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者自國外、網路或其他通路商購買該產品使用。","","2017-03-27"
"綠燈","日本PMDA警訊發布ＨＡＤＡ　ＲＩＫＩ株式会社之化粧品「ＡＧスキンクリームＡＬ」該產品於標籤中成分標示錯誤，而回收乙事。","◎日本PMDA警訊發布ＨＡＤＡ　ＲＩＫＩ株式会社之化粧品「ＡＧスキンクリームＡＬ」(批號：5J01、5J05、6A26、6B04、6B24、6C30、6H08、6J22、6J25、6K25、6L04、6L26、6L29、7A05、7A11) 該產品於標籤中刊載含Propyl Benzoate，實際應為Propyl Paraben，成分標示錯誤，故業者進行回收。 ◎化粧品衛生管理條例第六條規定，化粧品之標籤、仿單或包裝，應依中央衛生主管機關之規定，分別刊載廠名、地址、品名、許可證或核准字號、成分、用途、用法、重量或容量、批號或出廠日期等事項，違反者可處新台幣十萬元以下罰鍰，妨害衛生之物品沒入銷燬之。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2017-04-10"
"綠燈","日本PMDA警訊發布太陽油脂株式会社之化粧品「ｈｅａｒｔｙシャンプードサロン」及「ｈｅａｒｔｙリンスドサロン」因產品標示錯誤，而回收乙事。","◎日本PMDA警訊發布太陽油脂株式会社之化粧品「ｈｅａｒｔｙシャンプードサロン」及「ｈｅａｒｔｙリンスドサロン」產品成分標示錯誤，原アトラスシーダー樹皮油，誤標示為イタリアイトスギ油，故進行回收。 1. 「ｈｅａｒｔｙシャンプードサロン」批號：Ｔ301Ｘ、Ｔ303Ｘ、Ｔ4311、Ｔ4032、Ｔ4298、Ｔ4259、Ｔ5164。 2. 「ｈｅａｒｔｙリンスドサロン」 批號：Ｔ302Ｘ、Ｔ304Ｘ、Ｔ4311、Ｔ5161、Ｔ5231、Ｔ5265、Ｔ5275、Ｔ5097。 ◎化粧品衛生管理條例第六條規定，化粧品之標籤、仿單或包裝，應依中央衛生主管機關之規定，分別刊載廠名、地址、品名、許可證或核准字號、成分、用途、用法、重量或容量、批號或出廠日期。經中央衛生主管機關指定公告者，並應刊載保存方法以及保存期限。違反者可處新台幣十萬元以下罰鍰，妨害衛生之物品沒入銷燬之。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2017-04-12"
"黃燈","日本PMDA 發布消費警訊，イオントップバリュ株式会社之化粧品「ＴＶ ひきしめオールインワンゲルＨＴ」，該產品使用之防腐劑導致產品出現沉澱現象，而回收乙事。","◎日本PMDA 發布消費警訊，イオントップバリュ株式会社之化粧品「ＴＶ ひきしめオールインワンゲルＨＴ」(批號： 72241)，因該產品所使用之防腐劑導致產品出現沉澱現象，故進行回收。 ◎為確保化粧品之品質及消費者之使用安全，產品倘有損害消費者健康之虞，依據消費者保護法，廠商應將此商品回收或銷毀，並停止輸入及販售。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2017-04-17"
"紅燈","有關美國發布消費警訊，美國W.S. Badger Company Inc.品牌之「Badger Baby Broad Spectrum SPF 30 Zinc Oxide Sunscreen Lotion Chamomile & Calendula」化粧品遭微生物污染乙事","◎美國發布消費警訊，美國W.S. Badger Company Inc.品牌之「Badger Baby Broad Spectrum SPF 30 Zinc Oxide Sunscreen Lotion Chamomile & Calendula, 4fFl.oz Tube, UPC code: 634084490091 (US) UPC Code: 634084490114 (Canada)」化粧品，批號：3024A EXP 01/15; 3057A EXP 02/15; 3063A EXP 03/15; 3063B EXP 03/15; 3132A; 3133A EXP 05/15，遭微生物污染，可能影響人體健康。經查，前述產品國內未核准輸入。 ◎ 為確保化粧品之品質及消費者之使用安全，衛生福利部已於94年9月間公告訂定「化粧品中微生物容許量基準」，規範生菌數容許量如下：（1）嬰兒用、眼部周圍用及使用於接觸黏膜部位之化粧品必須在100 CFU/g或mL以下。（2）其他類化粧品必須在1000 CFU/g或mL以下。且不得檢出大腸桿菌（Escherichia coli）、綠膿桿菌（Pseudomonas aeruginosa）或金黃色葡萄球菌（Staphylococcus aureus）等。 ◎ 為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.fda.gov.tw，通報專線：02-2396-0100。","為維護消費者健康與權益，衛生福利部呼籲消費者，勿自行由國外、網路或其他通路商購買該產品使用。","","2013-12-16"
"黃燈","歐盟(法國)發布消費警訊，原產地剛果Caro light品牌之化粧品Lait de Beauté éclaircissant - Lightening beauty lotion，含有hydroquinone成分乙事","◎歐盟(法國)發布消費警訊，原產地剛果Caro light品牌之化粧品「Lait de Beauté éclaircissant - Lightening beauty lotion(批號：Batch number/Barcode: 9501101370086)」，因含有hydroquinone (對苯二酚)2%，可能會刺激皮膚引起發炎。 ◎hydroquinone為藥品成分，衛生福利部未核准可添加在化粧品中，如違法添加係違反藥事法之規定，可處十年以下有期徒刑，並得併科新台幣1千萬以下罰金。 ◎ 為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/ ，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2015-11-27"
"黃燈","歐盟(法國)發布消費警訊，原產地象牙海岸Caro light品牌之化粧品Lightening beauty cream，含有hydroquinone成分而回收乙事","◎歐盟(法國)發布消費警訊，原產地象牙海岸Caro light品牌之化粧品「Lightening beauty cream(批號：Batch number/Barcode: 9501101371033)」，標示成分含有hydroquinone (對苯二酚)，可能會刺激皮膚引起發炎。 ◎hydroquinone為藥品成分，衛生福利部未核准可添加在化粧品中，如違法添加係違反藥事法之規定，可處十年以下有期徒刑，並得併科新台幣1千萬以下罰金。 ◎ 為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址： https://qms.fda.gov.tw/tcbw/ ，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2015-11-27"
"黃燈","歐盟(法國)發布消費警訊，原產地象牙海岸Caro light品牌之化粧品Huile Eclaircissante - Lightening Oil，含有hydroquinone成分乙事","◎歐盟(法國)發布消費警訊，原產地象牙海岸Caro light品牌之化粧品「Huile Eclaircissante - Lightening Oil(批號：9501101370098(bottle); 6181100530094(packaging))，因標示含有hydroquinone (對苯二酚)2%，可能會刺激皮膚引起發炎。 ◎hydroquinone為藥品成分，衛生福利部未核准可添加在化粧品中，如違法添加係違反藥事法之規定，可處十年以下有期徒刑，並得併科新台幣1千萬以下罰金。 ◎ 為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址： https://qms.fda.gov.tw/tcbw/ ，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2015-11-27"
"黃燈","歐盟(法國)發布消費警訊，原產地美國CLEAR EssencE品牌之化粧品Platinum - Medicated Fade Creme with Sunscreen，含有hydroquinone成分而回收並銷毀乙事","◎歐盟(法國)發布消費警訊，原產地美國CLEAR EssencE品牌之化粧品「Platinum - Medicated Fade Creme with Sunscreen(批號：737192000104 (bar code) ;140-331-1 (batch) Expiry date 03/16)」，因含有hydroquinone (對苯二酚)1.9%，可能會刺激皮膚引起發炎，故自主回收並銷毀乙事。 ◎hydroquinone為藥品成分，衛生福利部未核准可添加在化粧品中，如違法添加係違反藥事法之規定，可處十年以下有期徒刑，並得併科新台幣1千萬以下罰金。 ◎ 為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址： https://qms.fda.gov.tw/tcbw/ ，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2015-11-27"
