產地,主旨,原因,進口商名稱,進口商地址,貨品分類號列,不合格原因暨檢出量詳細說明,法規限量標準,製造廠或出口商名稱,製造商代碼,牌名,重量,處置情形,發布日期,報驗受理日期,附圖
"韓國","辣炒雞醬(CHICKEN STEW SAUCE)","防腐劑含量不符規定","韓濟名味品有限公司","新北市板橋區滿翠里民生路三段281巷2弄15號1樓","2103.90.90.90.5","檢出防腐劑(以對羥苯甲酸乙酯計0.185 g/kg)","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","美路尼食品","","","100","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4447&type=unsafefood"
"中國大陸","柳松菇(茶樹菇)(BROWN SWORDBELT ))","殘留農藥含量不符規定","翔達貿易有限公司","臺北巿松山區南京東路五段16號8樓之3","0712.39.90.00.5","檢出殘留農藥陶斯松0.08 ppm、克凡派0.02 ppm","依據「農藥殘留容許量標準」，農藥陶斯松及克凡派限值均為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","深圳市百盛貿易有限公司","","","1,192","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4448&type=unsafefood"
"日本","濃縮瓶裝印度奶茶調製用紅茶(30317300001 LIQUID CHAI)","殘留農藥含量不符規定","統一午茶風光股份有限公司","台北市松山區東興路8號8樓","2101.20.00.00.0","檢出殘留農藥賽速安0.04 ppm、賽果培0.02 ppm","依據「農藥殘留容許量標準」，農藥賽速安及賽果培限值均為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","メトロ株式會社 山梨工場","山梨","AFTERNOON TEA","210","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4449&type=unsafefood"
"以色列","英陳蒿(FRESH TARRAGON HERB)","殘留農藥含量不符規定","東遠國際有限公司","台北市中正區金門街9之14號1樓","1211.90.92.10.1","檢出殘留農藥亞滅培0.27 ppm","依據「農藥殘留容許量標準」，農藥亞滅培限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","PARIS GASTRONOMY","","PARIS GASTRONOMY","3","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-08","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4450&type=unsafefood"
"日本","鮮蜜柑 (德島)(FRESH SATSUMA )","殘留農藥含量不符規定","吉一水果有限公司","新北市中和區建八路152巷10號2樓","0805.20.10.10.9","檢出殘留農藥撲滅寧0.36 ppm","依據「農藥殘留容許量標準」，農藥撲滅寧限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","RISSYOU CO., LTD.","德島","RISSYOU CO., LTD.","120","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4451&type=unsafefood"
"泰國","醃蒜頭(PICKLED GARLIC)","甜味劑含量不符規定","志洋實業有限公司","新北市林口區粉寮路一段33號6樓","2005.99.20.10.7","檢出甜味劑糖精0.72 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","TONGJUNJAROUENSUK SHOP.","","P.K","72","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4452&type=unsafefood"
"日本","鮮溫洲蜜柑(FRESH SATSUMA ORANGE)","殘留農藥含量不符規定","梅村水菓有限公司","台北市中正區開封街一段77號","0805.20.10.10.9","檢出殘留農藥撲滅寧0.23 ppm","依據「農藥殘留容許量標準」，農藥撲滅寧限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","MEIKO","德島","MEIKO","237.5","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4453&type=unsafefood"
"日本","柑(FRESH KABOSU)","殘留農藥含量不符規定","尚農實業有限公司","新北市中和區景平路722號11樓","0805.20.10.10.9","檢出殘留農藥達特南0.39 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","YAJI CO LTD","大分","YAJI CO LTD","2","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-12","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4458&type=unsafefood"
"日本","柑橘(YUZU)","殘留農藥含量不符規定","尚農實業有限公司","新北市中和區景平路722號11樓","0805.20.10.10.9","檢出殘留農藥依普同1.64 ppm","依據「農藥殘留容許量標準」，農藥依普同限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","YAJI CO LTD","高知","YAJI CO LTD","1","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-12","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4459&type=unsafefood"
"越南","紅茶(BLACK TEA PS)","殘留農藥含量不符規定","煥翔實業有限公司","新北市樹林區備內街1巷45號之1","0902.40.90.00.2","檢出殘留農藥芬普尼0.013 ppm","依據「農藥殘留容許量標準」，農藥芬普尼限值為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。","THANG LONG TEA CO.,LTD.","","","9,300","案內不符合商品依規定退運或銷毀。","2015-04-21","2015-03-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4173&type=unsafefood"
"印尼","生脆片(A CA020 ALOHA CASSAVA CRACKERS)","甜味劑含量不符規定","廷立實業有限公司","桃園市中壢區正義路102號1樓","1905.90.90.00.6","檢出甜味劑糖精0.14 g/kg及環己基(代)磺醯胺酸1.49 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","LEGONG BALI FOOD","","LEGONG BALI","444","案內不符合商品依規定退運或銷毀。","2015-04-21","2015-03-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4174&type=unsafefood"
"越南","紅茶BLACK TEA OPA11","殘留農藥含量不符規定","葦蕎企業有限公司","南投縣南投市嘉和里大庄路97號","0902.40.90.00-2","檢出殘留農藥芬普尼0.004 ppm","依據「農藥殘留容許量標準」，農藥芬普尼限值為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。","THANH QUANG TEA EXPORT PROVATE COMPANY","","THANH QUANG TEA","15,510","案內不符合商品依規定退運或銷毀。","2015-04-21","2015-03-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4175&type=unsafefood"
"中國大陸","馬克杯(8666/401 TABLEWARE (TUMBLER))","其它衛生項目不符規定(蒸發殘渣含量不符規定)","荷蘭商颯拉家飾股份有限公司台灣分公司","臺北市松山區敦化北路88號9樓之3","3924.10.00.20-1","檢出蒸發殘渣97 ppm","依據「食品器具容器包裝衛生標準」，溶媒4%醋酸之蒸發殘渣限量為30 ppm，本案不符合食品安全衛生管理法第17條規定。","ZARA HOME ESPANA S.A.","","ZARA HOME","0.38","案內不符合商品依規定退運或銷毀。","2015-04-14","2015-03-16","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4163&type=unsafefood"
"中國大陸","冷凍草莓(FROZEN STRAWBERRY)","殘留農藥含量不符規定","大湖草莓農場","苗栗縣大湖鄉大湖村博愛路20號","0811.10.00.00-7","檢出殘留農藥普拔克0.03 ppm、三氯松0.04 ppm、丁基滅必蝨0.04 ppm、益斯普0.08 ppm及毆蟎多0.03 ppm","依據「農藥殘留容許量標準」，農藥普拔克、三氯松、丁基滅必蝨限值均為0.01 ppm、益斯普及毆蟎多為不得檢出，本案不符合食品安全衛生管理法第15條規定。","YUANKANG IMPORT AND EXPORT CO.,LTD","","","20,000","案內不符合商品依規定退運或銷毀。","2015-04-14","2015-03-17","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4164&type=unsafefood"
"韓國","正宗A級泡菜辣椒粉(香辣)(RED PEPPER POWDER)","殘留農藥含量不符規定","俄梅珥有限公司","新北市永和區中興里中興街33號1樓","0904.21.90.00-3","檢出殘留農藥得克利0.13 ppm","依據「農藥殘留容許量標準」，農藥得克利限值為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","濟州商會","","濟州商會","120","案內不符合商品依規定退運或銷毀。","2015-04-14","2015-03-17","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4165&type=unsafefood"
"美國","黑胡椒細粉(SH01706 081057-017067 PEPPER BLACK FINE GROUND)","殘留農藥含量不符規定","保灃國際股份有限公司","新北市汐止區康寧街151號7樓(康寧科技園區內)","0904.12.00.00-3","檢出殘留農藥貝芬替1.3ppm","依據「農藥殘留容許量標準」，農藥貝芬替容許量為0.1 ppm，本案不符合食品安全衛生管理法第15條規定。","THE SPICE HUNTER INC/USA","","SPICE HUNTER","6.48","案內不符合商品依規定退運或銷毀。","2015-04-14","2015-03-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4166&type=unsafefood"
"法國","海膽醬(URCHIN TARAMA)","防腐劑含量不符規定","東遠國際有限公司","台北市中正區金門街9之14號1樓","1604.31.00.90-2","檢出防腐劑(以苯甲酸計1.7 g/kg)","依據「食品添加物使用範圍及限量暨規格標準」，防腐劑以苯甲酸計用量為1.0 g/kg，本案不符合食品安全衛生管理法第18條規定。","COMPROIR DU CAVIAR","","COMPROIR","2","案內不符合商品依規定退運或銷毀。","2015-04-14","2015-03-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4167&type=unsafefood"
"印度","芝麻(BROWN SESAME SEEDS(WITH HULLS))","殘留農藥含量不符規定","銘豪實業有限公司","台北市士林區承德路四段124號2樓","1207.40.00.00.1","檢出殘留農藥陶斯松0.14 ppm","依據「農藥殘留容許量標準」，農藥陶斯松限值為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","KEVENTER AGRO LIMITED","","","37,924","案內不符合商品依規定退運或銷毀。","2015-04-21","2015-03-23","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4176&type=unsafefood"
"美國","鮮藍莓","殘留農藥含量不符規定","鳴和實業有限公司","臺北巿羅斯福路一段32號6樓","0810.40.10.00-0","檢出殘留農藥馬拉松0.07 ppm","依據「殘留農藥安全容許量標準」，農藥馬拉松容許量為0.01 ppm，本案不符合食品衛生管理法第15條規定。","RAYMOND EXPRESS INTERNATIONAL, LLC","","","612","案內不合格商品已於2013年7月5日退運至香港","2013-07-30","2013-07-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2780&type=unsafefood"
"中國大陸","花椒粒(有)","殘留農藥含量不符規定","寶之川股份有限公司","臺北市中正區寧波西街237號3樓","1211.90.91.30-8","檢出殘留農藥亞滅培0.26 ppm","依據「殘留農藥安全容許量標準」規定，農藥亞滅培容許量為0.01 ppm，本案不符合食品衛生管理法第15條規定。","王月","","","1,900","案內不合格商品依規定退運或銷毀。","2013-07-30","2013-07-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2781&type=unsafefood"
"越南","DAI THUAN TAI魚露","其它衛生項目不符規定()","群亞昇龍國際貿易開發有限公司","桃園縣桃園市龍鳳三街65巷37號","2103.90.90.90-5","檢出甜味劑糖精0.04 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品衛生管理法第18條規定。","DAI THUAN TAI TRADING AND SERVICES ONE MEMBER CO.,LTD","","","234","案內不合格商品依規定退運或銷毀。","2013-07-30","2013-07-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2782&type=unsafefood"
"越南","DAI THUAN TAI魚露","其它衛生項目不符規定()","群亞昇龍國際貿易開發有限公司","桃園縣桃園市龍鳳三街65巷37號","2103.90.90.90-5","檢出甜味劑糖精0.02 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品衛生管理法第18條規定。","DAI THUAN TAI TRADING AND SERVICES ONE MEMBER CO.,LTD","","","390","案內不合格商品依規定退運或銷毀。","2013-07-30","2013-07-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2783&type=unsafefood"
"法國","8296 冷凍特級木莓","殘留農藥含量不符規定","明資食品有限公司","臺北市中山區龍江路65巷17之1號1樓","0811.20.00.00-5","檢出殘留農藥賽普洛0.04 ppm、護汰寧0.06 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","法國 KERRY RAVIFRUIT 公司","","","200","案內不合格商品依規定退運或銷毀。","2013-07-30","2013-07-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2784&type=unsafefood"
"馬來西亞","巴黎風味-草莓夾層餅","甜味劑含量不符規定","東珈企業有限公司","台北市長安東路二段50號4樓之2","1905.31.00.00-7","檢出甜味劑環己基(代)磺醯胺酸鹽0.05 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非准用環己基(代)磺醯胺酸鹽之食品範圍，本案不符合食品衛生管理法第18條規定。","GENEVO TRADING","","","1,376.1","案內不合格商品依規定退運或銷毀。","2013-07-30","2013-07-03","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2785&type=unsafefood"
"美國","鮮水蜜桃","殘留農藥含量不符規定","鳴和實業有限公司","臺北巿羅斯福路一段32號6樓","0809.30.00.10-5","檢出殘留農藥賜派芬0.04 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","CAL EX TRADING CO., INC.","","","3,944","案內不合格商品依規定退運或銷毀。","2013-07-30","2013-07-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2787&type=unsafefood"
"美國","鮮蟠桃","殘留農藥含量不符規定","丞聯農產股份有限公司","新北市板橋區縣民大道三段270巷17號10樓","0809.30.00.10-5","檢出殘留農藥賜派芬0.08 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","CAL EX TRADING CO., INC.","","","5,103","案內不合格商品依規定退運或銷毀。","2013-08-06","2013-06-30","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2788&type=unsafefood"
"越南","KIM HUNG牛腩粉","防腐劑含量不符規定","群亞昇龍國際貿易開發有限公司","桃園縣桃園市龍鳳三街65巷37號","2103.90.90.90-5","檢出防腐劑(以苯甲酸計0.63 g/Kg)","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用品項，本案不符合食品衛生管理法第18條規定。","KIM HUNG CO.","","","50","案內不合格商品依規定退運或銷毀。","2013-08-06","2013-07-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2789&type=unsafefood"
"越南","鹽漬竹筍","防腐劑含量不符規定","震有限公司","嘉義縣中埔鄉金蘭村57號","2005.91.00.90-2","檢出防腐劑對羥苯甲酸 0.04 g/kg","本案不符合食品衛生管理法第15條有關「食品添加物使用範圍及限量暨規格標準」規定","YEN THANH JOINT STOCK COMPANY","","","26,100","案內不合格商品依規定退運或銷毀。","2013-08-06","2013-07-04","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2790&type=unsafefood"
"義大利","新鮮芝麻菜(FRESH ROQUETTE)","殘留農藥含量不符規定","聯馥食品股份有限公司","臺北市北投區中央北路四段515巷28號3樓","0709.99.90.90.8","檢出殘留農藥護汰寧0.05 ppm","依據「農藥殘留容許量標準」，農藥護汰寧限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","HALLES ORLY SUD","","HALLES","8","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3931&type=unsafefood"
"日本","鮮萬能蔥(FRESH BUNCHING ONION)","殘留農藥含量不符規定","翔裕昇企業有限公司","高雄市大寮區大寮路581巷102號1樓","0703.90.00.00.1","檢出殘留農藥達特南0.46 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","HONMEIICHIZAN CO.,LTD","東京","HONMEIICHIZAN CO.,LTD","3","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3932&type=unsafefood"
"日本","生鮮冷藏萬能蔥(FRESH BANNOUNEGI)","殘留農藥含量不符規定","富帆商店","新北市中和區建康路252號1樓","0703.90.00.00.1","檢出殘留農藥達特南0.09 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","LONG DE TRADE CO., LTD.","福岡","LONG DE TRADE CO., LTD.","3.9","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3933&type=unsafefood"
"越南","紅茶(BLACK TEA H2)","殘留農藥含量不符規定","煥翔實業有限公司","新北市樹林區備內街1巷45號之1","0902.40.90.00.2","檢出殘留農藥毆殺松0.10 ppm、芬普尼0.007 ppm","依據「農藥殘留容許量標準」，農藥毆殺松限值為0.05 ppm、芬普尼限值為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。","TON VINH TECHNOLOGY IND TRADE DEVELOPMENT CO.,LTD.","","","6,000","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-14","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3934&type=unsafefood"
"日本","柑(YUZU)","殘留農藥含量不符規定","尚農實業有限公司","新北市中和區景平路722號11樓","0805.20.90.19.3","檢出殘留農藥白克列0.04 ppm","依據「農藥殘留容許量標準」，農藥白克列限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","YAJI CO LTD","德島","YAJI CO LTD","2","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-14","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3935&type=unsafefood"
"美國","有機小茴香粉(SH01324 081057-013243 CUMIN GROUND, (POWDER) 100%ORGANI)","殘留農藥含量不符規定","保灃國際股份有限公司","新北市汐止區康寧街151號7樓(康寧科技園區內)","0909.32.00.00.4","檢出殘留農藥亞滅培0.38 ppm、貝芬替0.17 ppm、可尼丁0.08 ppm、菲克利0.1 ppm、益達胺0.12 ppm","依據「農藥殘留容許量標準」，農藥亞滅培、貝芬替、可尼丁、菲克利、益達胺限值均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","THE SPICE HUNTER INC/USA","","THE PICE HUNTER","20.16","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3936&type=unsafefood"
"中國大陸","乾燥雪菊花(乾燥雪菊花)","殘留農藥含量不符規定","普陀山企業有限公司","臺南市仁德區義林路200巷46弄23號1樓","1211.90.91.50.3","檢出殘留農藥治滅寧0.38 ppm","依據「農藥殘留容許量標準」，農藥治滅寧限值為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","雪萍茶葉有限公司","","","20","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3937&type=unsafefood"
"日本","海藻(SEAWEED)","重金屬含量不符規定","鮮運貿易有限公司","台北市中山區龍江路331巷25號1樓","1212.21.91.10.5","檢出無機砷1.5 ppm","依據「藻類食品衛生標準」，藻類無機砷限量為1.0 ppm，本案不符合食品安全衛生管理法第17條規定。","LONG DE TRADE CO.,LTD","東京","LONG DE TRADE CO.,LT","10","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3938&type=unsafefood"
"日本","萬能蔥(YAKKONEGI)","殘留農藥含量不符規定","鮮運貿易有限公司","台北市中山區龍江路331巷25號1樓","0703.90.00.00.1","檢出殘留農藥脫芬瑞0.07 ppm及達特南0.04 ppm","依據「農藥殘留容許量標準」，農藥脫芬瑞限值為0.01 ppm、達特南為不得檢出，本案不符合食品安全衛生管理法第15條規定。","LONG DE TRADE CO.,LTD.","高知","LONG DE TRADE CO.,LT","3","案內不符合商品依規定退運或銷毀。","2015-02-10","2015-01-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3939&type=unsafefood"
"印尼","波部鳳螺","重金屬含量不符規定","御閎企業有限公司","台北市萬華區昆明街175號3樓","0307.91.90.19-0","本批貨品經檢出重金屬鎘3 ppm","本案經攝食風險評估，螺檢出鎘3 ppm，係為高風險食品，判定為不合格。","PT. RUNA EKA JAYA","","PT. RUNA EKA JAYA","398","案內不合格商品依規定退運或銷毀。","2012-10-09","2012-09-18","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2356&type=unsafefood"
"越南","花生仁","黃麴毒素含量不符規定","鑫兆國際開發有限公司","台北市信義區忠孝東路5段17號11樓之1(110)","9807.20.00.10-1","本批產品經檢出黃麴毒素B1:14 ppb及黃麴毒素B2:130.9 ppb。","依「食品中真菌毒素限量標準」總黃麴毒素限量15 ppb，本案不符合食品衛生管理法第10條規定。","VIET PHU IMEXCO., LTD.","","VIET PHU IMEXCO., LTD.","78,120","案內不合格商品依規定退運或銷毀。","2012-10-09","2012-09-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2357&type=unsafefood"
