核備函字號,中文品名,英文品名,有效日期,發證日期,申請商名稱,申請商電話,申請商地址,成分,簽審文件編號
"1015031185","勁康 控釋錠狀食品","NOBLE VITA TIMED RELEASE TABLETS","1110823","1010823","翰昆國際有限公司","02-5461010","台北巿南京東路四段95號9樓之2","MAGNESIUM OXIDE;;ZINC OXIDE;;MANGANESE SULFATE;;COPPER SULFATE;;RICE PROTEIN;;VITAMIN A PALMITATE;;VITAMIN D3;;D-ALPHA-TOCOPHERYL ACETATE;;THIAMINE MONONITRATE;;RIBOFLAVIN;;PYRIDOXINE HCL;;VITAMIN B12 (CYANOCOBALAMIN);;VITAMIN C ( ASCORBIC ACID );;BETA-CAROTENE;;CALCIUM PHOSPHATE, DIBASIC;;NICOTINAMIDE;;CALCIUM D-PANTOTHENATE;;BIOTIN;;CHOLINE BITARTRATE;;FOLIC ACID;;DL-METHIONINE;;INOSITOL;;L-LYSINE HYDROCHLORIDE;;CITRUS BIOFLAVONOIDS;;LECITHIN;;PAPAIN;;MAGNESIUM STEARATE;;HYDROXYPROPYL METHYLCELLULOSE;;HYDROXYPROPYL METHYLCELLULOSE;;HYDROXYPROPYL METHYLCELLULOSE;;L-CYSTEINE MONOHYDROCHLORIDE;;TITANIUM DIOXIDE;;STEARIC ACID;;MICROCRYSTALLINE CELLULOSE;;SUCROSE;;CORN STARCH;;DICALCIUM PHOSPHATE;;SUCROSE;;STARCH SODIUM OCTENYL SUCCINATE;;SILICON DIOXIDE;;STARCH SODIUM OCTENYL SUCCINATE;;HYDROXYPROPYL METHYLCELLULOSE;;HYDROXYPROPYL METHYLCELLULOSE;;CALCIUM PHOSPHATE, DIBASIC;;HYDROXYPROPYL METHYLCELLULOSE;;CORN STARCH;;SUCROSE;;HYDROXYPROPYL METHYLCELLULOSE;;CALCIUM PHOSPHATE, DIBASIC;;HYDROXYPROPYL METHYLCELLULOSE;;CALCIUM OXIDE;;FERROUS SULFATE","DHC0A150311853"
"1036057794","萊萃美女性專用綜合維生素加鐵錠","MULTI FOR HER","1090113","1040113","統一藥品股份有限公司","02-3455741","台北市松山區東興路8號7樓","SUCROSE;;CORN STARCH;;ACACIA GUM;;VITAMIN A ACETATE;;WATER;;VITAMIN E (DL-ALPHA TOCOPHERYL AS AN ANTIOXIDANT);;CALCIUM PHOSPHATE, TRIBASIC;;GELATIN;;SUCROSE;;CORN STARCH;;BETA CAROTENE;;WATER;;VITAMIN E (DL-ALPHA TOCOPHERYL AS AN ANTIOXIDANT);;ASCORBYL PALMITATE;;CALCIUM PHOSPHATE, TRIBASIC;;SODIUM ASCORBATE;;PYRIDOXINE HYDROCHLORIDE;;HYDROXYPROPYL METHYLCELLULOSE;;MALTODEXTRIN;;WATER;;SODIUM CITRATE;;CITRIC ACID;;CYANOCOBALAMIN;;ASCORBIC ACID;;HYDROXYPROPYL METHYLCELLULOSE;;SUCROSE;;CORN STARCH;;GLYCERIN FATTY ACID ESTER;;WATER;;CHOLECALCIFEROL;;ACACIA GUM;;VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE);;GELATIN;;CALCIUM SILICATE;;SILICON DIOXIDE;;VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE);;CORN STARCH;;SILICON DIOXIDE;;GLUCOSE;;ACACIA GUM;;WATER;;PHYTONADIONE;;CALCIUM PHOSPHATE, TRIBASIC;;DIBASIC CALCIUM PHOSPHATE;;FOLIC ACID;;DIBASIC CALCIUM PHOSPHATE;;BIOTINE;;CALCIUM CARBONATE;;MALTODEXTRINE;;ACACIA GUM;;MICROCRYSTALLINE CELLULOSE;;POTASSIUM IODIDE;;DIBASIC CALCIUM PHOSPHATE;;CHROMIUM CHLORIDE;;POTASSIUM CHLORIDE;;MAGNESIUM CARBONATE;;THIAMINE MONONITRATE;;RIBOFLAVIN;;NICOTINAMIDE;;CALCIUM D-PANTOTHENATE;;FERROUS FUMARATE;;MAGNESIUM OXIDE;;ZINC OXIDE;;SELENIUM YEAST;;COPPER SULFATE;;MANGANESE SULFATE;;MICROCRYSTALLINE CELLULOSE;;MAGNESIUM STEARATE;;CROSCARMELLOSE SODIUM;;SILICON DIOXIDE;;POLYVINYL ALCOHOL;;POLYETHYLENE GLYCOL 3350;;ALLURA RED AC ALUMINUM LAKE;;TALC;;TITANIUM DIOXIDE;;INDIGO CARMINE ALUMINUM LAKE","DHC0A360577941"
"1046027730","納豆紅麴複合膠囊","NATTO COMPLEX CAPSULES","1090610","1040610","萬寧生物科技有限公司","02-77088870","新北市汐止區康寧街169巷27號11樓","BACILLUS NATTO;;RED YEAST RICE;;HAWTHORN EXTRACT;;SIBERIAN GINSENG EXTRACT;;RHODIOLA ROSEA ROOT EXTRACT;;GYNOSTEMMA PENTAPHYLLUM (JIAOGULAN) EXTRACT;;GRAPE SEED OIL;;L-ARGININE;;SOYBEAN OIL;;GELATIN;;GLYCERIN;;PURIFIED WATER;;TITANIUM DIOXIDE;;FD & C RED #40;;FD & C YELLOW #6;;FD & C BLUE #1","DHC0A460277304"
"1015029089","韓國保健靈錠","KOREAN BO KAN YEONG","1061015","1011015","台灣保肝靈貿易有限公司","2741-7155","台北市大安區光復南路326號3樓","TAURINE;;VITAMIN B1;;VITAMIN B2;;VITAMIN C;;CITRIC ACID;;DEXTRIN;;LYCII FRUCTUS EXTRACT;;MAGNESIUM STEARATE;;CHITOSAN;;SHIITAKE MUSHROOM;;NICOTINAMIDE;;HOVENIA DULCIS THUNBERG EXTRACT POWDER;;PANAX GINSENG C.A. MEYER EXTRACT POWDER","DHC0A150290895"
"0088012633","聞世鈣錠食品","WISE CALCIUM TABLETS","1100226","880319","祐誠貿易有限公司","04-3212127","台中市中區自由路二段45號2樓","","DHC00880126333"
"0900065141","喜嚼維他命C","C - CHEWABLE","1101101","901101","維達有限公司","02-25701900","台北市八德路3段30號3樓","FRUCTOSE;;CALCIUM ASCORBATE;;ASCORBIC ACID;;CELLULOSE FIBER;;NATURAL CHERRY FLAVOR;;ACEROLA POWDER;;ROSE HIPS","DHC09000651412"
"0930403088","維利健錠食品","VILICHEN TABLETS","1080422","930422","富爾康貿易有限公司","02-23317602","台北市中正區忠孝西路一段7號7樓之5","VITAMIN A ACETATE;;VITAMIN D3;;DL-ALPHA-TOCOPHERYL ACETATE;;THIAMINE MONONITRATE;;VITAMIN B2 RIBOFLAVINE;;NIACINAMIDE;;FOLIC ACID;;PYRIDOXINE HYDROCHLORIDE;;VITAMIN B-12 (CYANOCOBALAMIN);;BIOTIN;;CALCIUM PANTOTHENATE;;CHOLINE BITARTRATE;;TRICALCIUM PHOSPHATE;;POTASSIUM IODIDE;;FERROUS FUMARATE;;MAGNESIUM OXIDE;;MANGANESE SULFATE;;COPPER OXIDE;;ZINC OXIDE;;POTASSIUM CHLORIDE;;CHROMIUM YEAST;;SELENIUM YEAST;;VITAMIN C ( ASCORBIC ACID );;INOSITOL;;LEMON BIOFLAVONOIDS;;METHYL HESPERIDIN;;GLUTAMIC ACID;;ALFALFA;;PARSLEY;;LECITHIN;;CHAMOMILE;;PAPAYA FRUIT;;KELP;;ROSE HIPS;;WATERCRESS;;TORULA YEAST;;WHEAT GERM;;CALCIUM CARBONATE;;MICROCRYSTALLINE CELLULOSE;;BREWER’S YEAST;;SILICAL GEL;;MAGNESIUM STEARATE;;HYDROXYPROPYL METHYLCELLULOSE;;TITANIUM DIOXIDE;;IRON OXIDE BLACK;;IRON OXIDE RED;;FD & C RED #40;;FD & C BLUE # 2","DHC09304030888"
"1015024738","澳洲寶固錠","GLUCOSAMINE & CHONDROITIN 900MG","1061003","1011003","康綺有限公司","02-89663535","新北市板橋區四川路2段123號6樓之2","GLUCOSAMINE;;CHONDROITIN;;MICROCRYSTALLINE CELLULOSE;;CALCIUM HYDROGEN PHOSPHATE;;HYPROMELLOSE;;CROSCARMELLOSE SODIUM;;MAGNESIUM STEARATE;;MACROGOL 400","DHC0A150247388"
"1015024839","百疫-生物軟膠囊食品","PANTHYMUS-BIOCAPSULES","1061008","1011008","德惠胜肽有限公司","02-27298077","台北市信義區信義路5段5號","BOVINE THYMUS SUBSTANCE;;REFINED SOYBEAN OIL;;SOYBEAN LECITHIN;;SOYBEAN OIL PART HYDRATED;;GELATIN;;GLYCEROL;;D-SORBITOL;;PURIFIED WATER;;TITANIUM DIOXIDE;;RED IRON OXIDE","DHC0A150248392"
"1015024947","碧莎蕾百順膠囊","BESURE ZINC-POWER CAPSULE","1110724","1010724","碧莎蕾藥品實業有限公司","02-23327895","台北市寶興街80巷16號1樓","PUMPKIN SEED OIL;;JUNIPER BERRY POWDER;;DANDELION EXTRACT;;TOMATOES EXTRACT POWDER;;ZINC OXIDE (ZINC 20 MG);;WILD YAM POWDER;;CRANBERRY;;GRAPE SEED POWDER;;GELATIN;;GLYCERIN;;FD & C YELLOW #5;;FD & C BLUE #1;;TITANIUM DIOXIDE","DHC0A150249472"
"1015025633","活益菌 膠囊食品","OPTIFLORA PROBIOTIC COMPLEX","1110704","1010704","美商嘉康利股份有限公司台灣分公司","02-25160339","台北市中山區建國北路一段90號11樓及11樓之1","PALM OIL;;BIFIDOBACTERIUM LONGUM;;L.ACIDOPHILUS;;LECITHIN;;PECTIN;;PORCINE GELATIN;;GLYCERIN","DHC0A150256334"
"1015025943","素健通膠囊食品","SUGER-PRITO CAPSULES","1110816","1010816","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","EVENING PRIMROSE OIL;;SAFFLOWER SEED OIL;;GINKGO BILOBA FRUIT POWDER;;GELATIN;;GLYCERIN;;PURIFIED WATER","DHC0A150259432"
"1015025944","歐美佳魚油膠囊食品","EVERMEGA CAPSULES","1110704","1010704","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","HIGH POTENCY FISH BODY OIL;;VITAMIN E;;GELATIN;;GLYCERIN;;PURIFIED WATER","DHC0A150259443"
"1015025945","樂苜寧膠囊食品","LEMUNIN CAPSULES","1110801","1010801","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","VITAMIN A;;LUTEIN;;BILBERRY EXTRACT;;L-GLUTAMIC ACID;;VITAMIN B1;;VITAMIN B2;;VITAMIN B12;;SOY BEAN OIL;;BEESWAX;;SOY LECITHIN;;GELATIN;;GLYCERIN;;PURIFIED WATER;;TITANIUM DIOXIDE;;FD & C RED #3;;FD & C RED #40;;FD & C YELLOW #5","DHC0A150259454"
"1036051488","勁能 B 錠","MULTI-B TABLETS","1080930","1030930","良鴻有限公司","02-22349345","台北市內湖區麗山街348巷10弄25號1樓","VITAMIN B1 (THIAMINE MONONITRATE);;VITAMIN B2 (RIBOFLAVIN);;NIACINAMIDE;;D-CALCIUM PANTOTHENATE;;VITAMIN B6 (PYRIDOXINE HCL);;FOLIC ACID;;VITAMIN B12 (CYANOCOBALAMIN);;BIOTIN;;CHOLINE BITARTRATE;;INOSITOL;;VITAMIN C ( ASCORBIC ACID );;ZINC SULFATE;;CITRUS BIOFLAVONOIDS;;ALFALFA;;WATERCRESS;;RICE BRAN;;BREWER’S YEAST;;LECITHIN;;PARSLEY;;MAGNESIUM STEARATE;;SILICON DIOXIDE;;CROSCARMELLOSE SODIUM;;MICROCRYSTALLINE CELLULOSE;;STEARIC ACID;;HYDROXYPROPYL METHYLCELLULOSE;;PROPYLENE GLYCOL;;FD & C YELLOW #6;;FD & C RED #40","DHC0A360514889"
"1036051815","LAC 海蘊之褐藻醣膠膠囊食品","LAC FUCOIDAN COMPLEX","1080930","1030930","傲旎全球股份有限公司","02-25110989","台北市中山區中山北路2段81號","OKINAWA MOZUKU EXTRACT;;GANODERMA LUCIDUM(ANTLER);;ASCORBIC ACID;;CALCIUM STEARATE;;HYDROXYPROPYL METHYLCELLULOSE;;PURIFIED WATER","DHC0A360518154"
"1036051816","LAC 利普能膠囊食品","L. PRO","1081125","1031125","傲旎全球股份有限公司","02-25110989","台北市中山區中山北路2段81號","PANAX NOTOGINSENG EXTRACT;;TURMERIC EXTRACT;;CHRYSANTHEMI FLOS EXTRACT;;ATRACTYLODIS MACROCEPHALAE RHIZOMA EXTRACT;;PAEONIAE ALBA RADIX (PAEONIA LACTIFLORA PALL.);;NELUMBINIS FOLIUM EXTRACT;;CITRI RETICULATAE VIRIDE PERICARPIUM EXTRACT;;CHINESE PEONY EXTRACT;;CRATAEGI FRUCTUS EXTRACT;;MAGNESIUM STEARATE;;HYPROMELLOSE;;PURIFIED WATER","DHC0A360518165"
"1036051894","澳洲香醇羊乳片","GOAT’S MILK","1081007","1031007","香港商納維康股份有限公司","02-27297169","臺北市信義區基隆路2段15號7樓","FULL CREAM GOAT’S MILK POWDER;;GLUCOSE;;LACTOSE;;MAGNESIUM STEARATE;;SILICA COLLOIDAL ANHYDROUS","DHC0A360518946"
"1036051978","MOVE FREE 葡萄糖胺軟骨素錠(食品)","MOVE FREE GLUCOSAMIN AND CHONDROITIN","1081002","1031002","香港商香港利潔時有限公司台灣分公司","02-27680669","台北市大安區仁愛路三段136號6樓","GLUCOSAMINE HCL;;MICROCRYSTALLINE CELLULOSE;;SODIUM CHONDROITIN SULFATE;;HYPROMELLOSE;;TITANIUM DIOXIDE;;POLYDEXTROSE;;TALC;;MALTODEXTRIN;;MEDIUM CHAIN TRIGLYCERIDES;;HYDROXYPROPYL METHYLCELLULOSE;;SILICON DIOXIDE;;MAGNESIUM STEARATE;;CROSPOVIDONE;;GLYCERIN","DHC0A360519789"
"1036051979","MOVE FREE 葡萄糖胺+軟骨素+MSM+維生素 D+鈣錠 (食品)","MOVE FREE GLUCOSAMIN WITH CHONDROITIN, MSM, VITAMIN D AND CALCIUM","1081002","1031002","香港商香港利潔時有限公司台灣分公司","02-27680669","台北市大安區仁愛路三段136號6樓","DICALCIUM PHOSPHATE;;GLUCOSAMINE HCL;;METHYLSULFONYLMETHANE;;SODIUM CHONDROITIN SULFATE;;CROSPOVIDONE;;Opadry（水解聚乙烯醇、滑石粉、二氧化鈦、卵磷脂、玉米糖膠）;;MICROCRYSTALLINE CELLULOSE;;MAGNESIUM STEARATE;;HYDROXYPROPYL METHYLCELLULOSE;;FUMED SILICA;;GLYCERIN;;VITAMIN D3;;DL-ALPHA-TOCOPHEROL;;VITAMIN D3 CRYSTALLINE;;MODIFIED STARCH;;MEDIUM CHAIN TRIGLYCERIDES;;SODIUM ASCORBATE;;SUCROSE;;SILICON DIOXIDE","DHC0A360519790"
"1036052212","歐美元氣寧錠狀食品","VIGOR NING STRENGTH TABLETS","1081021","1031021","傑耀生物科技有限公司","07-7802103","高雄市三民區義明街18號17樓","VITAMIN B1;;VITAMIN B2;;VITAMIN B6;;VITAMIN B12;;VITAMIN E;;NIACINAMIDE;;CALCIUM PANTOTHENATE;;GAMMA-ORYZANOL;;CALCIUM PHOSPHATE, DIBASIC;;MAGNESIUM STEARATE;;SILICON DIOXIDE;;STEARIC ACID;;MICROCRYSTALLINE CELLULOSE;;FD & C YELLOW #5;;FD & C YELLOW #6","DHC0A360522120"
"1036059507","愛真金第二代膠囊","AI CHEN JIN II CAPSULES","1081120","1031120","萬寧生物科技有限公司","02-77088870","新北市汐止區康寧街169巷27號11樓","BILBERRY EXTRACT;;EYEBRIGHT EXTRACT;;MARIGOLD EXTRACT;;SYNTHETIC ZEAXANTHIN;;VITAMIN A;;CASSIAE TORAE SEMEN EXTRACT;;LYCII FRUCTUS EXTRACT;;BLUEBERRY EXTRACT;;GRAPE SEED EXTRACT;;CHRYSANTHEMUM EXTRACT;;SOYBEAN OIL;;GELATIN;;GLYCERIN;;PURIFIED WATER;;TITANIUM DIOXIDE;;FD & C RED #40;;FD & C BLUE #1;;FD & C YELLOW #6","DHC0A360595071"
"0910057277","歐米加500魚油膠囊","OMEGA 500 SOFTGEL","1061202","911202","台灣保立康藥業有限公司","03-5897540","桃園市中壢區松平路37號1樓","FISH BODY OIL;;DL α-TOCOPHERYL ACETATE;;GELATIN;;GLYCERIN;;PURIFIED WATER","DHC09100572772"
"1015038430","新速立清膠囊食品","NUSULICHIN CAPSULES","1061031","1011031","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","VITAMIN E;;SELENIUM YEAST;;CHROMIUM YEAST;;OYSTER SHELL CALCIUM;;VEGETABLE OIL;;VITAMIN C;;MAGNESIUM OXIDE;;ZINC GLUCONATE;;NICOTINAMIDE;;FERRIC PYROPHOSPHATE;;DUNALIELLA;;CALCIUM PANTOTHENATE;;VITAMIN B1;;VITAMIN B2;;VITAMIN B6;;FOLIC ACID;;BIOTIN;;VITAMIN D3;;VITAMIN B12;;SAFFLOWER OIL;;GELATIN;;GLYCERIN;;BEEWAX;;GLYCEROL ESTERS OF FATTY ACIDS;;CARAMEL COLOR","DHC0A150384302"
"1025013265","華樂錠狀食品","KARAKU","1070604","1020604","產流通股份有限公司","02-27268282","台北市信義區忠孝東路五段510號23樓之3","MICROCRYSTALLINE CELLULOSE;;FERMENTED SOYBEAN EXTRACT;;MALTITOL;;HERICIUM ERINACEUM POWDER;;GRAPE SKIN EXTRACT;;APPLE SKIN EXTRACT;;CALCIUM STEARATE;;BLACK PEPPER EXTRACT","DHC0A250132658"
"0970402447","高補錠狀食品","HI-YOUBU-VITE TABLETS","1070414","970414","嵩平貿易有限公司","07-3958388","高雄市三民區民壯路65號5樓","BETA CAROTENE;;MAGNESIUM OXIDE;;VITAMIN B1 (THIAMINE MONONITRATE);;MAGNESIUM SULFATE;;VITAMIN B2 ( AS RIBOFLAVIN );;VITAMIN B6 ( AS PYRIDOXINE HYDROCHLORIDE );;VITAMIN B12 ( AS CYANOCOBALAMIN );;MOLYBDENUM YEAST ( SACCHAROMYCES CERVISIAE );;VITAMIN C ( ASCORBIC ACID );;VITAMIN D3 (CHOLECALCIFEROL);;VITAMIN E (AS DL-ALPHA TOCOPHEROL ACETATE );;SELENIUM YEAST;;BIOTIN;;FOLIC ACID;;ZINC OXIDE;;NIACINAMIDE;;LUTEIN;;CALCIUM PANTOTHENATE;;TOMATO EXTRACT ;;DIBASIC CALCIUM PHOSPHATE;;COENZYME Q10;;MICROCRYSTALLINE CELLULOSE;;POTASSIUM CHLORIDE;;CROSCARMELLOSE SODIUM;;STEARIC ACID;;CHROMIUM YEAST;;MAGNESIUM STEARATE;;SILICON DIOXIDE;;WHEY;;CUPRIC SULFATE;;TITANIUM DIOXIDE;;FERROUS FUMARATE;;FD & C RED #40;;POTASSIUM IODIDE;;FD & C YELLOW #5;;FD & C BLUE #1","DHC09704024470"
"1046002830","固力佳錠狀食品","GLUCOPLUS TABLETS","1090323","1040323","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","NATURAL GLUCOSAMINE;;CHONDROITIN;;SOY PROTEIN POWDER;;GRAPE SEED POWDER;;ADRENAL CORTEX POWDER;;CELERY SEED POWDER;;CALCIUM CARBONATE;;STEARIC ACID;;MAGNESIUM STEARATE;;SILICON DIOXIDE;;MICROCRYSTALLINE CELLULOSE;;TITANIUM DIOXIDE","DHC0A460028303"
"1046002831","力寶鈣錠狀食品","LIPO CALCIUM TABLETS","1090224","1040224","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","CALCIUM CARBONATE;;VITAMIN D3;;MICROCRYSTALLINE CELLULOSE;;MAGNESIUM STEARATE;;SILICON DIOXIDE","DHC0A460028314"
"1046002832","益舒美錠狀食品","ISOMAX TABLETS","1090323","1040323","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","NATURAL GLUCOSAMINE;;CHONDROITIN;;SOY PROTEIN POWDER;;GRAPE SEED POWDER;;ADRENAL CORTEX POWDER;;CELERY SEED POWDER;;CALCIUM CARBONATE;;STEARIC ACID;;MAGNESIUM STEARATE;;SILICON DIOXIDE;;MICROCRYSTALLINE CELLULOSE;;TITANIUM DIOXIDE;;FD & C RED #40","DHC0A460028325"
"1046002833","奎德月見草油膠囊食品","GRADE EVENING PRIMROSE OIL CAPSULES","1090224","1040224","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","EVENING PRIMROSE OIL;;GELATIN;;GLYCERIN","DHC0A460028336"
"1046002834","伊美葡萄籽膠囊食品","EVERMEGA OPC CAPSULES","1090224","1040224","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","SOY PROTEIN POWDER;;GRAPE SEED POWDER;;RED WINE;;CITRUS BIOFLAVONOIDS;;LEMON BIOFLAVONOIDS;;BROMELAIN;;MAGNESIUM STEARATE;;GELATIN;;GLYCERIN;;PURIFIED WATER","DHC0A460028347"
"1015029110","羅氏鹿鞭養生膠囊","DEER PIZZLE & TESTICLE CAPSULES","1110919","1010919","寶泰國際企業有限公司","02-23787150","台北市敦化南路一段102號12樓","DEER PENIS POWDER;;BOVINE GELATIN","DHC0A150291101"
"1015029111","羅氏鹿茸養生膠囊","DEER VELVET CAPSULES","1110919","1010912","寶泰國際企業有限公司","02-23787150","台北市敦化南路一段102號12樓","DEER VELVET;;BOVINE GELATIN","DHC0A150291112"
"1015029201","舒沛水溶性維他命B+C錠","SUPERB B WITH C TABLETS","1110810","1010810","台灣保立康藥業有限公司","03-5897540","桃園市中壢區松平路37號1樓","VITAMIN C;;VITAMIN B1;;VITAMIN B2;;VITAMIN B6;;VITAMIN B12;;CALCIUM PANTOTHENATE;;NIACINAMIDE;;FOLIC ACID;;BIOTIN;;CHOLINE BITARTRATE;;INOSITOL;;CITRUS BIOFLAVONOIDS;;MICROCRYSTALLINE CELLULOSE;;HYDROXYPROPYL METHYLCELLULOSE;;CROSCARMELLOSE SODIUM;;VEGETABLE MAGNESIUM STEARATE;;VEGETABLE STEARIC ACID;;SILICON DIOXIDE;;FD & C YELLOW #6;;FD & C BLUE #1;;FD & C RED #40;;TITANIUM DIOXIDE","DHC0A150292010"
"1015029202","沛力水溶性維他命B+C錠","PERFECT B WITH C TABLETS","1110810","1010810","台灣保立康藥業有限公司","03-5897540","桃園市中壢區松平路37號1樓","VITAMIN B6;;VITAMIN B12;;CALCIUM PANTOTHENATE;;CROSCARMELLOSE SODIUM;;VEGETABLE MAGNESIUM STEARATE;;VEGETABLE STEARIC ACID;;SILICON DIOXIDE;;FD & C YELLOW #6;;FD & C BLUE #1;;FD & C RED #40;;TITANIUM DIOXIDE;;VITAMIN B2;;VITAMIN C;;VITAMIN B1;;NIACINAMIDE;;FOLIC ACID;;BIOTIN;;CHOLINE BITARTRATE;;INOSITOL;;CITRUS BIOFLAVONOIDS;;MICROCRYSTALLINE CELLULOSE;;HYDROXYPROPYL METHYLCELLULOSE","DHC0A150292021"
