年度,季別,優良事蹟,公告日期,編號,姓名
"99","4","99年度FDA優良廚師表揚活動","1030217","99-005","王書年"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-006","鄭富貴"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-007","鄭義隆"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-008","游朝雄"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-009","黃銘波"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-010","吳庭國"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-011","胡朝光"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-012","許志滄"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-013","陳南光"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-014","許耀楠"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-015","蘇勝盛"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-016","郭子儀"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-017","陳添壽"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-018","粘錫坤"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-019","謝友順"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-020","黃聰汶"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-021","李坤昌"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-022","徐偉翔"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-023","李家成"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-024","陳金隆"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-025","洪元山"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-026","高景泉"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-027","蕭宗隆"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-028","杜孟家"
"99","4","99年度FDA優良廚師表揚活動","1030217","99-029","吳文智"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-003","吳東寶"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-002","吳春財"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-001","何育任"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-004","李建興"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-005","林美珠"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-006","林秀美"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-007","施建發"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-008","高順能"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-009","許樺仁"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-010","許玉眉"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-011","許佳晉"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-012","葉清祥"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-013","楊吉成"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-014","歐慧嫻"
"100","4","100年度FDA優良廚師表揚活動","1010223","100-015","謝鎮宇"
"101","4","101年度FDA優良廚師表揚活動","1011015","10(按姓氏筆劃)","戴德和"
"101","4","101年度FDA優良廚師表揚活動","1011015","09(按姓氏筆劃)","黃桂森"
"101","4","101年度FDA優良廚師表揚活動","1011015","08(按姓氏筆劃)","黃汶達"
"101","4","101年度FDA優良廚師表揚活動","1011015","07(按姓氏筆劃)","陳金選"
"101","4","101年度FDA優良廚師表揚活動","1011015","06(按姓氏筆劃)","郭宏徹"
"101","4","101年度FDA優良廚師表揚活動","1011015","04(按姓氏筆劃)","高 玫"
"101","4","101年度FDA優良廚師表揚活動","1011015","05(按姓氏筆劃)","高正憲"
"101","4","101年度FDA優良廚師表揚活動","1011015","03(按姓氏筆劃)","林永瑞"
"101","4","101年度FDA優良廚師表揚活動","1011015","01(按姓氏筆劃)","呂哲維"
"101","4","101年度FDA優良廚師表揚活動","1011015","02(按姓氏筆劃)","李昭明"
"102","4","102年度FDA優良廚師表揚活動","1021014","1","田文輝"
"102","4","102年度FDA優良廚師表揚活動","1021014","2","周振文"
"102","4","102年度FDA優良廚師表揚活動","1021014","3","林進添"
"102","4","102年度FDA優良廚師表揚活動","1021014","4","張錦枝"
"102","4","102年度FDA優良廚師表揚活動","1021014","5","莊忠銘"
"102","4","102年度FDA優良廚師表揚活動","1021014","6","劉邦傳"
"102","4","102年度FDA優良廚師表揚活動","1021014","7","劉俊良"
"102","4","102年度FDA優良廚師表揚活動","1021014","8","潘岱儒"
"102","4","102年度FDA優良廚師表揚活動","1021014","9","潘崑宏"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-19","戴于益"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-18","蕭冠之"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-17","鄭至耀"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-16","劉梓民"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-15","劉子勛"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-14","趙曉翌"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-13","曾志昌"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-12","彭志強"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-11","陳肇豐"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-10","陳振益"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-9","陳志利"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-8","許坤生"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-7","張志賢"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-6","范樹男"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-5","林榮燦"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-4","李政上"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-3","李佳其"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-2","吳祈賢"
"103","4","103年度FDA優良廚師表揚大會","1030929","103-1","王秋鑾"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","17","顏永裕"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","16","黃啟順"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","15","湯淯甯"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","14","陳麒文"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","13","陳鴻軒"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","12","陳志昇"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","11","曹朝富"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","10","馬永曾"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","9","施建瑋"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","8","林宸緯"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","7","李思銘"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","6","江進華"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","5","池一明"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","4","史清龍"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","3","永連生"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","2","王聰明"
"104","4","104年度FDA優良廚師頒獎典禮-金帽獎","1041007","1","王陳哲"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","1","王聖翔"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","2","朱清月"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","3","呂俊男"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","4","林佳模"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","5","林振廉"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","6","邱兆毅"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","7","施小惠"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","8","唐文浚"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","9","張立峯"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","10","張克勤"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","11","梁福政"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","12","郭士弘"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","13","陳玉村"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","14","陳金民"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","15","陳振益"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","16","彭俊傑"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","17","游輝智"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","18","黃經典"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","19","温奕鋐"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","20","蔡長志"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","21","蔡貴美"
"105","3","105年度FDA優良廚師(金帽獎)頒獎典禮","1050714","22","賴瑞榮"
