製劑別,申請廠商,製劑名稱,製造批號,有效期限,包裝,封緘數量,封緘劑量,封緘日期,備註
"血液製劑類","寶隆貿易股份有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA05D118AA","10 17 2007 12:00AM","50 mL/瓶","50 mL/瓶 × 16,996瓶","16996","02 14 2006 12:00AM","缺AC916041,916048,916149等36張."
"血液製劑類","上合貿易股份有限公司","＂貝靈＂血清蛋白注射液20%","32544411E","05 31 2010 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 9,986盒","9986","01 25 2006 12:00AM","毀損封條AC920251,252,253;AC922003,011,012,232;AC923079共8張，跳號封條共52張。"
"血液製劑類","上合貿易股份有限公司","＂貝靈＂血清蛋白注射液20%","33244411A","07 31 2010 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 19,946盒","19946","01 25 2006 12:00AM","毀損封條AC880259,882963,883124,876147,875213,875720共6張，跳號封條AC880994,882999,883006,883122,878792,887633,887839,884300,876602,876613,875415共11張。"
"血液製劑類","台灣綠十字股份有限公司","＂基立福＂人免疫球蛋白靜脈注射液5%","IBGB5NBNA1","08 31 2007 12:00AM","50mL/瓶/盒","50mL/瓶/盒×1,805盒","1805","02 13 2006 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑","G3617,0814R/0652102","11 2 2007 12:00AM","1 劑/瓶/盒","1 劑/瓶/盒 × 2,034盒","2034","02 6 2006 12:00AM","19張缺號:AC954056,954065,954071-954073,954075,954091,954097,954121,954127,954153,954154,954156,954159,954171,954177,954180,954181,954186."
"其他生物藥品類","香港商愛力根有限公司台灣分公司","＂愛力根＂保妥適乾粉注射劑","C1379C2","06 30 2008 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 7,781盒","7781","01 27 2006 12:00AM","缺73張"
"其他生物藥品類","海喬國際股份有限公司","麗舒妥注射劑500單位","581C","05 31 2007 12:00AM","500 units/瓶/盒","500 units/瓶/盒 × 474盒","474","01 27 2006 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂血清蛋白注射液20%","32544411E","05 31 2010 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 8,243盒","8243","01 25 2006 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","伏流感疫苗","AFLUA422AA, AFLUA422A","08 31 2009 12:00AM","1劑/0.5 mL/支 × 10支/盒","1劑/0.5 mL/支 × 10支/盒 × 22,002盒","220020","10 20 2008 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗","A41CA737A, A41FA737A/AROTA155B","10 31 2010 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 28,130盒","28130","11 19 2008 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂威保500U抗抑制子凝血複合物","VNF2H016B","04 30 2010 12:00AM","500 U/瓶/盒","500 U/瓶/盒 × 2,120盒","2120","11 4 2008 12:00AM",""
"血液製劑類","吉帝藥品股份有限公司","兔抗胸腺細胞免疫球蛋白","C8024H05, C8024","12 31 2009 12:00AM","5 mL/瓶/盒","5 mL/瓶/盒 × 695盒","695","10 16 2008 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA08D029AA","02 16 2010 12:00AM","50 mL/瓶","50 mL/瓶 × 16,914瓶","16914","10 22 2008 12:00AM",""
"血液製劑類","吉帝藥品股份有限公司","兔抗胸腺細胞免疫球蛋白","C8024H05, C8024","12 31 2009 12:00AM","5 mL/瓶/盒","5 mL/瓶/盒 × 295盒","295","10 28 2008 12:00AM",""
"血液製劑類","天行貿易股份有限公司","破傷風預防注射劑 250 Units","26NC5P1","06 23 2011 12:00AM","250 U/支/盒","250 U/支/盒 × 80盒","80","10 31 2008 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26NC4R2","03 28 2011 12:00AM","0.5 mL/支/盒","0.5 mL/支/盒 × 4,800盒","4800","10 31 2008 12:00AM",""
"其他生物藥品類","海喬國際股份有限公司","麗舒妥注射劑500單位","673E, 673","05 31 2010 12:00AM","500 units/瓶/盒","500 units/瓶/盒 × 2,068瓶","2068","10 22 2008 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧","AC14B068BA, AC14B068B","02 28 2010 12:00AM","1 劑/0.5 mL/支/盒","1 劑/0.5 mL/支/盒 × 7,840盒","7840","12 31 2008 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","新赫寶克","AHAVB279BB, AHAVB279B","01 31 2011 12:00AM","1劑/0.5 mL/瓶/盒","1劑/0.5 mL/瓶/盒 × 16,000盒","16000","11 20 2008 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂止血纖維蛋白膠纖維蛋白止血組","604632A","07 31 2010 12:00AM","1 mL/瓶 × 4瓶/組/盒","1 mL/瓶 × 4瓶/組/盒 × 378盒","378","12 4 2008 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑","VND2H045","12 31 2009 12:00AM","1 mL/支 × 2支/組/盒","1 mL/支 × 2支/組/盒 × 964盒","964","02 24 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧六合一疫苗","A21CA457A, A21LA457A/A21FA457A","08 31 2010 12:00AM","1劑/盒","1劑/盒 × 58,360盒","58360","11 27 2008 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第九凝血因子注射劑","3250920161","04 4 2010 12:00AM","500 IU/瓶/盒","500 IU/瓶/盒 × 1,858盒","1858","03 30 2009 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第八凝血因子注射劑","3300850339","04 12 2010 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 4,756盒","4756","01 8 2009 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂ 人類免疫球蛋白靜脈注射劑","3740500506","03 18 2010 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 20,247盒","20247","01 9 2009 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂（20％）人血清白蛋白注射劑","3470500266","03 19 2010 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 16,298盒","16298","01 8 2009 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂（20％）人血清白蛋白注射劑","3470500275","03 19 2010 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 6,875盒","6875","01 8 2009 12:00AM",""
"血液製劑類","禾利行股份有限公司","＂百合＂施多特注射液","A144038","02 28 2011 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 500盒","500","11 10 2008 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂第八凝血因子注射劑","38466911B","05 31 2011 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 1,228盒","1228","12 16 2008 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂第八凝血因子注射劑","40566911A","07 31 2011 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 215盒","215","12 5 2008 12:00AM",""
"血液製劑類","上合貿易股份有限公司","＂貝靈＂血清蛋白注射液20%","65544411E","05 31 2013 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 1,432盒","1432","11 6 2008 12:00AM",""
"血液製劑類","上合貿易股份有限公司","＂貝靈＂血清蛋白注射液20%","65644411A","05 31 2013 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 15,559盒","15559","11 6 2008 12:00AM",""
"血液製劑類","台灣綠十字股份有限公司","艾爾補定注射液25%","B1NE8BG001","08 7 2011 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 9,598盒","9598","11 25 2008 12:00AM",""
"血液製劑類","禾利行股份有限公司","＂百合＂血清蛋白","A121048","04 30 2011 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 4,996盒","4996","11 18 2008 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂沙賓小兒麻痺口服疫苗","D5390-1, D5390","03 31 2010 12:00AM","10劑/1 mL/瓶 × 10瓶/盒 × 20盒/中盒","10劑/1 mL/瓶 × 10瓶/盒 × 20盒/中盒 × 578中盒; 10瓶/盒 × 3盒","1156300","12 2 2008 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","紐蒙肺多價性肺炎鏈球菌疫苗","K5803, 0761X/0662597","05 16 2010 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 1,769盒","17690","11 21 2008 12:00AM",""
"血液製劑類","吉帝藥品股份有限公司","兔抗胸腺細胞免疫球蛋白","C8028H07, C8028","01 31 2010 12:00AM","5mL/瓶/盒","5mL/瓶/盒 × 995盒","995","11 25 2008 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑","35997, C68994B","03 10 2011 12:00AM","1劑/0.5mL/支/盒","1劑/0.5 mL/支/盒 × 43,020盒","43020","12 17 2008 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑","35997, C68994B","03 10 2011 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 43,110盒","43110","01 14 2009 12:00AM",""
"其他生物藥品類","海喬國際股份有限公司","麗舒妥注射劑500單位","673H, 673","05 31 2010 12:00AM","500 units/瓶/盒","500 units/瓶/盒 × 1,984瓶","1984","11 24 2008 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑","VND2H041","01 31 2010 12:00AM","2 mL/支 × 2支/組/盒","2 mL/支 × 2支/組/盒 × 616盒","616","12 5 2008 12:00AM",""
"抗毒素及抗血清類","台灣諾華股份有限公司","肉毒桿菌抗毒素","079011A","06 30 2012 12:00AM","250 mL/瓶/盒","250 mL/瓶/盒 × 20盒","20","11 19 2008 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0805","01 17 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,371盒；6瓶/盒 × 1盒","33716","01 22 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0806","01 17 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,369盒；4瓶/盒 × 1盒","33694","01 22 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0807","01 17 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,340盒；5瓶/盒 × 1盒","33405","01 22 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0801","12 20 2009 12:00AM","20劑/20 mL/瓶 × 10瓶/盒","20劑/20 mL/瓶 × 10瓶/盒 × 900盒; 7瓶/盒 × 1盒","180140","01 7 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0802","01 8 2010 12:00AM","20劑/20 mL/瓶 × 10瓶/盒","20劑/20 mL/瓶 × 10瓶/盒 × 902盒; 1瓶/盒 × 1盒","180420","01 14 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0803","01 11 2010 12:00AM","20劑/20 mL/瓶 × 10瓶/盒","20劑/20 mL/瓶 × 10瓶/盒 × 899盒；5瓶/盒 × 1盒","179900","01 14 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0804","01 17 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,367盒；9瓶/盒 × 1盒","33679","01 22 2009 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","＂輪達停＂口服活性五價輪狀病毒疫苗","1339X/0662733","06 2 2010 12:00AM","1劑/2 mL/軟管/盒","1劑/2 mL/軟管/盒 × 30,230盒","30230","11 28 2008 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26N9291","03 19 2010 12:00AM","5 mL/瓶/盒","5 mL/瓶/盒 × 556盒","556","12 9 2008 12:00AM",""
"血液製劑類","禾利行股份有限公司","立保B型肝炎抗體注射液","A283108","04 30 2010 12:00AM","10 mL/瓶/盒","10mL/瓶/盒 × 3,272盒","3272","12 12 2008 12:00AM",""
"其他生物藥品類","香港商愛力根有限公司台灣分公司","＂愛力根＂保妥適乾粉注射劑","C2384 C3","08 31 2011 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 5,580盒","5580","12 30 2008 12:00AM",""
"其他生物藥品類","香港商愛力根有限公司台灣分公司","＂愛力根＂保妥適乾粉注射劑","C2358 C2","06 30 2010 12:00AM","50 units/瓶/盒","50 units/瓶/盒 × 2,980盒","2980","12 30 2008 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA08E177AA","09 20 2010 12:00AM","50 mL/瓶","50 mL/瓶 × 18,156瓶","18156","12 8 2008 12:00AM",""
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑20%","26NCCP1","09 28 2011 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 21,526盒","21526","12 11 2008 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","美瑞克","AVARB154AA, AVARB154A","08 31 2010 12:00AM","1劑/瓶 × 100瓶/盒","1劑/瓶 × 100瓶/盒 × 476盒；40瓶/盒 × 1盒","47640","12 24 2008 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA506A, A20LA506A/A20FA506A","10 31 2010 12:00AM","1 劑/盒","1 劑/盒 × 78,810盒","78810","01 16 2009 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA08E178AA","09 26 2010 12:00AM","50 mL/瓶","50 mL/瓶 × 18,457瓶","18457","12 12 2008 12:00AM",""
"抗毒素及抗血清類","行政院衛生署疾病管制局","抗鎖鏈蛇毒血清凍晶注射劑","FR9701","12 30 2010 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 241盒","241","01 8 2009 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑","VND2H078","03 31 2010 12:00AM","1 mL/支 × 2支/組/盒","1 mL/支 × 2支/組/盒 × 1,124盒","1124","02 4 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0808","01 31 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,343盒；4瓶/盒 × 1盒","33434","02 11 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0809","01 31 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1 mL/瓶 × 10瓶/盒 × 3,427盒；1瓶/盒 × 1盒","34271","02 11 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0810","01 31 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,397盒","33970","02 11 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0811","01 31 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,395盒；2瓶/盒 × 1盒","33952","02 11 2009 12:00AM",""
"血液製劑類","上合貿易股份有限公司","必凝易得 P","00775011B","05 31 2010 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 956盒","956","12 30 2008 12:00AM",""
"抗毒素及抗血清類","行政院衛生署疾病管制局","抗百步蛇毒血清凍晶注射劑","FA9801","01 18 2014 12:00AM","1劑/瓶/盒","1 劑/瓶/盒 × 1,185盒","1185","02 2 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVB702AB,AHBVB702A","05 31 2011 12:00AM","1劑/1 mL/瓶 × 100瓶/盒","1劑/1 mL/瓶 × 100瓶/盒 × 1,990盒; 58瓶/盒 × 1盒","199058","01 6 2009 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26NC4R2","03 28 2011 12:00AM","0.5 mL/支/盒","0.5 mL/支/盒 × 7,923盒","7923","12 25 2008 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26N9R01","12 11 2010 12:00AM","1 mL/支/盒","1 mL/支/盒 × 1,890盒","1890","12 25 2008 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂三合一補追疫苗","C2773AA, C2773A","11 22 2009 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 19,968盒","199680","03 4 2009 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂三合一補追疫苗","C3016AC, C3016A","03 31 2011 12:00AM","1劑/0.5 mL/瓶/盒 × 5瓶/盒","1劑/0.5 mL/瓶/盒 × 5瓶/盒 × 15,112盒","75560","01 14 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","新赫寶克","AHAVB310BB, AHAVB310B","06 30 2011 12:00AM","1劑/0.5 mL/瓶/盒","1劑/0.5 mL/瓶/盒 × 16,900 盒","16900","01 14 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","新赫寶克","AHAVB293AB, AHAVB293A","04 30 2011 12:00AM","1劑/1 mL/瓶/盒","1劑/1 mL/瓶/盒 × 12,306盒","12306","01 14 2009 12:00AM",""
"血液製劑類","吉帝藥品股份有限公司","兔抗胸腺細胞免疫球蛋白","C8036H04, C8036","03 31 2010 12:00AM","5mL/瓶/盒","5mL/瓶/盒 × 995盒","995","01 9 2009 12:00AM",""
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑20%","26NCGN1","09 23 2011 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 20,806盒","20806","01 12 2009 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","紐蒙肺多價性肺炎鏈球菌疫苗","K6241, 0647X/0662271","04 18 2010 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 1,344盒","13440","01 20 2009 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂貝靈＂血清蛋白注射液20%","68344411B","09 30 2013 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 24,994盒","24994","01 13 2009 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","黃熱病疫苗","B6263-1, B6263","11 30 2010 12:00AM","1 劑/支/盒","1 劑/支/盒 × 2,500盒","2500","01 10 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗","A41CA794A, A41FA794A/AROTA155A","10 31 2010 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 56,310盒","56310","02 16 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗","A41CA795A, A41FA795A/AROTA155A","10 31 2010 12:00AM","1 劑/瓶/盒","1 劑/瓶/盒 × 13,590 盒","13590","02 16 2009 12:00AM",""
"其他生物藥品類","香港商愛力根有限公司台灣分公司","＂愛力根＂保妥適乾粉注射劑","C2384 C3","08 31 2011 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 5,415盒","5415","01 12 2009 12:00AM",""
"血液製劑類","台灣綠十字股份有限公司","艾爾補定注射液25%","D1NE8AR001","09 11 2011 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 9,010盒","9010","02 3 2009 12:00AM",""
"血液製劑類","台灣綠十字股份有限公司","艾爾補定注射液25%","B1NE8C6001","09 30 2011 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 9,112盒","9112","02 3 2009 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）","C2946AA, C2946A","07 31 2010 12:00AM","1劑/0.5 mL/瓶 × 5瓶/盒","1 劑/0.5 mL/瓶 × 5 瓶/盒 × 19,811 盒","99055","02 11 2009 12:00AM",""
"疫苗及類毒素類","行政院衛生署疾病管制局","凍結乾燥卡介苗","BG039801","03 15 2011 12:00AM","30劑/1.5mg/瓶 × 10瓶/盒","30劑/1.5mg/瓶 × 10瓶/盒 × 583盒; 3 瓶/盒 × 1 盒","174990","04 8 2009 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26N9R01","12 11 2010 12:00AM","1 mL/支/盒","1 mL/支/盒 × 2,965盒","2965","02 3 2009 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂威保500U抗抑制子凝血複合物","VNF2H021B","06 30 2010 12:00AM","500 U/瓶/盒","500 U/瓶/盒 × 2,120盒","2120","03 12 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVB673AG, AHBVB673A","03 31 2011 12:00AM","1劑/1 mL/瓶 × 100瓶/盒","1劑/1 mL/瓶 × 100瓶/盒 × 500盒；58瓶/盒 × 1盒","50058","02 25 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVB673AH, AHBVB673A","03 31 2011 12:00AM","1劑/1 mL/瓶 × 100瓶/盒","1劑/1 mL/瓶 × 100瓶/盒 × 143盒；29瓶/盒 × 1盒","14329","03 18 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA509A, A20LA509A/A20FA509A","05 31 2010 12:00AM","1劑/盒","1劑/盒 × 29,820盒","29820","03 30 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA509A, A20LA509A/A20FA509A","05 31 2010 12:00AM","1 劑/盒","1 劑/盒 × 20,520盒","20520","04 3 2009 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA506B, A20LA506B/A20FA506B","10 31 2010 12:00AM","1劑/盒","1劑/盒 × 21,320盒","21320","03 5 2009 12:00AM",""
"血液製劑類","海喬國際股份有限公司","愛替治注射劑","W14L-2","10 31 2010 12:00AM","5 mL/瓶","5 mL/瓶 × 400瓶","400","02 17 2009 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂第八凝血因子注射劑","40566911E","07 31 2011 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 1,486盒","1486","02 20 2009 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JN0812","05 8 2010 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 2,711盒；9瓶/盒 × 1盒","27119","05 13 2009 12:00AM",""
