主類別,次類別,名稱,附檔說明
"農藥","殺菌劑","三得芬(Tridemorph)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136994-25.三得芬(Tridemorph)專業版.doc"
"農藥","殺菌劑","賽福寧 (Triforine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136995-26.Triforine_賽福寧專業版.doc"
"農藥","殺蟲劑","賜諾特 (Spinetoram)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135877-更新99.賜諾特 ( Spinetoram )專業版.doc"
"農藥","殺蟲劑","賜諾殺 (Spinosad)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135878-更新100.賜諾殺 (Spinosad)專業版3.doc"
"農藥","殺蟲劑","阿巴汀（Abamectin）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135879-更新56.阿巴汀（Abamectin）民眾版.doc"
"農藥","殺蟲劑","亞滅培(Acetamiprid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135880-更新57.亞滅培(Acetamiprid)民眾版.doc"
"農藥","殺菌劑","亞托敏(Azoxystrobin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135881-更新58.亞托敏(Azoxystrobin)民眾版.doc"
"農藥","殺蟲劑","畢芬寧(Bifenthrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135882-更新59.畢芬寧(Bifenthrin)民眾版.doc"
"農藥","殺蟎劑","毆蟎多(Propargite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135870-更新93.毆蟎多(Propargite)專業版.doc"
"農藥","殺菌劑","普克利(Propiconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135871-更新94.普克利(Propiconazole)專業版.doc"
"農藥","殺菌劑","百克敏 (pyraclostrobin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135872-更新95.百克敏 ( Pyraclostrobin )專業版.doc"
"農藥","殺蟎劑","畢達本 (Pyridaben)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135873-更新96.畢達本 (Pyridaben)專業版.doc"
"農藥","殺菌劑","派美尼（Pyrimethanil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135875-更新97.派美尼（Pyrimethanil）專業版.doc"
"農藥","殺草劑","快克草(Quinclorac)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135876-更新98.快克草(Quinclorac)專業版.doc"
"農藥","殺蟲劑","滅芬諾 (Methoxyfenozide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135863-更新87.滅芬諾 (Methoxyfenozide)專業版.doc"
"農藥","殺草劑","復祿芬（Oxyfluorfen）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135865-更新88.復祿芬（Oxyfluorfen）專業版.doc"
"農藥","殺蟲劑","百滅寧(Permethrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135866-更新89.百滅寧 (Permethrin)專業版.doc"
"農藥","殺菌劑","撲滅寧（Procymidone）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135867-更新90.撲滅寧（Procymidone）專業版.doc"
"農藥","殺蟲劑","佈飛松（Profenophos）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135868-更新91.佈飛松（Profenophos）專業版.doc"
"農藥","生長調節劑","Prohexadione calcium","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135869-更新92.Prohexadione calcium專業版.doc"
"農藥","殺菌劑","護汰芬(Flutriafol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135857-更新81.護汰芬(Flutriafol)專業版.doc"
"農藥","殺蟲劑","益達胺 ( Imidacloprid )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135858-更新82.益達胺 ( Imidacloprid )專業版.doc"
"農藥","殺菌劑","克熱淨（Guazatine）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135859-更新83.克熱淨(Iminoctadine)專業版.doc"
"農藥","殺菌劑","克收欣（Kresoxim-methyl）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135860-更新84.克收欣（Kresoxim-methyl）專業版.doc"
"農藥","殺草劑","理有龍（Linuron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135861-更新85.理有龍（Linuron）專業版.doc"
"農藥","殺蟲劑","馬拉松（Malathion）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135862-更新86.馬拉松（Malathion）專業版.doc"
"農藥","殺草劑","達有龍(Diuron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135851-更新74.達有龍(Diuron)專業版.doc"
"農藥","殺蟲劑","芬普寧(Fenpropathrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135852-更新76.芬普寧（Fenpropathrin）專業版.doc"
"農藥","殺蟎劑","芬普蟎(fenpyroximate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135853-更新77.芬普蟎(fenpyroximate)專業版.doc"
"農藥","殺蟲劑","芬化利(Fenvalerate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135854-更新78.芬化利(Fenvalerate)專業版.doc"
"農藥","殺蟲劑","氟尼胺 (Flonicamid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135855-更新79.氟尼胺 (Flonicamid)專業版.doc"
"農藥","殺菌劑","護矽得(flusilazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135856-更新80.護矽得(flusilazole)專業版.doc"
"農藥","殺蟲劑","賽扶寧(Cyfluthrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135845-更新67賽扶寧(Cyfluthrin)專業版.doc"
"農藥","殺蟲劑","賽滅寧(Cypermethrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135846-更新69.賽滅寧(Cypermethrin)專業版.doc"
"農藥","殺菌劑","環克座 (Cyproconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135847-更新70.環克座 (Cyproconazole)專業版.doc"
"農藥","殺菌劑","待克利(Difenoconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135848-更新71.待克利(Difenoconazole)專業版.doc"
"農藥","殺菌劑","達滅芬（Dimethomorph）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135849-更新72.達滅芬（Dimethomorph）專業版.doc"
"農藥","殺蟲劑","達特南(Dinotefuran)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135850-更新73達特南(Dinotefuran)專業版.doc"
"農藥","殺蟲劑","協力精(Piperonyl butoxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135817-新增50.協力精（Piperonyl butoxide）-民眾版.doc"
"農藥","殺草劑","克普芬 ( Chlorpropham )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135819-新增45.克普芬 ( Chlorpropham )- 專業版 .doc"
"農藥","殺菌劑","克枯爛 ( Tecloftalam )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135820-Tecloftalam 克枯爛 專業版.doc"
"農藥","殺蟲劑","諾伐隆(Novaluron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135828-新增49.諾伐隆 (Novaluron)專業版.doc"
"農藥","殺蟲劑","諾伐隆(Novaluron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135829-新增49.諾伐隆 (Novaluron)民眾版.doc"
"農藥","殺蟲劑","布芬淨(Buprofezin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135844-更新62.布芬淨（Buprofezin）專業版.doc"
"農藥","殺草劑","脫禾草(Phenothiol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135781-新增47.脫禾草(Phenothiol)-專業版.doc"
"農藥","生長調節劑","二苯胺 ( Diphenylamine )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135782-新增48.二苯胺 ( Diphenylamine )-專業版.doc"
"農藥","殺蟲劑","協力精(Piperonyl butoxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135783-新增50.協力精（Piperonyl butoxide）-專業版.doc"
"農藥","殺菌劑","二硫代胺基甲酸鹽(Dithiocarbamates)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135813-新增43二硫代氨基甲酸鹽類 (Dithiocarbamates)民眾版.doc"
"農藥","殺菌劑","亞汰尼(Isotianil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135814-新增44.亞汰尼(Isotianil)民眾版.doc"
"農藥","殺草劑","脫禾草(Phenothiol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135815-新增47.脫禾草(Phenothiol)-民眾版.doc"
"農藥","殺蟲劑","賽果培(Thiacloprid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135613-Thiacloprid 賽果培 民眾版.doc"
"農藥","殺蟎劑","賜派芬 ( Spirodiclofen )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135614-Spirodiclofen 賜派芬 民眾版.doc"
"農藥","殺菌劑","克枯爛 ( Tecloftalam )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135615-Tecloftalam 克枯爛 民眾版.doc"
"農藥","殺菌劑","二硫代胺基甲酸鹽(Dithiocarbamates)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135777-新增43.二硫代氨基甲酸鹽類 (Dithiocarbamates)-專家版.doc"
"農藥","殺菌劑","亞汰尼(Isotianil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135778-新增44.亞汰尼(isotianil)-專家版.doc"
"農藥","殺草劑","佈滅淨(Prometryn)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135780-新增46.佈滅淨（Prometryn）-專業版.doc"
"農藥","生長調節劑","二苯胺 ( Diphenylamine )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134574-新增48.二苯胺 ( Diphenylamine )-民眾版.doc"
"農藥","殺草劑","佈滅淨(Prometryn)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134575-新增46.佈滅淨（Prometryn）-民眾版.doc"
"農藥","殺蟲劑","螺甲蟎酯( Spiromesifen )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135608-Spiromesifen 螺甲蟎酯 專業版.doc"
"農藥","殺蟲劑","賽果培(Thiacloprid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135609-Thiacloprid 賽果培 專業版.doc"
"農藥","殺蟎劑","賜派芬 ( Spirodiclofen )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135610-Spirodiclofen 賜派芬 專業版.doc"
"農藥","殺蟲劑","螺甲蟎酯( Spiromesifen )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135612-Spiromesifen 螺甲蟎酯 民眾版.doc"
"農藥","殺蟲劑","畢汰芬 (Pyrimidifen )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132926-86. 畢汰芬 民眾版.doc"
"農藥","殺草劑","乙草胺 ( Acetochlor )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134545-新增41.乙草胺 ( Acetochlor )-專業版.doc"
"農藥","殺菌劑","阿拉酸式苯-S-甲基 ( Acibenzolar-S-Methyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134546-新增42.阿拉酸式苯-S-甲基 ( Acibenzolar-S-Methyl )- 專業版.doc"
"農藥","殺草劑","乙草胺 ( Acetochlor )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134571-新增41.乙草胺 ( Acetochlor )-民眾版 .doc"
"農藥","殺菌劑","阿拉酸式苯-S-甲基 ( Acibenzolar-S-Methyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134572-新增23.阿拉酸式苯-S-甲基 ( Acibenzolar-S-Methyl )- 民眾版.doc"
"農藥","殺草劑","克普芬 ( Chlorpropham )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134573-新增45.克普芬 ( Chlorpropham )- 民眾版.doc"
"農藥","殺蟎劑","毆蟎多(Propargite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132920-更新93.毆蟎多(Propargite)民眾版.doc"
"農藥","殺菌劑","賽芬胺（Cyflufenamid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132921-更新66.賽芬胺（Cyflufenamid）民眾版.doc"
"農藥","殺蟎劑","賽芬螨（Cyflumetofen）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132922-82.賽芬螨民眾版.doc"
"農藥","殺草劑","三氯比（Triclopyr）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132923-83.三氯比民眾版.doc"
"農藥","殺草劑","必汰草（Pyridate）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132924-84.必汰草民眾版.doc"
"農藥","殺蟲劑","魚藤精 (Rotenone)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132925-85.魚藤精 民眾版.doc"
"農藥","殺菌劑","氟大滅 (Flubendiamide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132914-74.氟大滅民眾版.doc"
"農藥","殺菌劑","氟比來(Fluopicolide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132915-75.氟比來民眾版.doc"
"農藥","殺蟲劑","氟尼胺 (Flonicamid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132916-更新79.氟尼胺 (Flonicamid)民眾版.doc"
"農藥","殺蟲劑","氟芬隆(Flufenoxuron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132917-77. 氟芬隆 民眾版.doc"
"農藥","殺菌劑","曼普胺（Mandipropamid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132918-78.曼普胺民眾版.doc"
"農藥","殺菌劑","普拔克 (Propamocarb Hydrochloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132919-79.普拔克民眾版.doc"
"農藥","殺蟲劑","賜諾殺 (Spinosad)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132908-更新100.賜諾殺 (Spinosad)民眾版.doc"
"農藥","殺蟲劑","賽速安（Thiamethoxam）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132909-69.賽速安民眾版.doc"
"農藥","殺菌劑","克熱淨（Guazatine）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132910-更新83.克熱淨(Iminoctadine)民眾版.doc"
"農藥","殺菌劑","扶吉胺 (Fluazinam)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132911-71.扶吉胺民眾版.doc"
"農藥","殺蟎劑","依殺螨（Etoxazole）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132912-72.依殺螨民眾版.doc"
"農藥","殺蟲劑","剋安勃 (Chlorantraniliprole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132913-73. 剋安勃 民眾版.doc"
"農藥","殺菌劑","賽座滅（cyazofamid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132902-62.賽座滅民眾版.doc"
"農藥","殺菌劑","賽普洛（Cyprodinil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132903-63.賽普洛民眾版.doc"
"農藥","殺蟲劑","賽滅淨(cyromazine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132904-64.賽滅淨民眾版.doc"
"農藥","殺菌劑","芬克座 ( Fenbuconazole )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132905-65.芬克座民眾版.doc"
"農藥","殺菌劑","滅派林（Mepanipyrim）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132906-66.滅派林 民眾版.doc"
"農藥","燻蒸劑","磷化鎂(Magnesium phosphide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132907-67.磷化鎂民眾版.doc"
"農藥","殺蟲劑","益達胺 ( Imidacloprid )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132896-更新82.益達胺 ( Imidacloprid )民眾版.doc"
"農藥","殺蟲劑","馬拉松（Malathion）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132897-更新86.馬拉松（Malathion）民眾版.doc"
"農藥","殺蟲劑","達特南(Dinotefuran)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132898-更新73.達特南(Dinotefuran)民眾版.doc"
"農藥","殺菌劑","達滅芬（Dimethomorph）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132899-更新72.達滅芬（Dimethomorph）民眾版.doc"
"農藥","殺蟲劑","撲滅松(Fenitrothion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132900-60.撲滅松民眾.doc"
"農藥","殺菌劑","環克座 (Cyproconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132901-更新70.環克座 (Cyproconazole)民眾版.doc"
"農藥","殺蟲劑","魚藤精 (Rotenone)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132875-85.魚藤精專業版.doc"
"農藥","殺蟲劑","畢汰芬 (Pyrimidifen )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132876-86.畢汰芬專業版.doc"
"農藥","殺草劑","2,4-地(2,4-D)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132891-51.2,4-D民眾版.doc"
"農藥","殺蟎劑","芬殺蟎 (fenazaquin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132892-52.芬殺蟎民眾版.doc"
"農藥","殺蟲劑","芬普寧(Fenpropathrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132893-更新76.芬普寧（Fenpropathrin）民眾版.doc"
"農藥","殺蟎劑","阿納寧(Acrinathrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132895-55.阿納寧民眾版.doc"
"農藥","殺菌劑","曼普胺（Mandipropamid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132868-78.曼普胺專業版.doc"
"農藥","殺菌劑","普拔克 (Propamocarb Hydrochloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132869-79.普拔克專業版.doc"
"農藥","殺菌劑","賽芬胺（Cyflufenamid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132871-更新66.賽芬胺（Cyflufenamid）專業版.doc"
"農藥","殺蟎劑","賽芬螨（Cyflumetofen）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132872-82.賽芬螨專業版.doc"
"農藥","殺草劑","三氯比（Triclopyr）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132873-83.三氯比專業版.doc"
"農藥","殺草劑","必汰草（Pyridate）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132874-84.必汰草專業版.doc"
"農藥","殺菌劑","扶吉胺 (Fluazinam)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132861-71.扶吉胺專業版.doc"
"農藥","殺蟎劑","依殺螨（Etoxazole）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132862-72.依殺螨專業版.doc"
"農藥","殺蟲劑","剋安勃 (Chlorantraniliprole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132863-73. 剋安勃專業版 .doc"
"農藥","殺菌劑","氟大滅 (Flubendiamide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132864-74. 氟大滅專業版.doc"
"農藥","殺菌劑","氟比來(Fluopicolide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132865-75.氟比來專業版.doc"
"農藥","殺蟲劑","氟芬隆(Flufenoxuron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132867-77. 氟芬隆 專業版.doc"
"農藥","燻蒸劑","磷化氫( Phosphine )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132830-50.磷化氫專業版.doc"
"農藥","殺菌劑","Fenhexamid","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132853-43.Fenhexamid民眾版.doc"
"農藥","生長調節劑","2,6-DINP","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132854-48.2,6-DINP 民眾版.doc"
"農藥","殺蟎劑","必芬蟎（Bifenazate）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132855-49.必芬蟎民眾版.doc"
"農藥","燻蒸劑","磷化氫( Phosphine )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132856-50.磷化氫民眾版.doc"
"農藥","殺蟲劑","賽速安（Thiamethoxam）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132859-69.賽速安專業版.doc"
"農藥","殺菌劑","芬克座 ( Fenbuconazole )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132796-65. 芬克座專業版.doc"
"農藥","殺菌劑","滅派林（Mepanipyrim）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132797-66.滅派林專業版.doc"
"農藥","燻蒸劑","磷化鎂(Magnesium phosphide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132798-67.磷化鎂專業版.doc"
"農藥","殺菌劑","Fenhexamid","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132827-43.Fenhexamid專業版.doc"
"農藥","生長調節劑","2,6-DINP","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132828-48.2,6-DINP專業版.doc"
"農藥","殺蟎劑","必芬蟎（Bifenazate）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132829-49.必芬蟎專業版.doc"
"農藥","殺蟲劑","益斯普(Ethiprole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132783-45.益斯普(Ethiprole)民眾版.doc"
"農藥","殺蟎劑","阿納寧(Acrinathrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132786-55.阿納寧專業版.doc"
"農藥","殺蟲劑","撲滅松(Fenitrothion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132791-60.撲滅松專業版.doc"
"農藥","殺菌劑","賽座滅（cyazofamid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132793-62.賽座滅專業版.doc"
"農藥","殺菌劑","賽普洛（Cyprodinil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132794-63.賽普洛專業版.doc"
"農藥","殺蟲劑","賽滅淨(cyromazine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132795-64.賽滅淨專業版.doc"
"農藥","生長調節劑","克美素(Chlormequat)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131342-46.克美素民眾版.doc"
"農藥","殺蟲劑","冰晶石 ( Cryolite )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131343-44.冰晶石民眾版.doc"
"農藥","生長調節劑","益收生長素（Ethephon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131344-47.益收生長素民眾版.doc"
"農藥","殺蟎劑","芬殺蟎 (fenazaquin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132685-52.芬殺蟎專業版.doc"
"農藥","殺蟲劑","阿巴汀（Abamectin）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132698-更新56.阿巴汀（Abamectin）專業版.doc"
"農藥","殺草劑","2,4-地(2,4-D)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132766-51.2,4-D專業版.doc"
"農藥","燻蒸劑","好達勝(Aluminium phosphide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131284-48.好達勝民眾版.doc"
"農藥","殺蟲劑","布芬淨(Buprofezin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131286-更新62.布芬淨（Buprofezin）民眾版.doc"
"農藥","殺蟲劑","益斯普(Ethiprole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131316-22.益斯普(Ethiprole)101.doc"
"農藥","生長調節劑","克美素(Chlormequat)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131317-23.Chlormequat (克美素)-專業版101.doc"
"農藥","殺蟲劑","冰晶石 ( Cryolite )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131318-24.Cryolite 冰晶石 氟鋁酸鈉專業版.doc"
"農藥","生長調節劑","益收生長素（Ethephon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131319-25.益收生長素專業.doc"
"農藥","殺蟲劑","佈飛松（Profenophos）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131277-更新91.佈飛松（Profenophos）民眾版.doc"
"農藥","生長調節劑","艾維激素（Aminoethoxyvinylglycine）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131278-42.艾維激素民眾版.doc"
"農藥","殺蟲劑","安殺番(Endosulfan)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131279-43.安殺番民眾版101.doc"
"農藥","殺蟲劑","克凡派(Chlorfenapyr)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131280-44.克凡派民眾版.doc"
