機構名稱,保存庫類別,保存庫設置地點
"長庚醫療財團法人高雄長庚紀念醫院","硬骨;;韌帶","高雄市鳥松區大埤路123號兒童大樓5樓開刀房骨骼保存庫"
"長庚醫療財團法人高雄長庚紀念醫院","血管","高雄市鳥松區大埤路123號高雄長庚紀念醫院兒童醫院5樓肝臟移植手術室血管冷凍保存庫"
"長庚醫療財團法人高雄長庚紀念醫院","眼角膜;;鞏膜;;羊膜","高雄市鳥松區大埤路123號兒童大樓5樓開刀房眼角膜保存庫"
"阮綜合醫療社團法人阮綜合醫院","硬骨","高雄市前金區市中一路225號2樓細胞培養中心保存庫"
"國立成功大學醫學院附設醫院","皮膚","臺南市勝利路138號住院大樓3樓手術室器官組織庫房"
"衛生福利部臺南醫院","硬骨","臺南市中西區廣慈里中山路125號急診大樓二樓開刀房骨銀行"
"童綜合醫療社團法人童綜合醫院","硬骨;;韌帶;;肌腱","臺中市梧棲區中棲路一段699號6樓手術室Bone Bank保存室"
"光田醫療社團法人光田綜合醫院","硬骨","臺中市沙鹿區沙田路117號3樓手術室骨骼銀行"
"光田醫療社團法人光田綜合醫院","硬骨","臺中市大甲區經國路321號3樓手術室骨骼銀行"
"財團法人馬偕紀念醫院新竹分院","硬骨","新竹市光復路二段690號福音樓三樓手術室骨庫"
"長庚醫療財團法人桃園長庚紀念醫院","硬骨;;軟骨","桃園縣龜山鄉舊路村頂湖路123號北棟地下1樓手術室骨科區骨骼銀行"
"醫療財團法人徐元智先生醫藥基金會亞東紀念醫院","硬骨;;軟骨;;眼角膜;;心瓣膜;;周邊血液幹細胞;;鞏膜;;皮膚;;肌腱;;血管;;羊膜","新北市板橋區南雅南路二段21號F棟3樓移植用人體組織保存庫"
"麗寶生醫股份有限公司","周邊血液幹細胞;;臍帶血","新北市淡水區中正東路二段27-7號11樓細胞貯存室"
"台北市立萬芳醫院-委託財團法人私立臺北醫學大學辦理","硬骨;;眼角膜;;皮膚","臺北市文山區興隆路三段111號3樓開刀房人體器官保存庫"
"郵政總局郵政醫院","硬骨","臺北市中正區福州街14號2F骨骼保存庫"
"奧生有限公司","硬骨;;骨粉","臺北市中山區民權西路11號11樓之2庫房"
"臺中榮民總醫院","硬骨;;眼角膜;;韌帶;;周邊血液幹細胞;;皮膚;;肌腱;;羊膜","臺中市西屯區臺灣大道4段1650號門診大樓2樓人體器官保存庫"
"臺北榮民總醫院","心瓣膜;;血管","臺北市北投區石牌路二段201號科技大樓6樓儲存區"
"長庚醫療財團法人基隆長庚紀念醫院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","基隆市安樂區麥金路 222 號8樓手術室人體器官保存庫"
"光麗生醫股份有限公司","臍帶血","新北市汐止區康寧街169巷31號11樓之1細胞庫"
"財團法人天主教聖馬爾定醫院","硬骨;;韌帶;;肌腱","嘉義市大雅路二段565號醫療大樓2樓器官組織保存庫"
"國泰醫療財團法人國泰綜合醫院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","臺北市大安區仁愛路四段280號本館東側地下1樓人體器官保存庫"
"新光醫療財團法人新光吳火獅紀念醫院","硬骨;;肌腱","臺北市士林區文昌路95號新光醫院2樓手術室人體器官保存處"
"新光醫療財團法人新光吳火獅紀念醫院","皮膚","臺北市士林區文昌路95號新光醫院2樓手術室人體器官保存處"
"新光醫療財團法人新光吳火獅紀念醫院","眼角膜;;鞏膜;;羊膜","臺北市士林區文昌路95號新光醫院2樓手術室人體器官保存處"
"國軍桃園總醫院附設民眾診療服務處","硬骨;;肌腱","桃園縣龍潭鄉中興路168號國軍桃園總醫院醫療大樓2樓手術室骨材室"
"臺北市立聯合醫院-陽明院區","硬骨;;眼角膜;;鞏膜;;羊膜","臺北市士林區雨聲街105號醫療大樓3樓人體組織保存庫"
"國立臺灣大學醫學院附設醫院雲林分院","硬骨","雲林縣斗六市雲林路二段579號"
"長庚醫療財團法人林口長庚紀念醫院","眼角膜;;鞏膜;;羊膜","桃園縣龜山鄉復興街5號兒童大樓8K眼科組織保存庫"
"馬偕紀念醫院台東分院","硬骨","臺東縣台東市長沙街303巷1號4樓手術室骨庫"
"長庚醫療財團法人林口長庚紀念醫院","皮膚","桃園縣龜山鄉復興街5號醫學大樓2樓灼傷中心皮膚保存庫"
"長庚醫療財團法人林口長庚紀念醫院","硬骨;;軟骨;;韌帶;;肌腱","桃園縣龜山鄉復興街5號醫學大樓2樓手術室骨科區骨科銀行"
"中國醫藥大學北港附設醫院","硬骨;;軟骨;;韌帶;;肌腱","雲林縣北港鎮新德路123號醫療大樓2樓手術室人體器官保存庫"
"振興醫療財團法人振興醫院","硬骨;;軟骨;;韌帶;;肌腱","臺北市北投區振興街45號第一醫療大樓2樓手術室骨骼組織庫暨軟骨韌帶組織庫"
"長庚醫療財團法人嘉義長庚紀念醫院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","嘉義縣朴子市嘉朴路西段6號綜合大樓3樓手術室人體器官保存庫"
"高雄榮民總醫院","眼角膜;;周邊血液幹細胞;;鞏膜;;皮膚;;羊膜","高雄市左營區大中一路386號醫療大樓地下1樓幹細胞組織庫"
"財團法人天主教靈醫會羅東聖母醫院","硬骨","宜蘭縣羅東鎮中正南路160號外科大樓十樓手術室人體器官保存庫"
"秀傳醫療社團法人秀傳紀念醫院","硬骨;;肌腱","彰化縣彰化市中山路一段542號醫療大樓3樓人體器官保存庫"
"義大醫療財團法人義大醫院","硬骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","高雄市燕巢區角宿里義大路1號A棟3樓手術室人體器官保存庫"
"台灣美強股份有限公司","硬骨;;骨粉","新北市深坑區北深路三段155巷5號1樓"
"臺灣基督教門諾會醫療財團法人門諾醫院","硬骨;;韌帶;;肌腱","花蓮縣花蓮市民權路44號平安樓2樓手術室骨骼肌腱韌帶保存庫"
"國立成功大學醫學院附設醫院","周邊血液幹細胞;;骨髓","臺南市北區勝利路138號成大醫院門診大樓5樓幹細胞處理室"
"臺北市立聯合醫院-仁愛院區","硬骨;;眼角膜;;鞏膜;;羊膜","臺北市大安區仁愛路四段10號3樓手術室人體器官保存庫"
"臺北市立聯合醫院-中興院區","硬骨;;眼角膜;;鞏膜;;羊膜","臺北市大同區鄭州路145號5樓手術室人體器官保存庫"
"屏基醫療財團法人屏東基督教醫院","硬骨","屏東縣屏東市大連路60號韓偉大樓3樓開刀房骨骼庫"
"國泰醫療財團法人新竹國泰綜合醫院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","新竹市中華路二段678號7樓開刀房"
"訊聯生物科技股份有限公司","周邊血液幹細胞;;臍帶血","臺南市新市區南科二路5號1樓細胞儲存室"
"財團法人基督長老教會馬偕紀念醫院淡水分院","硬骨;;軟骨;;眼角膜;;韌帶;;周邊血液幹細胞;;鞏膜;;皮膚;;肌腱;;血管;;羊膜","新北市淡水區民生路45號1樓人體器官保存庫"
"基德醫療儀器有限公司","硬骨;;軟骨;;筋膜;;韌帶;;心包膜;;皮膚;;肌腱;;骨粉","臺中市西區三民路一段149號5樓之2保存庫"
"生寶生物科技股份有限公司","臍帶血","桃園市觀音區大同一路26-1號120區"
"衛生福利部雙和醫院（委託台北醫學大學興建經營）","眼角膜","新北市中和區中正路291號醫療大樓3樓手術室器官庫"
"臺北榮民總醫院","周邊血液幹細胞;;臍帶血","臺北市北投區石牌路二段201號科技大樓8樓血液暨腫瘤研究治療中心貯存室"
"翔宇生醫科技股份有限公司","臍帶血","臺北市內湖區行愛路77巷65號6樓生物資源庫"
"奇美醫療財團法人奇美醫院","周邊血液幹細胞","臺南市永康區中華路901號第一醫療大樓地下1樓血液幹細胞處理室"
"台灣柏懷德有限公司","神經","臺北市松山區復興北路15號13樓之1（1314室）人體器官保存庫"
"瑪旺幹細胞醫學生物科技股份有限公司","羊膜","新北市汐止區康寧街169巷29-1號7樓品管室"
"國立臺灣大學醫學院附設醫院新竹分院","硬骨;;軟骨;;眼角膜;;韌帶;;鞏膜;;肌腱;;羊膜","新竹市北區經國路一段442巷25號新樓2樓人體器官保存庫"
"台灣尖端先進生技醫藥股份有限公司","周邊血液幹細胞;;臍帶血","新北市汐止區康寧街169巷25號4樓-2儲存室"
"登特司生化科技有限公司","皮膚;;骨粉","新北市淡水區紅樹林路21號2樓"
"利民生技有限公司","硬骨;;軟骨;;筋膜;;韌帶;;心包膜;;皮膚;;肌腱;;骨粉","臺中市北屯區文心路四段696號8樓之2低溫保存庫"
"中山醫學大學附設醫院","硬骨;;軟骨;;眼角膜;;韌帶;;肌腱;;羊膜","臺中市南區建國北路1段110號核醫醫療大樓5樓手術室人體器官保存庫"
"長春藤生物科技股份有限公司","周邊血液幹細胞","新竹市食品路331號6B102室"
"佛教慈濟醫療財團法人台北慈濟醫院","周邊血液幹細胞","新北市新店區建國路289號11A病房幹細胞儲存室"
"友華生技醫藥股份有限公司","羊膜","桃園市桃園區大誠路11號西藥倉庫人體組織儲存區"
"醫晟生醫股份有限公司","羊膜","新北市淡水區民權路38號5樓之1"
"臺南市立安南醫院-委託中國醫藥大學興建經營","硬骨;;軟骨;;韌帶;;肌腱","臺南市安南區長和路二段66號第一醫療大樓5樓開刀房骨骼銀行"
