類別,中文品名,英文品名,使用食品範圍及限量,使用限制,規格,類別說明
"(三) 抗氧化劑","亞硫酸鈉","Sodium Sulfite","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","亞硫酸鈉（無水）","Sodium Sulfite（Anhydrous）","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","亞硫酸氫鈉","Sodium Bisulfite","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","低亞硫酸鈉","Sodium Hydrosulfite","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","偏亞硫酸氫鉀","PotassiumMetabisulfite","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","亞硫酸氫鉀","Potassium Bisulfite","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","偏亞硫酸氫鈉","Sodium","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","α– 醣基異槲皮苷","α– Glycosyl–isoquercitrin","1. 本品可用於飲料、蔬果汁、冷凍乳製品、動物膠、布丁、果醬、果凍、糖果、糕餅、湯粉及罐裝湯品，用量為150 mg/kg以下。2. 本品可用於口香糖，用量為1500 mg/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/53\03026α-醣基異槲皮苷α-Glycosyl-isoquercitrin.doc","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","亞硫酸鉀","Potassium Sulfite","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","https://consumer.fda.gov.tw/Files/FoodAdditives/54\04001亞硫酸鉀potassium sulfite.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","亞硫酸鈉","Sodium Sulfite","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","https://consumer.fda.gov.tw/Files/FoodAdditives/55\04002亞硫酸鈉Sodium Sulfite.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","鈉明礬","Sodium Alum","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/68\06002鈉明礬Sodium Alum.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","亞硫酸鈉（無水）","Sodium Sulfite（Anhydrous）","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","https://consumer.fda.gov.tw/Files/FoodAdditives/56\04003亞硫酸鈉（無水）Sodium Sulfite Anhydrous.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","亞硫酸氫鈉","Sodium Bisulfite","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","https://consumer.fda.gov.tw/Files/FoodAdditives/57\04004亞硫酸氫鈉Sodium Bisulfite.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","低亞硫酸鈉","Sodium Hydrosulfite","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","https://consumer.fda.gov.tw/Files/FoodAdditives/58\04005低亞硫酸鈉Sodium Hydrosulfite.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","偏亞硫酸氫鉀","PotassiumMetabisulfite","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","https://consumer.fda.gov.tw/Files/FoodAdditives/59\04006偏亞硫酸氫鉀Potassium Netabisulfite.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","亞硫酸氫鉀","Potassium Bisulfite","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","偏亞硫酸氫鈉","Sodium Metabisulfite","1.本品可使用於金針乾製品；用量以SO2殘留量計為4.0g/kg以下。 2.本品可用於杏乾；用量以SO2殘留量計為2.0 g/kg以下。 3.本品可使用於白葡萄乾；用量以SO2殘留量計為1.5 g/kg以下。 4.本品可使用於動物膠、脫水蔬菜及其他脫水水果；用量以SO2殘留量計為0.50 g/kg以下。 5.本品可使用於糖蜜及糖飴；用量以SO2殘留量計為0.30 g/kg以下。6.本品可使用於食用樹薯澱粉；用量以SO2殘留量計為0.15 g/kg以下。7.本品可使用於糖漬果實類、蝦類及貝類；用量以SO2殘留量計為0.10 g/kg以下。 8.本品可使用於蒟蒻：非直接供食用之蒟蒻原料，用量以SO2殘留量計為0.90 g/kg以下；直接供食用之蒟蒻製品，用量以SO2殘留量計為0.030 g/kg以下。9.本品可使用於上述食品以外之其他加工食品；用量以SO2殘留量計為0.030 g/kg以下。但飲料（不包括果汁）、麵粉及其製品（不包括烘焙食品）不得使用。","","https://consumer.fda.gov.tw/Files/FoodAdditives/61\04008偏亞硫酸氫鈉Sodium Metabisulfite.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(四) 漂白劑","過氧化苯甲醯","Benzoyl Peroxide","1.本品可於乳清之加工過程中視實際需要適量使用。 2.本品可使用於乾酪之加工；用量為20mg/kg以下（以牛奶重計）。","","https://consumer.fda.gov.tw/Files/FoodAdditives/62\04009過氧化苯甲醯Benzoyl Peroxide.doc","1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(五) 保色劑","亞硝酸鉀","Potassium Nitrite","1.本品可使用於肉製品及魚肉製品；用量以NO2殘留量計為0.07 g/kg以下。 2.本品可使用於鮭魚卵製品及鱈魚卵製品；用量以NO2殘留量計為0.0050 g/kg以下。","生鮮肉類、生鮮魚肉類及生鮮魚卵不得使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/63\05001亞硝酸鉀Potassium Nitrite.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(五) 保色劑","亞硝酸鈉","Sodium Nitrite","1.本品可使用於肉製品及魚肉製品；用量以NO2殘留量計為0.07 g/kg以下。 2.本品可使用於鮭魚卵製品及鱈魚卵製品；用量以NO2殘留量計為0.0050 g/kg以下。","生鮮肉類、生鮮魚肉類及生鮮魚卵不得使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/64\05002亞硝酸鈉Sodium Nitrite.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(五) 保色劑","硝酸鉀","Potassium Nitrate","1.本品可使用於肉製品及魚肉製品；用量以NO2殘留量計為0.07 g/kg以下。 2.本品可使用於鮭魚卵製品及鱈魚卵製品；用量以NO2殘留量計為0.0050 g/kg以下。","生鮮肉類、生鮮魚肉類及生鮮魚卵不得使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/65\05003硝酸鉀Potassium Nitrate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(五) 保色劑","硝酸鈉","Sodium Nitrate","1.本品可使用於肉製品及魚肉製品；用量以NO2殘留量計為0.07 g/kg以下。 2.本品可使用於鮭魚卵製品及鱈魚卵製品；用量以NO2殘留量計為0.0050 g/kg以下。","生鮮肉類、生鮮魚肉類及生鮮魚卵不得使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/66\05004硝酸鈉Sodium Nitrate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","鉀明礬","Potassium Alum","本品可於各類食品中視實際需要適量使用","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/67\06001鉀明礬Potassium Alum.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","燒鉀明礬","Burnt Potassium Alum","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/69\06003燒鉀明礬Burnt Potassium Alum.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","銨明礬","Ammonium Alum","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/70\06004銨明礬Ammonium Alum.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","燒銨明礬","Burnt Ammonium Alum","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/71\06005燒銨明礬Burnt Ammonium Alum.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","氯化銨","Ammonium Chloride","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/72\06006氯化銨Ammonium Chloride.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
