許可證字號,中文品名,英文品名,有效日期,申請商名稱,發證日期,申請商電話,劑型,用途,簽審文件,製造廠國別,成分,申請商地址,包裝量及單位
"衛部添輸字 011736","β 胡蘿蔔素 20% DC","BETA-CAROTENE 20% DC","2021-06-24","台灣巴斯夫股份有限公司","2016-06-24","02-25068131","粉劑","營養添加劑;;著色劑","DHB0M011736001","丹麥","PORCINE GELATIN;;CORN STARCH;;BETA-CAROTENE;;SUCROSE;;WATER;;SODIUM ASCORBATE;;CALCIUM PHOSPHATE, TRIBASIC;;TOCOPHEROLS CONCENTRATE, MIXED","","25.00000公斤"
"衛署添輸字 00838701","鹽酸L-二胺基己酸","L-LYSINE MONOHYDROCHLORIDE","2019-08-10","振源食品科技股份有限公司","2013-05-13","02-23690989","粉劑","營養添加劑","DHB0C008387012","中國大陸","L-LYSINE MONOHYDROCHLORIDE","","1.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添輸字 012190","硫酸鎂","MAGNESIUM SULFATE","2022-06-30","勤裕企業股份有限公司","2017-06-30","02-87918589","結晶","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M012190009","中國大陸","MAGNESIUM SULFATE","","25.00000公斤"
"衛部添輸字 012222","氯化鉀","POTASSIUM CHLORIDE","2022-07-25","勤裕企業股份有限公司","2017-07-25","02-87918589","結晶性粉末","營養添加劑;;調味劑","DHB0M012222005","中國大陸","POTASSIUM CHLORIDE","","25.00000公斤"
"衛署添輸字 006719","阿斯巴甜","ASPARTAME","2021-11-13","勤裕企業股份有限公司","2001-11-13","02-87918589","結晶性粉末","甜味劑","DHB0C006719000","中國大陸","ASPARTAME","","20.00000公斤;25.00000公斤;1.00000公斤"
"衛署添輸字 008763","牛磺酸","TAURINE","2020-09-20","勤裕企業股份有限公司","2010-09-20","02-87918589","結晶性粉末","營養添加劑","DHB0C008763001","中國大陸","TAURINE","","25.00000公斤"
"衛署添輸字 005944","磷酸氫二鉀　　　　　　　　　　　　　　　　　　　　　","POTASSIUM PHOSPHATE DIBASIC(DIPOTASSIUM PHOSPHATE)","2018-09-11","勤裕企業股份有限公司","1998-09-11","02-87918589","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0C005944001","德國","POTASSIUM PHOSPHATE, DIBASIC","",""
"衛署添輸字 005925","酸性焦磷酸鈉　　　　　　　　　　　　　　　　　　　　","DISODIUM DIHYDROGEN PYROPHOSPHATE(SODIUM ACID PYROPHOSPHATE)","2018-08-06","勤裕企業股份有限公司","1998-08-06","02-87918589","粉劑","品質改良用、釀造用及食品製造用劑","DHB0C005925009","德國","DISODIUM DIHYDROGEN PYROPHOSPHATE","",""
"衛部添製字 002328","食用黃色四號","TARTRAZINE (TARTRAZINE 24060)","2019-05-12","欣宏生化科技股份有限公司","2014-05-12","04-8365121","粉劑","著色劑","","","TARTRAZINE","","1.00000公斤"
"衛部添製字 002309","食用藍色一號","BRILLIANT BLUE FCF (BRILLIANT BLUE 24186)","2019-04-18","欣宏生化科技股份有限公司","2014-04-18","04-8365121","粉劑","著色劑","","","BRILLIANT BLUE FCF","","1.00000公斤"
"衛部添製字 002414","環己基(代)磺醯胺酸鈉","SODIUM CYCLAMATE","2019-07-17","欣宏生化科技股份有限公司","2014-07-17","04-8365121","結晶性粉末","甜味劑","","","SODIUM CYCLAMATE","","1.00000磅;55.00000磅;5.00000磅"
"衛部添製字 002311","食用紅色四十號","ALLURA RED AC (ALLURA RED AC 24808)","2019-04-18","欣宏生化科技股份有限公司","2014-04-18","04-8365121","粉劑","著色劑","","","ALLURA RED AC","","1.00000公斤"
"衛部添製字 002308","異抗壞血酸鈉","SODIUM ERYTHORBATE","2019-04-18","欣宏生化科技股份有限公司","2014-04-18","04-8365121","結晶性粉末","抗氧化劑","","","SODIUM ERYTHORBATE","","1.00000公斤;1.00000公斤"
"衛部添製字 002329","食用黃色五號","SUNSET YELLOW FCF (SUNSET YELLOW 24153)","2019-05-12","欣宏生化科技股份有限公司","2014-05-12","04-8365121","粉劑","著色劑","","","SUNSET YELLOW FCF","","1.00000公斤"
"衛部添製字 002307","己二烯酸鉀","POTASSIUM SORBATE","2019-04-18","欣宏生化科技股份有限公司","2014-04-18","04-8365121","粒狀","防腐劑","","","POTASSIUM SORBATE","","1.00000公斤;1.00000公斤"
"衛部添製字 002204","漂白澱粉","BLEACHED STARCH","2019-01-17","育志澱粉工廠","2014-01-17","06-5816767","粉劑","粘稠劑","","","BLEACHED STARCH","","20.00000公斤"
"衛署添輸字 009407","羥丙基甲基纖維素","HYDROXYPROPYL METHYLCELLULOSE(PHARMACOAT 645)","2022-02-14","惠民製藥股份有限公司","2012-02-14","02-25223104","粉劑","品質改良用、釀造用及食品製造用劑;;粘稠劑;;乳化劑","DHB0C009407006","日本","HYDROXYPROPYL METHYLCELLULOSE","","50.00000公斤"
"衛部添輸字 012315","綜合磷酸鹽 ABASTOL 780","ABASTOL 780","2022-10-19","勤裕企業股份有限公司","2017-10-19","02-87918589","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M012315002","德國","SODIUM POLYPHOSPHATE;;DISODIUM DIHYDROGEN PYROPHOSPHATE","","25.00000公斤"
"衛部添輸字 012314","綜合磷酸鹽 CARNAL 346","CARNAL 346","2022-10-19","勤裕企業股份有限公司","2017-10-19","02-87918589","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M012314002","德國","SODIUM POLYPHOSPHATE;;SODIUM PYROPHOSPHATE (ANHYDROUS);;POTASSIUM POLYPHOSPHATE;;DISODIUM DIHYDROGEN PYROPHOSPHATE","","25.00000公斤"
"衛部添輸字 010482","鹿角菜膠","CARRAGEENAN (CARRAGEENAN HGE)","2019-01-23","茂霖食品股份有限公司","2014-01-23","06-5100599","粉劑","粘稠劑","DHB0M010482001","韓國","CARRAGEENAN","","25.00000公斤"
"衛署添輸字 009773","多磷酸鈉","SODIUM POLYPHOSPHATE(SPORIX)","2022-10-26","瑞聯興業股份有限公司","2012-10-26","02-6981887","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0C009773001","韓國","SODIUM POLYPHOSPHATE","","20.00000公斤;2.00000公斤"
"衛署添製字 002037","桃紅美-ST","PINK-ST","2018-03-28","振源食品科技股份有限公司","2013-03-28","02-23690989","結晶性粉末","結著劑;;品質改良用、釀造用及食品製造用劑;;抗氧化劑;;保色劑","","","SODIUM POLYPHOSPHATE;;SODIUM ERYTHORBATE;;POTASSIUM METAPHOSPHATE;;SODIUM METAPHOSPHATE;;SODIUM NITRITE;;SODIUM PYROPHOSPHATE(ANHYDROUS);;CARMINE;;MONASCUS COLORS;;SODIUM CHLORIDE;;MALTODEXTRIN","","20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;2.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;1.00000公斤"
"衛署添製字 002045","調合胺基酸-B","AMINO ACID-B","2018-04-15","振源食品科技股份有限公司","2013-04-15","02-23690989","粉劑","調味劑;;甜味劑;;品質改良用、釀造用及食品製造用劑","","","MONOSODIUM L-GLUTAMATE;;AMINO ACID (HYDROLYZED VEGETABLE PROTEIN);;TRISODIUM GLYCYRRHIZINATE;;DISODIUM 5`-INOSINATE;;DISODIUM 5`-GUANYLATE;;DISODIUM SUCCINATE;;LACTOSE;;SUGAR;;SILICON DIOXIDE;;ETHYL MALTOL","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤"
"衛署添製字 002054","甘草靈","KANTSAOLING","2018-04-26","振源食品科技股份有限公司","2013-04-26","02-23690989","結晶性粉末","調味劑;;甜味劑","","","SUCROSE;;SODIUM CITRATE;;MONOAMMONIUM GLYCYRRHIZINATE","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤"
"衛署添製字 002058","可利淋C.M.S","KLILIN-CMS","2018-05-09","振源食品科技股份有限公司","2013-05-09","02-23690989","粉劑","乳化劑;;粘稠劑","","","SODIUM ALGINATE;;GLYCERIN FATTY ACID ESTER;;GUAR BEAN GUM;;SODIUM CARBOXYMETHYL CELLULOSE;;SUCROSE;;CARRAGEENAN;;POTASSIUM CHLORIDE;;DEXTRIN","","10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;6.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;5.00000公斤;2.00000公斤;10.00000公斤;5.00000公斤"
"衛部添製字 002137","保良久 T12粉","POLYGEN T12","2018-10-21","振源食品科技股份有限公司","2013-10-21","02-23690989","粉劑;結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑","","","SODIUM PYROPHOSPHATE(ANHYDROUS);;SODIUM POLYPHOSPHATE","","6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;50.00000公斤;50.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤"
"衛部添製字 002123","美力精粉","MEI LI CHUNG","2018-09-30","振源食品科技股份有限公司","2013-09-30","02-23690989","結晶性粉末","調味劑","","","MONOSODIUM L-GLUTAMATE;;DISODIUM SUCCINATE;;DL-ALANINE;;DISODIUM 5’-INOSINATE;;DISODIUM 5’-GUANYLATE","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字 002124","好利凍-P粉","HAOLITUNG-P","2018-09-30","振源食品科技股份有限公司","2013-09-30","02-23690989","粉劑","粘稠劑;;乳化劑;;營養添加劑;;調味劑","","","CORN OIL;;SUCROSE FATTY ACID ESTER;;XANTHAN GUM;;LOCUST BEAN GUM;;MALTO DEXTRIN;;CARRAGEENAN;;GLUCOSE;;POTASSIUM CHLORIDE;;DEXTRIN;;WATER;;SILICON RESIN;;SORBITAN FATTY ACID ESTER;;GLYCERIN FATTY ACID ESTER","","0.50000公斤;15.00000公斤;25.00000公斤;2.00000公斤;10.00000公斤;6.00000公斤;9.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;5.00000公斤;30.00000公斤;10.00000公斤;12.00000公斤;20.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;1.00000公斤;20.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;25.00000公斤"
"衛部添製字 002109","醋酸鈉(無水)","SODIUM ACETATE(ANHYDROUS)","2018-09-13","振誠貿易股份有限公司","2013-09-13","02-23690989","結晶性粉末","品質改良用、釀造用及食品製造用劑","","","SODIUM ACETATE(ANHYDROUS)","","25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;5.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤"
"衛部添製字 002142","保良久 T5粉","POLYGEN T5","2018-10-23","振誠貿易股份有限公司","2013-10-23","02-23690989","粉劑;結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑","","","SODIUM POLYPHOSPHATE;;DISODIUM DIHYDROGEN PYROPHOSPHATE;;POTASSIUM PYROPHOSPHATE;;POTASSIUM POLYPHOSPHATE","","6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;50.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤"
"衛部添製字 002110","二醋酸鈉","SODIUM DIACETATE(SODIUM HYDROGEN DIACETATE)","2018-09-13","振誠貿易股份有限公司","2013-09-13","02-23690989","結晶性粉末","防腐劑","","","SODIUM DIACETATE(SODIUM HYDROGEN DIACETATE)","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字 002174","DL-蘋果酸(羥基丁二酸)","DL-MALIC ACID(HYDROXYSUCCINIC ACID)","2018-12-10","振誠貿易股份有限公司","2013-12-10","02-23690989","結晶性粉末","調味劑","","","DL-MALIC ACID(HYDROXYSUCCINIC ACID)","","2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;9.00000公斤;10.00000公斤;1.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;6.00000公斤;0.50000公斤"
