查驗登記證號,中文品名,英文品名,有效日期,發證日期,申請商名稱,申請商電話,申請商地址,成分
"1025009949","高單位B群暨紅景天錠","","1070415","1020415","台灣商美股份有限公司","04-22964566","台中市北屯區水湳里文心路三段447號6樓之2","鹽酸口比哆辛（維生素B6）;;維生素B12;;菸鹼醯胺;;葉酸;;本多酸鈣;;牛磺酸;;紅景天萃取物（含紅景天?）;;乳糖;;微結晶狀ALPHA-纖維素;;硬脂酸鎂;;硬脂酸;;磷酸氫鈣;;蟲膠;;明膠;;食用黃色五號;;二氧化鈦;;蔗糖;;生物素;;鹽酸口夫喃硫胺;;核黃素"
"1046073404","Oriyen 碧容健® ACE硒膠囊","PYCNOGENOL® With ACE Selenium","1100108","1050108","良勵生物科技有限公司","04-22967157","台中市北區文心路4段200號8樓之3","松樹皮萃取物;;β-胡蘿蔔素 10%(β-胡蘿蔔素、葡萄糖漿、大豆蛋白、水、維生素E、L-抗壞血酸棕櫚酸酯、磷酸鈣);;醋酸DL-α-生育醇酯 50%（醋酸DL-α-生育醇酯、蔗糖、辛烯基丁二酸鈉澱粉、玉米澱粉、純水、矽酸鋁鈉）;;硒酵母;;玉米澱粉;;二氧化矽;;滑石粉;;羥丙基甲基纖維素;;純水;;二氧化鈦;;L-抗壞血酸（維生素C）;;微結晶狀α-纖維素;;鹿角菜膠（鹿角菜膠、蔗糖）;;氯化鉀"
"1046046017","維補鐵-微粒膠囊","VitaminB Complex+Iron","1090827","1040827","永捷藥品股份有限公司","04-22548855","台中市西屯區潮祥里黎明路二段860巷51號1樓","鹽酸呋喃硫胺;;核黃素;;菸鹼醯胺;;鹽酸吡哆辛;;氰鈷胺明;;葉酸;;焦磷酸鐵;;微晶纖維素;;羥丙基甲基纖維素;;明膠;;甘油;;純水;;硫酸月桂酯鈉;;食用藍色1號;;食用紅色6號"
"1046074551","VITALPLUS血紅素鐵+B12(軟膠囊)","","1100310","1050310","勝霖藥品股份有限公司","04-2358-2999","台中市西屯區福和里臺灣大道四段925號20樓之1","豬肝臟乾燥粉末;;硫酸銅;;葡萄糖酸錳;;氧化鎂;;葉酸;;維生素B12;;焦磷酸鐵(玉米澱粉、焦磷酸鐵、卵磷脂);;豬血紅素;;大豆油;;大豆卵磷脂;;脂肪酸甘油酯;;明膠;;甘油;;純水;;二氧化鈦;;食用紅色40號;;食用藍色1號"
"1046074563","渡辺檸檬酸鈣膜衣錠","Watanabe Calcitrate Caplets","1091227","1041227","人生製藥股份有限公司","04-23592345","台中巿工業區五路3號","檸檬酸鈣;;維生素D3 0.25% (辛烯基丁二酸鈉澱粉、蔗糖、維生素C、中鏈三酸甘油酯、二氧化矽、維生素E、維生素D3);;硬脂酸鎂;;微晶纖維素;;羥丙基甲基纖維素;;聚乙二醇（聚乙二醇、二丁基羥基甲苯）;;二氧化鈦"
"1005046273","赫而司瑞士多多B高單位B群維他命加強錠","","1101223","1001223","台灣赫而司有限公司","02-26333810","台北市內湖區成功路五段460號15樓","硝酸硫胺明（維生素B1）;;核黃素（維生素B2）;;鹽酸口比哆辛（維生素B6）;;維生素B12 0.1%;;葉酸;;肌醇;;生物素;;菸鹼醯胺;;泛酸鈣;;重酒石酸膽鹼;;乳糖;;羥丙基甲基纖維素;;微結晶纖維素;;硬脂酸;;藍色1號鋁麗基;;黃色4號鋁麗基;;紅色40號鋁麗基;;食用紅色6號;;食用藍色1號"
"1046076764","新銀之寶綜合維他命膜衣錠","","1091218","1041218","三友生技醫藥股份有限公司","066353338","台南市後壁區福安里下寮路207之3號","葡萄糖酸鋅;;檸檬酸鈣;;蘋果纖維;;靈芝菌絲體粉末;;二氧化矽;;聚乙烯吡咯烷酮;;硬脂酸鎂;;生物素;;葉酸;;硫酸錳;;碘化鉀;;葡萄糖酸銅;;維生素A醋酸鹽(明膠、玉米澱粉、維生素A醋酸鹽、蔗糖、二丁基羥基甲苯);;鉻酵母;;維生素B6;;維生素B12【麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12（氰鈷胺明）】;;維生素D3 0.25%(辛烯基丁二酸鈉澱粉、蔗糖、抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、生育醇、維生素D3);;維生素C;;維生素B1;;維生素E (乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;維生素K1(阿拉伯膠、蔗糖、維生素K1);;維生素B2;;羥丙基甲基纖維素(羥丙基甲基纖維素、水、氯化鈉);;二氧化鈦;;食用紅色六號;;食用黃色五號;;食用藍色一號;;肌醇;;金盞花萃取物;;紅麴粉;;氧化鎂;;菸鹼醯胺;;微結晶狀α-纖維素;;麥芽糊精;;焦磷酸鐵;;麩胺酸發酵物;;葡萄糖胺鹽酸鹽;;本多酸鈣"
"1046068997","酵硒C素膠囊","Selenium Yeast+Vitamin C","1091118","1041118","維醫生技股份有限公司","02-28359869","台北市士林區忠誠路一段115號2樓","抗壞血酸（維生素C）;;硒酵母;;玉米來源可溶性纖維;;羥丙基甲基纖維素;;純水;;鹿角菜膠;;氯化鉀;;二氧化鈦"
"1046069125","森川維生素C錠狀食品","","1091201","1041201","森川健康堂股份有限公司","0223775758","台北市信義區基隆路二段125號4樓","抗壞血酸（維生素C）;;乳糖;;西印度櫻桃粉末（西印度櫻桃、麥芽糊精）;;蔓越莓萃取粉末（蔓越莓萃取、麥芽糊精、二氧化矽、氫氧化鎂、磷酸鈣）;;乳酸鈣;;葡萄糖;;麥芽糊精;;鳳梨香料粉（香料、二氧化矽、乳糖）;;蔗糖素;;硬脂酸鎂;;薑黃粉末"
"1046075255","三多金盞花萃取物(含葉黃素)複方軟膠囊","","1100105","1050105","三多士股份有限公司","02-27080888","台北市大安區四維路208巷3之1號1樓","L-抗壞血酸（維生素C）;;硒酵母;;大豆卵磷脂;;魚油;;明膠;;金盞花萃取物（含葉黃素）（金盞花萃取物、中鏈三酸甘油酯）;;乾燥維生素A醋酸鹽 17.25%(明膠、玉米澱粉、維生素A醋酸鹽、蔗糖、二丁基羥基甲苯);;維生素E醋酸鹽;;硫酸鋅;;甘油;;純水;;二氧化鈦;;食用藍色一號;;食用黃色四號;;食用紅色六號"
"1046076766","新銀髮伴侶綜合維他命PLUS錠","","1091218","1041218","三友生技醫藥股份有限公司","066353338","台南市後壁區福安里下寮路207之3號","維生素B6;;維生素B12【麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12（氰鈷胺明）】;;聚乙烯吡咯烷酮;;微結晶狀α-纖維素;;麥芽糊精;;焦磷酸鐵;;麩胺酸發酵物;;葡萄糖胺鹽酸鹽;;本多酸鈣;;肌醇;;金盞花萃取物;;紅麴粉;;氧化鎂;;菸鹼醯胺;;葡萄糖酸鋅;;檸檬酸鈣;;蘋果纖維;;靈芝菌絲體粉末;;二氧化矽;;硬脂酸鎂;;生物素;;葉酸;;硫酸錳;;碘化鉀;;葡萄糖酸銅;;維生素A醋酸鹽(明膠、玉米澱粉、維生素A醋酸鹽、蔗糖、二丁基羥基甲苯);;鉻酵母;;維生素D3 0.25%(辛烯基丁二酸鈉澱粉、蔗糖、抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、生育醇、維生素D3);;維生素C;;維生素B1;;維生素E (乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;維生素K1(阿拉伯膠、蔗糖、維生素K1);;維生素B2;;羥丙基甲基纖維素(羥丙基甲基纖維素、水、氯化鈉);;二氧化鈦;;食用紅色六號;;食用黃色五號;;食用藍色一號"
"1005056450","丰維寧　錠","Pro-Biotin Tablets","1110309","1010309","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","二氧化矽;;硬脂酸鎂;;維生素B2;;維生素B6;;菸鹼醯胺;;本多酸鈣;;生物素;;馬鈴薯澱粉;;乳糖;;微結晶纖維素;;羧甲基澱粉鈉（甘醇酸澱粉鈉）;;羧甲基纖維素鈉;;糊化澱粉"
"1036028166","三多維他命C500緩釋型膜衣錠","","1080806","1030806","三多士股份有限公司","02-27080888","台北市大安區四維路208巷3之1號1樓","抗壞血酸 90%(維生素C、玉米澱粉、乳糖);;羥丙基甲基纖維素;;羧甲基纖維素鈉;;硬脂酸鎂;;二氧化矽;;二代歐巴代（聚乙烯醇、二氧化鈦、滑石粉、聚乙二醇、大豆卵磷脂）;;食用黃色四號鋁麗基"
"1036029326","伊美維達複方E軟膠囊","","1080726","1030729","盛悅貿易有限公司","07-3500122","高雄市三民區鼎泰里明賢街32號1樓","維生素E;;調合濃縮生育醇;;中鏈三酸甘油酯;;月見草油;;亞麻籽油;;琉璃苣油;;明膠;;甘油;;水"
"1036035849","金頂超能50++錠","","1080813","1030813","中生生技製藥股份有限公司","02-86310018","新北市淡水區行忠路120號","鹽酸硫胺明（維生素B1）;;核黃素;;菸鹼醯胺;;鹽酸吡哆辛;;氰鈷胺明;;抗壞血酸;;維生素E 50%(醋酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;本多酸鈣;;生物素;;葉酸;;維生素A醋酸鹽(明膠、玉米澱粉、維生素A醋酸鹽、蔗糖、二丁基羥基甲苯);;維生素D3 (糖、麥芽糊精、阿拉伯膠、葵花籽油、磷酸鈣、維生素D3、維生素E);;維生素K1 5%(阿拉伯膠、蔗糖、維生素K1);;大豆萃取物（含磷脂醯絲胺酸）;;磷酸氫鈣;;氯化鉀;;鉻酵母;;丁烯二酸亞鐵;;氧化鎂;;葡萄糖酸錳;;硒酵母;;氧化鋅;;葡萄糖酸銅;;羥丙基甲基纖維素;;聚乙烯吡咯烷酮;;D-甘露醇;;微結晶狀α-纖維素;;二氧化矽;;硬脂酸鎂;;乳糖;;食用紅色六號;;食用黃色五號;;防水膜衣（羥丙基甲基纖維素、微結晶纖維素、硬脂酸、二氧化鈦）;;二氧化鈦"
"1036039881","鋅喜C膠囊","Zinga-C Capsules","1080813","1030813","寶齡富錦生技股份有限公司","02-26558218","台北市南港區園區街3號16樓","維生素A醋酸鹽17.25%(明膠、玉米澱粉、維生素A、蔗糖、二丁基羥基甲苯);;維生素E醋酸鹽50% (維生素E、辛烯基丁二酸鈉澱粉、麥芽糊精、二氧化矽);;維生素C 97.5%(維生素C、乙基纖維素);;葡萄糖酸鋅;;硬脂酸鎂;;滑石粉;;乳糖;;明膠;;食用紅色六號;;食用藍色一號;;二氧化鈦;;硫酸月桂酯鈉"
"1036041921","活力勇加強膜衣錠","","1080819","1030819","成大生物科技股份有限公司","06-5721102","台南市麻豆區南勢里關帝廟16-1號","維生素B1;;維生素B2;;維生素B6;;維生素B12;;維生素E粉劑 51%(維生素E、滑石粉、二氧化矽);;菸鹼醯胺;;泛酸鈣;;γ-穀維素;;乳糖;;玉米澱粉;;聚乙烯吡咯烷酮;;羧甲基澱粉鈉;;硬脂酸鎂;;羥丙基甲基纖維素;;二氧化鈦;;二氧化矽;;食用黃色四號"
"1036043301","旺維他 錠狀食品","Multivitamin & Mineral Tablets","1080916","1030916","銀杏生物科技有限公司","02-32342211","新北市中和區建一路7號4樓","維生素B1;;維生素B2;;維生素 B6;;維生素B12;;維生素C;;乾燥維生素D3 0.25% (辛烯基丁二酸鈉澱粉、蔗糖、維生素C、中鏈三酸甘油酯、二氧化矽、維生素E、維生素D3);;維生素E 50%(維生素E、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;菸鹼醯胺;;葉酸;;本多酸鈣;;生物素;;重酒石酸膽鹼;;肌醇;;檸檬酸鈣;;磷酸鈣;;葡萄糖酸亞鐵;;氧化鎂;;葡萄糖酸鋅;;硒酵母;;葡萄糖酸銅;;葡萄糖酸錳;;鉻酵母;;金盞花萃取物(含葉黃素);;微結晶狀α-纖維素;;羥丙基甲基纖維素;;二氧化鈦;;食用黃色四號;;食用藍色一號"
"1036046603","婦更寶膜衣錠","","1081030","1031030","三友生技醫藥股份有限公司","066353338","台南市後壁區福安里下寮路207之3號","維生素B1;;維生素B2;;維生素B6;;維生素B12 0.1% (麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12);;L-抗壞血酸（維生素C）;;維生素D3 0.25% (維生素D3、辛烯基丁二酸鈉澱粉、蔗糖、L-抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、生育醇);;維生素E 50%(乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;維生素K1 5%(阿拉伯膠、蔗糖、維生素K1);;生物素;;焦磷酸鐵;;檸檬酸鈣;;碳酸鈣;;本多酸鈣;;二氧化矽;;硬脂酸鎂;;聚乙烯吡咯烷酮;;大豆萃取物;;蔓越莓濃縮粉;;紅麴粉;;當歸萃取物;;山藥粉;;微結晶狀α-纖維素;;羥丙基甲基纖維素(羥丙基甲基纖維素、水、氯化鈉);;二氧化鈦;;食用紅色六號;;食用黃色四號;;食用藍色一號"
"1036056974","補鈣 800 D 膜衣錠","","1081216","1031216","永勝生醫股份有限公司","02-22683222","新北市土城區忠承路99號12樓","碳酸鈣（碳酸鈣、麥芽糊精）;;微結晶狀α-纖維素;;維生素D3 0.25%(辛烯基丁二酸鈉澱粉、蔗糖、抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、維生素E、維生素D3);;硬脂酸鎂;;聚乙烯醇;;聚乙二醇;;二氧化鈦;;滑石粉;;食用黃色5號鋁麗基;;食用黃色4號鋁麗基"
"1036057457","悅補B+鋅PLUS持續錠","","1081103","1031103","中生生技製藥股份有限公司","02-86310018","新北市淡水區行忠路120號","鹽酸硫胺明;;核黃素（維生素B2）;;鹽酸吡哆辛;;氰鈷胺明;;葉酸;;抗壞血酸;;菸鹼醯胺;;維生素E 50%(維生素E醋酸鹽、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;本多酸鈣;;生物素;;氧化鋅;;番茄紅素 10%(番茄紅素、辛烯基丁二酸鈉澱粉、葵花油、糊精、蔗糖、L-抗壞血酸棕櫚酸酯、生育醇);;葡萄糖酸銅;;羥丙基甲基纖維素;;聚乙烯吡咯烷酮;;微結晶狀α-纖維素;;乳糖;;D-甘露醇;;硬脂酸鎂;;防水膜衣（羥丙基甲基纖維素、微結晶纖維素、硬脂酸、二氧化鈦）;;二氧化鈦;;食用藍色二號鋁麗基;;蟲膠"
"1036061712","康補維他膠囊","Combi Vita Capsules","1081215","1031215","秉新藥業股份有限公司","02-27622552","台北市信義區忠孝東路五段429號4樓","維生素A棕櫚酸鹽 55.5%(維生素A棕櫚酸鹽、花生油、維生素E);;硝酸硫胺明（維生素B1）;;核黃素（維生素B2）;;鹽酸吡哆辛（維生素B6）;;氰鈷胺明（維生素B12）;;菸鹼醯胺;;L-抗壞血酸（維生素C）;;膽鈣化醇（維生素D3）(辛烯基丁二酸鈉澱粉、蔗糖、抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、維生素E、維生素D3);;乙酸DL-ALPHA-生育醇酯 （維生素E）;;葉酸;;本多酸鈣;;胺基乙酸;;氧化鎂;;葡萄糖酸鋅;;花粉萃取物;;脂肪酸甘油酯(脂肪酸甘油酯、檸檬酸);;蜂蠟;;明膠;;食用紅色六號;;食用藍色一號;;肌醇;;牛磺酸;;L-精胺酸;;葡萄糖酸錳;;葡萄糖酸亞鐵;;蜂王乳粉末;;脂肪酸甘油酯;;甘油;;食用紅色七號;;二氧化鈦;;L-麩酸酯(L-麩酸);;鹽酸L-二胺基己酸;;葡萄糖酸銅;;刺五加萃取物;;人參粉末;;D-山梨醇液 70%;;食用黃色四號;;純水"
"1046075300","杏輝沛多銀髮維他命膜衣錠","DailyCare Elder Multi-Vitamin F.C. Tablets","1100308","1050308","杏輝藥品工業股份有限公司","03-9581101","宜蘭縣冬山鄉中山村中山路84號","維生素A醋酸鹽17.25%(明膠、玉米澱粉、維生素A醋酸鹽、蔗糖、二丁基羥基甲苯);;維生素D3 2.5%(中鏈三酸甘油酯、維生素D3、生育醇);;乙酸dl-α-生育醇酯 50% (維生素E醋酸鹽、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽）;;維生素K1;;維生素C;;硝酸硫胺明;;核黃素（維生素B2）;;鹽酸吡哆辛;;氰鈷胺明（維生素B12）;;菸鹼醯胺;;本多酸鈣;;葉酸;;生物素;;磷酸氫鈣;;乳酸亞鐵;;氧化鎂;;葡萄糖酸鋅;;葡萄糖酸銅;;葡萄糖酸錳;;氯化鉀;;碘化鉀;;啤酒酵母(含硒:500微克/克；鉻、鉬:2000微克/克);;微結晶狀α-纖維素;;麥芽糊精;;矽鋁酸鈉;;硬脂酸鎂;;聚乙烯醇;;二氧化鈦;;滑石粉;;大豆卵磷脂;;玉米糖膠;;食用紅色四十號鋁麗基;;食用藍色一號鋁麗基;;食用藍色二號鋁麗基"
"1046075934","維他命B6錠","Vitamin B6","1100108","1050108","名康企業有限公司","0936134863","新北市板橋區中正路325巷5號1樓","鹽酸吡哆辛（維生素B6）;;微結晶狀α-纖維素;;乳糖;;聚乙烯吡咯烷酮;;硬脂酸鎂"
"1046076765","樂齡銀髮族維他命","","1091218","1041218","三友生技醫藥股份有限公司","066353338","台南市後壁區福安里下寮路207之3號","焦磷酸鐵;;麩胺酸發酵物;;葡萄糖胺鹽酸鹽;;本多酸鈣;;肌醇;;金盞花萃取物;;紅麴粉;;氧化鎂;;菸鹼醯胺;;葡萄糖酸鋅;;檸檬酸鈣;;蘋果纖維;;靈芝菌絲體粉末;;二氧化矽;;硬脂酸鎂;;生物素;;葉酸;;硫酸錳;;碘化鉀;;葡萄糖酸銅;;維生素A醋酸鹽(明膠、玉米澱粉、維生素A醋酸鹽、蔗糖、二丁基羥基甲苯);;鉻酵母;;維生素B6;;維生素B12【麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12（氰鈷胺明）】;;維生素D3 0.25%(辛烯基丁二酸鈉澱粉、蔗糖、抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、生育醇、維生素D3);;維生素C;;維生素B1;;維生素E (乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;維生素K1(阿拉伯膠、蔗糖、維生素K1);;維生素B2;;羥丙基甲基纖維素(羥丙基甲基纖維素、水、氯化鈉);;二氧化鈦;;聚乙烯吡咯烷酮;;微結晶狀α-纖維素;;麥芽糊精;;食用紅色六號;;食用黃色五號;;食用藍色一號"
"1046076788","澳洲皇家維他命B6錠80毫克","Royal Australia Vitamin B6 80mg","1100129","1050129","中日藥品股份有限公司","02-27296475","台北市信義區逸仙路50巷12號7樓之1","維生素B6;;麥芽糊精;;二氧化矽;;硬脂酸鎂"
