認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,檢驗項目,公告資訊名稱,公告資訊連結,認證證書連結
"D014","科達製藥股份有限公司 （科達製藥檢驗中心）","324桃園市平鎮區工業三路20-1號","(03) 4696105＃140","http://www.koda.com.tw/","106.02.17","中藥材及中藥製劑：乾燥減重、總灰分、酸不溶性灰分、稀醇抽提物、水抽提物、黃麴毒素4項、甘草酸、芍藥苷。","衛生福利部 106年02月17日 衛授食字第1061101014號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=62826","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29875"
"D015","財團法人紡織產業綜合研究所 （檢測及驗證部）","236新北市土城區承天路6號","(02) 22670321＃7204","http://www.ttri.org.tw/content/index/index.aspx","105.10.05","防護衣：透濕度（氯化鈣法）、透氣度。 防護衣及外科用覆蓋巾：防水性（衝擊滲透法）、防水性（水壓法）、防水性（低速水壓法）、合成血液穿透阻力試驗、斷裂強度和伸度試驗（抓式法）、撕裂強力（梯形法）、縫合強力（抓式法）。 口罩：可燃性、Phi-X174噬菌體穿透性試驗、壓差、細菌過濾效率試驗(BFE)、合成血液穿透阻力試驗。 拋棄式防塵口罩：粒狀防護效率。","衛生福利部 105年10月05日 部授食字第 1051105545號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=57589&chk=fd42c9ec-cdfd-4de9-a796-a4a509afceb9","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29876&chk=1bcce6ef-c68b-485c-be2d-5a98fc04218e"
"D016","財團法人台灣電子檢驗中心 （檢定/測試實驗室）","33383桃園市龜山區文明路29巷8號","(03) 3276101","http://www.etc.org.tw/cubekm/index.phtml","106.10.23","醫療器材：電子式體溫計。","衛生福利部 106年10月23日 衛授食字第1061106471號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=68491","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29877"
"D019","勝昌製藥廠股份有限公司 （勝昌檢驗中心）","320桃園市中壢區民族路六段436號","(03) 4909682＃872","http://www.herb.com.tw/front/bin/home.phtml","105.12.16","中藥材及中藥製劑：好氧性微生物總數、大腸桿菌、沙門氏桿菌、金黃色葡萄球菌、綠膿桿菌、黃麴毒素、重金屬5項、農藥殘留21項、甘草酸、二氧化硫。 中藥製劑：總重金屬（以鉛計）。 特定植物藥材：藥材基原鑑定。","衛生福利部 105年12月16日 部授食字第1051106875號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=61413","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29879"
"D021","華友科技顧問股份有限公司 （藥物食品化妝品檢驗實驗室）","24255新北市新莊區中正路610號、612號","(02) 29060887","http://www.hwayo.com.tw/","106.05.04","中藥製劑：西藥成分定性214項。","衛生福利部 106年05月04日 衛授食字第1061102624號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64909","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29880&chk=12197ac8-b40a-4c5d-b4a6-22ad494ea599"
"D022","杜夫萊茵股份有限公司 （高雄實驗室）","806高雄市前鎮區南七路3號3樓","(07) 8317000","http://www.twn.tuv.com/","106.02.22","中藥材及中藥製劑：重金屬5項、總重金屬。 化粧品：總生菌數、大腸桿菌、綠膿桿菌、金黃色葡萄球菌。","衛生福利部 106年02月22日 衛授食字第1061101047號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=63016","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29881"
"D024","全國公證檢驗股份有限公司 （紡織科技）","11492臺北市內湖區瑞光路423號9-10樓","(02) 66022660","http://www.intertek-twn.com/FrontEnd/default.aspx","106.03.24","防護衣、口罩、外科用覆蓋巾：透濕度、透氣度、防水性（水壓法）、防水性（衝擊穿透法）、拉力試驗、撕裂強力（擺錘法）、撕裂強力（舌片法）、爆裂強度、縫合滑脫力、縫合強力（抓式法）、可燃性。","衛生福利部 106年03月24日 衛授食字第 1061101855號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=63848&chk=6668cd48-25a2-4141-b6eb-b93ee27b68a8","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29882&chk=7d1282fa-0a9f-42d5-a8a3-9eca46d062df"
"D025","臺北市政府衛生局 （檢驗室）","112 臺北市北投區石牌路2段111號","(02) 28280102","http://www.health.gov.tw/","106.01.18","中藥製劑：西藥成分定性214項。","衛生福利部 106年01月18日 衛授食字第1061100196號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=62043","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29883"
"D026","高雄市政府衛生局 （檢驗科實驗室）","80264高雄市苓雅區凱旋二路132-1號8樓","07-7131651","http://khd.kcg.gov.tw/Main.aspx?sn=277","105.03.11","化粧品：汞、鄰苯基苯酚、對氯間二甲苯酚、苄氯酚、三氯沙。 中藥製劑：西藥成分定性214項。","衛生福利部 105年03月11日 部授食字第1051101571號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=51004&chk=07e7b2ef-387d-410b-b476-2a381bdeb9a1","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29884&chk=00b22a36-245d-421e-b860-0bc7209867e5"
"D029","新竹縣政府衛生局 (檢驗科)","30210新竹縣竹北市光明七街一號","(03)5518160＃301","http://www.hcshb.gov.tw/","103.12.09","化粧品：維他命C磷酸鎂、維他命C葡萄糖苷、麴酸、熊果素、對苯二酚。","衛生福利部 103年12月09日 部授食字第1031106039號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33236&chk=66daf4c0-fc07-49d4-9c60-f2892be822d1","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29885&chk=25c07eab-d2fa-4796-a316-917b6e9df7ef"
"D030","永信藥品工業股份有限公司 (檢驗實驗室)","43769台中市大甲區日南里工九路27號","(04) 2681-5181＃524","http://www.eyeslab.com/","105.01.06","化粧品：總生菌數、金黃色葡萄球菌、綠膿桿菌、大腸桿菌、黴菌及酵母菌、腸內桿菌。","衛生福利部 105年01月06日 部授食字第1041108455號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=49397&chk=b7fa84b0-9d0e-4974-97e3-792109e39c27","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29886"
"D033","財團法人中央畜產會 (技術服務中心)","900屏東市工業五路二號","(08) 7230341＃8227","http://www.naif.org.tw/","105.08.08","中藥材及中藥製劑：好氧性微生物總數、酵母菌與黴菌總數、大腸桿菌、沙門氏桿菌、微生物限量檢測。","衛生福利部 105年08月08日 部授食字第1051104349號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=56746&chk=f6e1eea6-57ab-45d3-ac32-191549144703","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29889&chk=5fd749bd-2cb8-46ba-a0ca-0d4c309ac3a2"
"D035","上準環境科技股份有限公司 (食品衛生實驗室)","40768台中市西屯區工業36路41號","04-2358-2525＃220","http://www.sundream.com.tw/","105.08.08","中藥材及中藥製劑：重金屬5項、總重金屬。","衛生福利部 105年08月08日 部授食字第1051104355號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=56747&chk=d7791272-23ca-43cb-9d2c-8c2e7ea942cb","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29891&chk=ebf6c95e-eb93-45ef-b7a9-1c2d464d16cf"
"D036","財團法人生物技術開發中心","22153新北市汐止區康寧街169巷101號","02-26956933＃5211","http://www.dcb.org.tw/dcbct.aspx","103.12.09","化粧品：總生菌數、大腸桿菌、金黃色葡萄球菌、綠膿桿菌。","衛生福利部 103年12月09日 部授食字第1031106058號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33238&chk=65abcc2d-5c9c-48c1-baa4-2ec1791518fa","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33385&chk=6aaf8e6d-0254-48b0-9efb-89c284942b20"
"D037","景博科技股份有限公司","912屏東縣內埔鄉豐田村內埔工業區建國路22號","08-7799370＃149","","105.01.13","中藥製劑：西藥成分定性214項。","衛生福利部 105年01月13日 部授食字第1051100114號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=49632&chk=e552a709-96b5-4694-9990-558c15a50a8d","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=38035&chk=3edfe6bc-4c45-4a9c-9a7e-2d1ab253967a"
"D038","連江縣衛生局","209連江縣南竿鄉復興村216號","08-3622095＃8853","http://www.matsuhb.gov.tw/","104.05.22","化粧品： 總生菌數、大腸桿菌、金黃色葡萄球菌、綠膿桿菌。","衛生福利部 104年05月22日 部授食字第1041103204號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=37731&chk=5115879d-efb2-41c2-93cb-2d7426d227a3","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=37702&chk=c89cbfcd-7c22-4650-868e-fd863ef0bae2"
"D039","台灣艾思特科技股份有限公司","42760台中市潭子區建國路17-1號","04-25348000 ext106","http://www.tast.com.tw/","104.07.24","醫療器材：無菌試驗。","衛生福利部 104年07月24日 部授食字第1041104875號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=38733&chk=e4e3677e-3589-44ac-a709-3f8bc91869e0","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=39090&chk=f178f7a2-249a-4b5e-8bbe-ee8e03fca73e"
"D040","詮昕科技股份有限公司(實驗室)","43449台中市龍井區遠東街60號1樓","04-26338389","http://www.hiqc.com.tw/tw/index.php","105.06.20","化粧品：防腐劑12項。","衛生福利部 105年06月20日 部授食字第1051103326號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=54872&chk=39bb40e7-27e4-47fc-bf86-1da0a46e78a8","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=55993&chk=ad2bd3a1-27ad-4fb5-8086-5871014492a7"
"D041","光鹽檢測科技股份有限公司","821高雄市路竹區路科二路63號3樓","07-6955945","http://www.lstest.com.tw/","105.06.21","化粧品：防腐劑12項。","衛生福利部 105年06月21日 部授食字第1051103367號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=54905&chk=85b04953-0edb-4b71-8a2d-bf05dfd90763","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=55994&chk=2576d86e-2111-424c-9d57-0b60cd8e0c37"
"D042","暐凱國際檢驗科技股份有限公司 (食品安全檢驗中心)","11493台北市內湖區內湖路一段120巷15弄28號","02-87511232＃262","http://www.fsii.com.tw/","106.11.01","中藥材及中藥製劑：好氧性微生物總數、酵母菌與黴菌總數、大腸桿菌、綠膿桿菌、金黃色葡萄球菌、沙門氏桿菌。 化粧品：好氣性生菌數、大腸桿菌、金黃色葡萄球菌、綠膿桿菌、黴菌及酵母菌。","衛生福利部 106年11月01日 衛授食字第1061106377號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=68492","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=55995"
"D043","大仁科技大學 (食品藥物暨環境認證檢驗中心)","907屏東縣鹽埔鄉維新路20號","08-7624002＃2231","http://research.tajen.edu.tw/files/11-1007-3077.php?Lang=zh-tw","105.06.23","化粧品：防腐劑12項。","衛生福利部 105年06月23日 部授食字第1051103423號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=55958&chk=c78094a9-cf84-4097-8295-ecbfedff378a","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=55996&chk=41522b1b-dddf-4e94-969a-cdf67c356d53"
"D044","捷生國際標準檢驗股份有限公司 (捷生國際標準實驗室)","717台南市仁德區文華路三段428巷65號","06-2795278＃216","http://www.jsn-isi.com.tw/index.php?task=home&lang=cht","106.01.13","中藥材：重金屬5項。 中藥材及中藥製劑：農藥殘留11項、大腸桿菌、沙門氏桿菌、金黃色葡萄球菌、綠膿桿菌、好氧性微生物總數。","衛生福利部 106年01月13日 衛授食字第1061100234號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=62042","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=56757"
"D045","嘉藥學校財團法人嘉南藥理大學 (分析檢測中心-食品藥物暨化粧品實驗室)","71710台南市仁德區二仁路一段60號","06-2664911＃2323","http://www.analytical.cnu.edu.tw/index.html","105.09.10","化粧品：防腐劑12項。","衛生福利部 105年09月10日 部授食字第1051105076號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=57240&chk=83214a97-e7a9-4dc5-8592-0c374fe8b63f","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=57254&chk=d041ef75-0670-4261-ac99-1ded120c2110"
"D046","振泰檢驗科技股份有限公司 (實驗室)","221新北市汐止區新台五路一段79號13樓之7","02-26981299＃206","http://www.stst.com.tw/","106.02.17","中藥材及中藥製劑：重金屬5項、總重金屬。","衛生福利部 106年02月17日 衛授食字第1061101029號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=62827","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=63127"
"D047","環虹錕騰科技股份有限公司 (新速食檢測定中心)","806高雄市前鎮區新衙路286-8號7樓之1","07-8152100＃200","http://www.hyperquantum.com.tw/#!/","106.05.01","中藥材及中藥製劑：重金屬5項。","衛生福利部 106年05月01日 衛授食字第 1061102639號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64678","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64936"
"D048","財團法人食品工業發展研究所 (檢驗技術研發及服務中心)","30062新竹市東區食品路331號","03-5223191＃308","http://arsc.firdi.org.tw/","106.05.11","化粧品：好氣性生菌數、大腸桿菌、金黃色葡萄球菌、綠膿桿菌。","衛生福利部 106年05月11日 衛授食字第 1061102832號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64911","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64937"
"D049","曄拓保養品股份有限公司 (化粧保養品檢驗中心)","70955台南市安南區科技三路1號","06-3842068＃7187","","106.05.08","化粧品：好氣性生菌數、大腸桿菌、金黃色葡萄球菌、綠膿桿菌。","衛生福利部 106年05月08日 衛授食字第 1061102698號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64910","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64938"
