類別,名稱,地址,核准劑型,核定品項,GMP核定作業內容,GDP核定作業內容,備註
"西藥製劑廠","長安化學工業股份有限公司","彰化縣福興鄉萬豊村福工路19號、19-1號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：糖衣錠(含錠劑、顆粒劑、散劑)及膠囊劑。","","","儲存及供應",""
"西藥製劑廠","五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德里德興八路9號","無菌製劑: 眼用液劑(無菌製備)。","","","",""
"西藥製劑廠","威力化學製藥股份有限公司","台南市北區中樓里開元路60號","非無菌製劑：液體劑型：溶液劑。","","","",""
"西藥製劑廠","健民製藥股份有限公司","台中市西屯區協和里工業區34路52號","非無菌製劑： 固體劑型:棒劑。","","","",""
"西藥製劑廠","竟天生物科技製藥工廠","新竹縣竹北市生醫路2段18、20、22號6樓","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：乳膏劑。","","","",""
"西藥製劑廠","龍杏生技製藥股份有限公司","台南市佳里區嘉福里下廍115之1號A棟","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：錠劑(顆粒劑、散劑）及膠囊劑。","","","",""
"西藥製劑廠","利達製藥股份有限公司","台中市大甲區岷山里中山路一段906號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（含乳膏劑）。 固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑。","","","儲存、供應作業",""
"西藥製劑廠","世達藥品工業股份有限公司","台中市西屯區協和里工業區十五路2號","非無菌製劑： 固體劑型：膜衣錠(含錠劑、顆粒劑、散劑)、膠囊劑。","","","",""
"西藥製劑廠","永信藥品工業股份有限公司台中幼獅廠","台中市大甲區日南里工九路27號、工七路9號","•無菌製劑： 滅菌懸液注射劑（無菌製備）、乾粉注射劑（無菌製備）、注射液劑（無菌製備、最終滅菌）、凍晶注射劑(無菌製備)。 •非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑、栓劑。 •除生產一般製劑外，另生產細胞毒類製劑「注射液劑(最終滅菌、無菌製備)、凍晶注射劑(無菌製備)及膜衣錠」。","","","儲存",""
"西藥製劑廠","政德製藥股份有限公司","雲林縣大埤鄉嘉興村豐田路2號","•無菌製劑： 乾粉注射劑(無菌製備)、注射液劑（無菌製備及最終滅菌）、無菌眼用液劑（無菌製備）。 •非無菌製劑： 液體劑型：懸液劑（含溶液劑）。 半固體劑型：軟膏劑（含乳膏劑）。 固體劑型：錠劑（含顆粒劑、散劑）、膠囊劑 •除生產一般製劑外，另生產青黴素類製劑「乾粉注射劑(無菌製備)、顆粒劑、散劑及膠囊劑」及頭孢子菌素類製劑「乾粉注射劑(無菌製備)、顆粒劑及膠囊劑」及碳青黴烯類製劑「乾粉注射劑(無菌製備)」。","","","","該廠於98年8月4日切結暫不生產下列產品（依98年8月10日署授食字第0981401290號函）： 愛仕達錠(衛署藥製字第039599號)、普樂錠(衛署藥製字第039578號)、愛仕達凝膠(衛署藥製字第036969號)、持效睪丸素注射液(衛署藥製字第15216號)、長效性兩性仕得保注射液(衛署藥製字第15031號)、特補愛斯太蒙針(衛署藥製字第002920號)、特補美福樂針(衛署藥製字第002922號)、保樂嬌針(衛署藥製字第003283號)、特補黃體素針(衛署藥製字第003052號)、特補鐵士得朗針(衛署藥製字第003053號)、鐵士得朗針(衛署藥製字第003266號)。"
"西藥製劑廠","台灣東洋藥品工業股份有限公司中壢廠","桃園市中壢區中華路一段838號","非無菌製劑： 半固體劑型：軟膏劑（含乳膏劑）。 除生產一般製劑外，另生產細胞毒類製劑［注射液劑（無菌製備、最終滅菌）及膠囊劑］。","","","",""
"西藥製劑廠","生達化學製藥股份有限公司二廠","台南市新營區開元路154號","非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）、膠囊劑及栓劑。 其他：紗布劑（含抗生素）。","","","儲存作業",""
"西藥製劑廠","健喬信元醫藥生技股份有限公司健喬廠","新竹縣湖口鄉中興村工業一路6號","非無菌製劑： 液體劑型：懸液劑（溶液劑）、氣化噴霧劑。 固體劑型：糖衣錠（膜衣錠、錠劑、散劑）、膠囊劑。 除生產一般製劑外，另生產女性荷爾蒙類製劑（膜衣錠）。","","","儲存作業",""
"西藥製劑廠","中國化學製藥股份有限公司台中工廠","台中市西屯區工業15路10號","無菌製劑（青黴素類）： 乾粉注射劑（無菌製備）、凍晶注射劑（無菌製備）。 非無菌製劑（青黴素類）： 固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、膠囊劑。","","","儲存作業",""
"西藥製劑廠","強生化學製藥廠股份有限公司","新北市三重區三和路四段77號2-3樓、79號1-6樓","非無菌製劑： 液體劑型：溶液劑。 固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑。","","","",""
"西藥製劑廠","晟德大藥廠股份有限公司新竹廠","新竹縣湖口鄉實踐路2號","非無菌製劑： 液體劑型：懸液劑（溶液劑）。 固體劑型：膜衣錠(含錠劑)及膠囊劑。","","","儲存作業",""
"西藥製劑廠","永信藥品工業股份有限公司台中幼獅三廠","台中市大甲區日南里工六路26號、工十路12之1號","無菌製劑（頭孢子菌素、青黴素類）： 乾粉注射劑（無菌製備）、凍晶注射劑(無菌製備)。 非無菌製劑（頭孢子菌素、青黴素類）： 固體劑型：膜衣錠（顆粒劑、散劑）、膠囊劑。","","","儲存作業",""
"西藥製劑廠","瑞安大藥廠股份有限公司觀音廠","桃園市觀音區草漯里大同一路26號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、膠囊劑。","","","儲存作業(含冷鏈藥品)","依103年11月5日部授食字第1031105481號函，瑞安大藥廠股份有限公司觀音廠聲明停止生產「注射液劑（無菌製備）」、「無菌眼耳鼻用液劑（無菌製備）」及「頭孢子菌素類乾粉注射劑」等劑型產品。"
"西藥製劑廠","聯亞藥業股份有限公司新竹廠","新竹縣湖口鄉光復北路45號","無菌製劑： 注射液劑（無菌製備、最終滅菌）。 滅菌懸液注射劑（無菌製備）─疫苗（明礬沉澱破傷風類毒素及日本腦炎疫苗）之充填至包裝作業。 非無菌製劑： 液體劑型：懸液劑（含溶液劑）。 半固體劑型：軟膏劑（含乳膏劑）。 固體劑型：糖衣錠（含膜衣錠、錠劑、散劑）、膠囊劑。","","","",""
"西藥製劑廠","台灣東洋藥品工業股份有限公司","台北市內湖區湖元里行善路118號5樓、5樓之1、5樓之2、5樓之3及124號5樓、5樓之1、5樓之2、5樓之3","無菌製劑： 注射液劑（無菌製備、最終滅菌）。 凍晶注射劑（無菌製備）。","","","",""
"西藥製劑廠","南光化學製藥股份有限公司","台南市新化區全興里中山路1001號、1001之1號","無菌製劑： 注射液劑（最終滅菌及無菌製備)、灌洗用液劑(最終滅菌)、乾粉注射劑（無菌製備）、凍晶注射劑（無菌製備）。 非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：膜衣錠（含錠劑、顆粒劑、散劑）、膠囊劑。 除生產一般製劑外，另生產細胞毒類製劑之注射液劑（無菌製備）及凍晶注射劑（無菌製備）。","","","儲存、供應、輸出作業(均含冷鏈藥品)",""
"西藥製劑廠","培力藥品工業股份有限公司","台中市西屯區協和里工業區六路11號","非無菌製劑： 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）、膠囊劑、栓劑。 除生產一般製劑外，另生產女性荷爾蒙類製劑（膜衣錠、錠劑、膠囊劑、軟膠囊劑、乳膏劑）。","","","儲存、供應作業",""
"西藥製劑廠","美時化學製藥股份有限公司南投廠","南投縣南投市成功一路30號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：膜衣錠（錠劑）、膠囊劑、軟膠囊劑。 除生產一般製劑外，另生產女性荷爾蒙類製劑（錠劑）及細胞毒類製劑（膠囊劑、膜衣錠及軟膠囊劑）。","","","儲存、供應作業",""
"西藥製劑廠","益邦製藥股份有限公司","苗栗縣竹南鎮科東三路1號","非無菌製劑： 固體劑型：膜衣錠（錠劑、顆粒劑、散劑）及膠囊劑。","","","儲存、供應、輸出作業",""
"西藥製劑廠","健亞生物科技股份有限公司","新竹縣湖口鄉中興村工業一路1號","無菌製劑： 注射液劑(無菌製備、最終滅菌)、無菌眼耳鼻用液劑（眼用液劑/無菌製備）。 非無菌製劑： 半固體劑型：乳膏劑。 固體劑型：糖衣錠（膜衣錠、錠劑、散劑）、膠囊劑。 除生產一般製劑外，另生產細胞毒類製劑（注射液劑/無菌製備）。","","","儲存、供應、輸出作業",""
"西藥製劑廠","信東生技股份有限公司觀音廠","桃園市觀音鄉國建一路1號","無菌製劑(頭孢子菌素類)： 乾粉注射液劑（無菌製備）。 非無菌製劑(頭孢子菌素類)： 固體劑型：膜衣錠（顆粒劑）、膠囊劑。","","","","該廠於99年8月27日切結不生產下列產品(依99年8月31日署授食字第0991100291號函) : ＂信東＂沛能注射劑(衛署藥製字第048751號)及＂信東＂滅平寧靜脈乾粉注射劑(衛署藥製字第049735號)。"
"西藥製劑廠","中國化學製藥股份有限公司新豐工廠","新竹縣新豐鄉坑子口182-1號","無菌製劑： 乾粉注射劑（無菌製備）、注射液劑（無菌製備、最終滅菌）、凍晶注射劑（無菌製備）。 非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑、栓劑。","","","儲存、供應、輸出作業(均含冷鏈藥品)",""
"西藥製劑廠","台灣大塚製藥股份有限公司中壢工廠","桃園市中壢區永福里吉林路15號","無菌製劑： 注射液劑（最終滅菌）。 溶液劑(最終滅菌)。 灌洗用液劑(最終滅菌)。 非無菌製劑： 半固體劑型：軟膏劑。 固體劑型：錠劑（含散劑）。","","","儲存(含冷鏈藥品)",""
"西藥製劑廠","詮達股份有限公司新竹廠","新竹縣湖口鄉勝利村光復路50號","非無菌製劑： 液體劑型：溶液劑。","","","",""
"西藥製劑廠","濟生醫藥生技股份有限公司","新竹縣湖口鄉勝利村鄰實踐路3號","無菌製劑： 注射液劑(最終滅菌)、乾粉注射劑(無菌製備)、灌洗用液劑(最終滅菌)、腹膜透析用液劑(最終滅菌)。 非無菌製劑： 液體劑型：溶液劑。 固體劑型：散劑。 除生產一般製劑外，另生產頭孢子菌素類製劑「乾粉注射劑（無菌製備）」。","","","",""
"西藥製劑廠","中國化學製藥股份有限公司台南二廠","台南市官田區二鎮里工業路39號","非無菌製劑： 固體劑型：膜衣錠(含錠劑、散劑)。","","","儲存作業",""
"西藥製劑廠","杏輝藥品工業股份有限公司","宜蘭縣冬山鄉中山村中山路84、84-4、84-6、84-7號及新寮路95、95-1、100-7、100-13、100-15、100-16、103、136號","無菌製劑： 眼用液劑（無菌製備）。 非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑、軟膠囊劑、栓劑。 除生產一般製劑外，另生產女性荷爾蒙類製劑「乳膏劑」及細胞毒類製劑「膜衣錠、膠囊劑、注射液劑（無菌製備及最終滅菌）」。","","","儲存、供應作業(均含冷鏈藥品)",""
"西藥製劑廠","友霖生技醫藥股份有限公司","雲林縣虎尾鎮墾地里科虎一路8號","非無菌製劑： 固體劑型：膜衣錠、膠囊劑。","","","儲存、供應、輸出、運輸作業",""
"西藥製劑廠","盈盈生技製藥股份有限公司三峽廠","新北市三峽區紫新路26巷6號","非無菌製劑： 固體劑型：錠劑及膠囊劑。","","","儲存、供應作業(含冷鏈產品)。",""
"西藥製劑廠","輝瑞生技股份有限公司新竹廠","新竹縣新豐鄉中崙村中崙290-1號","非無菌製劑： 固體劑型： (1)膜衣錠（含錠劑及散劑）及膠囊劑。 (2)軟膠囊劑之分/包裝作業 除生產一般製劑外，另生產青黴素類製劑「凍晶注射劑（無菌製備）」。","","","儲存、輸出作業",""
"西藥製劑廠","十全實業股份有限公司","南投縣南投市平山里仁和路27號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：糖衣錠(含膜衣錠、腸衣錠、錠劑、顆粒劑、散劑)、膠囊劑。 除生產一般製劑外，另生產女性荷爾蒙類「錠劑」。","","","",""
"西藥製劑廠","中國化學製藥股份有限公司台南三廠","台南巿官田區二鎮里工業西路46號之8","無菌製劑（頭孢子菌素類）： 乾粉注射劑（無菌製備）。 肥無菌製劑：藥皂。","","","儲存、供應作業。",""
"西藥製劑廠","生達化學製藥股份有限公司","台南市新營區土庫里土庫6之20號","無菌製劑： 注射液劑(無菌製備、最終滅菌) 、凍晶注射劑(無菌製備)、滅菌懸液注射劑(無菌製備)。 非無菌製劑： 液體劑型：溶液劑。 固體劑型：糖衣錠(膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑。 除生產一般製劑外，另生產頭孢子菌素類製劑(乾粉注射劑，無菌製備)。","","","儲存",""
"西藥製劑廠","華興化學製藥廠股份有限公司","彰化縣田尾鄉饒平村四維巷128號","非無菌製劑： 液體劑型：溶液劑。 固體劑型：膜衣錠(含錠劑、顆粒劑、散劑)、膠囊劑。","","","",""
"西藥製劑廠","得生製藥股份有限公司二廠","台南市永康區王行里環工路42-1號","非無菌製劑:貼劑(含藥膠布)。","","","",""
"西藥製劑廠","保瑞藥業股份有限公司","台南市官田區二鎮里工業西路54號","非無菌製劑： 液體劑型：溶液劑。 固體劑型：糖衣錠（含膜衣錠、錠劑及顆粒劑）、膠囊劑及「軟膠囊劑（僅分、包裝作業）」。","","","",""
"西藥製劑廠","安成國際藥業股份有限公司中壢廠","桃園市中壢區復興里自強四路三之一號","非無菌製劑： 液體劑型：懸液劑。 固體劑型：膜衣錠(含錠劑)及膠囊劑。","","","儲存",""
"西藥製劑廠","寶齡富錦生技股份有限公司平鎮廠","桃園市平鎮區興隆路266號","非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、膠囊劑。","","","儲存及運輸","該廠於100年11月17日及101年4月17日切結不生產非人用藥品規格之動物用藥產品及Estradiol類之女性荷爾蒙產品（乳膏劑及凝膠劑）。"
"西藥製劑廠","立康生物科技股份有限公司工廠","台南市永康區王行里環工路29、31、31之1、31之2、31之3、31之5號","非無菌製劑: 藥膠布。","","","",""
"西藥製劑廠","台灣田邊製藥股份有限公司新竹廠","新竹縣湖口鄉鳳凰村光復北路97號","非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）及膠囊劑。","","","儲存作業(含冷鏈藥品)",""
"西藥製劑廠","瑞士藥廠股份有限公司新市廠","台南市新市區中山路182號","無菌製劑： 注射液劑（無菌製備、最終滅菌）。 無菌眼耳鼻用液劑（耳鼻用液劑/無菌製備）。 非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑。 除生產一般製劑外，另生產頭孢子菌素類製劑〔乾粉注射劑（無菌製備）、膠囊劑、顆粒劑（含散劑）〕。","","","",""
"西藥製劑廠","麥迪森醫藥股份有限公司桃園廠","桃園市桃園區大林里桃鶯路445之2號1樓","無菌製劑： 無菌眼耳鼻用液劑(眼用液劑/無菌製備)。 非無菌製劑： 液體劑型：溶液劑。","","","",""
"西藥製劑廠","健康化學製藥股份有限公司","台中市大甲區日南里幼四路12號(含工九路1號)","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（含乳膏劑)。","","","",""
"西藥製劑廠","歐帕生技醫藥股份有限公司","新竹縣湖口鄉湖南村光復路1號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）及膠囊劑。","","","儲存(含冷鏈藥品)",""
"西藥製劑廠","五洲製藥股份有限公司","桃園市新屋區赤欄村17之1號","非無菌製劑： 液體劑型 ：溶液劑。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、軟膠囊劑、膠囊劑。","","","","依103年11月18日部授食字第1031105462號函，五洲製藥股份有限公司聲明停止生產女性荷爾蒙類產品「五洲非非每保隆5公絲」 (衛署藥製字第044116號)。"
"西藥製劑廠","久仁製藥廠股份有限公司","南投縣南投市工業路59號","非無菌製劑：液體劑型：溶液劑。","","","",""
"西藥製劑廠","華盛頓製藥廠股份有限公司","高雄市仁武區工業二路12號","非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、散劑）及膠囊劑。","","","",""
"西藥製劑廠","人生製藥股份有限公司","台中市西屯區協和里工業區五路3號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑及散劑)、膠囊劑及棒劑。 藥膠布。 其他:紗布劑(含藥)。","","","",""
"西藥製劑廠","三洋藥品工業股份有限公司大發廠","高雄市大寮區大寮里華西路45號","非無菌製劑： 液體劑型：溶液劑。 固體劑型：膜衣錠(含錠劑)。","","","",""
"西藥製劑廠","杏林新生製藥股份有限公司","桃園市龍潭區三和里店湖一路237號","無菌製劑： 注射液劑(最終滅菌及無菌製備)。 凍晶注射劑(無菌製備)。 非無菌製劑： 固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑。","","","儲存、供應、輸出(均含冷鏈藥品)","該廠於102年12月31日切結暫不生產下列產品： 「復力素凍晶注射劑(衛署藥製字第025748號)」、一般抗生素產品「特康寧注射劑(衛署藥製字第048642號)」、細胞毒素類產品「雙福全注射劑(衛署藥製字第048080號)」。"
"西藥製劑廠","展旺生命科技股份有限公司南科分公司針劑廠","台南市新市區創業路12號4樓、16號4樓","無菌製劑： 乾粉注射劑（無菌製備）。 無菌乾粉原料藥之無菌加工作業。","","","",""
"西藥製劑廠","井田國際醫藥廠股份有限公司","台中市大甲區日南里幼獅路32號","非無菌製劑： 液體劑型 ：溶液劑。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑及散劑）、膠囊劑及軟膠囊劑。 除生產一般製劑外，另生產女性荷爾蒙類製劑「含乳膏劑、糖衣錠(模衣錠及錠劑)」。","","","儲存、供應",""
"西藥製劑廠","正和製藥股份有限公司新營廠","台南市新營區嘉芳里新工路23號","非無菌製劑： 液體劑型：懸液劑（溶液劑）。 半固體劑型：軟膏劑（乳膏劑）。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑。","","","儲存、供應、輸出","依104年2月4日部授食字第1031105313號函，正和製藥廠股份有限公司新營廠聲明停止生產女性荷爾蒙類製劑（膠囊、糖衣錠、軟膏）共3項及頭孢子菌素類產品（膠囊）1項。"
"西藥製劑廠","應元化學製藥股份有限公司","台南市南區彰南里新忠路26號","無菌製劑： 注射液劑（無菌製備）、無菌眼用液劑（無菌製備）。 非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（含乳膏劑）。 固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑及散劑）及膠囊劑。","","","儲存、供應作業",""
"西藥製劑廠","台灣東洋藥品工業股份有限公司六堵廠","基隆市七堵區六堵里工建西路5號","非無菌製劑： 固體劑型：膜衣錠(錠劑)、膠囊劑。 無菌製劑： 注射液劑（最終滅菌及無菌製備）。 凍晶注射液劑（無菌製備）。","","","",""
"西藥製劑廠","信東生技股份有限公司","桃園市桃園區豐林里介壽路22號","1、無菌製劑： 注射液劑(無菌製備、最終滅菌)。 無菌眼用液劑(無菌製備)。 2、非無菌製劑： (1)液體劑型：溶液劑。 (2)固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)及膠囊劑。 (3)其他：貼劑。","","","",""
"西藥製劑廠","優生製藥廠股份有限公司","台中市南屯區工業區21路14號","非無菌製劑： 液體劑型：懸液劑(溶液劑)。 半固體劑型：乳膏劑。 固體劑型：糖衣錠(膜衣錠、錠劑、散劑)、膠囊劑。 除生產一般劑型外，另生產女性荷爾蒙製劑（糖衣錠、錠劑）。","","","",""
"西藥製劑廠","中國化學製藥股份有限公司新豐二廠","新竹縣新豐鄉上坑村2鄰坑子口182號","非無菌製劑： 固體製劑：膠囊劑（免疫抑制劑）。","","","儲存、輸出作業",""
"西藥製劑廠","永勝藥品工業股份有限公司","嘉義縣民雄鄉頭橋工業區工業三路6之3號","非無菌製劑： 液體劑型：懸液劑(溶液劑)。 半固體劑型：軟膏劑(乳膏劑)。 固體劑型：糖衣錠(含膜衣錠、腸衣錠、錠劑)及膠囊劑。 除生產一般製劑外，另生產女性荷爾蒙類製劑(膜衣錠)","","","儲存、供應作業",""
"西藥製劑廠","大豐製藥股份有限公司","彰化縣彰化市延平里岸頭巷11號","無菌製劑： 注射液劑(最終滅菌及無菌製備)。 非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：膜衣錠(含錠劑、顆粒劑、散劑)、膠囊劑、栓劑。 除生產一般劑型外，另於獨立區域生產女性荷爾蒙製劑(注射液劑-最終滅菌)。","","","",""
"西藥製劑廠","衛達化學製藥股份有限公司","台中市南屯區寶山里工業區二十三路21號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑(乳膏劑)。 固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）、 膠囊劑、栓劑。","","","儲存、供應作業",""
"西藥製劑廠","中生生技製藥股份有限公司淡水廠","新北市淡水區埤島里行忠路120號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：膜衣錠(含錠劑)。","","","儲存、供應作業",""
"西藥製劑廠","榮民製藥股份有限公司","桃園市中壢區中堅里中山東路三段447號","非無菌製劑： 液體劑型：懸液劑(含溶液劑)。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑)、膠囊劑。 除生產一般劑型外，另生產青黴素類製劑(膠囊劑)。","","","",""
"西藥製劑廠","德山製藥股份有限公司","嘉義縣民雄鄉民雄工業區福樂村中山路38號","貼劑、藥膠布。","","","",""
"西藥製劑廠","張國周製藥股份有限公司中壢製藥廠","桃園市中壢區中壢工業區定寧路9號","非無菌製劑： 固體劑型：散劑。","","","儲存作業",""
"西藥製劑廠","生發化學生技股份有限公司","台中市霧峰區霧工三路11號","非無菌製劑： 液體劑型：溶液劑。","","","",""
"西藥製劑廠","優良化學製藥股份有限公司","新竹縣湖口鄉中興村光復路10號","非無菌製劑： 固體劑型：膜衣錠(含錠劑、顆粒劑、散劑)、膠囊劑。","","","儲存","依104年6月12日部授食字第1040022467號函製造許可之製造廠名稱自「躍欣生技醫藥股份有限公司」變更為「優良化學製藥股份有限公司」。"
"西藥製劑廠","光南製藥股份有限公司宜蘭廠","宜蘭縣宜蘭市黎明里黎明二路240號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：乳膏劑。 固體劑型：錠劑(含散劑)、膠囊劑、棒劑。","","","",""
"西藥製劑廠","國嘉製藥工業股份有限公司幼獅三廠","台中市大甲區日南里工十路2號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：乳膏劑。 固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑、栓劑。","","","儲存、供應作業。",""
"西藥製劑廠","元宙化學製藥股份有限公司","南投縣南投市南崗三路272號","非無菌製劑： 液體劑型：溶液劑。 半固體劑型：軟膏劑（含乳膏劑）。 固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑。","","","儲存、供應、輸出",""
"西藥製劑廠","澳斯麗國際股份有限公司淡水廠","新北市淡水區北新路三段123號之1號","非無菌製劑： 液體劑型：溶液劑。 半固體製劑：軟膏劑。","","","",""
"西藥製劑廠","合誠化學製藥股份有限公司","桃園市平鎮區工業十路15號","液體劑型：溶液劑。 固體劑型：糖衣錠(含膜衣錠、錠劑、散劑)、膠囊劑。","","","",""
"西藥製劑廠","中美兄弟製藥股份有限公司","彰化縣彰化市東芳里彰鹿路106號","非無菌製劑： 液體劑型：懸液劑(含溶液劑)。 半固體劑型：軟膏劑(含乳膏劑)。 固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑。","","","儲存、供應作業。",""
"西藥製劑廠","士宣生技股份有限公司","新北市新莊區後港一路141號1樓及143號1、2樓","無菌製劑：注射液劑（放射性藥品-無菌製備）。","","","供應、運輸",""
"西藥製劑廠","衛生福利部食品藥物管理署管制藥品製藥工廠","新北市三峽區大同路287號","無菌製劑： 注射液劑(最終滅菌)。 非無菌製劑： 固體劑型：膜衣錠(含錠劑)。","","","",""
