發布日期,標題,網站連結
"2010-10-06","管制藥品簡訊第四十五期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=425&chk=8448e24c-0185-4f2d-95e2-828ce89b8673&mid=142&name=fdContent"
"2010-08-02","管制藥品簡訊第四十四期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=415&chk=19d0323b-15e1-491b-bdb1-b8b912f8711d&mid=142&name=fdContent"
"2010-05-14","管制藥品簡訊第四十三期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=401&chk=a6891bea-fc51-4884-a33e-05c76d506315&mid=142&name=fdContent"
"2010-05-14","管制藥品簡訊第四十二期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=402&chk=62e20d7b-0694-4bae-b9fe-c1179d1fffb0&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第四十一期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=40&chk=f135ee55-1cf9-45b8-a275-f8cd884b0eb7&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第四十期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=41&chk=6f28a3c9-b6b8-489b-9bcd-70ef7b2eb248&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十九期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=42&chk=2a6d90c3-e7ff-42ec-9215-f6790c56556e&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十八期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=43&chk=88314ced-8397-4a70-865c-64c185dfa80b&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十七期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=44&chk=ac5f5657-ceda-4fb0-811d-2a8228d8b8d2&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十六期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=45&chk=e29fe50c-984c-4785-b42a-9a7bee37f090&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十五期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=46&chk=ce319f2d-6bd2-493b-a621-5588f45cdcd5&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十四期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=47&chk=51491fb7-2680-42f4-aabe-1508a9039f71&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十三期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=48&chk=4456eec4-43ac-4275-814c-407592009567&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十二期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=49&chk=6784d859-c171-4073-88d8-ffb1b432f0b8&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十一期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=50&chk=14ed7d28-4f3a-4ab5-8885-810665d4b96e&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三十期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=51&chk=6cf2e535-4ed9-4ec8-aade-37d39c4cc491&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十九期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=52&chk=3216216d-39d9-44f4-b6c0-4e16880640fc&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十八期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=53&chk=02f070a3-5d55-405b-b34f-391c597d3265&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十七期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=54&chk=0621465d-67b1-4322-a11b-8f7b5f38b2c6&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十六期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=55&chk=a90ebd08-d0c4-4d0a-8f72-8c71c8f130d4&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十五期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=56&chk=748a2593-3ef5-4c51-83b8-f9c06ac7150e&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十四期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=57&chk=d409c321-e556-471b-89f2-af53ec00025b&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十三期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=58&chk=bc913828-3cfb-49e6-96ee-62f86bd5e94b&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十二期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=59&chk=5cf04069-d43f-4b00-9ae7-0e9f95ed32a2&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十一期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=60&chk=e03267c8-93e9-406e-8b55-003199c64ca3&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二十期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=61&chk=9098af16-38ef-4a3f-be39-82b7b2dca127&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十九期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=62&chk=70f674fc-52e9-4f1a-8026-be1cb7ca4a28&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十八期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=63&chk=707a3236-8906-40a2-b65c-c3de91ae698f&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十七期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=64&chk=4a81ca39-096d-4eac-9e37-0108e18021b5&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十六期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=65&chk=90f0bc41-ea4a-4cba-ac06-265630dcb8d0&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十五期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=66&chk=cc8ea31c-c9c3-4c64-afcb-ab397edb6584&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十四期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=67&chk=92c3c814-e44a-4fd2-b11a-8f53026e5806&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十三期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=68&chk=330b2007-9d42-48ff-85ea-c9a7edc0a8b5&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十二期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=69&chk=8cedbdd0-00dd-4185-bc0c-7361ffd76880&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十一期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=70&chk=20a82f3b-7165-4801-b0b7-c7e596d0e2da&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第十期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=71&chk=b3a77472-ca0f-4601-8bd5-f1b6485b223e&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第九期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=72&chk=6bd36df0-01b5-4bd7-9c4b-3881aa5ce326&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第八期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=73&chk=eaf72b3b-ff8c-48ca-971e-b3f966e2d699&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第七期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=74&chk=310cc838-919d-4eea-99e0-e3cf13022871&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第六期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=75&chk=89df4336-44cf-4497-acca-0b058a8b1ae0&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第五期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=76&chk=9c802241-b29e-401a-a193-d20dda430e86&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第四期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=77&chk=b5f591f6-3df9-4284-9632-0d0501f54a85&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第三期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=78&chk=fc99297b-16bc-4873-9d71-0e85d1af8468&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第二期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=79&chk=05abb068-3109-4974-8c05-28df340e245d&mid=142&name=fdContent"
"2010-01-01","管制藥品簡訊第一期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=80&chk=2d32b513-d38b-4c3f-9e75-555db6256514&mid=142&name=fdContent"
