核備函字號,中文名稱,英文名稱,發證日期,有效日期,申請商名稱,申請商電話,申請商地址,劑型,包裝規格,成分,產地,簽審文件編號
"1005011226","速體壯FOS高纖均衡配方","NUTRISUM","2011-09-01","2021-09-01","佰岳生物科技股份有限公司","02-29182689","新北市新店區寶宏路5-1號5樓","粉劑","900.00000公克;3000.00000公克;1800.00000公克;72.00000公克;60.00000公克;48.00000公克;30.00000公克;24.00000公克","CANOLA OIL;MALTODEXTRIN;SOY PROTEIN;WHEY PROTEIN;CALCIUM CASEINATE;SOYBEAN FIBERS;FRUCTO-OLIGOSACCHARIDE (FOS) POWDER;RESISTANT MALTODEXTRIN;OAT FIBER;MCT OIL;VANILLA FLAVOR;POTASSIUM CHLORIDE;CHOLINE BITARTRATE;CALCIUM PHOSPHATE, TRIBASIC;CALCIUM CARBONATE;SODIUM CHLORIDE;MAGNESIUM OXIDE;MAGNESIUM CHLORIDE;L-CARNITINE;MOLYBDENUM YEAST;VITAMIN E;FERRIC PYROPHOSPHATE;CHROMIUM YEAST;MANGANESE GLUCONATE;β-CAROTENE;ZINC SULFATE;SELENIUM YEAST;NICOTINAMIDE;CALCIUM PANTOTHENATE;VITAMIN B12;COPPER SULFATE;VITAMIN A;VITAMIN D3;VITAMIN B6;BIOTIN;VITAMIN B2;VITAMIN B1;VITAMIN K1;FOLIC ACID;POTASSIUM IODIDE;SODIUM ASCORBATE;TAURINE","台灣","DHD0A050112261"
"0990038001","舒體康含纖均衡營養品","SUCARE FIBER CONTAIN BALANCE NUTRITION","2010-10-15","2020-10-14","惠健生技股份有限公司","02-87713927","台北市松山區敦化南路一段100巷7弄49號","粉劑","55.00000公克;900.00000公克;1000.00000公克;3.00000公斤","麥芽糊精;植物油粉(含高油酸葵花油,大豆油,椰子油,MCT);乳清蛋白粉;阿拉伯膠;檸檬酸鎂;磷酸鈣;磷酸氫二鉀;檸檬酸鈉;氯化鈉;氯化鉀;氯化鎂;硫酸亞鐵;硫酸鋅;硫酸錳;硫酸銅;碘化鉀;鉬酸鈉;氯化鉻;亞硒酸鈉;重酒石酸膽鹼;維生素C;L-肉酸;牛磺酸;維生素E;菸鹼醯胺;泛酸鈣;維生素A;維生素B6;維生素D3;核黃素（維生素B2）;維生素B1;葉酸;生物素;維生素K1;維生素B12;三仙膠;關華豆膠;香料;蔗糖素","台灣","DHD09900380013"
"1056051787","舒體康乳清P80高蛋白食品","SUCARE WHEYP80 HIGH PROTEIN SUPPLEMENT","2016-10-19","2021-10-19","惠健生技股份有限公司","02-87713927","台北市松山區敦化南路一段100巷7弄49號","粉劑","5.00000公克;10.00000公克;800.00000公克;300.00000公克","","台灣","DHD0A560517875"
"1005049243","舒體康複合蛋白營養品","SUCARE COPROTEIN BALANCE NUTRITION","2011-12-19","2021-12-19","惠健生技股份有限公司","02-87713927","台北市松山區敦化南路一段100巷7弄49號","粉劑","28.00000公克;44.00000公克;55.00000公克;66.00000公克;80.00000公克;1000.00000公克;3000.00000公克;900.00000公克","麥芽糊精;VEGETABLE OIL;大豆蛋白粉;SOY PROTEIN ISOLATE;WHEY PROTEIN CONCENTRATE;阿拉伯膠;檸檬酸鈣;氯化鈉;MAGNESIUM CITRATE;磷酸鈣;氯化鎂;磷酸氫二鉀;硫酸鎂;檸檬酸鈉;碳酸鈣;硫酸鋅;硫酸亞鐵;硫酸銅;亞硒酸鈉;碘化鉀;氯化鉀;三氯化鉻;SODIUM MOLYBDATE;硫酸錳;蔗糖素;重酒石酸膽鹼;維生素C;L-肉酸;牛磺酸;維生素E;菸鹼醯胺;泛酸鈣;維生素A;維生素B6;維生素D3;核黃素（維生素B2）;維生素B1;葉酸;生物素;維生素K1;維生素B12;香料;關華豆膠","台灣","DHD0A050492430"
"0980409960","藻康富均衡營養品","JUST COME GOOD","2009-12-28","2019-12-27","藻安生技有限公司","0912919990","高雄市楠梓區楠盛街100號","粉劑","1.00000公斤;56.00000公克;28.00000公克","MALTODEXTRIN;WHEY PROTEIN;SOY BEAN EXTRACT;SOY PROTEIN;CANOLA OIL;MCT;FIBER OATS;INULIN;TRICALCIUM PHOSPHATE;TAURINE;CHOLINE BITARTRATE;ASCORBIC ACID FINE POWDER;ZINC GLUCONATE;CALCIUM CARBONATE;SODIUM CHLORIDE;FERRIC PYROPHOSPHATE;POTASSIUM CHLORIDE;CALCIUM CITRATE;MAGNESIUM OXIDE;DRY VITAMIN E;VITAMIN B12;NICOTINAMIDE;CHROMIUM TRICHLORIDE;D-BIOTIN;MANGANESE GLUCONATE;COPPER GLUCONATE;THIAMINE HYDROCHLORIDE;RIBOFLAVIN UNIVERSAL;PYRIDOXINE HYDROCHLORIDE;DRY VITAMIN K1;DRY VITAMIN A ACETATE;SODIUM SELENATE;B-CAROTENE;DRY VITAMIN D3 TYPE;CALCIUM D-PANTOTHENATE;FOLIC ACID;POTASSIUM IODIDE","台灣","DHD09804099607"
"1046027724","護力養PLUS均衡營養配方","BASICARE PLUS","2015-06-28","2020-06-28","康平興業股份有限公司","02-28837300","台北市中山區中山北路2段96號2樓","粉劑","23.00000公克;46.00000公克;57.00000公克;68.00000公克;80.00000公克;340.00000公克;410.00000公克;3000.00000公克;6000.00000公克;1482.00000公克","CANOLA OIL POWDER;MALTODEXTRIN;ISOLATED SOY PROTEIN SUPRO 1610, IDENTITY;CALCIUM LACTATE;SODIUM CHLORIDE;MALTODEXTRIN;MAGNESIUM PHOSPHATE;MAGNESIUM SULFATE;DIPOTASSIUM PHOSPHATE;POTASSIUM CHLORIDE;FERRIC PYROPHOSPHATE;ZINC SULFATE;MANGANESE SULFATE;SODIUM FLUORIDE;SODIUM SELENITE;COPPER SULFATE;CHROMIUM CHLORIDE;POTASSIUM IODIDE;SODIUM MOLYBDATE;SOY FIBER;POTASSIUM CHLORIDE;CALCIUM CARBONATE;CHOLINE BITARTRATE;MALTODEXTRIN;SODIUM ASCORBATE;DL α-TOCOPHERYL ACETATE;NIACINAMIDE;VITAMIN A ACETATE;D-CALCIUM PANTOTHENATE;CHOLECALCIFEROL;BIOTIN;VITAMIN K1 ( PHYTONADIONE );PYRIDOXINE HYDROCHLORIDE;VITAMIN B1 (THIAMINE MONONITRATE);VITAMIN B2 (RIBOFLAVIN);FOLIC ACID;VITAMIN B12 (CYANOCOBALAMIN);SODIUM CHLORIDE;MAGNESIUM OXIDE;XANTHAN GUM;ZINC YEAST;SELENIUM YEAST","台灣","DHD0A460277244"
"1015054981","頤得健腫瘤專用特殊營養配方","ETHANIMMU","2013-03-13","2018-03-13","美商頤登股份有限公司台灣分公司","02-25564530","台北市中山區長安西路6號4樓","粉劑","2747.00000公克;1346.00000公克","MELTODEXTRIN;HYDROLYZED WHEY PROTEIN ISOLATE;SOY PROTEIN CONCENTRATE;NATURAL VANILLA FLAVOR;FOS(FRUCTOOLIGOSACCHARIDE);OAT FIBER;OLIVE OIL;SUCROSE;POTASSIUM PHOSPHATE, DIBASIC;SODIUM CHLORIDE;CALCIUM PHOSPHATE (TRIBASIC);CALCIUM CARBONATE;MAGNESIUM OXIDE;SELENIUM YEAST;FERRIC ORTHOPHOSPHATE;CHROMIUM YEAST;MOLYBDENUM YEAST;ZINC OXIDE;MANGANESE GLUCONATE;COPPER GLUCONATE;POTASSIUM IODIDE;L-GLUTAMINE;L-ARGININE;TAURINE;PROBIOTICS BLEND CULTURE (LACTOBACILLUS ACIDOPHILUS,LACTOBACILLUS BULGARICUS,BIFIDOBACTERIUM BIFIDUM,BIFIDOBACTERIUM LONGUM,STREPTOCOCCUS THERMOPHILUS;CANOLA OIL;FLAX SEED OIL;FISH OIL;SOY LECITHIN;CHOLINE BITARTRATE;NON FAT DRY MILK POWDER;ASCORBIC ACID;D-ALPHA-TOCOPHEROL;NICOTINAMIDE;D-BIOTIN;CALCIUM PANTOTHENATE;VIT K1 BASE;FOLIC ACID;NATURAL BETA CAROTENE;VIT D3 POWDER;VITAMIN B6 ( PYRIDOXINE HYDROCHLORIDE );VITAMIN A;RIBOFLAVIN;THIAMINE MONONITRATE;THIAMINE HYDROCHLORIDE;VITAMIN B12;RICE PROTEIN;PINEAPPLE JUICE POWDER;PAPAYA FRUIT POWDER;PAPAIN;CALCIUM CASEINATE;COENZYME Q10;BROMELAIN","美國","DHD0A150549814"
"1036050289","愛力安精緻蛋白均衡配方營養品","ENERGY NUTRIMENT","2014-10-22","2019-10-22","伯妮創新國際有限公司","02-22989139","新北市新莊區五工三路78巷9號","粉劑","28.00000公克;56.00000公克;1792.00000公克;2240.00000公克;2800.00000公克;2968.00000公克;784.00000公克;840.00000公克;1792.00000公克;33.00000公克;66.00000公克","","台灣","DHD0A360502891"
"0990048607","普寧勝 CARB STEADY配方-洗腎腎臟病患專用營養品","NEPRO CARB STEADY","2011-05-06","2021-05-06","美商亞培股份有限公司","02-25050828","台北市中山區民生東路3段51號6樓及49號5樓、6樓","液劑","237.00000毫升;237.00000毫升","WATER;MALTODEXTRIN;HIGH OLEIC SAFFLOWER OIL;SODIUM CASEINATE;ACID CASEIN;MAGNESIUM OXIDE;CALCIUM HYDROXIDE;CANOLA OIL;SUCROSE;MILK PROTEIN ISOLATE;INDIGESTIBLE MALTODEXTRIN;GLYCERIN;FOS(FRUCTOOLIGOSACCHARIDE);SOYA LECITHIN;POTASSIUM CITRATE;SODIUM CITRATE;CALCIUM CITRATE;CHOLINE CHLORIDE;SODIUM CHLORIDE;ASCORBIC ACID;L-CARNITINE;MALTODEXTRIN;ZINC SULFATE;FERROUS SULFATE;CITRIC ACID;MANGANESE SULFATE;CUPRIC SULFATE;CALCIUM PHOSPHATE, DIBASIC;CHROMIC CHLORIDE;SODIUM MOLYBDATE;SODIUM SELENATE;POTASSIUM HYDROXIDE;TAURINE;COCONUT OIL;D-ALPHA-TOCOPHERYL ACETATE;PHYLLOQUINONE;VITAMIN D3;NIACINAMIDE;D-CALCIUM PANTOTHENATE;DEXTROSE;PYRIDOXINE HYDROCHLORIDE;THIAMINE HYDROCHLORIDE;RIBOFLAVIN;FOLIC ACID;MANNITOL;BIOTIN;CYANOCOBALAMIN;NATURAL AND ARTIFICIAL VANILLA FLAVOR;VITAMIN A PALMITATE;DILUENT (CORN OIL);DL-α-TOCOPHEROL ACETATE;MAGNESIUM PHOSPHATE;POTASSIUM IODIDE","美國","DHD09900486076"
"0990033930","腎補納 CARB STEADY配方-未洗腎慢性腎臟病患專用營養品","SUPLENA CARB STEADY","2011-04-18","2021-04-17","美商亞培股份有限公司","02-25050828","台北市中山區民生東路3段51號6樓及49號5樓、6樓","液劑","237.00000毫升;237.00000毫升","WATER;MALTODEXTRIN;HIGH OLEIC SAFFLOWER OIL;MILK PROTEIN ISOLATE;SUCROSE;PALATINOSE;CANOLA OIL;MALTODEXTRIN;GLYCEROL;SODIUM CASEINATE;FRUCTO OLIGOSACCHARIDES;SOY LECITHIN;NATURAL & ARTIFICIAL VANILLA FLAVOR;POTASSIUM CITRATE;SODIUM CITRATE;CHOLINE CHLORIDE;CALCIUM CARBONATE;ASCORBIC ACID;MAGNESIUM CHLORIDE;MAGNESIUM PHOSPHATE DIBASIC;L-CARNITINE;CALCIUM PHOSPHATE, TRIBASIC;MALTODEXTRIN;ZINC SULFATE;FERROUS SULFATE;CITRIC ACID;MANGANESE SULFATE;CUPRIC SULFATE;CHROMIUM CHLORIDE;SODIUM MOLYBDATE;SODIUM SELENATE;POTASSIUM CHLORIDE;TAURINE;SODIUM CHLORIDE;COCONUT OIL;D-ALPHA-TOCOPHEROL ACETATE;PHYLLOQUINONE;VITAMIN D3;CARRAGEENAN (VISCARIN SA-359);NIACIN;D-CALCIUM PANTOTHENATE;DEXTROSE;PYRIDOXINE HYDROCHLORIDE;THIAMINE HYDROCHLORIDE;RIBOFLAVIN;FOLIC ACID;BIOTIN;CYANOCOBALAMIN;CARRAGEENAN (SEAKEM CM-514);POTASSIUM HYDROXIDE (PROCESSING AI;VITAMIN A PALMITATE;CORN OIL;POTASSIUM IODIDE","美國","DHD09900339302"
"1046056137","倍力素癌症專用液體營養品","PROSURE VANILLA LIQUID","2016-05-05","2021-05-05","美商亞培股份有限公司","02-25050828","台北市中山區民生東路3段51號6樓及49號5樓、6樓","液劑","220.00000毫升","DEIONIZED CORN SYRUP LIQUID, DE 25-33/42 BAUME;SUCROSE;MILK PROTEIN ISOLATE;SODIUM CASEINATE;OLIGOFRUCTOSE;MARINE OIL;GUM ARABIC;MEDIUM CHAIN TRIGLYCERIDES OIL;MAGNESIUM CHLORIDE;POTASSIUM CITRATE;SODIUM CITRATE;CANOLA OIL;SOY FIBER;SOY OIL;NATURAL AND ARTIFICIAL VANILLA FLAVOR;LECITHIN;ASCORBIC ACID;ROSEMARY EXTRACT;CHOLINE CHLORIDE;NATURAL FLAVOR;CARAMEL FLAVOUR;POTASSIUM CHLORIDE;D-ALPHA TOCOPHERYL ACETATE;PHYLLOQUINONE;CHOLECALCIFEROL;COCONUT OIL;POTASSIUM HYDROXIDE;TAURINE;D-ALPHA TOCOPHERYL ACETATE;SUNFLOWER OIL (DILUENT);ZINC SULFATE;FERROUS SULFATE;MANGANESE SULFATE;CUPRIC SULFATE;SODIUM MOLYBDATE;CHROMIUM CHLORIDE;SODIUM SELENATE;MALTODEXTRIN (DILUENT);CALCIUM PANTOTHENATE;NIACINAMIDE;PYRIDOXINE HYDROCHLORIDE;RIBOFLAVIN;THIAMINE HYDROCHLORIDE;FOLIC ACID;BIOTIN;CYANOCOBALAMIN;DEXTROSE (DILUENT);VANILLA FLAVOR;L-CARNITINE;GELLAN GUM;ASCORBYL PALMITATE;β-CAROTENE;DILUENT (CORN OIL);ZINC SULFATE;VITAMIN A PALMITATE;SUNFLOWER OIL (DILUENT);MIXED TOCOPHEROLS;SUNFLOWER OIL (DILUENT);FERROUS SULFATE;NIACINAMIDE;THIAMINE HYDROCHLORIDE;RIBOFLAVIN;SODIUM BICARBONATE;POTASSIUM IODIDE;FOLIC ACID;PHYLLOQUINONE;WATER","荷蘭","DHD0A460561372"
"0980404620","基速得(香橙口味)","ABOUND","2009-06-24","2019-06-24","美商亞培股份有限公司","02-25050828","台北市中山區民生東路3段51號6樓及49號5樓、6樓","粉劑","24.00000公克;720.00000公克","L-GLUTAMINE;L-ARGININE;CITRIC ACID;CALCIUM;ORANGE JUICE POWDER;SUCROSE;NATURAL VANILLA FLAVOR;NATURAL ORANGE FLAVOR;ASPARTAME;MEDIUM CHAIN TRIGLYCERIDES;ACESULFAME POTASSIUM;SUNSET YELLOW FCF","美國","DHD09804046209"
